Municipality,July 2003 Population
"MONROE",1.9614000000000000e+04
"MONTVILLE",1.9718000000000000e+04
"MORRIS",2.3880000000000000e+03
"NAUGATUCK",3.1700000000000000e+04
"NEW BRITAIN",7.1572000000000000e+04
"NEW CANAAN",1.9839000000000000e+04
"NEW FAIRFIELD",1.4179000000000000e+04
"NEW HARTFORD",6.5480000000000000e+03
"NEW HAVEN",1.2466200000000000e+05
"NEW LONDON",2.6201000000000000e+04
"NEW MILFORD",2.8211000000000000e+04
"NEWINGTON",2.9695000000000000e+04
"NEWTOWN",2.6299000000000000e+04
"NORFOLK",1.6700000000000000e+03
"NORTH BRANFORD",1.4228000000000000e+04
"NORTH CANAAN",3.3750000000000000e+03
"NORTH HAVEN",2.3628000000000000e+04
"NORTH STONINGTON",5.1650000000000000e+03
"NORWALK",8.4170000000000000e+04
"NORWICH",3.6227000000000000e+04
"OLD LYME",7.4830000000000000e+03
"OLD SAYBROOK",1.0535000000000000e+04
"ORANGE",1.3572000000000000e+04
"OXFORD",1.0729000000000000e+04
"PLAINFIELD",1.5174000000000000e+04
"PLAINVILLE",1.7461000000000000e+04
"PLYMOUTH",1.2067000000000000e+04
"POMFRET",3.9960000000000000e+03
"PORTLAND",9.2640000000000000e+03
"PRESTON",4.8010000000000000e+03
"PROSPECT",9.1610000000000000e+03
"PUTNAM",9.0790000000000000e+03
"REDDING",8.5720000000000000e+03
"RIDGEFIELD",2.4131000000000000e+04
"ROCKY HILL",1.8528000000000000e+04
"ROXBURY",2.2790000000000000e+03
"SALEM",4.0080000000000000e+03
"SALISBURY",4.0330000000000000e+03
"SCOTLAND",1.6400000000000000e+03
"SEYMOUR",1.6045000000000000e+04
"SHARON",3.0110000000000000e+03
"SHELTON",3.9121000000000000e+04
"SHERMAN",4.0550000000000000e+03
"SIMSBURY",2.3496000000000000e+04
"SOMERS",1.0870000000000000e+04
"SOUTH WINDSOR",2.5270000000000000e+04
"SOUTHBURY",1.9279000000000000e+04
"SOUTHINGTON",4.1397000000000000e+04
"SPRAGUE",2.9890000000000000e+03
"STAFFORD",1.1743000000000000e+04
"STAMFORD",1.2010700000000000e+05
"STERLING",3.2780000000000000e+03
"STONINGTON",1.8206000000000000e+04
"STRATFORD",5.0182000000000000e+04
"SUFFIELD",1.4217000000000000e+04
"THOMASTON",7.8570000000000000e+03
"THOMPSON",9.1570000000000000e+03
"TOLLAND",1.4264000000000000e+04
"TORRINGTON",3.5756000000000000e+04
"TRUMBULL",3.5013000000000000e+04
"UNION",7.3500000000000000e+02
"VERNON",2.9206000000000000e+04
"VOLUNTOWN",2.5980000000000000e+03
"WALLINGFORD",4.4331000000000000e+04
"WARREN",1.3170000000000000e+03
"WASHINGTON",3.6970000000000000e+03
"WATERBURY",1.0813000000000000e+05
"WATERFORD",1.9034000000000000e+04
"WATERTOWN",2.2178000000000000e+04
"WEST HARTFORD",6.1424000000000000e+04
"WEST HAVEN",5.3004000000000000e+04
"WESTBROOK",6.5830000000000000e+03
"WESTON",1.0239000000000000e+04
"WESTPORT",2.6320000000000000e+04
"WETHERSFIELD",2.6398000000000000e+04
"WILLINGTON",6.1980000000000000e+03
"WILTON",1.7909000000000000e+04
"WINCHESTER",1.0781000000000000e+04
"WINDHAM",2.3014000000000000e+04
"WINDSOR",2.8565000000000000e+04
"WINDSOR LOCKS",1.2256000000000000e+04
"WOLCOTT",1.6024000000000000e+04
"WOODBRIDGE",9.2490000000000000e+03
"WOODBURY",9.5570000000000000e+03
"WOODSTOCK",7.6850000000000000e+03
