Municipality,Median Household Income,Per Capita Income
"SPRAGUE",43125.0000,20796.0000
"STAFFORD",52699.0000,22017.0000
"STAMFORD",60556.0000,34987.0000
"STERLING",49167.0000,19679.0000
"STONINGTON",52437.0000,29653.0000
"STRATFORD",53494.0000,26501.0000
"SUFFIELD",66698.0000,28171.0000
"THOMASTON",54297.0000,24799.0000
"THOMPSON",46065.0000,21003.0000
"TOLLAND",77398.0000,29892.0000
"TORRINGTON",41841.0000,21406.0000
"TRUMBULL",79507.0000,34931.0000
"UNION",58214.0000,27900.0000
"VERNON",47816.0000,25150.0000
"VOLUNTOWN",56802.0000,23707.0000
"WALLINGFORD",57308.0000,25947.0000
"WARREN",62798.0000,36801.0000
"WASHINGTON",65288.0000,37215.0000
"WATERBURY",34285.0000,17701.0000
"WATERFORD",56047.0000,26807.0000
"WATERTOWN",59420.0000,26044.0000
"WEST HARTFORD",61665.0000,33468.0000
"WEST HAVEN",42393.0000,21121.0000
"WESTBROOK",57531.0000,28680.0000
"WESTON",146697.0000,74817.0000
"WESTPORT",119872.0000,73664.0000
"WETHERSFIELD",53289.0000,28930.0000
"WILLINGTON",51690.0000,27062.0000
"WILTON",141428.0000,65806.0000
"WINCHESTER",46671.0000,22589.0000
"WINDHAM",35087.0000,16978.0000
"WINDSOR",64137.0000,27633.0000
"WINDSOR LOCKS",48837.0000,23079.0000
"WOLCOTT",61376.0000,25018.0000
"WOODBRIDGE",102121.0000,49049.0000
"WOODBURY",68322.0000,37903.0000
"WOODSTOCK",55313.0000,25331.0000
