TANF09%,TANF08%,MUNICIPALITY,numbered,TANF RECIPIENTS FY 2008-09,TANF RECIPIENTS FY 2007-08,Sort ID
5.8258711835149427e-03,4.9627791563275434e-03,"THOMPSON",1.4200000000000000e+02,5.4000000000000000e+01,4.6000000000000000e+01,42
5.6662758890191484e-03,5.8616647127784291e-03,"CANTERBURY",2.2000000000000000e+01,2.9000000000000000e+01,3.0000000000000000e+01,43
5.6610962930706008e-03,5.4433618202601930e-03,"STONINGTON",1.3800000000000000e+02,1.0400000000000000e+02,1.0000000000000000e+02,44
5.3779504033462803e-03,4.4816253361218998e-03,"NORTH CANAAN",1.0100000000000000e+02,1.8000000000000000e+01,1.5000000000000000e+01,45
5.3119006762894919e-03,4.7819723427879280e-03,"DANBURY",3.4000000000000000e+01,4.2100000000000000e+02,3.7900000000000000e+02,46
5.3017944535073414e-03,2.0391517128874386e-03,"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,5.0000000000000000e+00,47
5.0860719874804379e-03,5.8685446009389668e-03,"CHAPLIN",2.4000000000000000e+01,1.3000000000000000e+01,1.5000000000000000e+01,48
5.0479298388741590e-03,4.4870487456659192e-03,"MONTVILLE",8.7000000000000000e+01,9.9000000000000000e+01,8.8000000000000000e+01,49
4.9843086579287425e-03,4.6151006091932805e-03,"SEYMOUR",1.2500000000000000e+02,8.1000000000000000e+01,7.5000000000000000e+01,50
4.8661800486618006e-03,2.6763990267639902e-03,"SALEM",1.2200000000000000e+02,2.0000000000000000e+01,1.1000000000000000e+01,51
4.8531889390878687e-03,4.5346722211511868e-03,"STAMFORD",1.3600000000000000e+02,5.7900000000000000e+02,5.4100000000000000e+02,52
4.7616282445851000e-03,5.6326578015213980e-03,"PLAINVILLE",1.1100000000000000e+02,8.2000000000000000e+01,9.7000000000000000e+01,53
4.4948211842876689e-03,2.3451240961500880e-03,"BOLTON",1.2000000000000000e+01,2.3000000000000000e+01,1.2000000000000000e+01,54
4.2587710403569259e-03,3.0419793145406611e-03,"PRESTON",1.1500000000000000e+02,2.1000000000000000e+01,1.5000000000000000e+01,55
4.1160426481527401e-03,3.6862550624018513e-03,"WEST HARTFORD",1.5500000000000000e+02,2.4900000000000000e+02,2.2300000000000000e+02,56
3.9786409800020937e-03,4.1880431368443091e-03,"PORTLAND",1.1400000000000000e+02,3.8000000000000000e+01,4.0000000000000000e+01,57
3.7226617031177293e-03,2.3266635644485808e-03,"HAMPTON",6.4000000000000000e+01,8.0000000000000000e+00,5.0000000000000000e+00,58
3.4585506012557200e-03,3.1392997765244228e-03,"WATERFORD",1.5300000000000000e+02,6.5000000000000000e+01,5.9000000000000000e+01,59
3.3479268606747361e-03,1.8027298480556271e-03,"THOMASTON",1.4100000000000000e+02,2.6000000000000000e+01,1.4000000000000000e+01,60
3.3380408268070356e-03,2.1825651559892155e-03,"COLCHESTER",2.8000000000000000e+01,5.2000000000000000e+01,3.4000000000000000e+01,61
3.2112357964570542e-03,2.2937398546121817e-03,"NEW MILFORD",9.6000000000000000e+01,9.1000000000000000e+01,6.5000000000000000e+01,62
3.1695721077654518e-03,5.2826201796090863e-04,"FRANKLIN",5.3000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+00,63
3.1446540880503146e-03,2.2012578616352201e-03,"MARLBOROUGH",8.0000000000000000e+01,2.0000000000000000e+01,1.4000000000000000e+01,64
3.1228784792939578e-03,3.5302104548540392e-03,"WATERTOWN",1.5400000000000000e+02,6.9000000000000000e+01,7.8000000000000000e+01,65
3.1208898994627612e-03,2.8756771216478299e-03,"WALLINGFORD",1.4900000000000000e+02,1.4000000000000000e+02,1.2900000000000000e+02,66
3.1171242870407217e-03,3.2497678737233053e-03,"LEDYARD",7.3000000000000000e+01,4.7000000000000000e+01,4.9000000000000000e+01,67
3.0987162461266048e-03,2.6560424966799467e-03,"CLINTON",2.7000000000000000e+01,4.2000000000000000e+01,3.6000000000000000e+01,68
3.0944246695404870e-03,2.8261219525283058e-03,"MILFORD",8.5000000000000000e+01,1.7300000000000000e+02,1.5800000000000000e+02,69
3.0310477594822642e-03,3.4406488080609486e-03,"COVENTRY",3.2000000000000000e+01,3.7000000000000000e+01,4.2000000000000000e+01,70
2.9822485207100591e-03,3.0295857988165680e-03,"SOUTHINGTON",1.3300000000000000e+02,1.2600000000000000e+02,1.2800000000000000e+02,71
2.9102305798074770e-03,5.5965972688605328e-03,"ASHFORD",3.0000000000000000e+00,1.3000000000000000e+01,2.5000000000000000e+01,72
2.9036004645760743e-03,3.4843205574912892e-03,"SCOTLAND",1.2400000000000000e+02,5.0000000000000000e+00,6.0000000000000000e+00,73
2.7336767952896644e-03,2.1553990116706971e-03,"EAST LYME",4.4000000000000000e+01,5.2000000000000000e+01,4.1000000000000000e+01,74
2.6803310997240834e-03,2.2073314938904219e-03,"EAST HAMPTON",4.1000000000000000e+01,3.4000000000000000e+01,2.8000000000000000e+01,75
2.6727758686521572e-03,5.3455517373043144e-03,"VOLUNTOWN",1.4800000000000000e+02,7.0000000000000000e+00,1.4000000000000000e+01,76
2.6169447170428526e-03,3.4347399411187437e-03,"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+01,2.1000000000000000e+01,77
2.5762129669386004e-03,8.5873765564620013e-04,"MORRIS",8.8000000000000000e+01,6.0000000000000000e+00,2.0000000000000000e+00,78
2.5199351030411820e-03,2.6925333977700300e-03,"BRANFORD",1.4000000000000000e+01,7.3000000000000000e+01,7.8000000000000000e+01,79
2.4948277960326155e-03,2.5556772544724350e-03,"WOLCOTT",1.6700000000000000e+02,4.1000000000000000e+01,4.2000000000000000e+01,80
2.4576734025122883e-03,2.1845985800109228e-03,"BARKHAMSTED",5.0000000000000000e+00,9.0000000000000000e+00,8.0000000000000000e+00,81
2.4513141767669891e-03,1.6342094511779927e-03,"MIDDLEBURY",8.2000000000000000e+01,1.8000000000000000e+01,1.2000000000000000e+01,82
2.4255457477932534e-03,3.0006751519091796e-03,"SHELTON",1.2700000000000000e+02,9.7000000000000000e+01,1.2000000000000000e+02,83
2.3224950232249501e-03,0.0000000000000000e+00,"SHARON",1.2600000000000000e+02,7.0000000000000000e+00,0.0000000000000000e+00,84
2.2551421128348690e-03,2.6050779579299349e-03,"WETHERSFIELD",1.6000000000000000e+02,5.8000000000000000e+01,6.7000000000000000e+01,85
2.2058823529411764e-03,2.4264705882352943e-03,"CROMWELL",3.3000000000000000e+01,3.0000000000000000e+01,3.3000000000000000e+01,86
2.1886258796592478e-03,2.4916663860736050e-03,"NEWINGTON",9.7000000000000000e+01,6.5000000000000000e+01,7.4000000000000000e+01,87
2.1876953299401732e-03,2.0091079560675060e-03,"GUILFORD",6.1000000000000000e+01,4.9000000000000000e+01,4.5000000000000000e+01,88
2.1745039412883935e-03,2.8540364229410167e-03,"LEBANON",7.2000000000000000e+01,1.6000000000000000e+01,2.1000000000000000e+01,89
2.1694326933506887e-03,2.2236685106844559e-03,"BETHEL",9.0000000000000000e+00,4.0000000000000000e+01,4.1000000000000000e+01,90
2.1593090211132438e-03,1.4395393474088292e-03,"POMFRET",1.1300000000000000e+02,9.0000000000000000e+00,6.0000000000000000e+00,91
2.1383513311237037e-03,2.0314337645675183e-03,"PROSPECT",1.1600000000000000e+02,2.0000000000000000e+01,1.9000000000000000e+01,92
2.1020447162239633e-03,2.6753296388304986e-03,"NORTH STONINGTON",1.0300000000000000e+02,1.1000000000000000e+01,1.4000000000000000e+01,93
2.0939548434085941e-03,2.4581209031318283e-03,"SOMERS",1.3000000000000000e+02,2.3000000000000000e+01,2.7000000000000000e+01,94
2.0233812949640288e-03,1.6861510791366906e-03,"EAST HADDAM",4.0000000000000000e+01,1.8000000000000000e+01,1.5000000000000000e+01,95
2.0032552898459999e-03,3.0883519051792497e-03,"NORTH HAVEN",1.0200000000000000e+02,4.8000000000000000e+01,7.4000000000000000e+01,96
1.9096117122851686e-03,1.6974326331423721e-03,"ROCKY HILL",1.2000000000000000e+02,3.6000000000000000e+01,3.2000000000000000e+01,97
1.8783915402810630e-03,2.3653819396131904e-03,"NORTH BRANFORD",1.0000000000000000e+02,2.7000000000000000e+01,3.4000000000000000e+01,98
1.8493491713493136e-03,1.2803186570879864e-03,"NEW FAIRFIELD",9.2000000000000000e+01,2.6000000000000000e+01,1.8000000000000000e+01,99
1.8038060307248294e-03,1.1424104861257253e-03,"GLASTONBURY",5.4000000000000000e+01,6.0000000000000000e+01,3.8000000000000000e+01,100
1.7220595832615809e-03,2.2386774582400550e-03,"BEACON FALLS",6.0000000000000000e+00,1.0000000000000000e+01,1.3000000000000000e+01,101
1.7120560598821468e-03,1.5527950310559005e-03,"FARMINGTON",5.2000000000000000e+01,4.3000000000000000e+01,3.9000000000000000e+01,102
1.6474464579901153e-03,2.0593080724876441e-03,"ELLINGTON",4.8000000000000000e+01,2.4000000000000000e+01,3.0000000000000000e+01,103
1.6143497757847534e-03,8.9686098654708521e-04,"BETHANY",8.0000000000000000e+00,9.0000000000000000e+00,5.0000000000000000e+00,104
1.5743899239044870e-03,2.6239832065074785e-03,"CHESTER",2.6000000000000000e+01,6.0000000000000000e+00,1.0000000000000000e+01,105
1.5705983979896340e-03,1.4135385581906705e-03,"OXFORD",1.0900000000000000e+02,2.0000000000000000e+01,1.8000000000000000e+01,106
1.5640938456307379e-03,1.7681060863651819e-03,"TOLLAND",1.4300000000000000e+02,2.3000000000000000e+01,2.6000000000000000e+01,107
1.4507772020725389e-03,1.1398963730569949e-03,"WOODBURY",1.6900000000000000e+02,1.4000000000000000e+01,1.1000000000000000e+01,108
1.4440433212996389e-03,7.2202166064981946e-04,"WARREN",1.5000000000000000e+02,2.0000000000000000e+00,1.0000000000000000e+00,109
1.3874207188160678e-03,9.9101479915433398e-04,"SUFFIELD",1.4000000000000000e+02,2.1000000000000000e+01,1.5000000000000000e+01,110
1.3749754468670202e-03,1.4240817128265567e-03,"BERLIN",7.0000000000000000e+00,2.8000000000000000e+01,2.9000000000000000e+01,111
1.3579049466537342e-03,2.3278370514064014e-03,"EAST GRANBY",3.9000000000000000e+01,7.0000000000000000e+00,1.2000000000000000e+01,112
1.3550709294939656e-03,1.7361846284141436e-03,"SIMSBURY",1.2900000000000000e+02,3.2000000000000000e+01,4.1000000000000000e+01,113
1.2996507188693038e-03,1.7057915685159614e-03,"MANSFIELD",7.9000000000000000e+01,3.2000000000000000e+01,4.2000000000000000e+01,114
1.2682308180088776e-03,1.0145846544071021e-03,"HADDAM",6.2000000000000000e+01,1.0000000000000000e+01,8.0000000000000000e+00,115
1.2378152560730310e-03,6.1890762803651551e-04,"KILLINGWORTH",7.1000000000000000e+01,8.0000000000000000e+00,4.0000000000000000e+00,116
1.2356239901150081e-03,1.8059119855527042e-03,"OLD SAYBROOK",1.0700000000000000e+02,1.3000000000000000e+01,1.9000000000000000e+01,117
1.2233247247519369e-03,1.2233247247519369e-03,"OLD LYME",1.0600000000000000e+02,9.0000000000000000e+00,9.0000000000000000e+00,118
1.1938689054917971e-03,1.5789879072633443e-03,"SOUTH WINDSOR",1.3100000000000000e+02,3.1000000000000000e+01,4.1000000000000000e+01,119
1.1594202898550724e-03,1.7391304347826088e-03,"LITCHFIELD",7.5000000000000000e+01,1.0000000000000000e+01,1.5000000000000000e+01,120
1.1235955056179776e-03,8.4269662921348317e-04,"BETHLEHEM",1.0000000000000000e+01,4.0000000000000000e+00,3.0000000000000000e+00,121
1.0847667751433443e-03,7.2317785009556282e-04,"MONROE",8.6000000000000000e+01,2.1000000000000000e+01,1.4000000000000000e+01,122
1.0665382233537466e-03,1.1353471409894721e-03,"CHESHIRE",2.5000000000000000e+01,3.1000000000000000e+01,3.3000000000000000e+01,123
1.0540581237765397e-03,1.8069567836169252e-03,"WESTBROOK",1.5700000000000000e+02,7.0000000000000000e+00,1.2000000000000000e+01,124
1.0318396226415094e-03,1.1792452830188679e-03,"ESSEX",5.0000000000000000e+01,7.0000000000000000e+00,8.0000000000000000e+00,125
9.7243520215431803e-04,8.6023114036728131e-04,"NEWTOWN",9.8000000000000000e+01,2.6000000000000000e+01,2.3000000000000000e+01,126
9.7217158828533231e-04,1.4582573824279985e-03,"WOODSTOCK",1.7000000000000000e+02,8.0000000000000000e+00,1.2000000000000000e+01,127
9.6200096200096204e-04,2.4050024050024051e-03,"HARTLAND",6.6000000000000000e+01,2.0000000000000000e+00,5.0000000000000000e+00,128
9.5910715842706428e-04,1.0811753422268725e-03,"FAIRFIELD",5.1000000000000000e+01,5.5000000000000000e+01,6.2000000000000000e+01,129
9.4139797599435159e-04,1.4120969639915275e-03,"MIDDLEFIELD",8.3000000000000000e+01,4.0000000000000000e+00,6.0000000000000000e+00,130
9.4073377234242712e-04,1.1288805268109125e-03,"COLUMBIA",3.0000000000000000e+01,5.0000000000000000e+00,6.0000000000000000e+00,131
9.3662191695285675e-04,3.1220730565095225e-04,"GOSHEN",5.5000000000000000e+01,3.0000000000000000e+00,1.0000000000000000e+00,132
9.2028997206839206e-04,8.0727190532315089e-04,"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,5.0000000000000000e+01,133
9.1324200913242006e-04,0.0000000000000000e+00,"CANAAN",2.1000000000000000e+01,1.0000000000000000e+00,0.0000000000000000e+00,134
8.9134503966485428e-04,2.6740351189945630e-04,"GRANBY",5.6000000000000000e+01,1.0000000000000000e+01,3.0000000000000000e+00,135
8.6692674469007367e-04,7.5856090160381453e-04,"HEBRON",6.8000000000000000e+01,8.0000000000000000e+00,7.0000000000000000e+00,136
8.2034454470877774e-04,2.7344818156959257e-03,"WASHINGTON",1.5100000000000000e+02,3.0000000000000000e+00,1.0000000000000000e+01,137
8.0719557195571957e-04,8.0719557195571957e-04,"TRUMBULL",1.4500000000000000e+02,2.8000000000000000e+01,2.8000000000000000e+01,138
7.6502732240437158e-04,5.4644808743169399e-04,"BURLINGTON",2.0000000000000000e+01,7.0000000000000000e+00,5.0000000000000000e+00,139
7.1058775758806210e-04,1.1166379047812406e-03,"SOUTHBURY",1.3200000000000000e+02,1.4000000000000000e+01,2.2000000000000000e+01,140
6.9279493269992082e-04,8.9073634204275538e-04,"CANTON",2.3000000000000000e+01,7.0000000000000000e+00,9.0000000000000000e+00,141
6.8197317572175496e-04,4.5464878381450331e-04,"REDDING",1.1800000000000000e+02,6.0000000000000000e+00,4.0000000000000000e+00,142
6.5267051017078208e-04,1.0877841836179703e-03,"WOODBRIDGE",1.6800000000000000e+02,6.0000000000000000e+00,1.0000000000000000e+01,143
6.3819603254799766e-04,2.6591501356166571e-04,"MADISON",7.7000000000000000e+01,1.2000000000000000e+01,5.0000000000000000e+00,144
6.0034820195713516e-04,7.2041784234856221e-04,"BROOKFIELD",1.8000000000000000e+01,1.0000000000000000e+01,1.2000000000000000e+01,145
5.5617352614015572e-04,1.6685205784204673e-03,"EASTFORD",4.6000000000000000e+01,1.0000000000000000e+00,3.0000000000000000e+00,146
5.1939058171745155e-04,6.3481071098799632e-04,"AVON",4.0000000000000000e+00,9.0000000000000000e+00,1.1000000000000000e+01,147
4.8146364949446316e-04,1.4443909484833895e-03,"LYME",7.6000000000000000e+01,1.0000000000000000e+00,3.0000000000000000e+00,148
4.5198875050220971e-04,3.5154680594616310e-04,"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+00,7.0000000000000000e+00,149
4.3538204774689791e-04,7.9820042086931281e-04,"ORANGE",1.0800000000000000e+02,6.0000000000000000e+00,1.1000000000000000e+01,150
4.2844901456726652e-04,4.2844901456726652e-04,"DEEP RIVER",3.6000000000000000e+01,2.0000000000000000e+00,2.0000000000000000e+00,151
3.7605294825511433e-04,4.8886883273164866e-04,"WESTPORT",1.5900000000000000e+02,1.0000000000000000e+01,1.3000000000000000e+01,152
3.5971223021582735e-04,1.0791366906474820e-03,"HARWINTON",6.7000000000000000e+01,2.0000000000000000e+00,6.0000000000000000e+00,153
3.1416902293433867e-04,9.4250706880301600e-04,"ANDOVER",1.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,154
2.9726516052318666e-04,4.4589774078478004e-04,"NEW HARTFORD",9.3000000000000000e+01,2.0000000000000000e+00,3.0000000000000000e+00,155
2.5265285497726126e-04,1.0106114199090451e-03,"SALISBURY",1.2300000000000000e+02,1.0000000000000000e+00,4.0000000000000000e+00,156
2.4988546915996835e-04,2.4988546915996835e-04,"RIDGEFIELD",1.1900000000000000e+02,6.0000000000000000e+00,6.0000000000000000e+00,157
2.4354603019970775e-04,0.0000000000000000e+00,"SHERMAN",1.2800000000000000e+02,1.0000000000000000e+00,0.0000000000000000e+00,158
2.2601423889705052e-04,2.2601423889705052e-04,"WILTON",1.6200000000000000e+02,4.0000000000000000e+00,4.0000000000000000e+00,159
1.9640577432976529e-04,9.8202887164882646e-05,"WESTON",1.5800000000000000e+02,2.0000000000000000e+00,1.0000000000000000e+00,160
9.9122763542647569e-05,9.9122763542647569e-05,"DARIEN",3.5000000000000000e+01,2.0000000000000000e+00,2.0000000000000000e+00,161
0.0000000000000000e+00,0.0000000000000000e+00,"BRIDGEWATER",1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,162
0.0000000000000000e+00,0.0000000000000000e+00,"COLEBROOK",2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,163
0.0000000000000000e+00,6.7521944632005406e-04,"CORNWALL",3.1000000000000000e+01,0.0000000000000000e+00,1.0000000000000000e+00,164
0.0000000000000000e+00,0.0000000000000000e+00,"DURHAM",3.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,165
0.0000000000000000e+00,4.0871934604904634e-04,"EASTON",4.7000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,166
0.0000000000000000e+00,1.0190217391304348e-03,"KENT",6.9000000000000000e+01,0.0000000000000000e+00,3.0000000000000000e+00,167
0.0000000000000000e+00,0.0000000000000000e+00,"ROXBURY",1.2100000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,168
0.0000000000000000e+00,0.0000000000000000e+00,"UNION",1.4600000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,169
