Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Net Gain,Net Gain Ranking
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,4.0000000000000000e+00,"49"
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,"Hartford",2.9000000000000000e+01,2.2000000000000000e+01,4.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,2.1000000000000000e+01,"32"
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1.0000000000000000e+00,"52"
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,"Windham",2.7000000000000000e+01,2.1000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.7000000000000000e+01,"27"
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,"Hartford",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,8.0000000000000000e+00,"45"
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,"Windham",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,"Hartford",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,3.0000000000000000e+00,"50"
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,"Windham",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,"New Haven",4.1000000000000000e+01,4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,3.5000000000000000e+01,"22"
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+00,"49"
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,"Middlesex",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,3.0000000000000000e+00,"50"
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,"New London",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,1.9000000000000000e+01,"34"
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,"Litchfield",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,"49"
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,"Tolland",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,9.0000000000000000e+00,"44"
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,"Litchfield",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,"51"
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,"Tolland",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1000000000000000e+01,4.0000000000000000e+00,"49"
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,"Middlesex",2.6000000000000000e+01,2.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,2.1000000000000000e+01,"32"
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,"Fairfield",8.9000000000000000e+01,6.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,2.8000000000000000e+01,8.0000000000000000e+00,8.1000000000000000e+01,"12"
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,"Fairfield",3.2000000000000000e+01,3.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.3000000000000000e+01,9.0000000000000000e+00,"44"
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,"Middlesex",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,"New Haven",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00,"52"
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,"Middlesex",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,3.0000000000000000e+00,"50"
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,"Hartford",2.5000000000000000e+01,2.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,"Middlesex",2.2000000000000000e+01,2.0000000000000000e+01,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.1000000000000000e+01,"32"
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,"Middlesex",3.4000000000000000e+01,3.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.3000000000000000e+01,"24"
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,"Hartford",1.1000000000000000e+01,1.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,9.0000000000000000e+00,"44"
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,"New Haven",1.0000000000000000e+01,1.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,3.0000000000000000e+00,"50"
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,"New London",2.7000000000000000e+01,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,2.0000000000000000e+01,"33"
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,"Hartford",1.0700000000000000e+02,2.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+01,5.0000000000000000e+00,1.0200000000000000e+02,"8"
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,"Windham",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,3.0000000000000000e+00,"50"
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,"Tolland",8.7000000000000000e+01,4.7000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+01,4.0000000000000000e+00,8.3000000000000000e+01,"11"
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,"Hartford",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1.2000000000000000e+01,"41"
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,"Middlesex",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,5.0000000000000000e+00,"48"
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,"Fairfield",5.8000000000000000e+01,5.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.1000000000000000e+01,2.7000000000000000e+01,"27"
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,"Hartford",2.8000000000000000e+01,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,2.1000000000000000e+01,"32"
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,"New London",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,"52"
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,"Hartford",4.0000000000000000e+01,4.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3.7000000000000000e+01,"21"
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,"Litchfield",2.1000000000000000e+01,2.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,,,"NR"
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,"Hartford",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2.0000000000000000e+00,"51"
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,"Fairfield",1.4000000000000000e+02,1.2300000000000000e+02,0.0000000000000000e+00,0.0000000000000000e+00,1.7000000000000000e+01,1.0100000000000000e+02,3.9000000000000000e+01,"20"
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,"New London",2.3000000000000000e+01,2.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+01,"33"
