Municipality,2007 LABOR FORCE,2007 EMPLOYED,2007 UNEMPLOYED,2007 UNEMP RATE,Numbered
"NEW LONDON",1.3481000000000000e+04,1.2713000000000000e+04,7.6800000000000000e+02,5.6969067576589275e-02,95
"NEW MILFORD",1.6307000000000000e+04,1.5716000000000000e+04,5.9100000000000000e+02,3.6242104617648860e-02,96
"NEWINGTON",1.6556000000000000e+04,1.5882000000000000e+04,6.7400000000000000e+02,4.0710316501570427e-02,97
"NEWTOWN",1.4283000000000000e+04,1.3831000000000000e+04,4.5200000000000000e+02,3.1646012742421063e-02,98
"NORFOLK",9.4400000000000000e+02,9.0900000000000000e+02,3.5000000000000000e+01,3.7076271186440676e-02,99
"NORTH BRANFORD",8.3670000000000000e+03,8.0310000000000000e+03,3.3600000000000000e+02,4.0157762638938686e-02,100
"NORTH CANAAN",1.7340000000000000e+03,1.6550000000000000e+03,7.9000000000000000e+01,4.5559400230680509e-02,101
"NORTH HAVEN",1.3148000000000000e+04,1.2625000000000000e+04,5.2300000000000000e+02,3.9777912990568910e-02,102
"NORTH STONINGTON",3.2670000000000000e+03,3.1420000000000000e+03,1.2500000000000000e+02,3.8261401897765536e-02,103
"NORWALK",4.8356000000000000e+04,4.6527000000000000e+04,1.8290000000000000e+03,3.7823641326826044e-02,104
"NORWICH",2.0514000000000000e+04,1.9461000000000000e+04,1.0530000000000000e+03,5.1330798479087454e-02,105
"OLD LYME",4.1810000000000000e+03,4.0350000000000000e+03,1.4600000000000000e+02,3.4919875627840227e-02,106
"OLD SAYBROOK",5.4870000000000000e+03,5.2870000000000000e+03,2.0000000000000000e+02,3.6449790413705122e-02,107
"ORANGE",7.2450000000000000e+03,7.0030000000000000e+03,2.4200000000000000e+02,3.3402346445824710e-02,108
"OXFORD",7.4250000000000000e+03,7.1680000000000000e+03,2.5700000000000000e+02,3.4612794612794616e-02,109
"PLAINFIELD",8.3310000000000000e+03,7.8420000000000000e+03,4.8900000000000000e+02,5.8696435001800502e-02,110
"PLAINVILLE",9.9660000000000000e+03,9.5020000000000000e+03,4.6400000000000000e+02,4.6558298213927353e-02,111
"PLYMOUTH",6.7580000000000000e+03,6.3910000000000000e+03,3.6700000000000000e+02,5.4306007694584199e-02,112
"POMFRET",2.2590000000000000e+03,2.1680000000000000e+03,9.1000000000000000e+01,4.0283311199645858e-02,113
"PORTLAND",5.3400000000000000e+03,5.1170000000000000e+03,2.2300000000000000e+02,4.1760299625468164e-02,114
"PRESTON",2.8610000000000000e+03,2.7440000000000000e+03,1.1700000000000000e+02,4.0894792030758478e-02,115
"PROSPECT",5.2800000000000000e+03,5.0570000000000000e+03,2.2300000000000000e+02,4.2234848484848486e-02,116
"PUTNAM",5.1930000000000000e+03,4.8940000000000000e+03,2.9900000000000000e+02,5.7577508184093976e-02,117
"REDDING",4.6830000000000000e+03,4.5560000000000000e+03,1.2700000000000000e+02,2.7119367926542813e-02,118
"RIDGEFIELD",1.1687000000000000e+04,1.1343000000000000e+04,3.4400000000000000e+02,2.9434414306494395e-02,119
"ROCKY HILL",1.0707000000000000e+04,1.0290000000000000e+04,4.1700000000000000e+02,3.8946483608854020e-02,120
"ROXBURY",1.3710000000000000e+03,1.3320000000000000e+03,3.9000000000000000e+01,2.8446389496717725e-02,121
"SALEM",2.5990000000000000e+03,2.5110000000000000e+03,8.8000000000000000e+01,3.3859176606387070e-02,122
"SALISBURY",1.9650000000000000e+03,1.8970000000000000e+03,6.8000000000000000e+01,3.4605597964376587e-02,123
"SCOTLAND",1.0070000000000000e+03,9.7800000000000000e+02,2.9000000000000000e+01,2.8798411122144985e-02,124
"SEYMOUR",9.2870000000000000e+03,8.8600000000000000e+03,4.2700000000000000e+02,4.5978249165500161e-02,125
"SHARON",1.5600000000000000e+03,1.5140000000000000e+03,4.6000000000000000e+01,2.9487179487179487e-02,126
"SHELTON",2.3034000000000000e+04,2.2118000000000000e+04,9.1600000000000000e+02,3.9767300512286184e-02,127
"SHERMAN",2.1530000000000000e+03,2.0860000000000000e+03,6.7000000000000000e+01,3.1119368323269857e-02,128
"SIMSBURY",1.2040000000000000e+04,1.1661000000000000e+04,3.7900000000000000e+02,3.1478405315614619e-02,129
"SOMERS",4.6870000000000000e+03,4.4750000000000000e+03,2.1200000000000000e+02,4.5231491359078300e-02,130
"SOUTH WINDSOR",1.4682000000000000e+04,1.4190000000000000e+04,4.9200000000000000e+02,3.3510420923579892e-02,131
"SOUTHBURY",9.1270000000000000e+03,8.7900000000000000e+03,3.3700000000000000e+02,3.6923414046236440e-02,132
"SOUTHINGTON",2.4066000000000000e+04,2.3103000000000000e+04,9.6300000000000000e+02,4.0014958863126400e-02,133
"SPRAGUE",1.7820000000000000e+03,1.6910000000000000e+03,9.1000000000000000e+01,5.1066217732884396e-02,134
"STAFFORD",6.7760000000000000e+03,6.4710000000000000e+03,3.0500000000000000e+02,4.5011806375442741e-02,135
"STAMFORD",6.6220000000000000e+04,6.3761000000000000e+04,2.4590000000000000e+03,3.7133796436122017e-02,136
"STERLING",2.0710000000000000e+03,1.9750000000000000e+03,9.6000000000000000e+01,4.6354418155480442e-02,137
"STONINGTON",1.0489000000000000e+04,1.0147000000000000e+04,3.4200000000000000e+02,3.2605586805224518e-02,138
"STRATFORD",2.5772000000000000e+04,2.4560000000000000e+04,1.2120000000000000e+03,4.7027782089088935e-02,139
"SUFFIELD",7.4850000000000000e+03,7.1880000000000000e+03,2.9700000000000000e+02,3.9679358717434866e-02,140
"THOMASTON",4.5720000000000000e+03,4.3450000000000000e+03,2.2700000000000000e+02,4.9650043744531934e-02,141
"THOMPSON",5.2810000000000000e+03,5.0140000000000000e+03,2.6700000000000000e+02,5.0558606324559739e-02,142
"TOLLAND",8.3250000000000000e+03,8.0510000000000000e+03,2.7400000000000000e+02,3.2912912912912914e-02,143
"TORRINGTON",1.9270000000000000e+04,1.8243000000000000e+04,1.0270000000000000e+03,5.3295277633627403e-02,144
"TRUMBULL",1.7784000000000000e+04,1.7166000000000000e+04,6.1800000000000000e+02,3.4750337381916331e-02,145
"UNION",4.7200000000000000e+02,4.5700000000000000e+02,1.5000000000000000e+01,3.1779661016949151e-02,146
"VERNON",1.7249000000000000e+04,1.6502000000000000e+04,7.4700000000000000e+02,4.3306858368601077e-02,147
"VOLUNTOWN",1.6070000000000000e+03,1.5300000000000000e+03,7.7000000000000000e+01,4.7915370255133788e-02,148
"WALLINGFORD",2.5208000000000000e+04,2.4198000000000000e+04,1.0100000000000000e+03,4.0066645509362106e-02,149
"WARREN",7.5000000000000000e+02,7.2200000000000000e+02,2.8000000000000000e+01,3.7333333333333336e-02,150
"WASHINGTON",1.9420000000000000e+03,1.8740000000000000e+03,6.8000000000000000e+01,3.5015447991761074e-02,151
"WATERBURY",4.9561000000000000e+04,4.5907000000000000e+04,3.6540000000000000e+03,7.3727325921591577e-02,152
"WATERFORD",1.0347000000000000e+04,9.9460000000000000e+03,4.0100000000000000e+02,3.8755194742437424e-02,153
"WATERTOWN",1.2239000000000000e+04,1.1700000000000000e+04,5.3900000000000000e+02,4.4039545714519159e-02,154
"WEST HARTFORD",2.9009000000000000e+04,2.7815000000000000e+04,1.1940000000000000e+03,4.1159640111689474e-02,155
"WEST HAVEN",2.9448000000000000e+04,2.7925000000000000e+04,1.5230000000000000e+03,5.1718283075251288e-02,156
"WESTBROOK",3.6720000000000000e+03,3.5430000000000000e+03,1.2900000000000000e+02,3.5130718954248366e-02,157
"WESTON",4.9120000000000000e+03,4.7860000000000000e+03,1.2600000000000000e+02,2.5651465798045604e-02,158
"WESTPORT",1.2724000000000000e+04,1.2340000000000000e+04,3.8400000000000000e+02,3.0179188934297392e-02,159
"WETHERSFIELD",1.3128000000000000e+04,1.2580000000000000e+04,5.4800000000000000e+02,4.1742839731870811e-02,160
"WILLINGTON",3.8600000000000000e+03,3.7270000000000000e+03,1.3300000000000000e+02,3.4455958549222801e-02,161
"WILTON",8.2980000000000000e+03,8.0520000000000000e+03,2.4600000000000000e+02,2.9645697758496022e-02,162
"WINCHESTER",5.9810000000000000e+03,5.6580000000000000e+03,3.2300000000000000e+02,5.4004347099147303e-02,163
"WINDHAM",1.1836000000000000e+04,1.1063000000000000e+04,7.7300000000000000e+02,6.5309226089895228e-02,164
"WINDSOR",1.6040000000000000e+04,1.5363000000000000e+04,6.7700000000000000e+02,4.2206982543640900e-02,165
"WINDSOR LOCKS",7.0800000000000000e+03,6.7550000000000000e+03,3.2500000000000000e+02,4.5903954802259887e-02,166
"WOLCOTT",9.0440000000000000e+03,8.6590000000000000e+03,3.8500000000000000e+02,4.2569659442724457e-02,167
"WOODBRIDGE",4.9080000000000000e+03,4.7530000000000000e+03,1.5500000000000000e+02,3.1581092094539527e-02,168
"WOODBURY",5.4630000000000000e+03,5.2850000000000000e+03,1.7800000000000000e+02,3.2582829946915616e-02,169
"WOODSTOCK",4.6410000000000000e+03,4.4610000000000000e+03,1.8000000000000000e+02,3.8784744667097609e-02,170
