Municipality,Mil Rates FY 2008-09,Comments
"WARREN",1.2000000000000000e+01,
"WASHINGTON",1.3000000000000000e+01,
"WATERBURY",3.9920200000000001e+01,
"WATERFORD",1.6859999999999999e+01,
"WATERTOWN",2.4350000000000001e+01,
"WEST HARTFORD",3.6969999999999999e+01,
"WEST HAVEN",2.7960000000000001e+01,
"WESTBROOK",1.5780000000000001e+01,
"WESTON",2.4050000000000001e+01,
"WESTPORT",1.4410000000000000e+01,
"WETHERSFIELD",3.4710000000000001e+01,
"WILLINGTON",2.6719999999999999e+01,
"WILTON",1.9309999999999999e+01,
"WINCHESTER",3.4270000000000003e+01,"VR phone call"
"WINDHAM",2.4940000000000001e+01,
"WINDSOR",2.9300000000000001e+01,
"WINDSOR LOCKS",2.3570000000000000e+01,
"WOLCOTT",2.2690000000000001e+01,
"WOODBRIDGE",3.0830000000000002e+01,
"WOODBURY",2.4350000000000001e+01,
"WOODSTOCK",1.7500000000000000e+01,
