Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Unreserved_Fund_Bal,Fund_Equity_Enterprise,Fund_Equity_Internal_Service,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Moody's_Bond_Ratings_July_2001,area lmt,ACGLFY01,EGL,TANF01 Recipients,Empl,ACMR,Enrollmt,2001 Population
"LEDYARD",2.0010000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",14398717.0000,19243490.0000,35699484.0000,25411773.0000,787822.0000,33792192.0000,577587.0000,577587.0000,2050848.0000,2050848.0000,434031.0000,-540839.0000,434031.0000,,5948986.0000,5948986.0000,0.0000,702675.0000,1834628.0000,1834628.0000,9790199.0000,-894423.0000,19260448.0000,18986308.0000,9.8576668621622920e-01,19650781.0000,19095809.0000,9.7175827261013192e-01,"A1",3.8140000000000001e+01,598122063.0000,1011755569.0000,5.2000000000000000e+01,1.8401937046004842e-02,3.1810000000000002e+01,2.9708000000000002e+03,14993
"LISBON",2.0010000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",4453396.0000,2995493.0000,9125906.0000,6305842.0000,383413.0000,13424603.0000,0.0000,4407810.0000,8388.0000,8388.0000,-4307085.0000,463581.0000,100725.0000,,5725000.0000,5725000.0000,866455.0000,0.0000,3175545.0000,2309090.0000,,,2924166.0000,2866963.0000,9.8043784108015752e-01,3076250.0000,2922561.0000,9.5004014628199918e-01,"A3",1.6250000000000000e+01,185453146.0000,279564761.0000,2.1000000000000000e+01,2.5173611111111112e-02,1.8000000000000000e+01,7.8683000000000004e+02,4174
"LITCHFIELD",2.0010000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",1948958.0000,15120676.0000,18119491.0000,12190283.0000,882358.0000,17502227.0000,298262.0000,298262.0000,1176177.0000,1176177.0000,-260651.0000,-875927.0000,-260651.0000,,5696377.0000,5696377.0000,278118.0000,0.0000,2364717.0000,2086599.0000,,490056.0000,14916571.0000,14569283.0000,9.7671797358789769e-01,15662903.0000,14954124.0000,9.5474791614300358e-01,"Aa3",5.6039999999999999e+01,614758495.0000,879570823.0000,1.6000000000000000e+01,2.3998188815938421e-02,2.4250000000000000e+01,1.4262000000000000e+03,8374
"LYME",2.0010000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",283985.0000,4374122.0000,4971961.0000,3248583.0000,0.0000,4682885.0000,0.0000,0.0000,52750.0000,52750.0000,236326.0000,313390.0000,236326.0000,1991550.0693,193483.0000,2185033.0693,46460.0000,297636.0000,1434810.0000,1388350.0000,,,4340970.0000,4280636.0000,9.8610126308175361e-01,4481025.0000,4344272.0000,9.6948175919571977e-01,,3.1850000000000001e+01,271241808.0000,388033311.0000,1.0000000000000000e+00,1.5232974910394265e-02,1.6000000000000000e+01,2.9765000000000003e+02,2046
"MADISON",2.0010000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",4300380.0000,36955579.0000,44376142.0000,29515301.0000,1361344.0000,41168096.0000,134856.0000,134856.0000,3933678.0000,3933678.0000,-590776.0000,1450521.0000,-590776.0000,,23431006.0000,23431006.0000,694571.0000,800000.0000,9204419.0000,8509848.0000,,763488.0000,36822552.0000,36451839.0000,9.8993244683312553e-01,37910074.0000,36959317.0000,9.7492072951374353e-01,"Aa1",3.6180000000000000e+01,1433218350.0000,2484478891.0000,1.7000000000000000e+01,1.9594039657397630e-02,2.5359999999999999e+01,3.5479000000000001e+03,18280
"MANCHESTER",2.0010000000000000e+03,7.8000000000000000e+01,7.7000000000000000e+01,"H",33439643.0000,71503591.0000,109080918.0000,70374282.0000,3080018.0000,107231934.0000,663185.0000,820106.0000,2652111.0000,2652111.0000,-139942.0000,188702.0000,16979.0000,,34325357.0000,34325357.0000,1870409.0000,642664.0000,7271082.0000,5400673.0000,46882957.0000,862669.0000,77930109.0000,76125564.0000,9.7684405907862903e-01,81286049.0000,77443311.0000,9.5272573772161073e-01,"Aa2",2.7250000000000000e+01,2854042328.0000,3516190233.0000,7.4800000000000000e+02,3.2728665436440235e-02,2.4789999999999999e+01,7.7449600000000000e+03,54680
"MANSFIELD",2.0010000000000000e+03,7.9000000000000000e+01,7.8000000000000000e+01,"T",13875077.0000,13606800.0000,28878360.0000,20785836.0000,1273412.0000,28442655.0000,63600.0000,63600.0000,972300.0000,972300.0000,-472995.0000,-999453.0000,-472995.0000,15148421.9630,8805000.0000,23953421.9630,205274.0000,400000.0000,1572466.0000,1367192.0000,1465744.0000,2179636.0000,13552260.0000,13332848.0000,9.8380993280825491e-01,13842632.0000,13477565.0000,9.7362734196791478e-01,"Aa3",4.4460000000000001e+01,511771069.0000,750689946.0000,5.6000000000000000e+01,1.5609756097560976e-02,2.6129999999999999e+01,2.0465800000000002e+03,21315
"MARLBOROUGH",2.0010000000000000e+03,8.0000000000000000e+01,7.9000000000000000e+01,"H",3129938.0000,9421026.0000,12997535.0000,9102591.0000,751262.0000,12573654.0000,0.0000,0.0000,360301.0000,360301.0000,63580.0000,31566.0000,63580.0000,5622337.8861,3940000.0000,9562337.8861,298489.0000,525000.0000,1999721.0000,1701232.0000,,,9352550.0000,9241454.0000,9.8812131450780805e-01,9593754.0000,9362642.0000,9.7591015988110597e-01,"A1",2.3280000000000001e+01,291514487.0000,496439497.0000,4.0000000000000000e+00,1.9373587342589604e-02,3.1500000000000000e+01,1.1357900000000000e+03,5865
"MERIDEN",2.0010000000000000e+03,8.1000000000000000e+01,8.0000000000000000e+01,"NH",58055306.0000,77363055.0000,141245870.0000,64467649.0000,17315907.0000,137261101.0000,0.0000,224230.0000,887238.0000,887238.0000,3097531.0000,1529559.0000,3321761.0000,,67129956.0000,67129956.0000,782212.0000,670000.0000,3348446.0000,2566234.0000,77810901.0000,-378729.0000,78320908.0000,74409841.0000,9.5006356412517590e-01,90975336.0000,77269853.0000,8.4934946544193035e-01,"Baa1",2.3740000000000002e+01,1915906165.0000,2978826943.0000,1.9990000000000000e+03,4.1380887059899403e-02,4.0399999999999999e+01,9.1428899999999994e+03,56451
"MIDDLEBURY",2.0010000000000000e+03,8.2000000000000000e+01,8.1000000000000000e+01,"NH",354753.0000,15976963.0000,17179953.0000,9709278.0000,994248.0000,16708142.0000,334036.0000,334036.0000,636499.0000,636499.0000,169348.0000,378026.0000,169348.0000,4692723.4073,4539532.0000,9232255.4073,0.0000,83274.0000,1760824.0000,1760824.0000,,,15890559.0000,15710336.0000,9.8865848583426175e-01,16277728.0000,15916002.0000,9.7777785695890729e-01,"A1",1.7750000000000000e+01,491681365.0000,877211551.0000,1.1000000000000000e+01,2.7356526910496580e-02,3.2049999999999997e+01,1.1452200000000000e+03,6613
"MIDDLEFIELD",2.0010000000000000e+03,8.3000000000000000e+01,8.2000000000000000e+01,"M",1699255.0000,7214893.0000,9453210.0000,6812851.0000,91676.0000,9011271.0000,18273.0000,18273.0000,407014.0000,407014.0000,53198.0000,-200957.0000,53198.0000,6834690.2777,3336712.0000,10171402.2777,0.0000,416706.0000,1119678.0000,1119678.0000,,,7131751.0000,7024079.0000,9.8490244541627991e-01,7361005.0000,7129805.0000,9.6859124535304619e-01,"A3",1.2700000000000001e+01,232688070.0000,386827280.0000,9.0000000000000000e+00,3.1919545255793616e-02,3.0280000000000001e+01,7.3230000000000007e+02,4322
"MIDDLETOWN",2.0010000000000000e+03,8.4000000000000000e+01,8.3000000000000000e+01,"M",28057000.0000,59169000.0000,91376000.0000,47218000.0000,13740000.0000,77454000.0000,816000.0000,816000.0000,13864000.0000,13864000.0000,874000.0000,-993000.0000,874000.0000,,67015000.0000,67015000.0000,1245000.0000,1671000.0000,6168000.0000,4923000.0000,,3598000.0000,62680000.0000,61263000.0000,9.7739310784939371e-01,64636000.0000,62405000.0000,9.6548363141283500e-01,"Aa3",4.0890000000000001e+01,2009881721.0000,3175667191.0000,6.9800000000000000e+02,3.2386503571135372e-02,2.9000000000000000e+01,5.0425000000000000e+03,45612
"MILFORD",2.0010000000000000e+03,8.5000000000000000e+01,8.4000000000000000e+01,"NH",19949231.0000,97045163.0000,123444977.0000,67800638.0000,8249565.0000,121515914.0000,0.0000,362858.0000,1560080.0000,1560080.0000,368983.0000,-2306747.0000,731841.0000,,58172968.0000,58172968.0000,1402978.0000,3000000.0000,11344515.0000,9941537.0000,3793788.0000,4281967.0000,97214504.0000,95007433.0000,9.7729689594466274e-01,104041392.0000,97031159.0000,9.3262073041083493e-01,"Aa2",2.2559999999999999e+01,3137095438.0000,5479657846.0000,2.8600000000000000e+02,3.1534080193127381e-02,3.0890000000000001e+01,7.4259899999999998e+03,52204
"MONROE",2.0010000000000000e+03,8.6000000000000000e+01,8.5000000000000000e+01,"F",9554469.0000,36639955.0000,48489736.0000,33612907.0000,3092961.0000,48373826.0000,122611.0000,122611.0000,493534.0000,493534.0000,-255013.0000,-21969.0000,-255013.0000,,22488305.0000,22488305.0000,507857.0000,995000.0000,5747635.0000,5239778.0000,,106920.0000,36509004.0000,35842498.0000,9.8174406510788403e-01,37360181.0000,36295808.0000,9.7151049669700473e-01,"Aa2",2.6109999999999999e+01,1367749220.0000,1964627529.0000,1.9000000000000000e+01,2.8523323759532534e-02,2.6530000000000001e+01,3.9771199999999999e+03,19450
"MONTVILLE",2.0010000000000000e+03,8.7000000000000000e+01,8.6000000000000000e+01,"NL",15850034.0000,21449011.0000,41470397.0000,27888275.0000,2846615.0000,41325502.0000,70125.0000,288934.0000,257776.0000,257776.0000,-42756.0000,603814.0000,176053.0000,,18099226.0000,18099226.0000,1111067.0000,900000.0000,5712053.0000,4600986.0000,30713257.0000,-818083.0000,21262681.0000,20771715.0000,9.7690949697265361e-01,23073853.0000,21561588.0000,9.3445979741658236e-01,"Aa3",4.2009999999999998e+01,790299571.0000,1209448267.0000,1.0900000000000000e+02,2.5942925563759728e-02,2.6900000000000002e+01,3.0662400000000002e+03,19076
"MORRIS",2.0010000000000000e+03,8.8000000000000000e+01,8.7000000000000000e+01,"L",787278.0000,4822421.0000,5795765.0000,4007888.0000,0.0000,5523091.0000,0.0000,0.0000,200000.0000,200000.0000,72674.0000,117132.0000,72674.0000,3515925.0096,0.0000,3515925.0096,84440.0000,425000.0000,619758.0000,535318.0000,2362775.0000,,4791265.0000,4708509.0000,9.8272773474228625e-01,4927294.0000,4799368.0000,9.7403727076159852e-01,,1.7190000000000001e+01,179559915.0000,285023341.0000,3.0000000000000000e+00,3.0728709394205442e-02,2.6480000000000000e+01,4.0211000000000001e+02,2350
"NAUGATUCK",2.0010000000000000e+03,8.9000000000000000e+01,8.8000000000000000e+01,"NH",31949424.0000,34961697.0000,71507404.0000,40780078.0000,4604949.0000,70281791.0000,133610.0000,133610.0000,873933.0000,873933.0000,485290.0000,2550145.0000,485290.0000,,21471045.0000,21471045.0000,768822.0000,0.0000,8958954.0000,8190132.0000,,-1307084.0000,34521030.0000,32775295.0000,9.4942981133529325e-01,38271818.0000,34023155.0000,8.8898716543854805e-01,"A1",1.6390000000000001e+01,593619710.0000,1747827045.0000,3.7400000000000000e+02,4.1516027958544227e-02,5.5600000000000001e+01,5.6871900000000005e+03,31048
"NEW BRITAIN",2.0010000000000000e+03,9.0000000000000000e+01,8.9000000000000000e+01,"H",84219706.0000,75872466.0000,168933238.0000,88445101.0000,26554284.0000,142599894.0000,6075675.0000,6075675.0000,29606160.0000,30101160.0000,2802859.0000,1007263.0000,2307859.0000,,223975000.0000,223975000.0000,1017307.0000,0.0000,5742007.0000,4724700.0000,19994448.0000,1273626.0000,74902732.0000,72235897.0000,9.6439602496742038e-01,82648840.0000,74585924.0000,9.0244368825987153e-01,"A3",1.3340000000000000e+01,1484294781.0000,2352215676.0000,3.6420000000000000e+03,5.4397677793904212e-02,4.9980000000000004e+01,1.0408050000000001e+04,71665
"NEW CANAAN",2.0010000000000000e+03,9.1000000000000000e+01,9.0000000000000000e+01,"F",3088762.0000,61977646.0000,69068826.0000,40481088.0000,6272029.0000,69317980.0000,52371.0000,455493.0000,2072500.0000,2072500.0000,-2269283.0000,2984838.0000,-1866161.0000,,67076811.0000,67076811.0000,631208.0000,1883818.0000,6457703.0000,5826495.0000,349538.0000,1206355.0000,62035402.0000,61427752.0000,9.9020478661522982e-01,63195466.0000,61706364.0000,9.7643656904120302e-01,"Aaa",2.2120000000000001e+01,3130200040.0000,6522294223.0000,1.2000000000000000e+01,1.4869501923676823e-02,1.9699999999999999e+01,3.7630500000000002e+03,19882
"NEW FAIRFIELD",2.0010000000000000e+03,9.2000000000000000e+01,9.1000000000000000e+01,"F",6525559.0000,26654657.0000,34352628.0000,21218373.0000,2708693.0000,33306908.0000,7797.0000,7797.0000,418900.0000,418900.0000,634617.0000,399538.0000,634617.0000,,20245514.0000,20245514.0000,784798.0000,0.0000,3511925.0000,2727127.0000,,302449.0000,26550021.0000,26343484.0000,9.9222083477824741e-01,26815013.0000,26531078.0000,9.8941134207169690e-01,"Aa3",2.0460000000000001e+01,912485605.0000,1677801950.0000,2.0000000000000000e+01,2.4909040022390149e-02,2.8930000000000000e+01,2.9633400000000001e+03,14338
"NEW HARTFORD",2.0010000000000000e+03,9.3000000000000000e+01,9.2000000000000000e+01,"L",3320258.0000,11418961.0000,15180477.0000,10688245.0000,559204.0000,14635055.0000,75000.0000,75000.0000,91773.0000,91773.0000,528649.0000,411579.0000,528649.0000,6189980.3476,4965460.0000,11155440.3476,0.0000,713000.0000,1960614.0000,1960614.0000,3910397.0000,,11153451.0000,10943026.0000,9.8113364195530151e-01,11695489.0000,11174518.0000,9.5545538968058541e-01,"A2",3.7020000000000003e+01,374590687.0000,541318211.0000,1.6000000000000000e+01,2.2499322309568987e-02,2.9500000000000000e+01,1.1677000000000000e+03,6202
"NEW HAVEN",2.0010000000000000e+03,9.4000000000000000e+01,9.3000000000000000e+01,"NH",196076728.0000,133758527.0000,349341639.0000,150798608.0000,39259752.0000,345502026.0000,0.0000,0.0000,840000.0000,840000.0000,2999613.0000,-653129.0000,2999613.0000,,349374907.0000,349374907.0000,0.0000,3900000.0000,20332114.0000,20332114.0000,89438118.0000,-7048474.0000,127776724.0000,121498389.0000,9.5086479913196087e-01,148263370.0000,127514901.0000,8.6005667482129944e-01,"A3",1.8850000000000001e+01,3708870678.0000,4297003290.0000,1.0420000000000000e+04,4.2741810545160346e-02,3.4950000000000003e+01,1.9631950000000001e+04,124988
"NEW LONDON",2.0010000000000000e+03,9.5000000000000000e+01,9.5000000000000000e+01,"NL",36688577.0000,26582652.0000,68486974.0000,33325469.0000,4394901.0000,66705922.0000,419.0000,7904.0000,2068533.0000,2068533.0000,-287062.0000,52931.0000,-279577.0000,,29400815.0000,29400815.0000,133363.0000,3688147.0000,9436994.0000,9303631.0000,46917399.0000,,27107945.0000,26091117.0000,9.6248966861929219e-01,30191952.0000,27192883.0000,9.0066660810801502e-01,"A1",5.5400000000000000e+00,809098300.0000,1163418910.0000,1.0590000000000000e+03,3.9724301489661308e-02,3.3500000000000000e+01,3.3992900000000000e+03,25653
"NEW MILFORD",2.0010000000000000e+03,9.6000000000000000e+01,9.6000000000000000e+01,"L",16323120.0000,44396990.0000,67201440.0000,39187396.0000,8976117.0000,67973300.0000,1133366.0000,1143366.0000,2762191.0000,2762191.0000,-2400685.0000,3925081.0000,-2390685.0000,,78739046.0000,78739046.0000,5241824.0000,5610600.0000,15035397.0000,9793573.0000,14926921.0000,1319311.0000,43886415.0000,42753655.0000,9.7418882358014436e-01,46757348.0000,43696240.0000,9.3453204403295076e-01,"Aa2",6.1579999999999998e+01,1498518620.0000,2611298202.0000,9.3000000000000000e+01,2.4330042313117067e-02,2.9109999999999999e+01,5.1435400000000000e+03,27704
"NEWINGTON",2.0010000000000000e+03,9.7000000000000000e+01,9.4000000000000000e+01,"H",13677988.0000,47027999.0000,63572825.0000,37380044.0000,2600109.0000,60892358.0000,72222.0000,72222.0000,2678754.0000,2678754.0000,73935.0000,179632.0000,73935.0000,,15324825.0000,15324825.0000,993161.0000,2250000.0000,10130275.0000,9137114.0000,,2431839.0000,46864940.0000,46315584.0000,9.8827788961214924e-01,47952514.0000,46772509.0000,9.7539221822655642e-01,"Aa3",1.3170000000000000e+01,1684667425.0000,2395229897.0000,9.5000000000000000e+01,2.6231810058718406e-02,2.7750000000000000e+01,4.4604300000000003e+03,29349
"NEWTOWN",2.0010000000000000e+03,9.8000000000000000e+01,9.7000000000000000e+01,"F",11196892.0000,51395561.0000,66408327.0000,40965591.0000,6584287.0000,65266694.0000,700000.0000,700000.0000,467327.0000,691080.0000,1374306.0000,-833537.0000,1150553.0000,,44572952.0000,44572952.0000,1763649.0000,2774862.0000,6897466.0000,5133817.0000,31342837.0000,-18727.0000,51246103.0000,50283281.0000,9.8121180063194269e-01,52814482.0000,50849074.0000,9.6278657054707073e-01,"Aa3",5.7740000000000002e+01,1724149800.0000,3114739360.0000,2.4000000000000000e+01,2.4266856374990119e-02,2.9500000000000000e+01,5.0440600000000004e+03,25355
"NORFOLK",2.0010000000000000e+03,9.9000000000000000e+01,9.8000000000000000e+01,"L",949934.0000,3815632.0000,4989270.0000,3053417.0000,207268.0000,5075576.0000,135955.0000,135955.0000,187052.0000,187052.0000,-137403.0000,61895.0000,-137403.0000,1348482.8834,905000.0000,2253482.8834,0.0000,325000.0000,1023706.0000,1023706.0000,,,3779490.0000,3687936.0000,9.7577609677496169e-01,3925536.0000,3770731.0000,9.6056462098424267e-01,"A3",4.5300000000000004e+01,159105690.0000,229289157.0000,4.0000000000000000e+00,2.3126734505087881e-02,2.3570000000000000e+01,2.7805000000000001e+02,1781
"NORTH BRANFORD",2.0010000000000000e+03,1.0000000000000000e+02,9.9000000000000000e+01,"NH",10302654.0000,20010534.0000,31321422.0000,20298569.0000,2978237.0000,32047757.0000,500253.0000,500253.0000,498624.0000,498624.0000,-724706.0000,2842.0000,-724706.0000,,28463919.0000,28463919.0000,73924.0000,650000.0000,2506838.0000,2432914.0000,,,19824517.0000,19510932.0000,9.8418196014561166e-01,20324163.0000,19712466.0000,9.6990296722182356e-01,"A1",2.4920000000000002e+01,666591675.0000,1095203330.0000,4.9000000000000000e+01,2.5404433792690233e-02,2.9620000000000001e+01,2.5390000000000000e+03,13849
"NORTH CANAAN",2.0010000000000000e+03,1.0100000000000000e+02,1.0000000000000000e+02,"L",2718574.0000,4512889.0000,7542861.0000,5501084.0000,465866.0000,7455002.0000,0.0000,0.0000,25358.0000,25358.0000,62501.0000,-79256.0000,62501.0000,358230.5951,2550090.0000,2908320.5951,0.0000,93802.0000,595392.0000,595392.0000,,,4439421.0000,4335845.0000,9.7666902958741697e-01,4758835.0000,4504965.0000,9.4665290979830152e-01,"A3",1.9449999999999999e+01,192906930.0000,312020559.0000,2.2000000000000000e+01,1.9096413600372612e-02,2.2800000000000001e+01,5.2837000000000000e+02,3221
"NORTH HAVEN",2.0010000000000000e+03,1.0200000000000000e+02,1.0100000000000000e+02,"NH",7636235.0000,48408305.0000,61323212.0000,31886556.0000,3704266.0000,60704266.0000,154946.0000,154946.0000,817075.0000,817075.0000,-43183.0000,-1370890.0000,-43183.0000,,35177100.0000,35177100.0000,3557914.0000,600000.0000,8483130.0000,4925216.0000,,,47858594.0000,46207119.0000,9.6549261351054316e-01,52223060.0000,47507964.0000,9.0971237610358335e-01,"Aa3",2.0780000000000001e+01,1885597198.0000,2901127977.0000,9.0000000000000000e+01,2.3721040562979363e-02,2.5340000000000000e+01,3.7288699999999999e+03,23573
"NORTH STONINGTON",2.0010000000000000e+03,1.0300000000000000e+02,1.0200000000000000e+02,"NL",4697615.0000,8548999.0000,13737967.0000,8648762.0000,1119505.0000,13502632.0000,0.0000,0.0000,146536.0000,146536.0000,88799.0000,460392.0000,88799.0000,,7098340.0000,7098340.0000,339574.0000,0.0000,1648764.0000,1309190.0000,,,8488635.0000,8255806.0000,9.7257167966345592e-01,8819923.0000,8434392.0000,9.5628862066029374e-01,,5.4300000000000004e+01,317556267.0000,450247584.0000,2.2000000000000000e+01,2.5862068965517241e-02,2.6500000000000000e+01,8.8195000000000005e+02,5048
"NORWALK",2.0010000000000000e+03,1.0400000000000000e+02,1.0300000000000000e+02,"F",25417820.0000,167877086.0000,207591803.0000,109202527.0000,17795690.0000,202230619.0000,0.0000,0.0000,0.0000,0.0000,5361184.0000,-141652.0000,5361184.0000,,129091569.0000,129091569.0000,2585752.0000,3750000.0000,21683575.0000,19097823.0000,,227166.0000,166944785.0000,163724267.0000,9.8070908294619685e-01,174679460.0000,168916096.0000,9.6700605783874072e-01,"Aaa",2.2800000000000001e+01,4212680891.0000,9035555854.0000,1.1320000000000000e+03,2.7758021580540936e-02,4.2750000000000000e+01,1.0941680000000000e+04,82617
"NORWICH",2.0010000000000000e+03,1.0500000000000000e+02,1.0400000000000000e+02,"NL",34788186.0000,39215733.0000,84714528.0000,49924409.0000,5738925.0000,81081427.0000,308811.0000,13318811.0000,2333718.0000,15342077.0000,1608194.0000,151317.0000,1609835.0000,,42830031.0000,42830031.0000,222574.0000,2933794.0000,8162899.0000,7940325.0000,80375719.0000,1487003.0000,38418703.0000,36648393.0000,9.5392062038117220e-01,42773831.0000,38351230.0000,8.9660498261191524e-01,"A1",2.8330000000000002e+01,1132024310.0000,1647368641.0000,9.3500000000000000e+02,3.5060502637294447e-02,3.4030000000000001e+01,5.5361300000000001e+03,36268
"OLD LYME",2.0010000000000000e+03,1.0600000000000000e+02,1.0500000000000000e+02,"NL",641666.0000,18230040.0000,20056672.0000,14123518.0000,485205.0000,19651281.0000,171799.0000,171799.0000,440166.0000,440166.0000,137024.0000,385448.0000,137024.0000,8658449.9307,1370500.0000,10028949.9307,190500.0000,400000.0000,3620666.0000,3430166.0000,,,18063484.0000,17816139.0000,9.8630690513524411e-01,18475121.0000,18094554.0000,9.7940110919977197e-01,"Aa2",2.3100000000000001e+01,834754992.0000,1253570329.0000,1.6000000000000000e+01,1.7593064762876084e-02,2.1500000000000000e+01,1.2686800000000001e+03,7480
"OLD SAYBROOK",2.0010000000000000e+03,1.0700000000000000e+02,1.0600000000000000e+02,"M",2566831.0000,20524694.0000,24716183.0000,13044054.0000,2209255.0000,23698177.0000,0.0000,0.0000,909799.0000,909799.0000,108207.0000,1081588.0000,108207.0000,,16725000.0000,16725000.0000,617420.0000,335958.0000,3301365.0000,2683945.0000,,,20807876.0000,20482457.0000,9.8436077762093543e-01,21422099.0000,20723322.0000,9.6738055407175549e-01,"A2",1.5030000000000001e+01,1075388094.0000,1557765720.0000,2.3000000000000000e+01,1.7710944026733500e-02,1.9300000000000001e+01,1.5831800000000001e+03,10517
"ORANGE",2.0010000000000000e+03,1.0800000000000000e+02,1.0700000000000000e+02,"NH",2517688.0000,31863670.0000,36119965.0000,23159522.0000,1654043.0000,36786612.0000,461022.0000,525787.0000,323000.0000,323000.0000,-528625.0000,-545681.0000,-463860.0000,11524800.0000,15490406.0000,27015206.0000,184694.0000,0.0000,2274056.0000,2089362.0000,8968364.0000,1039439.0000,31755327.0000,31474464.0000,9.9115540520177925e-01,32146945.0000,31687679.0000,9.8571354136450606e-01,"Aa2",1.7180000000000000e+01,1243920521.0000,1871269974.0000,1.2000000000000000e+01,2.0080923123033119e-02,2.5500000000000000e+01,2.4142100000000000e+03,13472
"OXFORD",2.0010000000000000e+03,1.0900000000000000e+02,1.0800000000000000e+02,"NH",5476066.0000,16357900.0000,23152712.0000,15133101.0000,1938893.0000,21998872.0000,33164.0000,33164.0000,850000.0000,850000.0000,337004.0000,-132697.0000,337004.0000,,12758000.0000,12758000.0000,0.0000,0.0000,1736794.0000,1736794.0000,,,16572120.0000,15230661.0000,9.1905326536375553e-01,21817120.0000,16036273.0000,7.3503161737204548e-01,"A1",3.2880000000000003e+01,502750331.0000,964755572.0000,1.9000000000000000e+01,3.1960663798401970e-02,3.2689999999999998e+01,1.7831500000000001e+03,10173
"PLAINFIELD",2.0010000000000000e+03,1.1000000000000000e+02,1.0900000000000000e+02,"W",19543195.0000,12962084.0000,33671492.0000,23908548.0000,3414064.0000,33452428.0000,0.0000,359283.0000,0.0000,0.0000,219064.0000,401441.0000,578347.0000,,17360354.0000,17360354.0000,35555.0000,655318.0000,4166584.0000,4131029.0000,8013021.0000,249330.0000,12508414.0000,12023529.0000,9.6123529329937429e-01,13851389.0000,12681635.0000,9.1554969685711662e-01,"A3",4.2259999999999998e+01,476580750.0000,753221890.0000,2.3600000000000000e+02,3.4521533790621839e-02,2.5900000000000002e+01,2.6995000000000000e+03,14705
"PLAINVILLE",2.0010000000000000e+03,1.1100000000000000e+02,1.1000000000000000e+02,"H",11515251.0000,27150977.0000,40133621.0000,23944006.0000,2729185.0000,37587708.0000,596449.0000,596449.0000,1691331.0000,1691331.0000,1451031.0000,501461.0000,1451031.0000,,14166450.0000,14166450.0000,1144272.0000,2000000.0000,6833115.0000,5688843.0000,,2446194.0000,26635068.0000,25963345.0000,9.7478050365780933e-01,28390929.0000,26831564.0000,9.4507523864400489e-01,"A1",9.7400000000000002e+00,897577335.0000,1235429821.0000,1.1500000000000000e+02,3.5607993197278913e-02,2.9390000000000001e+01,2.6793200000000002e+03,17335
"PLYMOUTH",2.0010000000000000e+03,1.1200000000000000e+02,1.1100000000000000e+02,"L",10991315.0000,16357651.0000,28925982.0000,16873861.0000,2277918.0000,27303133.0000,343000.0000,343000.0000,1715809.0000,1715809.0000,250040.0000,-415150.0000,250040.0000,,18222682.0000,18222682.0000,195369.0000,150000.0000,1025992.0000,830623.0000,,207985.0000,16308977.0000,15658432.0000,9.6011123199204951e-01,17535631.0000,16068140.0000,9.1631376139244713e-01,"A2",2.1719999999999999e+01,448089185.0000,726439148.0000,7.6000000000000000e+01,4.0916782033533300e-02,3.6300000000000004e+01,2.0711900000000001e+03,11717
"POMFRET",2.0010000000000000e+03,1.1300000000000000e+02,1.1200000000000000e+02,"W",3386880.0000,4160285.0000,7864435.0000,5555282.0000,643878.0000,7218749.0000,7238.0000,7238.0000,492330.0000,492330.0000,160594.0000,-31898.0000,160594.0000,,2905000.0000,2905000.0000,152932.0000,154000.0000,1034543.0000,881611.0000,,,4112003.0000,4049941.0000,9.8490711217866334e-01,4206061.0000,4113420.0000,9.7797440408020708e-01,"A3",4.0289999999999999e+01,180829079.0000,274313577.0000,7.0000000000000000e+00,2.4578971324533454e-02,2.2350000000000001e+01,7.3163999999999999e+02,3836
"PORTLAND",2.0010000000000000e+03,1.1400000000000000e+02,1.1300000000000000e+02,"M",4567358.0000,14725496.0000,20263132.0000,12572647.0000,1496866.0000,19150852.0000,0.0000,0.0000,554084.0000,554084.0000,558196.0000,-680209.0000,558196.0000,,13062111.0000,13062111.0000,0.0000,0.0000,1383833.0000,1383833.0000,,-597946.0000,14627719.0000,14224892.0000,9.7246139333138681e-01,15460649.0000,14507302.0000,9.3833719399489635e-01,"A2",2.3400000000000002e+01,447329218.0000,717842200.0000,4.0000000000000000e+01,2.6974951830443159e-02,3.2460000000000001e+01,1.3918199999999999e+03,9293
