Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2013 Population,Moody's_Bond_Ratings_July_2013,area lmt,ACGLFY13,EGL,TANF13 Recipients,empl,ACMR,enrollmt
"DANBURY","JG",2.0130000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",151177310.0000,-12680960.0000,139773837.0000,-2948909.0000,564758.0000,0.0000,909216.0000,4833247.0000,28464602.0000,22157381.0000,27899844.0000,"N",45650430.0000,175594707.0000,232382745.0000,130444875.0000,16942045.0000,233930911.0000,1224665.0000,15908895.0000,463697.0000,14188983.0000,-787198.0000,99311.0000,171746.0000,0.0000,"N","N",,151317868.0000,151317868.0000,176286931.0000,173718207.0000,9.8542873266084596e-01,182064377.0000,175489035.0000,9.6388452201168384e-01,8.3684000000000000e+04,"Aa1",4.2109999999999999e+01,7862871107.0000,9161036487.1900,4.3500000000000000e+02,6.1318690934546727e-02,2.2449999999999999e+01,1.0727080000000000e+04
"DARIEN","JG",2.0130000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",97748548.0000,26100911.0000,125318523.0000,6311813.0000,658537.0000,0.0000,0.0000,1410002.0000,19472937.0000,17404398.0000,18814400.0000,"N",13371459.0000,112058320.0000,131359478.0000,90216733.0000,10879666.0000,128079499.0000,649934.0000,649934.0000,2993270.0000,2993270.0000,936643.0000,807106.0000,936643.0000,0.0000,"N","Y",,89434453.0000,89434453.0000,111676352.0000,111114057.0000,9.9496495909895055e-01,112829458.0000,111513314.0000,9.8833510305438144e-01,2.1330000000000000e+04,"Aaa",1.2859999999999999e+01,8856220791.0000,11544162951.9800,1.5000000000000000e+01,6.1065031854790237e-02,1.2680000000000000e+01,4.8744200000000001e+03
"DEEP RIVER","MR",2.0130000000000000e+03,3.6000000000000000e+01,3.6000000000000000e+01,"M",12278719.0000,-1278355.0000,11072065.0000,244434.0000,0.0000,0.0000,0.0000,57469.0000,145316.0000,87847.0000,145316.0000,"N",3307898.0000,11959196.0000,15833187.0000,10720924.0000,192324.0000,16031505.0000,20000.0000,20000.0000,0.0000,0.0000,-178318.0000,97409.0000,-178318.0000,0.0000,"N","N",4056723.0304,218787.0000,4275510.0304,11960854.0000,11724949.0000,9.8027690999321615e-01,12279033.0000,11922662.0000,9.7097727483915064e-01,4.5890000000000000e+03,,1.3550000000000001e+01,482257259.0000,682594876.0100,1.1000000000000000e+01,5.7801418439716312e-02,2.4680000000000000e+01,6.5600000000000000e+02
"DERBY","MR",2.0130000000000000e+03,3.7000000000000000e+01,3.7000000000000000e+01,"NH",49862981.0000,-7589814.0000,42280709.0000,409593.0000,0.0000,0.0000,0.0000,0.0000,1993243.0000,1993243.0000,1993243.0000,"N",13667576.0000,26452229.0000,42672131.0000,19314326.0000,1401400.0000,41830842.0000,0.0000,0.0000,490643.0000,490643.0000,350646.0000,-91512.0000,350646.0000,0.0000,"N","N",,9287209.0000,9287209.0000,26464684.0000,25607788.0000,9.6762115126709991e-01,27972921.0000,26090137.0000,9.3269262083856030e-01,1.2801000000000000e+04,"Aa3",4.9800000000000004e+00,745348974.0000,1066521234.2900,1.4200000000000000e+02,8.9556592765460907e-02,3.5500000000000000e+01,1.6131900000000001e+03
"DURHAM","MR",2.0130000000000000e+03,3.8000000000000000e+01,3.8000000000000000e+01,"M",39515153.0000,3815887.0000,43362568.0000,214820.0000,2500.0000,0.0000,0.0000,168568.0000,2069784.0000,1898716.0000,2067284.0000,"N",4575747.0000,23550213.0000,28562809.0000,22540262.0000,0.0000,28647477.0000,476181.0000,582830.0000,352422.0000,352422.0000,39091.0000,-148243.0000,145740.0000,0.0000,"N","N",8552622.0000,122084.0000,8674706.0000,23556829.0000,23244987.0000,9.8676214018448749e-01,23944016.0000,23398453.0000,9.7721505866016800e-01,7.3610000000000000e+03,,2.3600000000000001e+01,732475338.0000,1028249574.8800,3.0000000000000000e+00,5.3541814735844587e-02,3.2189999999999998e+01,1.3041800000000001e+03
"EAST GRANBY","JG",2.0130000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",23161545.0000,3395080.0000,27588686.0000,3277587.0000,40693.0000,0.0000,0.0000,762125.0000,3476597.0000,2673779.0000,3435904.0000,"N",2895160.0000,15842203.0000,19098133.0000,13829200.0000,173068.0000,18429255.0000,0.0000,0.0000,415427.0000,415427.0000,253451.0000,211383.0000,253451.0000,0.0000,"N","N",,7200000.0000,7200000.0000,15697821.0000,15451144.0000,9.8428590821617856e-01,16194643.0000,15715876.0000,9.7043670552046135e-01,5.2120000000000000e+03,"Aa2",1.7480000000000000e+01,573755871.0000,764970437.4500,1.1000000000000000e+01,5.4606365159128978e-02,2.7300000000000001e+01,9.0136000000000001e+02
"EAST HADDAM","MR",2.0130000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",53699262.0000,15718829.0000,69857884.0000,2727682.0000,0.0000,0.0000,0.0000,669928.0000,4680658.0000,4010730.0000,4680658.0000,"N",7132706.0000,21408513.0000,29415368.0000,20393896.0000,1993004.0000,29630539.0000,412911.0000,412911.0000,1350524.0000,1350524.0000,-1152784.0000,-47418.0000,-1152784.0000,0.0000,"N","N",,17271528.0000,17271528.0000,21253861.0000,21013584.0000,9.8869490112878788e-01,21664700.0000,21255629.0000,9.8111808610320017e-01,9.1470000000000000e+03,,5.4329999999999998e+01,988069591.0000,1236067713.8900,9.0000000000000000e+00,6.4641109298531813e-02,2.1520000000000000e+01,1.2938599999999999e+03
"EAST HAMPTON","JG",2.0130000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",69287816.0000,11940565.0000,83469381.0000,1778194.0000,0.0000,0.0000,0.0000,0.0000,4873812.0000,4873812.0000,4873812.0000,"N",11747385.0000,29330074.0000,41599776.0000,29894213.0000,1202021.0000,40296351.0000,0.0000,0.0000,1010768.0000,1010768.0000,292657.0000,230501.0000,292657.0000,0.0000,"N","N",,8576611.0000,8576611.0000,29347660.0000,28659192.0000,9.7654095760956749e-01,30411616.0000,29051194.0000,9.5526636927153097e-01,1.2912000000000000e+04,"Aa3",3.5590000000000003e+01,1125663813.0000,1533936946.5800,3.2000000000000000e+01,6.2324836514079808e-02,2.5969999999999999e+01,1.9709000000000001e+03
"EAST HARTFORD","JG",2.0130000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",115911000.0000,-30577000.0000,85505000.0000,-6781000.0000,0.0000,0.0000,0.0000,1338000.0000,14626000.0000,13288000.0000,14626000.0000,"N",59947000.0000,115890000.0000,184846000.0000,100759000.0000,10162000.0000,184226000.0000,512000.0000,13818000.0000,1835000.0000,15023000.0000,-703000.0000,1693000.0000,-585000.0000,0.0000,"N","Y",,53495000.0000,53495000.0000,115155000.0000,111797000.0000,9.7083930354739267e-01,119528000.0000,114429000.0000,9.5734053945519038e-01,5.1199000000000000e+04,"Aa2",1.8020000000000000e+01,2692719154.0000,3849203342.8600,9.4000000000000000e+02,1.0026991537788153e-01,4.2789999999999999e+01,8.0352200000000003e+03
"EAST HAVEN","BP",2.0130000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",51037398.0000,-20675727.0000,32364340.0000,-3570993.0000,0.0000,0.0000,0.0000,0.0000,1600450.0000,1600450.0000,1600450.0000,"N",26362443.0000,61664960.0000,90443557.0000,48455006.0000,7516499.0000,89279677.0000,0.0000,0.0000,1273.0000,1273.0000,1162607.0000,237043.0000,1162607.0000,0.0000,"N","Y",,41941360.0000,41941360.0000,60631831.0000,59178695.0000,9.7603344685401305e-01,63719197.0000,60340517.0000,9.4697547742166310e-01,2.9121000000000000e+04,"A3",1.2260000000000000e+01,1970326497.0000,2818987195.7100,2.2600000000000000e+02,8.6684938491937022e-02,3.0949999999999999e+01,3.6412100000000000e+03
"EAST LYME","JG",2.0130000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",56977483.0000,17058422.0000,74043495.0000,-309733.0000,0.0000,0.0000,0.0000,1325242.0000,6250398.0000,4925156.0000,6250398.0000,"N",13148147.0000,46487710.0000,66155415.0000,46632038.0000,12220780.0000,67354822.0000,1687976.0000,1687976.0000,199195.0000,199195.0000,289374.0000,606059.0000,289374.0000,0.0000,"N","N",,47016174.0000,47016174.0000,46344139.0000,45657823.0000,9.8519087818202855e-01,47606326.0000,46199976.0000,9.7045875793901848e-01,1.8937000000000000e+04,"Aa2",3.4030000000000001e+01,2046376158.0000,2925132152.8600,3.1000000000000000e+01,6.9672131147540978e-02,2.2780000000000001e+01,2.7353699999999999e+03
"EAST WINDSOR","BP",2.0130000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",45436678.0000,9279185.0000,54805472.0000,1794412.0000,0.0000,0.0000,6160.0000,412699.0000,6272482.0000,5853623.0000,6272482.0000,"N",8842174.0000,27489393.0000,36833211.0000,22517698.0000,1396258.0000,35466465.0000,0.0000,0.0000,610820.0000,610820.0000,755926.0000,1580697.0000,755926.0000,0.0000,"N","N",,7102960.0000,7102960.0000,27063848.0000,26486219.0000,9.7865680445737058e-01,28538070.0000,27150255.0000,9.5136969668936966e-01,1.1406000000000000e+04,"Aa2",2.6280000000000001e+01,1091167948.0000,1313333289.1300,4.7000000000000000e+01,7.9490004722178501e-02,2.4726299999999998e+01,1.3643299999999999e+03
"EASTFORD","BP",2.0130000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",3981845.0000,773171.0000,4845637.0000,754024.0000,0.0000,523.0000,0.0000,109643.0000,1355283.0000,1245117.0000,1354760.0000,"N",1614493.0000,3485224.0000,5192794.0000,3864869.0000,58063.0000,5185600.0000,23873.0000,274609.0000,26000.0000,26000.0000,5067.0000,82905.0000,255803.0000,0.0000,"N","N",,333111.0000,333111.0000,3506535.0000,3406808.0000,9.7155967358089967e-01,3618002.0000,3460078.0000,9.5635049400193806e-01,1.7360000000000000e+03,,2.8879999999999999e+01,162723350.0000,185964068.9199,0.0000000000000000e+00,6.4017660044150104e-02,2.1500000000000000e+01,2.1750000000000000e+02
"EASTON","BP",2.0130000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",58183501.0000,5842197.0000,64025698.0000,1305935.0000,0.0000,0.0000,0.0000,382200.0000,3950500.0000,3568300.0000,3950500.0000,"N",2596232.0000,37901617.0000,41833448.0000,27263689.0000,3215403.0000,41619023.0000,111051.0000,111051.0000,552195.0000,552195.0000,-226719.0000,367239.0000,-226719.0000,0.0000,"N","N",7998709.6351,25614254.0000,33612963.6351,38098917.0000,37507925.0000,9.8448795801728428e-01,39166819.0000,37703923.0000,9.6264960909896713e-01,7.6160000000000000e+03,"Aaa",2.7420000000000002e+01,1317809160.0000,1883133657.1400,1.0000000000000000e+00,5.5130572408335535e-02,2.9100000000000001e+01,1.4788399999999999e+03
"ELLINGTON","JG",2.0130000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",48142944.0000,8443458.0000,60098238.0000,1581776.0000,0.0000,0.0000,4613565.0000,1061457.0000,10467275.0000,4792253.0000,10467275.0000,"N",14706362.0000,35221229.0000,51577243.0000,35342309.0000,2300500.0000,51367487.0000,1359061.0000,1745061.0000,70291.0000,70291.0000,1498526.0000,1733916.0000,1884526.0000,0.0000,"Y","N",,10769696.0000,10769696.0000,35308880.0000,34866838.0000,9.8748071306708118e-01,36329099.0000,35260566.0000,9.7058740708102886e-01,1.5786000000000000e+04,"Aa3",3.4049999999999997e+01,1256058634.0000,1775809961.4900,4.2000000000000000e+01,6.0472972972972973e-02,2.7899999999999999e+01,2.7885500000000002e+03
"ENFIELD","JG",2.0130000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",189574000.0000,29354000.0000,220780000.0000,582000.0000,4310000.0000,0.0000,0.0000,1592000.0000,19427000.0000,13525000.0000,15117000.0000,"N",44070000.0000,79821000.0000,132607000.0000,73344000.0000,2968000.0000,129562000.0000,94000.0000,1959000.0000,3662000.0000,3662000.0000,-523000.0000,-299000.0000,1342000.0000,0.0000,"N","Y",,27521000.0000,27521000.0000,78936000.0000,77136000.0000,9.7719671632715110e-01,84069000.0000,78622000.0000,9.3520798391797211e-01,4.4748000000000000e+04,"Aa2",3.3380000000000003e+01,2841582637.0000,4062183095.7100,2.5400000000000000e+02,7.5134009657555484e-02,2.7840000000000000e+01,5.7666800000000003e+03
"ESSEX","JG",2.0130000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",13574326.0000,3712592.0000,17286918.0000,684430.0000,32418.0000,0.0000,233950.0000,248011.0000,3250997.0000,2736618.0000,3218579.0000,"N",1445426.0000,20761480.0000,23027304.0000,15818277.0000,1031357.0000,22626816.0000,0.0000,7738145.0000,422636.0000,8057340.0000,-22148.0000,2511.0000,81293.0000,0.0000,"N","N",6403765.7994,9657640.0000,16061405.7994,20694554.0000,20480971.0000,9.8967926537580853e-01,21007289.0000,20647251.0000,9.8286128210070323e-01,6.6330000000000000e+03,"Aa2",1.0359999999999999e+01,1120189036.0000,1473597146.5400,6.0000000000000000e+00,6.1162079510703363e-02,1.8469999999999999e+01,9.6805999999999995e+02
"FAIRFIELD","BP",2.0130000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",246689000.0000,7846000.0000,258525000.0000,9345000.0000,0.0000,0.0000,0.0000,1398000.0000,18806000.0000,17408000.0000,18806000.0000,"N",26229000.0000,250020000.0000,289947000.0000,166241000.0000,23258000.0000,284550000.0000,1000.0000,321000.0000,3599000.0000,3599000.0000,1799000.0000,1687000.0000,2119000.0000,0.0000,"N","Y",,213062000.0000,213062000.0000,250603000.0000,247576000.0000,9.8792113422425110e-01,254865000.0000,249458000.0000,9.7878484687972067e-01,6.0855000000000000e+04,"Aaa",3.0030000000000001e+01,10857288637.0000,15534035048.1800,5.9000000000000000e+01,6.5118077031206076e-02,2.3370000000000001e+01,1.0321889999999999e+04
"FARMINGTON","JG",2.0130000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",82048851.0000,15398607.0000,97447458.0000,5307707.0000,0.0000,0.0000,0.0000,179726.0000,9097601.0000,8917875.0000,9097601.0000,"N",12152086.0000,82373994.0000,97224880.0000,61514220.0000,8536931.0000,94607047.0000,0.0000,3629677.0000,1800000.0000,5408307.0000,817833.0000,120887.0000,839203.0000,0.0000,"N","N",,50528722.0000,50528722.0000,82227880.0000,81928773.0000,9.9636246246406934e-01,82607095.0000,82143473.0000,9.9438762493705901e-01,2.5613000000000000e+04,"Aaa",2.8059999999999999e+01,3749372288.0000,5313947102.2200,3.8000000000000000e+01,5.3971039929793768e-02,2.1899999999999999e+01,4.0793600000000001e+03
"FRANKLIN","BP",2.0130000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",8059321.0000,872436.0000,8943822.0000,-112258.0000,0.0000,0.0000,0.0000,77550.0000,619698.0000,542148.0000,619698.0000,"N",1644771.0000,4500074.0000,6309489.0000,4250498.0000,280539.0000,6060349.0000,5007.0000,5007.0000,32000.0000,32000.0000,222147.0000,69533.0000,222147.0000,0.0000,"N","N",,1998344.0000,1998344.0000,4444126.0000,4419076.0000,9.9436334613375044e-01,4508890.0000,4463746.0000,9.8998777969744212e-01,1.9870000000000000e+03,,1.9510000000000002e+01,212355196.0000,279527368.7300,5.0000000000000000e+00,6.5543071161048683e-02,2.1039999999999999e+01,2.8057999999999998e+02
"GLASTONBURY","JG",2.0130000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",215532264.0000,40289893.0000,257594690.0000,14179197.0000,252167.0000,0.0000,0.0000,2323703.0000,24457819.0000,21881949.0000,24205652.0000,"N",21437368.0000,128472632.0000,156351083.0000,101617744.0000,10595513.0000,148204491.0000,108624.0000,3156995.0000,5379200.0000,5379200.0000,2876016.0000,-1058035.0000,5924387.0000,0.0000,"N","N",,86564139.0000,86564139.0000,128299243.0000,127582218.0000,9.9441130763335839e-01,129099649.0000,128169404.0000,9.9279436460745141e-01,3.4768000000000000e+04,"Aaa",5.1369999999999997e+01,4207613915.0000,5742991730.7200,3.5000000000000000e+01,5.1297426951591799e-02,3.0500000000000000e+01,6.7528500000000004e+03
"GOSHEN","BP",2.0130000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",5080982.0000,2274308.0000,7829283.0000,212105.0000,22145.0000,0.0000,0.0000,316200.0000,1717271.0000,1378926.0000,1695126.0000,"N",413074.0000,9234191.0000,9839567.0000,6924636.0000,0.0000,9477274.0000,51100.0000,51100.0000,541172.0000,541172.0000,-127779.0000,-86530.0000,-127779.0000,0.0000,"N","N",1217045.2040,0.0000,1217045.2040,9220832.0000,9149786.0000,9.9229505537027463e-01,9326250.0000,9195367.0000,9.8596617075459059e-01,2.9450000000000000e+03,,4.3659999999999997e+01,613940005.0000,729286705.1799,6.0000000000000000e+00,5.7608015028177834e-02,1.5000000000000000e+01,4.0506999999999999e+02
"GRANBY","JG",2.0130000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",44112579.0000,13807900.0000,58366539.0000,2032328.0000,0.0000,0.0000,15864.0000,1819320.0000,4061320.0000,2226136.0000,4061320.0000,"N",9891402.0000,32683980.0000,43296005.0000,29454150.0000,3295410.0000,41797578.0000,330089.0000,330089.0000,1304836.0000,1304836.0000,523680.0000,-921564.0000,523680.0000,0.0000,"N","N",,30203602.0000,30203602.0000,32556187.0000,32248758.0000,9.9055697155198186e-01,33074838.0000,32551967.0000,9.8419127555515162e-01,1.1323000000000000e+04,"Aa2",4.0689999999999998e+01,1066837530.0000,1408127838.8200,1.3000000000000000e+01,5.1955990220048903e-02,3.0690000000000001e+01,2.0744600000000000e+03
"GREENWICH","JG",2.0130000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",429853206.0000,27172640.0000,457685988.0000,26350744.0000,0.0000,0.0000,81902.0000,13514831.0000,35287077.0000,21690344.0000,35287077.0000,"N",26543729.0000,318769792.0000,372957683.0000,155006606.0000,23365790.0000,354556928.0000,4505235.0000,4505235.0000,15163000.0000,15163000.0000,7742990.0000,5741157.0000,7742990.0000,0.0000,"N","N",,94859704.0000,94859704.0000,318184576.0000,315311348.0000,9.9096993312460246e-01,323530850.0000,317031546.0000,9.7991133148508092e-01,6.2396000000000000e+04,"Aaa",4.7829999999999998e+01,30709850064.0000,42269356544.5100,1.2000000000000000e+02,5.7108356714138581e-02,1.0388999999999999e+01,8.7103199999999997e+03
"GRISWOLD","JG",2.0130000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",83172344.0000,2506023.0000,85899780.0000,-43290.0000,207052.0000,0.0000,0.0000,159971.0000,2995847.0000,2628824.0000,2788795.0000,"N",14081308.0000,17379328.0000,33641240.0000,27317952.0000,1772645.0000,32870946.0000,0.0000,0.0000,532500.0000,532500.0000,237794.0000,-320157.0000,237794.0000,0.0000,"N","Y",,18768568.0000,18768568.0000,17347376.0000,16865547.0000,9.7222467536300594e-01,18111490.0000,17101455.0000,9.4423236299166990e-01,1.1959000000000000e+04,,3.4950000000000003e+01,697647931.0000,997412758.5700,1.4000000000000000e+02,9.1404546870133913e-02,2.4800000000000001e+01,1.8358800000000001e+03
"GROTON","JG",2.0130000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",161736383.0000,35517240.0000,197589786.0000,3545874.0000,0.0000,0.0000,0.0000,3003114.0000,14620584.0000,11617470.0000,14620584.0000,"N",44883513.0000,81691813.0000,128803319.0000,80996988.0000,5953056.0000,124486818.0000,1027913.0000,22324744.0000,3667447.0000,24767552.0000,1676967.0000,-443351.0000,1873693.0000,0.0000,"N","Y",,53832065.0000,53832065.0000,80232312.0000,78991533.0000,9.8453517081746322e-01,83178252.0000,80622318.0000,9.6927160719847782e-01,4.0176000000000000e+04,"Aa2",3.1300000000000001e+01,3949777080.0000,5674978734.2900,2.9500000000000000e+02,7.5594760759155305e-02,2.0219999999999999e+01,5.0913299999999999e+03
"GROTON (City of)","JG",2.0130000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,20912472.0000,6514415.0000,28155684.0000,594751.0000,49908.0000,0.0000,657188.0000,46075.0000,4652381.0000,3899210.0000,4602473.0000,"N",290170.0000,6417756.0000,13444977.0000,0.0000,754103.0000,16118947.0000,3119496.0000,3119496.0000,0.0000,0.0000,445526.0000,4548.0000,445526.0000,0.0000,"Y","N",,6428000.0000,6428000.0000,6343834.0000,6286266.0000,9.9092536154004029e-01,6453437.0000,6376385.0000,9.8806031576662168e-01,,"Aa3",,,,,,,
"GUILFORD","BP",2.0130000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",40044889.0000,-13221058.0000,26823831.0000,-1068931.0000,0.0000,0.0000,429587.0000,1092734.0000,6617254.0000,5094933.0000,6617254.0000,"N",10188125.0000,77165575.0000,89452878.0000,58751799.0000,4548189.0000,87898715.0000,0.0000,19070306.0000,182000.0000,19091357.0000,1372163.0000,561911.0000,1533112.0000,0.0000,"N","Y",,38694000.0000,38694000.0000,72103279.0000,71772893.0000,9.9541787829094430e-01,72608666.0000,72089880.0000,9.9285504019589066e-01,2.2417000000000000e+04,"Aa2",4.7049999999999997e+01,3489689577.0000,4177877720.9300,3.1000000000000000e+01,5.3370562425209413e-02,2.2359999999999999e+01,3.6053800000000001e+03
"HADDAM","JG",2.0130000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",18323649.0000,8282367.0000,26688463.0000,1283974.0000,0.0000,0.0000,0.0000,0.0000,3671221.0000,3671221.0000,3671221.0000,"N",2042960.0000,26074511.0000,28557675.0000,20918591.0000,164982.0000,26988443.0000,0.0000,0.0000,1093103.0000,1093103.0000,476129.0000,623501.0000,476129.0000,0.0000,"N","N",8264377.0258,2937955.0000,11202332.0258,25987612.0000,25722557.0000,9.8980071735717767e-01,27118239.0000,25896060.0000,9.5493147619209340e-01,8.3630000000000000e+03,"Aa3",4.4030000000000001e+01,897304580.0000,1235489184.2800,1.1000000000000000e+01,5.5116514690982776e-02,2.8989999999999998e+01,1.3135500000000000e+03
"HAMDEN","JG",2.0130000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",114791519.0000,-313714214.0000,-198913282.0000,-40450181.0000,0.0000,0.0000,0.0000,1135.0000,1689070.0000,1687935.0000,1689070.0000,"N",45338028.0000,149054322.0000,200852851.0000,91359833.0000,16280508.0000,201069301.0000,398562.0000,1264720.0000,554191.0000,554191.0000,-372079.0000,637427.0000,494079.0000,0.0000,"N","Y",,129975000.0000,129975000.0000,149765959.0000,147483766.0000,9.8476160393698009e-01,152541293.0000,148490101.0000,9.7344199776777818e-01,6.1607000000000000e+04,"A3",3.2780000000000001e+01,4048765885.0000,5517481551.7000,4.6500000000000000e+02,6.9333179643824558e-02,3.7137000000000000e+01,6.7630100000000002e+03
"HAMPTON","BP",2.0130000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",5760494.0000,1015196.0000,9191407.0000,90281.0000,56443.0000,13695.0000,0.0000,19628.0000,1078098.0000,988332.0000,1007960.0000,"N",1839568.0000,3829812.0000,5783201.0000,4051240.0000,182367.0000,5618093.0000,0.0000,0.0000,351336.0000,351336.0000,-186228.0000,7619.0000,-186228.0000,0.0000,"N","N",0.0000,658849.0000,658849.0000,3807734.0000,3720546.0000,9.7710239213138317e-01,3999151.0000,3787539.0000,9.4708576895446062e-01,1.8680000000000000e+03,,2.5000000000000000e+01,154233737.0000,203292220.3800,7.0000000000000000e+00,9.1707317073170730e-02,2.4800000000000001e+01,1.9569999999999999e+02
"HARTFORD","BP",2.0130000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",1006633000.0000,36029000.0000,1115711000.0000,28162000.0000,0.0000,0.0000,0.0000,2850000.0000,30378000.0000,27528000.0000,30378000.0000,"N",280695000.0000,255546000.0000,549643000.0000,314620000.0000,45245000.0000,521577000.0000,5928000.0000,12439000.0000,40240000.0000,40240000.0000,-6246000.0000,5027000.0000,265000.0000,0.0000,"N","Y",,487546000.0000,487546000.0000,247520000.0000,234216000.0000,9.4625080801551387e-01,288386000.0000,246757000.0000,8.5564833244332250e-01,1.2501700000000000e+05,"A1",1.7309999999999999e+01,3398455123.0000,6526348965.1800,5.3430000000000000e+03,1.4282322429821198e-01,7.4290000000000006e+01,2.1656000000000000e+04
"HARTLAND","BP",2.0130000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",7409001.0000,1934784.0000,9394051.0000,302283.0000,0.0000,0.0000,0.0000,161875.0000,1125135.0000,963260.0000,1125135.0000,"N",1979176.0000,4781424.0000,6876771.0000,4906068.0000,217027.0000,6330475.0000,26.0000,26.0000,448626.0000,448626.0000,97696.0000,133325.0000,97696.0000,0.0000,"N","N",,830793.0000,830793.0000,4678964.0000,4611908.0000,9.8566862237025121e-01,4829849.0000,4671067.0000,9.6712485214341071e-01,2.1310000000000000e+03,"A1",3.3020000000000003e+01,194348560.0000,277715085.7100,1.0000000000000000e+00,5.6807935076645624e-02,2.4000000000000000e+01,3.0035000000000002e+02
"HARWINTON","BP",2.0130000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",16850026.0000,4542425.0000,21693225.0000,819132.0000,0.0000,0.0000,0.0000,0.0000,3002481.0000,3002481.0000,3002481.0000,"N",3550473.0000,13779484.0000,17631380.0000,11880886.0000,200000.0000,17194063.0000,0.0000,0.0000,255914.0000,255914.0000,181403.0000,408402.0000,181403.0000,0.0000,"N","N",7483437.4976,0.0000,7483437.4976,13738679.0000,13634363.0000,9.9240713026339722e-01,14024185.0000,13808911.0000,9.8464980317929351e-01,5.5930000000000000e+03,,3.0739999999999998e+01,565625094.0000,790175621.8600,9.0000000000000000e+00,5.8470290771175729e-02,2.4600000000000001e+01,9.0363999999999999e+02
"HEBRON","BP",2.0130000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",48869955.0000,6146256.0000,55236595.0000,695599.0000,0.0000,0.0000,0.0000,337742.0000,4461595.0000,4123853.0000,4461595.0000,"N",8839751.0000,26016823.0000,35956527.0000,26945745.0000,1233882.0000,35823966.0000,298370.0000,1601392.0000,551700.0000,551700.0000,-120769.0000,366939.0000,1182253.0000,0.0000,"N","N",11873105.3316,7750445.0000,19623550.3316,25914117.0000,25518394.0000,9.8472944302906407e-01,26779363.0000,25810058.0000,9.6380403073814713e-01,9.5880000000000000e+03,"Aa2",3.6890000000000001e+01,768127730.0000,1097934378.5700,7.0000000000000000e+00,5.3280987100392599e-02,3.3549999999999997e+01,2.0081700000000001e+03
