Sort ID,Municipality,numbered,PER CAPITA INCOME - 2014 ESTIMATE,Population_Range,PercentOfState
48,"SOUTH WINDSOR",1.3100000000000000e+02,44569.0000,"10,000 to 30,000",1.1582380457380457e+00
49,"BURLINGTON",2.0000000000000000e+01,44522.0000,"0 to 10,000",1.1570166320166320e+00
50,"HADDAM",6.2000000000000000e+01,44400.0000,"0 to 10,000",1.1538461538461537e+00
51,"OLD SAYBROOK",1.0700000000000000e+02,44251.0000,"0 to 10,000",1.1499740124740125e+00
52,"NORFOLK",9.9000000000000000e+01,43852.0000,"0 to 10,000",1.1396049896049896e+00
53,"NORWALK",1.0400000000000000e+02,43778.0000,"70,000 & Up",1.1376819126819127e+00
54,"BRANFORD",1.4000000000000000e+01,43769.0000,"10,000 to 30,000",1.1374480249480250e+00
55,"CHESHIRE",2.5000000000000000e+01,43583.0000,"10,000 to 30,000",1.1326143451143451e+00
56,"EAST HAMPTON",4.1000000000000000e+01,43505.0000,"10,000 to 30,000",1.1305873180873180e+00
57,"BETHLEHEM",1.0000000000000000e+01,43330.0000,"0 to 10,000",1.1260395010395010e+00
58,"ROCKY HILL",1.2000000000000000e+02,43207.0000,"10,000 to 30,000",1.1228430353430354e+00
59,"NEW FAIRFIELD",9.2000000000000000e+01,43029.0000,"10,000 to 30,000",1.1182172557172556e+00
60,"PORTLAND",1.1400000000000000e+02,42972.0000,"0 to 10,000",1.1167359667359666e+00
61,"POMFRET",1.1300000000000000e+02,42925.0000,"0 to 10,000",1.1155145530145529e+00
62,"SOUTHBURY",1.3200000000000000e+02,42791.0000,"10,000 to 30,000",1.1120322245322245e+00
63,"MIDDLEFIELD",8.3000000000000000e+01,42714.0000,"0 to 10,000",1.1100311850311850e+00
64,"SALEM",1.2200000000000000e+02,42670.0000,"0 to 10,000",1.1088877338877339e+00
65,"NORTH BRANFORD",1.0000000000000000e+02,42058.0000,"10,000 to 30,000",1.0929833679833680e+00
66,"HEBRON",6.8000000000000000e+01,41921.0000,"0 to 10,000",1.0894230769230768e+00
67,"MIDDLEBURY",8.2000000000000000e+01,41896.0000,"0 to 10,000",1.0887733887733888e+00
68,"BETHEL",9.0000000000000000e+00,41817.0000,"10,000 to 30,000",1.0867203742203742e+00
69,"CHESTER",2.6000000000000000e+01,41592.0000,"0 to 10,000",1.0808731808731808e+00
70,"COLUMBIA",3.0000000000000000e+01,41476.0000,"0 to 10,000",1.0778586278586280e+00
71,"MARLBOROUGH",8.0000000000000000e+01,41346.0000,"0 to 10,000",1.0744802494802494e+00
72,"ELLINGTON",4.8000000000000000e+01,41200.0000,"10,000 to 30,000",1.0706860706860706e+00
73,"SHELTON",1.2700000000000000e+02,41189.0000,"30,000 to 70,000",1.0704002079002080e+00
74,"OXFORD",1.0900000000000000e+02,41122.0000,"0 to 10,000",1.0686590436590437e+00
75,"MILFORD",8.5000000000000000e+01,40797.0000,"30,000 to 70,000",1.0602130977130977e+00
76,"BLOOMFIELD",1.1000000000000000e+01,40664.0000,"10,000 to 30,000",1.0567567567567568e+00
77,"EAST LYME",4.4000000000000000e+01,40313.0000,"10,000 to 30,000",1.0476351351351352e+00
78,"BERLIN",7.0000000000000000e+00,40172.0000,"10,000 to 30,000",1.0439708939708940e+00
79,"COVENTRY",3.2000000000000000e+01,40129.0000,"10,000 to 30,000",1.0428534303534303e+00
80,"SUFFIELD",1.4000000000000000e+02,39901.0000,"10,000 to 30,000",1.0369282744282744e+00
81,"ANDOVER",1.0000000000000000e+00,39872.0000,"0 to 10,000",1.0361746361746362e+00
82,"EAST HADDAM",4.0000000000000000e+01,39767.0000,"0 to 10,000",1.0334459459459460e+00
83,"WATERFORD",1.5300000000000000e+02,39498.0000,"10,000 to 30,000",1.0264553014553015e+00
84,"FRANKLIN",5.3000000000000000e+01,39378.0000,"0 to 10,000",1.0233367983367982e+00
85,"LEDYARD",7.3000000000000000e+01,39246.0000,"10,000 to 30,000",1.0199064449064450e+00
86,"CANAAN",2.1000000000000000e+01,39209.0000,"0 to 10,000",1.0189449064449065e+00
87,"CROMWELL",3.3000000000000000e+01,39178.0000,"10,000 to 30,000",1.0181392931392932e+00
88,"SOUTHINGTON",1.3300000000000000e+02,39082.0000,"30,000 to 70,000",1.0156444906444906e+00
89,"PROSPECT",1.1600000000000000e+02,38917.0000,"0 to 10,000",1.0113565488565488e+00
90,"COLCHESTER",2.8000000000000000e+01,38875.0000,"10,000 to 30,000",1.0102650727650728e+00
91,"MORRIS",8.8000000000000000e+01,38777.0000,"0 to 10,000",1.0077182952182953e+00
92,"NORTH HAVEN",1.0200000000000000e+02,38742.0000,"10,000 to 30,000",1.0068087318087318e+00
93,"NEW MILFORD",9.6000000000000000e+01,38734.0000,"10,000 to 30,000",1.0066008316008317e+00
94,"WETHERSFIELD",1.6000000000000000e+02,38685.0000,"10,000 to 30,000",1.0053274428274428e+00
95,"BARKHAMSTED",5.0000000000000000e+00,38593.0000,"0 to 10,000",1.0029365904365903e+00
96,"EASTFORD",4.6000000000000000e+01,38558.0000,"0 to 10,000",1.0020270270270271e+00
97,"KENT",6.9000000000000000e+01,38504.0000,"0 to 10,000",1.0006237006237007e+00
98,"ASHFORD",3.0000000000000000e+00,38310.0000,"0 to 10,000",9.9558212058212059e-01
99,"NEW HARTFORD",9.3000000000000000e+01,37759.0000,"0 to 10,000",9.8126299376299375e-01
100,"LEBANON",7.2000000000000000e+01,37632.0000,"0 to 10,000",9.7796257796257802e-01
101,"CLINTON",2.7000000000000000e+01,37449.0000,"10,000 to 30,000",9.7320686070686069e-01
102,"WATERTOWN",1.5400000000000000e+02,37140.0000,"10,000 to 30,000",9.6517671517671522e-01
103,"DEEP RIVER",3.6000000000000000e+01,37099.0000,"0 to 10,000",9.6411122661122661e-01
104,"NEWINGTON",9.7000000000000000e+01,37061.0000,"10,000 to 30,000",9.6312370062370067e-01
105,"HAMPTON",6.4000000000000000e+01,37046.0000,"0 to 10,000",9.6273388773388768e-01
106,"UNION",1.4600000000000000e+02,37043.0000,"0 to 10,000",9.6265592515592513e-01
107,"WALLINGFORD",1.4900000000000000e+02,37009.0000,"30,000 to 70,000",9.6177234927234923e-01
108,"EAST GRANBY",3.9000000000000000e+01,36899.0000,"0 to 10,000",9.5891372141372144e-01
109,"BEACON FALLS",6.0000000000000000e+00,36793.0000,"0 to 10,000",9.5615904365904369e-01
110,"GOSHEN",5.5000000000000000e+01,36745.0000,"0 to 10,000",9.5491164241164239e-01
111,"CHAPLIN",2.4000000000000000e+01,36414.0000,"0 to 10,000",9.4630977130977134e-01
112,"HARTLAND",6.6000000000000000e+01,36284.0000,"0 to 10,000",9.4293139293139294e-01
113,"COLEBROOK",2.9000000000000000e+01,36068.0000,"0 to 10,000",9.3731808731808730e-01
114,"WINDSOR",1.6500000000000000e+02,36048.0000,"10,000 to 30,000",9.3679833679833679e-01
115,"LISBON",7.4000000000000000e+01,35867.0000,"0 to 10,000",9.3209459459459465e-01
116,"NORTH STONINGTON",1.0300000000000000e+02,35366.0000,"0 to 10,000",9.1907484407484408e-01
117,"VERNON",1.4700000000000000e+02,35314.0000,"10,000 to 30,000",9.1772349272349274e-01
118,"WOLCOTT",1.6700000000000000e+02,35288.0000,"10,000 to 30,000",9.1704781704781702e-01
119,"WOODSTOCK",1.7000000000000000e+02,35162.0000,"0 to 10,000",9.1377338877338876e-01
120,"WINDSOR LOCKS",1.6600000000000000e+02,35129.0000,"10,000 to 30,000",9.1291580041580045e-01
121,"STRATFORD",1.3900000000000000e+02,34775.0000,"30,000 to 70,000",9.0371621621621623e-01
122,"BOZRAH",1.3000000000000000e+01,34748.0000,"0 to 10,000",9.0301455301455302e-01
123,"HAMDEN",6.3000000000000000e+01,34419.0000,"30,000 to 70,000",8.9446465696465693e-01
124,"GROTON",5.9000000000000000e+01,34353.0000,"30,000 to 70,000",8.9274948024948020e-01
125,"MIDDLETOWN",8.4000000000000000e+01,34226.0000,"30,000 to 70,000",8.8944906444906446e-01
126,"WILLINGTON",1.6100000000000000e+02,33934.0000,"0 to 10,000",8.8186070686070683e-01
127,"PRESTON",1.1500000000000000e+02,33891.0000,"0 to 10,000",8.8074324324324327e-01
128,"EAST WINDSOR",4.5000000000000000e+01,33727.0000,"0 to 10,000",8.7648128898128896e-01
129,"SEYMOUR",1.2500000000000000e+02,33488.0000,"10,000 to 30,000",8.7027027027027026e-01
130,"SOMERS",1.3000000000000000e+02,33445.0000,"0 to 10,000",8.6915280665280670e-01
131,"CANTERBURY",2.2000000000000000e+01,32886.0000,"0 to 10,000",8.5462577962577968e-01
132,"THOMASTON",1.4100000000000000e+02,32737.0000,"0 to 10,000",8.5075363825363826e-01
133,"MANCHESTER",7.8000000000000000e+01,32558.0000,"30,000 to 70,000",8.4610187110187107e-01
134,"VOLUNTOWN",1.4800000000000000e+02,32338.0000,"0 to 10,000",8.4038461538461540e-01
135,"THOMPSON",1.4200000000000000e+02,31688.0000,"0 to 10,000",8.2349272349272351e-01
136,"SPRAGUE",1.3400000000000000e+02,31621.0000,"0 to 10,000",8.2175155925155929e-01
137,"WINCHESTER",1.6300000000000000e+02,31475.0000,"10,000 to 30,000",8.1795738045738042e-01
138,"DANBURY",3.4000000000000000e+01,31411.0000,"30,000 to 70,000",8.1629417879417876e-01
139,"PLAINVILLE",1.1100000000000000e+02,31370.0000,"10,000 to 30,000",8.1522869022869027e-01
140,"BRISTOL",1.7000000000000000e+01,31365.0000,"30,000 to 70,000",8.1509875259875264e-01
141,"PLYMOUTH",1.1200000000000000e+02,31076.0000,"10,000 to 30,000",8.0758835758835756e-01
142,"EAST HAVEN",4.3000000000000000e+01,30868.0000,"10,000 to 30,000",8.0218295218295221e-01
143,"NAUGATUCK",8.9000000000000000e+01,30491.0000,"30,000 to 70,000",7.9238565488565493e-01
144,"STAFFORD",1.3500000000000000e+02,29779.0000,"10,000 to 30,000",7.7388253638253635e-01
145,"ENFIELD",4.9000000000000000e+01,29747.0000,"30,000 to 70,000",7.7305093555093551e-01
146,"SCOTLAND",1.2400000000000000e+02,29545.0000,"0 to 10,000",7.6780145530145527e-01
147,"GRISWOLD",5.8000000000000000e+01,29307.0000,"10,000 to 30,000",7.6161642411642416e-01
148,"MONTVILLE",8.7000000000000000e+01,28969.0000,"10,000 to 30,000",7.5283264033264030e-01
149,"TORRINGTON",1.4400000000000000e+02,28368.0000,"30,000 to 70,000",7.3721413721413720e-01
150,"NORTH CANAAN",1.0100000000000000e+02,28228.0000,"0 to 10,000",7.3357588357588355e-01
151,"KILLINGLY",7.0000000000000000e+01,27549.0000,"10,000 to 30,000",7.1593035343035338e-01
152,"MERIDEN",8.1000000000000000e+01,27483.0000,"30,000 to 70,000",7.1421517671517676e-01
153,"DERBY",3.7000000000000000e+01,27249.0000,"10,000 to 30,000",7.0813409563409568e-01
154,"NORWICH",1.0500000000000000e+02,27111.0000,"30,000 to 70,000",7.0454781704781699e-01
155,"PLAINFIELD",1.1000000000000000e+02,26733.0000,"10,000 to 30,000",6.9472453222453223e-01
156,"BROOKLYN",1.9000000000000000e+01,26582.0000,"0 to 10,000",6.9080041580041585e-01
157,"STERLING",1.3700000000000000e+02,26516.0000,"0 to 10,000",6.8908523908523911e-01
158,"WEST HAVEN",1.5600000000000000e+02,25718.0000,"30,000 to 70,000",6.6834719334719339e-01
159,"EAST HARTFORD",4.2000000000000000e+01,25509.0000,"30,000 to 70,000",6.6291580041580045e-01
160,"ANSONIA",2.0000000000000000e+00,24804.0000,"10,000 to 30,000",6.4459459459459456e-01
161,"PUTNAM",1.1700000000000000e+02,24639.0000,"0 to 10,000",6.4030665280665278e-01
162,"NEW HAVEN",9.4000000000000000e+01,23796.0000,"70,000 & Up",6.1839916839916842e-01
163,"NEW LONDON",9.5000000000000000e+01,21754.0000,"10,000 to 30,000",5.6533264033264030e-01
164,"WATERBURY",1.5200000000000000e+02,21251.0000,"70,000 & Up",5.5226091476091477e-01
165,"NEW BRITAIN",9.0000000000000000e+01,21070.0000,"70,000 & Up",5.4755717255717251e-01
166,"BRIDGEPORT",1.5000000000000000e+01,20442.0000,"70,000 & Up",5.3123700623700620e-01
167,"WINDHAM",1.6400000000000000e+02,20126.0000,"10,000 to 30,000",5.2302494802494803e-01
168,"MANSFIELD",7.9000000000000000e+01,19556.0000,"10,000 to 30,000",5.0821205821205817e-01
169,"HARTFORD",6.5000000000000000e+01,16813.0000,"70,000 & Up",4.3692827442827442e-01
