Municipality,numbered,Comptroller Town Code,County_Identifier,Population_Range
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"H","0 to 10,000"
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"NH","30,000 to 70,000"
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"NH","0 to 10,000"
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"M","0 to 10,000"
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"M","30,000 to 70,000"
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"NH","30,000 to 70,000"
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"F","10,000 to 30,000"
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"NL","10,000 to 30,000"
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"L","0 to 10,000"
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"NH","30,000 to 70,000"
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"H","70,000 & Up"
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"F","10,000 to 30,000"
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"F","10,000 to 30,000"
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"L","0 to 10,000"
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"NH","70,000 & Up"
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"NL","10,000 to 30,000"
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"L","10,000 to 30,000"
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"H","10,000 to 30,000"
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"F","10,000 to 30,000"
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"L","0 to 10,000"
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"NH","10,000 to 30,000"
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"L","0 to 10,000"
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,"NH","10,000 to 30,000"
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,"NL","0 to 10,000"
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,"F","70,000 & Up"
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,"NL","30,000 to 70,000"
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,"NL","0 to 10,000"
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,"M","0 to 10,000"
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,"NH","10,000 to 30,000"
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,"NH","0 to 10,000"
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,"W","10,000 to 30,000"
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,"H","10,000 to 30,000"
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,"L","10,000 to 30,000"
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,"W","0 to 10,000"
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,"M","0 to 10,000"
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,"NL","0 to 10,000"
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,"NH","0 to 10,000"
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,"W","0 to 10,000"
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,"F","0 to 10,000"
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,"F","10,000 to 30,000"
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,"H","10,000 to 30,000"
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,"L","0 to 10,000"
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,"NL","0 to 10,000"
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,"L","0 to 10,000"
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,"W","0 to 10,000"
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,"NH","10,000 to 30,000"
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,"L","0 to 10,000"
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,"F","30,000 to 70,000"
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,"F","0 to 10,000"
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,"H","10,000 to 30,000"
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,"T","0 to 10,000"
"SOUTH WINDSOR",1.3100000000000000e+02,1.3200000000000000e+02,"H","10,000 to 30,000"
"SOUTHBURY",1.3200000000000000e+02,1.3000000000000000e+02,"NH","10,000 to 30,000"
"SOUTHINGTON",1.3300000000000000e+02,1.3100000000000000e+02,"H","30,000 to 70,000"
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,"NL","0 to 10,000"
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,"T","10,000 to 30,000"
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,"F","70,000 & Up"
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,"W","0 to 10,000"
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,"NL","10,000 to 30,000"
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,"F","30,000 to 70,000"
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,"H","10,000 to 30,000"
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,"L","0 to 10,000"
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,"W","0 to 10,000"
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,"T","10,000 to 30,000"
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,"L","30,000 to 70,000"
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,"F","30,000 to 70,000"
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,"T","0 to 10,000"
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,"T","10,000 to 30,000"
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,"NL","0 to 10,000"
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,"NH","30,000 to 70,000"
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,"L","0 to 10,000"
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,"L","0 to 10,000"
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,"NH","70,000 & Up"
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,"NL","10,000 to 30,000"
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,"L","10,000 to 30,000"
"WEST HARTFORD",1.5500000000000000e+02,1.5500000000000000e+02,"H","30,000 to 70,000"
"WEST HAVEN",1.5600000000000000e+02,1.5600000000000000e+02,"NH","30,000 to 70,000"
"WESTBROOK",1.5700000000000000e+02,1.5400000000000000e+02,"M","0 to 10,000"
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,"F","0 to 10,000"
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,"F","10,000 to 30,000"
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,"H","10,000 to 30,000"
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,"T","0 to 10,000"
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,"F","10,000 to 30,000"
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,"L","10,000 to 30,000"
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,"W","10,000 to 30,000"
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,"H","10,000 to 30,000"
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,"H","10,000 to 30,000"
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,"NH","10,000 to 30,000"
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,"NH","0 to 10,000"
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,"L","0 to 10,000"
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,"W","0 to 10,000"
