Sort ID,Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2014 ESTIMATE,Population_Range,PercentOfStateMedian
67,"WOODBURY",1.6900000000000000e+02,84868.0000,"0 to 10,000",1.2141518476659179e+00
68,"MORRIS",8.8000000000000000e+01,84464.0000,"0 to 10,000",1.2083720797150175e+00
69,"UNION",1.4600000000000000e+02,84405.0000,"0 to 10,000",1.2075280046924848e+00
70,"ELLINGTON",4.8000000000000000e+01,84339.0000,"10,000 to 30,000",1.2065837851757535e+00
71,"SALISBURY",1.2300000000000000e+02,84141.0000,"0 to 10,000",1.2037511266255598e+00
72,"WEST HARTFORD",1.5500000000000000e+02,84092.0000,"30,000 to 70,000",1.2030501151661683e+00
73,"NORTH HAVEN",1.0200000000000000e+02,84078.0000,"10,000 to 30,000",1.2028498261777707e+00
74,"WOLCOTT",1.6700000000000000e+02,83317.0000,"10,000 to 30,000",1.1919626890227328e+00
75,"EAST HADDAM",4.0000000000000000e+01,82773.0000,"0 to 10,000",1.1841800311878568e+00
76,"PORTLAND",1.1400000000000000e+02,82770.0000,"0 to 10,000",1.1841371121189144e+00
77,"NEW HARTFORD",9.3000000000000000e+01,82245.0000,"0 to 10,000",1.1766262750540064e+00
78,"LITCHFIELD",7.5000000000000000e+01,82188.0000,"0 to 10,000",1.1758108127441023e+00
79,"BARKHAMSTED",5.0000000000000000e+00,81792.0000,"0 to 10,000",1.1701454956437145e+00
80,"EAST LYME",4.4000000000000000e+01,81711.0000,"10,000 to 30,000",1.1689866807822715e+00
81,"STONINGTON",1.3800000000000000e+02,81673.0000,"10,000 to 30,000",1.1684430392423353e+00
82,"GOSHEN",5.5000000000000000e+01,81528.0000,"0 to 10,000",1.1663686175767893e+00
83,"CANTERBURY",2.2000000000000000e+01,81496.0000,"0 to 10,000",1.1659108141747379e+00
84,"SOUTHINGTON",1.3300000000000000e+02,81285.0000,"30,000 to 70,000",1.1628921729924606e+00
85,"LISBON",7.4000000000000000e+01,80850.0000,"0 to 10,000",1.1566689079958226e+00
86,"MILFORD",8.5000000000000000e+01,80743.0000,"30,000 to 70,000",1.1551381278702126e+00
87,"CORNWALL",3.1000000000000000e+01,80234.0000,"0 to 10,000",1.1478561925063306e+00
88,"CROMWELL",3.3000000000000000e+01,80028.0000,"10,000 to 30,000",1.1449090831056239e+00
89,"WINDSOR",1.6500000000000000e+02,79244.0000,"10,000 to 30,000",1.1336928997553612e+00
90,"NEW MILFORD",9.6000000000000000e+01,79028.0000,"10,000 to 30,000",1.1306027267915135e+00
91,"NEWINGTON",9.7000000000000000e+01,79008.0000,"10,000 to 30,000",1.1303165996652313e+00
92,"COLEBROOK",2.9000000000000000e+01,78854.0000,"0 to 10,000",1.1281134207928583e+00
93,"NORTH STONINGTON",1.0300000000000000e+02,78854.0000,"0 to 10,000",1.1281134207928583e+00
94,"WATERTOWN",1.5400000000000000e+02,78767.0000,"10,000 to 30,000",1.1268687677935307e+00
95,"CHAPLIN",2.4000000000000000e+01,78750.0000,"0 to 10,000",1.1266255597361907e+00
96,"WESTBROOK",1.5700000000000000e+02,78417.0000,"0 to 10,000",1.1218615430835921e+00
97,"WETHERSFIELD",1.6000000000000000e+02,78008.0000,"10,000 to 30,000",1.1160102433511210e+00
98,"LYME",7.6000000000000000e+01,77500.0000,"0 to 10,000",1.1087426143435528e+00
99,"SEYMOUR",1.2500000000000000e+02,77465.0000,"10,000 to 30,000",1.1082418918725589e+00
100,"SCOTLAND",1.2400000000000000e+02,77344.0000,"0 to 10,000",1.1065108227585516e+00
101,"ASHFORD",3.0000000000000000e+00,77250.0000,"0 to 10,000",1.1051660252650253e+00
102,"STAMFORD",1.3600000000000000e+02,77221.0000,"70,000 & Up",1.1047511409319160e+00
103,"WASHINGTON",1.5100000000000000e+02,77125.0000,"0 to 10,000",1.1033777307257615e+00
104,"SOUTHBURY",1.3200000000000000e+02,76896.0000,"10,000 to 30,000",1.1001015751298302e+00
105,"BOZRAH",1.3000000000000000e+01,76307.0000,"0 to 10,000",1.0916751312608193e+00
106,"NORWALK",1.0400000000000000e+02,76051.0000,"70,000 & Up",1.0880127040444070e+00
107,"WALLINGFORD",1.4900000000000000e+02,75533.0000,"30,000 to 70,000",1.0806020114736978e+00
108,"ROCKY HILL",1.2000000000000000e+02,75442.0000,"10,000 to 30,000",1.0793001330491137e+00
109,"WATERFORD",1.5300000000000000e+02,75181.0000,"10,000 to 30,000",1.0755661740511309e+00
110,"VOLUNTOWN",1.4800000000000000e+02,75086.0000,"0 to 10,000",1.0742070702012905e+00
111,"OLD SAYBROOK",1.0700000000000000e+02,74896.0000,"0 to 10,000",1.0714888625016095e+00
112,"CHESTER",2.6000000000000000e+01,74063.0000,"0 to 10,000",1.0595716676919555e+00
113,"HAMPTON",6.4000000000000000e+01,73929.0000,"0 to 10,000",1.0576546159458649e+00
114,"THOMASTON",1.4100000000000000e+02,73679.0000,"0 to 10,000",1.0540780268673371e+00
115,"BLOOMFIELD",1.1000000000000000e+01,73519.0000,"10,000 to 30,000",1.0517890098570795e+00
116,"WILLINGTON",1.6100000000000000e+02,73384.0000,"0 to 10,000",1.0498576517546745e+00
117,"NORFOLK",9.9000000000000000e+01,73188.0000,"0 to 10,000",1.0470536059171089e+00
118,"EASTFORD",4.6000000000000000e+01,73173.0000,"0 to 10,000",1.0468390105723973e+00
119,"EAST WINDSOR",4.5000000000000000e+01,72866.0000,"0 to 10,000",1.0424469591839653e+00
120,"SHARON",1.2600000000000000e+02,72083.0000,"0 to 10,000",1.0312450821900170e+00
121,"STERLING",1.3700000000000000e+02,71696.0000,"0 to 10,000",1.0257085222964564e+00
122,"PLYMOUTH",1.1200000000000000e+02,71441.0000,"10,000 to 30,000",1.0220604014363581e+00
123,"EAST GRANBY",3.9000000000000000e+01,71272.0000,"0 to 10,000",1.0196426272192736e+00
124,"BRANFORD",1.4000000000000000e+01,71058.0000,"10,000 to 30,000",1.0165810669680539e+00
125,"CLINTON",2.7000000000000000e+01,71028.0000,"10,000 to 30,000",1.0161518762786306e+00
126,"WOODSTOCK",1.7000000000000000e+02,70927.0000,"0 to 10,000",1.0147069342909054e+00
127,"ENFIELD",4.9000000000000000e+01,68162.0000,"30,000 to 70,000",9.7514985908239027e-01
128,"CANAAN",2.1000000000000000e+01,68021.0000,"0 to 10,000",9.7313266284210076e-01
129,"HAMDEN",6.3000000000000000e+01,67771.0000,"30,000 to 70,000",9.6955607376357311e-01
130,"THOMPSON",1.4200000000000000e+02,67519.0000,"0 to 10,000",9.6595087197241736e-01
131,"WINDSOR LOCKS",1.6600000000000000e+02,67222.0000,"10,000 to 30,000",9.6170188414712654e-01
132,"SPRAGUE",1.3400000000000000e+02,67076.0000,"0 to 10,000",9.5961315612526643e-01
133,"PRESTON",1.1500000000000000e+02,67069.0000,"0 to 10,000",9.5951301163106772e-01
134,"MONTVILLE",8.7000000000000000e+01,67044.0000,"10,000 to 30,000",9.5915535272321495e-01
135,"STRATFORD",1.3900000000000000e+02,66451.0000,"30,000 to 70,000",9.5067168342894748e-01
136,"MANSFIELD",7.9000000000000000e+01,66404.0000,"10,000 to 30,000",9.4999928468218431e-01
137,"DANBURY",3.4000000000000000e+01,65981.0000,"30,000 to 70,000",9.4394769596131556e-01
138,"DEEP RIVER",3.6000000000000000e+01,65577.0000,"0 to 10,000",9.3816792801041504e-01
139,"KENT",6.9000000000000000e+01,64648.0000,"0 to 10,000",9.2487732299460645e-01
140,"NORTH CANAAN",1.0100000000000000e+02,63607.0000,"0 to 10,000",9.0998440607161757e-01
141,"MANCHESTER",7.8000000000000000e+01,63198.0000,"30,000 to 70,000",9.0413310633914645e-01
142,"STAFFORD",1.3500000000000000e+02,62859.0000,"10,000 to 30,000",8.9928325154866307e-01
143,"PLAINFIELD",1.1000000000000000e+02,62630.0000,"10,000 to 30,000",8.9600709595273176e-01
144,"EAST HAVEN",4.3000000000000000e+01,61435.0000,"10,000 to 30,000",8.7891100015736989e-01
145,"MIDDLETOWN",8.4000000000000000e+01,61373.0000,"30,000 to 70,000",8.7802400606589504e-01
146,"VERNON",1.4700000000000000e+02,60556.0000,"10,000 to 30,000",8.6633571295726697e-01
147,"BRISTOL",1.7000000000000000e+01,60208.0000,"30,000 to 70,000",8.6135710095995655e-01
148,"WINCHESTER",1.6300000000000000e+02,60163.0000,"10,000 to 30,000",8.6071331492582159e-01
149,"GROTON",5.9000000000000000e+01,60157.0000,"30,000 to 70,000",8.6062747678793683e-01
150,"GRISWOLD",5.8000000000000000e+01,59545.0000,"10,000 to 30,000",8.5187198672370135e-01
151,"BROOKLYN",1.9000000000000000e+01,59369.0000,"0 to 10,000",8.4935406801241786e-01
152,"NAUGATUCK",8.9000000000000000e+01,58641.0000,"30,000 to 70,000",8.3893904061574553e-01
153,"KILLINGLY",7.0000000000000000e+01,57016.0000,"10,000 to 30,000",8.1569121160531621e-01
154,"PLAINVILLE",1.1100000000000000e+02,55506.0000,"10,000 to 30,000",7.9408861357100957e-01
155,"TORRINGTON",1.4400000000000000e+02,55460.0000,"30,000 to 70,000",7.9343052118056057e-01
156,"MERIDEN",8.1000000000000000e+01,53401.0000,"30,000 to 70,000",7.6397373352980724e-01
157,"DERBY",3.7000000000000000e+01,52136.0000,"10,000 to 30,000",7.4587619279245765e-01
158,"EAST HARTFORD",4.2000000000000000e+01,50355.0000,"30,000 to 70,000",7.2039657219702713e-01
159,"WEST HAVEN",1.5600000000000000e+02,49993.0000,"30,000 to 70,000",7.1521767121131918e-01
160,"NORWICH",1.0500000000000000e+02,49695.0000,"30,000 to 70,000",7.1095437702971431e-01
161,"PUTNAM",1.1700000000000000e+02,46418.0000,"0 to 10,000",6.6407244738837468e-01
162,"ANSONIA",2.0000000000000000e+00,43144.0000,"10,000 to 30,000",6.1723343681597731e-01
163,"NEW LONDON",9.5000000000000000e+01,41230.0000,"10,000 to 30,000",5.8985107083077015e-01
164,"BRIDGEPORT",1.5000000000000000e+01,41204.0000,"70,000 & Up",5.8947910556660321e-01
165,"WATERBURY",1.5200000000000000e+02,41136.0000,"70,000 & Up",5.8850627333724370e-01
166,"WINDHAM",1.6400000000000000e+02,41019.0000,"10,000 to 30,000",5.8683242964849280e-01
167,"NEW BRITAIN",9.0000000000000000e+01,40515.0000,"70,000 & Up",5.7962202606618118e-01
168,"NEW HAVEN",9.4000000000000000e+01,37508.0000,"70,000 & Up",5.3660281262965137e-01
169,"HARTFORD",6.5000000000000000e+01,29313.0000,"70,000 & Up",4.1936222263551698e-01
