Municipality,Mill Rate FY 2014-15
"TORRINGTON",3.6320000000000000e+01
"TRUMBULL",3.2161000000000001e+01
"UNION",2.9000000000000000e+01
"VERNON",3.6109999999999999e+01
"VOLUNTOWN",2.4250000000000000e+01
"WALLINGFORD",2.6890000000000001e+01
"WARREN",1.4199999999999999e+01
"WASHINGTON",1.3500000000000000e+01
"WATERBURY",5.8219999999999999e+01
"WATERFORD",2.4800000000000001e+01
"WATERTOWN",2.9120000000000001e+01
"WEST HARTFORD",3.7369999999999997e+01
"WEST HAVEN",3.1250000000000000e+01
"WESTBROOK",2.1789999999999999e+01
"WESTON",2.8239999999999998e+01
"WESTPORT",1.7940000000000001e+01
"WETHERSFIELD",3.6740000000000002e+01
"WILLINGTON",2.7340000000000000e+01
"WILTON",2.6513200000000001e+01
"WINCHESTER",3.1910000000000000e+01
"WINDHAM",3.2409999999999997e+01
"WINDSOR",3.0469999999999999e+01
"WINDSOR LOCKS",2.6230000000000000e+01
"WOLCOTT",2.7170000000000002e+01
"WOODBRIDGE",3.4969999999999999e+01
"WOODBURY",2.5690000000000001e+01
"WOODSTOCK",2.3100000000000001e+01
