Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"CANTERBURY",2.2000000000000000e+01,"W",8178512.0000,8351236.0000,8392562.0000,8757053.0000
"CANTON",2.3000000000000000e+01,"H",30259423.0000,30598767.0000,30504841.0000,31449709.0000
"CHAPLIN",2.4000000000000000e+01,"W",5071702.0000,5200342.0000,5189538.0000,5356586.0000
"CHESHIRE",2.5000000000000000e+01,"NH",79201676.0000,79373263.0000,79390716.0000,79615178.0000
"CHESTER",2.6000000000000000e+01,"M",10900177.0000,11047679.0000,10972424.0000,11205124.0000
"CLINTON",2.7000000000000000e+01,"M",37809965.0000,38153083.0000,37969516.0000,38846217.0000
"COLCHESTER",2.8000000000000000e+01,"NL",35565318.0000,36156049.0000,35970418.0000,37553186.0000
"COLEBROOK",2.9000000000000000e+01,"L",4963345.0000,5023088.0000,5035885.0000,5181353.0000
"COLUMBIA",3.0000000000000000e+01,"T",12444953.0000,12611835.0000,12592128.0000,12842924.0000
"CORNWALL",3.1000000000000000e+01,"L",5592164.0000,5695547.0000,5646488.0000,5963810.0000
"COVENTRY",3.2000000000000000e+01,"T",27346105.0000,27821385.0000,27966075.0000,28877198.0000
"CROMWELL",3.3000000000000000e+01,"M",38440234.0000,38757802.0000,38748503.0000,39805991.0000
"DANBURY",3.4000000000000000e+01,"F",179435370.0000,182473765.0000,181024471.0000,188701706.0000
"DARIEN",3.5000000000000000e+01,"F",115662835.0000,116477451.0000,115991882.0000,117480067.0000
"DEEP RIVER",3.6000000000000000e+01,"M",12037831.0000,12277789.0000,12215795.0000,12629355.0000
"DERBY",3.7000000000000000e+01,"NH",25169145.0000,26011029.0000,25705256.0000,27818793.0000
"DURHAM",3.8000000000000000e+01,"M",23761663.0000,24083725.0000,24092141.0000,24630858.0000
"EAST GRANBY",3.9000000000000000e+01,"H",16524880.0000,16715258.0000,16793285.0000,17180873.0000
"EAST HADDAM",4.0000000000000000e+01,"M",21638140.0000,21965909.0000,21847780.0000,22366927.0000
"EAST HAMPTON",4.1000000000000000e+01,"M",29481088.0000,30178771.0000,29909324.0000,31498271.0000
"EAST HARTFORD",4.2000000000000000e+01,"H",114914000.0000,117379000.0000,117789000.0000,121411000.0000
"EAST HAVEN",4.3000000000000000e+01,"NH",59311720.0000,60695731.0000,60606418.0000,63781730.0000
"EAST LYME",4.4000000000000000e+01,"NL",46939575.0000,47723345.0000,47388170.0000,49091881.0000
"EAST WINDSOR",4.5000000000000000e+01,"H",27238385.0000,27856236.0000,27716989.0000,29128634.0000
"EASTFORD",4.6000000000000000e+01,"W",3432668.0000,3539863.0000,3501393.0000,3691474.0000
"EASTON",4.7000000000000000e+01,"F",38019338.0000,38571418.0000,38614717.0000,40007106.0000
"ELLINGTON",4.8000000000000000e+01,"T",35893052.0000,36315834.0000,36293882.0000,37252041.0000
"ENFIELD",4.9000000000000000e+01,"H",81428000.0000,83132000.0000,83490000.0000,88565000.0000
"ESSEX",5.0000000000000000e+01,"M",21053694.0000,21321019.0000,21177094.0000,21653344.0000
"FAIRFIELD",5.1000000000000000e+01,"F",253640000.0000,256935000.0000,255474000.0000,261722000.0000
"FARMINGTON",5.2000000000000000e+01,"H",83232370.0000,83534157.0000,83379021.0000,83932378.0000
"FRANKLIN",5.3000000000000000e+01,"NL",4575407.0000,4628408.0000,4595415.0000,4669923.0000
"GLASTONBURY",5.4000000000000000e+01,"H",132828871.0000,133617304.0000,133479410.0000,134480833.0000
"GOSHEN",5.5000000000000000e+01,"L",9875310.0000,9974682.0000,9952417.0000,10103088.0000
"GRANBY",5.6000000000000000e+01,"H",32782512.0000,33064702.0000,33055001.0000,33566408.0000
"GREENWICH",5.7000000000000000e+01,"F",325007975.0000,328586523.0000,326866797.0000,334169532.0000
"GRISWOLD",5.8000000000000000e+01,"NL",17746004.0000,18207564.0000,18156527.0000,19093253.0000
"GROTON",5.9000000000000000e+01,"NL",79198959.0000,80265647.0000,81236647.0000,83404327.0000
"GROTON (City of)",6.0000000000000000e+01,,5905522.0000,5942495.0000,6140662.0000,6185972.0000
"GUILFORD",6.1000000000000000e+01,"NH",74268441.0000,74615429.0000,74564809.0000,75007983.0000
"HADDAM",6.2000000000000000e+01,"M",26201284.0000,26502050.0000,26429340.0000,27576526.0000
"HAMDEN",6.3000000000000000e+01,"NH",154936008.0000,157517657.0000,156674839.0000,161688412.0000
"HAMPTON",6.4000000000000000e+01,"W",3799994.0000,3845612.0000,3949286.0000,4051030.0000
"HARTFORD",6.5000000000000000e+01,"H",236497000.0000,248851000.0000,243420000.0000,287160000.0000
"HARTLAND",6.6000000000000000e+01,"H",4723201.0000,4780653.0000,4801402.0000,4938078.0000
"HARWINTON",6.7000000000000000e+01,"L",13711984.0000,13786458.0000,13833460.0000,13996057.0000
"HEBRON",6.8000000000000000e+01,"T",26476300.0000,26944807.0000,26836082.0000,27909021.0000
"KENT",6.9000000000000000e+01,"L",9569964.0000,9663170.0000,9659095.0000,9944988.0000
"KILLINGLY",7.0000000000000000e+01,"W",29663595.0000,30395902.0000,30339972.0000,31611118.0000
"KILLINGWORTH",7.1000000000000000e+01,"M",17369307.0000,17507905.0000,17447334.0000,17631314.0000
"LEBANON",7.2000000000000000e+01,"NL",15874929.0000,16231351.0000,16181380.0000,16689075.0000
"LEDYARD",7.3000000000000000e+01,"NL",30563639.0000,30941463.0000,31203028.0000,31767676.0000
"LISBON",7.4000000000000000e+01,"NL",7044040.0000,7154693.0000,7150873.0000,7334678.0000
"LITCHFIELD",7.5000000000000000e+01,"L",24783000.0000,25183000.0000,25303000.0000,25931000.0000
"LYME",7.6000000000000000e+01,"NL",8374765.0000,8449911.0000,8483439.0000,8686834.0000
"MADISON",7.7000000000000000e+01,"NH",69944224.0000,70277425.0000,70179021.0000,70951789.0000
"MANCHESTER",7.8000000000000000e+01,"H",134726000.0000,137283000.0000,136748000.0000,142185000.0000
"MANSFIELD",7.9000000000000000e+01,"T",27746958.0000,28107020.0000,28092829.0000,28821676.0000
"MARLBOROUGH",8.0000000000000000e+01,"H",17410634.0000,17554560.0000,17599867.0000,17820795.0000
"MERIDEN",8.1000000000000000e+01,"NH",110777791.0000,113821418.0000,112648131.0000,121893337.0000
"MIDDLEBURY",8.2000000000000000e+01,"NH",26568052.0000,26883133.0000,27031338.0000,27680859.0000
"MIDDLEFIELD",8.3000000000000000e+01,"M",13218715.0000,13411359.0000,13433086.0000,13754063.0000
"MIDDLETOWN",8.4000000000000000e+01,"M",103804000.0000,106182000.0000,105712000.0000,110561000.0000
"MILFORD",8.5000000000000000e+01,"NH",164519000.0000,167368000.0000,165492000.0000,173310000.0000
"MONROE",8.6000000000000000e+01,"F",69304734.0000,70069868.0000,69729316.0000,70751889.0000
"MONTVILLE",8.7000000000000000e+01,"NL",35271962.0000,36196777.0000,36006070.0000,37806989.0000
"MORRIS",8.8000000000000000e+01,"L",7422587.0000,7492662.0000,7493897.0000,7599223.0000
"NAUGATUCK",8.9000000000000000e+01,"NH",66914810.0000,70459746.0000,69482505.0000,80919649.0000
"NEW BRITAIN",9.0000000000000000e+01,"H",105001000.0000,108247000.0000,107047000.0000,118620000.0000
"NEW CANAAN",9.1000000000000000e+01,"F",120824077.0000,121316433.0000,121388621.0000,122696840.0000
"NEW FAIRFIELD",9.2000000000000000e+01,"F",41774432.0000,42037398.0000,41763545.0000,42017657.0000
"NEW HARTFORD",9.3000000000000000e+01,"L",17675720.0000,17927099.0000,17892348.0000,18420946.0000
"NEW HAVEN",9.4000000000000000e+01,"NH",240521693.0000,245563607.0000,242488807.0000,253711237.0000
"NEW LONDON",9.5000000000000000e+01,"NL",42380488.0000,43339999.0000,42907295.0000,44515152.0000
"NEW MILFORD",9.6000000000000000e+01,"L",72702537.0000,73976276.0000,73854974.0000,76260961.0000
"NEWINGTON",9.7000000000000000e+01,"H",84607000.0000,85346000.0000,85019000.0000,86246000.0000
"NEWTOWN",9.8000000000000000e+01,"F",99196280.0000,99925361.0000,100064471.0000,101900940.0000
"NORFOLK",9.9000000000000000e+01,"L",6145462.0000,6263392.0000,6239037.0000,6447746.0000
"NORTH BRANFORD",1.0000000000000000e+02,"NH",36062304.0000,36583775.0000,36237818.0000,37426409.0000
"NORTH CANAAN",1.0100000000000000e+02,"L",7638367.0000,7863170.0000,7809451.0000,8353531.0000
"NORTH HAVEN",1.0200000000000000e+02,"NH",78477387.0000,79353113.0000,79389796.0000,81820750.0000
"NORTH STONINGTON",1.0300000000000000e+02,"NL",13190809.0000,13437647.0000,13438136.0000,13913917.0000
"NORWALK",1.0400000000000000e+02,"F",277778490.0000,281643493.0000,280290234.0000,286981224.0000
"NORWICH",1.0500000000000000e+02,"NL",63662000.0000,65922000.0000,65266000.0000,68878000.0000
"OLD LYME",1.0600000000000000e+02,"NL",30602152.0000,30979275.0000,31079508.0000,31814505.0000
"OLD SAYBROOK",1.0700000000000000e+02,"M",37466496.0000,37813661.0000,37675275.0000,38193814.0000
"ORANGE",1.0800000000000000e+02,"NH",57174412.0000,57670976.0000,57562039.0000,58079957.0000
"OXFORD",1.0900000000000000e+02,"NH",34510809.0000,35064485.0000,35419887.0000,37537710.0000
"PLAINFIELD",1.1000000000000000e+02,"W",22971580.0000,23766415.0000,23600163.0000,25153595.0000
"PLAINVILLE",1.1100000000000000e+02,"H",41005002.0000,41919332.0000,41806436.0000,43888399.0000
"PLYMOUTH",1.1200000000000000e+02,"L",,,,
"POMFRET",1.1300000000000000e+02,"W",8419442.0000,8549374.0000,8534300.0000,8767882.0000
"PORTLAND",1.1400000000000000e+02,"M",24610035.0000,24985915.0000,24838684.0000,25576819.0000
"PRESTON",1.1500000000000000e+02,"NL",8938446.0000,9137163.0000,9071134.0000,9325903.0000
"PROSPECT",1.1600000000000000e+02,"NH",22347735.0000,22589086.0000,22581101.0000,22941739.0000
"PUTNAM",1.1700000000000000e+02,"W",9222055.0000,9474026.0000,9421420.0000,10084358.0000
"REDDING",1.1800000000000000e+02,"F",45142235.0000,45791419.0000,45509612.0000,47863770.0000
"RIDGEFIELD",1.1900000000000000e+02,"F",114821477.0000,116316191.0000,116060197.0000,120216062.0000
"ROCKY HILL",1.2000000000000000e+02,"H",57170357.0000,57774467.0000,57664467.0000,58569423.0000
"ROXBURY",1.2100000000000000e+02,"L",9082670.0000,9159490.0000,9169882.0000,9265085.0000
"SALEM",1.2200000000000000e+02,"NL",10635143.0000,10872146.0000,10833969.0000,11198825.0000
"SALISBURY",1.2300000000000000e+02,"L",11973357.0000,12045991.0000,12045988.0000,12179313.0000
"SCOTLAND",1.2400000000000000e+02,"W",3810909.0000,3933365.0000,3902898.0000,4100200.0000
"SEYMOUR",1.2500000000000000e+02,"NH",39447706.0000,40243964.0000,40106962.0000,41977554.0000
"SHARON",1.2600000000000000e+02,"L",9733404.0000,9957533.0000,9948137.0000,10560681.0000
"SHELTON",1.2700000000000000e+02,"F",99057452.0000,100175548.0000,100635849.0000,103107245.0000
"SHERMAN",1.2800000000000000e+02,"F",12788379.0000,12878481.0000,12859505.0000,12995380.0000
"SIMSBURY",1.2900000000000000e+02,"H",82960550.0000,83294253.0000,83262673.0000,84011299.0000
"SOMERS",1.3000000000000000e+02,"T",19038264.0000,19288638.0000,19212151.0000,19667394.0000
"SOUTH WINDSOR",1.3100000000000000e+02,"H",85042713.0000,86279650.0000,85767216.0000,89489916.0000
"SOUTHBURY",1.3200000000000000e+02,"NH",54873599.0000,55288750.0000,55287784.0000,55959976.0000
"SOUTHINGTON",1.3300000000000000e+02,"H",101432000.0000,102716000.0000,102752000.0000,105298000.0000
"SPRAGUE",1.3400000000000000e+02,"NL",4824024.0000,4946649.0000,4977714.0000,5228268.0000
"STAFFORD",1.3500000000000000e+02,"T",24296846.0000,25257188.0000,25516848.0000,27615488.0000
"STAMFORD",1.3600000000000000e+02,"F",441572247.0000,447390857.0000,448311184.0000,458081622.0000
"STERLING",1.3700000000000000e+02,"W",6795925.0000,7067575.0000,7022901.0000,7432274.0000
"STONINGTON",1.3800000000000000e+02,"NL",50986927.0000,51505144.0000,51500849.0000,52346693.0000
"STRATFORD",1.3900000000000000e+02,"F",152760084.0000,156748314.0000,155579328.0000,163149968.0000
"SUFFIELD",1.4000000000000000e+02,"H",35653307.0000,36059468.0000,36028523.0000,36834346.0000
"THOMASTON",1.4100000000000000e+02,"L",17614927.0000,17879100.0000,17889867.0000,18529234.0000
"THOMPSON",1.4200000000000000e+02,"W",13384066.0000,13650569.0000,13643677.0000,14403171.0000
"TOLLAND",1.4300000000000000e+02,"T",38882421.0000,39180222.0000,39257596.0000,39670392.0000
"TORRINGTON",1.4400000000000000e+02,"L",81497980.0000,81497980.0000,81497980.0000,81497980.0000
"TRUMBULL",1.4500000000000000e+02,"F",135859321.0000,138338088.0000,136868363.0000,141489435.0000
"UNION",1.4600000000000000e+02,"T",2352746.0000,2395165.0000,2380399.0000,2449884.0000
"VERNON",1.4700000000000000e+02,"T",61327304.0000,62210620.0000,62123621.0000,63942666.0000
"VOLUNTOWN",1.4800000000000000e+02,"NL",4721288.0000,4841497.0000,4850602.0000,5075117.0000
"WALLINGFORD",1.4900000000000000e+02,"NH",109269000.0000,111148000.0000,110753000.0000,115581000.0000
"WARREN",1.5000000000000000e+02,"L",4697628.0000,4740754.0000,4714779.0000,4785624.0000
"WASHINGTON",1.5100000000000000e+02,"L",14544910.0000,14723517.0000,14759508.0000,15053347.0000
"WATERBURY",1.5200000000000000e+02,"NH",221936000.0000,225554000.0000,225074000.0000,236621000.0000
"WATERFORD",1.5300000000000000e+02,"NL",75510859.0000,76149928.0000,76095353.0000,77674439.0000
"WATERTOWN",1.5400000000000000e+02,"L",48518955.0000,49196092.0000,49274972.0000,50473074.0000
"WEST HARTFORD",1.5500000000000000e+02,"H",212530000.0000,214310000.0000,213978000.0000,216915000.0000
"WEST HAVEN",1.5600000000000000e+02,"NH",86723519.0000,88395137.0000,87611931.0000,93212737.0000
"WESTBROOK",1.5700000000000000e+02,"M",23527433.0000,23762610.0000,23792597.0000,24329609.0000
"WESTON",1.5800000000000000e+02,"F",62565863.0000,63422136.0000,63073536.0000,64726863.0000
"WESTPORT",1.5900000000000000e+02,"F",174508898.0000,177158678.0000,176869313.0000,187803848.0000
"WETHERSFIELD",1.6000000000000000e+02,"H",77323876.0000,78123896.0000,78324927.0000,80411280.0000
"WILLINGTON",1.6100000000000000e+02,"T",11662829.0000,11748116.0000,11687174.0000,11790996.0000
"WILTON",1.6200000000000000e+02,"F",109067765.0000,109682703.0000,109917562.0000,111677519.0000
"WINCHESTER",1.6300000000000000e+02,"L",23020269.0000,23634868.0000,23467269.0000,24319539.0000
"WINDHAM",1.6400000000000000e+02,"W",32776844.0000,33441340.0000,33363292.0000,34293581.0000
"WINDSOR",1.6500000000000000e+02,"H",81727446.0000,82919994.0000,82366481.0000,84192500.0000
"WINDSOR LOCKS",1.6600000000000000e+02,"H",31695426.0000,32306689.0000,32369806.0000,33664990.0000
"WOLCOTT",1.6700000000000000e+02,"NH",32141878.0000,32715206.0000,32599743.0000,33514637.0000
"WOODBRIDGE",1.6800000000000000e+02,"NH",40881959.0000,41057655.0000,41012393.0000,41276305.0000
"WOODBURY",1.6900000000000000e+02,"L",28415896.0000,29011852.0000,28751357.0000,30256197.0000
"WOODSTOCK",1.7000000000000000e+02,"W",14755377.0000,14978760.0000,15002020.0000,15367293.0000
