Municipality,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2012 Population,Moody's_Bond_Ratings_July2012,ACGLFY12,EGL,TANF12 Recipients,empl,ACMR,enrollmt
"GROTON (City of)",2.0120000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,20566312.0000,6256564.0000,27560933.0000,-490796.0000,17138.0000,0.0000,676227.0000,28571.0000,4206855.0000,3484919.0000,4189717.0000,327558.0000,5628575.0000,12381385.0000,0.0000,801259.0000,15302629.0000,3101624.0000,3101624.0000,175832.0000,175832.0000,4548.0000,4548.0000,0.0000,,3493000.0000,3493000.0000,5497598.0000,5443915.0000,9.9023518998660864e-01,5597114.0000,5523626.0000,9.8687037641184372e-01,,"Aa3",,,,,,
"GUILFORD",2.0120000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",30950017.0000,-3057255.0000,27892762.0000,3696482.0000,0.0000,0.0000,447040.0000,496390.0000,5084142.0000,4140712.0000,5084142.0000,10474843.0000,73809996.0000,86138813.0000,56963303.0000,5275703.0000,85428902.0000,0.0000,0.0000,148000.0000,148000.0000,561911.0000,561911.0000,0.0000,,42705002.0000,42705002.0000,70073457.0000,69726281.0000,9.9504554199459572e-01,70562896.0000,70064123.0000,9.9293151176788441e-01,2.2403000000000000e+04,"Aa2",3472194672.0000,4466535556.2757,3.7000000000000000e+01,5.5070623710522140e-02,2.1520000000000000e+01,3.6840799999999999e+03
"HADDAM",2.0120000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",17438822.0000,7878607.0000,25404489.0000,2810632.0000,0.0000,0.0000,0.0000,0.0000,3195092.0000,3195092.0000,3195092.0000,2197636.0000,25282077.0000,27932516.0000,20170062.0000,49921.0000,26233913.0000,110000.0000,110000.0000,1185102.0000,1185102.0000,623501.0000,623501.0000,0.0000,8982899.1727,180268.0000,9163167.1727,25123509.0000,24809142.0000,9.8748713804269939e-01,26279038.0000,25056672.0000,9.5348513138114110e-01,8.3580000000000000e+03,"Aa3",890333108.0000,1272219725.7142,8.0000000000000000e+00,6.0076351215591725e-02,2.8230000000000000e+01,1.3459700000000000e+03
"HAMDEN",2.0120000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",122583892.0000,-283066099.0000,-159065037.0000,-36202433.0000,0.0000,0.0000,0.0000,0.0000,1194991.0000,1194991.0000,1194991.0000,42518172.0000,139969770.0000,188285326.0000,87773548.0000,15140304.0000,189196483.0000,587527.0000,15114141.0000,0.0000,13565557.0000,-323630.0000,637427.0000,0.0000,,143213863.0000,143213863.0000,139022100.0000,137428543.0000,9.8853738362461796e-01,140986439.0000,137730117.0000,9.7690329635178597e-01,6.0863000000000000e+04,"A3",4022975958.0000,5754354481.4285,4.5500000000000000e+02,7.5246393372375375e-02,3.4767099999999999e+01,6.7696599999999999e+03
"HAMPTON",2.0120000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",5350207.0000,1440332.0000,9101127.0000,364393.0000,58542.0000,8948.0000,0.0000,114840.0000,1264326.0000,1081996.0000,1196836.0000,1831240.0000,3793257.0000,5742996.0000,4143921.0000,78631.0000,5527377.0000,0.0000,0.0000,208000.0000,208000.0000,7619.0000,7619.0000,0.0000,0.0000,833979.0000,833979.0000,3783591.0000,3695670.0000,9.7676255176629823e-01,3943543.0000,3749231.0000,9.5072654209678964e-01,1.8690000000000000e+03,,153546826.0000,208128935.1593,3.0000000000000000e+00,9.8741529525653432e-02,2.4800000000000001e+01,1.9499000000000001e+02
"HARTFORD",2.0120000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",966580000.0000,50814000.0000,1087549000.0000,23148000.0000,0.0000,0.0000,0.0000,4332000.0000,30113000.0000,25781000.0000,30113000.0000,280582000.0000,277245000.0000,573734000.0000,313069000.0000,39647000.0000,532626000.0000,2285000.0000,2840000.0000,38921000.0000,38921000.0000,4472000.0000,5027000.0000,0.0000,,337080000.0000,337080000.0000,278481000.0000,261285000.0000,9.3825072446594204e-01,312154000.0000,268831000.0000,8.6121273473990401e-01,1.2489300000000000e+05,"A1",3738377678.0000,7147577757.3694,5.6980000000000000e+03,1.5118541471499602e-01,7.1790000000000006e+01,2.1107369999999999e+04
"HARTLAND",2.0120000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",7307484.0000,1752221.0000,9091768.0000,235870.0000,0.0000,0.0000,0.0000,188687.0000,1027439.0000,838752.0000,1027439.0000,2004355.0000,4638279.0000,6737652.0000,4786648.0000,221302.0000,6176394.0000,56.0000,56.0000,427989.0000,427989.0000,133325.0000,133325.0000,0.0000,,1346821.0000,1346821.0000,4663158.0000,4584101.0000,9.8304646765132131e-01,4766841.0000,4615528.0000,9.6825717492989594e-01,2.1320000000000000e+03,"A1",197939734.0000,261420905.9029,3.0000000000000000e+00,6.3943161634103018e-02,2.3500000000000000e+01,3.1908999999999997e+02
"HARWINTON",2.0120000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",16750121.0000,3827597.0000,20874093.0000,-591809.0000,0.0000,0.0000,0.0000,0.0000,2821078.0000,2821078.0000,2821078.0000,3010249.0000,13787053.0000,17057404.0000,11389097.0000,200000.0000,16326782.0000,9780.0000,9780.0000,332000.0000,332000.0000,408402.0000,408402.0000,0.0000,7786311.4800,200000.0000,7986311.4800,13248909.0000,13094643.0000,9.8835632428300324e-01,13812225.0000,13516614.0000,9.7859787253682884e-01,5.6000000000000000e+03,,553918475.0000,748162895.9036,8.0000000000000000e+00,6.5629860031104201e-02,2.3899999999999999e+01,9.1482000000000005e+02
"HEBRON",2.0120000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",49016212.0000,5215082.0000,54540996.0000,1255942.0000,0.0000,0.0000,0.0000,194396.0000,3279342.0000,3084946.0000,3279342.0000,8531099.0000,26356371.0000,35729535.0000,26592584.0000,1930732.0000,34800837.0000,474029.0000,529785.0000,1091544.0000,1091544.0000,311183.0000,366939.0000,0.0000,12606149.6176,7400210.0000,20006359.6176,26370297.0000,25975464.0000,9.8502735862246826e-01,27081568.0000,26203615.0000,9.6758116073633549e-01,9.6240000000000000e+03,"Aa2",868218820.0000,1115238901.2880,8.0000000000000000e+00,5.8747697974217312e-02,3.0260000000000002e+01,2.0808099999999999e+03
"KENT",2.0120000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",9539728.0000,4337856.0000,13934963.0000,249895.0000,0.0000,0.0000,0.0000,638000.0000,2960284.0000,2322284.0000,2960284.0000,795244.0000,9483970.0000,10682291.0000,6691378.0000,826463.0000,10179641.0000,24009.0000,4132070.0000,588426.0000,4617380.0000,-61767.0000,17340.0000,0.0000,572328.0478,4930000.0000,5502328.0478,9367480.0000,9252594.0000,9.8773565569395394e-01,9693771.0000,9370308.0000,9.6663187112631399e-01,2.9510000000000000e+03,"Aa2",660005006.0000,810280826.9118,6.0000000000000000e+00,6.2868369351669937e-02,1.4270000000000000e+01,3.3937000000000000e+02
"KILLINGLY",2.0120000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",97765533.0000,17963381.0000,116355514.0000,-486136.0000,0.0000,0.0000,373778.0000,1686171.0000,9474809.0000,7414860.0000,9474809.0000,21912766.0000,28019655.0000,52931804.0000,41301709.0000,2748347.0000,53660123.0000,500815.0000,549204.0000,1239870.0000,1239870.0000,-1467374.0000,-1418985.0000,0.0000,,26420696.0000,26420696.0000,28005174.0000,27398276.0000,9.7832907590575946e-01,29033321.0000,27934193.0000,9.6214253271267181e-01,1.7269000000000000e+04,"Aa2",1311450736.0000,1626787833.0000,1.9100000000000000e+02,1.0445580715850986e-01,1.9199999999999999e+01,2.5491199999999999e+03
"KILLINGWORTH",2.0120000000000000e+03,7.1000000000000000e+01,7.0000000000000000e+01,"M",24630446.0000,5352114.0000,29982560.0000,-528247.0000,0.0000,0.0000,200000.0000,90000.0000,3174403.0000,2884403.0000,3174403.0000,2722055.0000,18724175.0000,21798520.0000,16985013.0000,281122.0000,20730259.0000,0.0000,0.0000,445500.0000,445500.0000,622761.0000,622761.0000,0.0000,7562100.8272,2570000.0000,10132100.8272,18657771.0000,18520110.0000,9.9262178745789087e-01,18769666.0000,18588989.0000,9.9037398960642131e-01,6.5040000000000000e+03,"Aa2",818293169.0000,1010340965.9162,6.0000000000000000e+00,5.8729736912038269e-02,2.2770000000000000e+01,1.0673000000000000e+03
"LEBANON",2.0120000000000000e+03,7.2000000000000000e+01,7.1000000000000000e+01,"NL",30557278.0000,4633294.0000,38631168.0000,1065131.0000,25294.0000,0.0000,0.0000,0.0000,2813613.0000,2788319.0000,2788319.0000,7764509.0000,14797966.0000,23843755.0000,18954614.0000,794057.0000,22618116.0000,750067.0000,750067.0000,1236082.0000,1236082.0000,739624.0000,739624.0000,0.0000,,3660535.0000,3660535.0000,15058644.0000,14718842.0000,9.7743475441746286e-01,15434677.0000,14965364.0000,9.6959359758548880e-01,7.3260000000000000e+03,,658930140.0000,870115361.0060,3.2000000000000000e+01,7.9911482665355305e-02,2.2800000000000001e+01,1.1860200000000000e+03
"LEDYARD",2.0120000000000000e+03,7.3000000000000000e+01,7.2000000000000000e+01,"NL",44232219.0000,3599104.0000,48107500.0000,-1265165.0000,0.0000,0.0000,0.0000,250000.0000,3862171.0000,3612171.0000,3862171.0000,18750904.0000,30349274.0000,51666931.0000,32771856.0000,1642953.0000,50359063.0000,786222.0000,786222.0000,1758792.0000,1758792.0000,335298.0000,335298.0000,0.0000,,13429913.0000,13429913.0000,30231449.0000,29860738.0000,9.8773757089843761e-01,30618122.0000,30121679.0000,9.8378597485502217e-01,1.5077000000000000e+04,"Aa2",1091877538.0000,1560175001.4285,6.3000000000000000e+01,7.3429593977539190e-02,2.7930000000000000e+01,2.5289699999999998e+03
"LISBON",2.0120000000000000e+03,7.4000000000000000e+01,7.3000000000000000e+01,"NL",7629982.0000,2394764.0000,10449994.0000,1129348.0000,0.0000,30015.0000,0.0000,166347.0000,2229543.0000,2033181.0000,2199528.0000,5005377.0000,6997811.0000,13303995.0000,10024384.0000,1143918.0000,13596314.0000,0.0000,3755711.0000,181376.0000,3167886.0000,-473695.0000,295506.0000,0.0000,,3936421.0000,3936421.0000,6909769.0000,6792749.0000,9.8306455686145222e-01,7094972.0000,6889508.0000,9.7104090051377234e-01,4.3550000000000000e+03,"Aa3",406919758.0000,505719282.8896,1.9000000000000000e+01,8.0753138075313813e-02,1.6859999999999999e+01,6.5536000000000001e+02
"LITCHFIELD",2.0120000000000000e+03,7.5000000000000000e+01,7.4000000000000000e+01,"L",38518000.0000,14448000.0000,52976000.0000,4006000.0000,56000.0000,0.0000,0.0000,522000.0000,4895000.0000,4317000.0000,4839000.0000,3352000.0000,24652000.0000,28532000.0000,18102000.0000,3582000.0000,27908000.0000,447000.0000,447000.0000,353000.0000,353000.0000,718000.0000,718000.0000,0.0000,,29870000.0000,29870000.0000,24488000.0000,24020000.0000,9.8088859849722310e-01,25134000.0000,24416000.0000,9.7143311848492087e-01,8.3530000000000000e+03,"Aa2",1100594853.0000,1425528146.9734,1.6000000000000000e+01,6.1561243917918340e-02,2.2199999999999999e+01,1.1542900000000000e+03
"LYME",2.0120000000000000e+03,7.6000000000000000e+01,7.5000000000000000e+01,"NL",7590239.0000,880802.0000,8620571.0000,945662.0000,0.0000,0.0000,0.0000,186681.0000,1083943.0000,897262.0000,1083943.0000,358924.0000,8117154.0000,8691592.0000,5862930.0000,416086.0000,8665051.0000,3750.0000,3750.0000,125000.0000,125000.0000,-94709.0000,-94709.0000,0.0000,8156245.3363,0.0000,8156245.3363,8097973.0000,8020116.0000,9.9038561872211728e-01,8231001.0000,8086611.0000,9.8245778368876402e-01,2.4030000000000000e+03,,604728085.0000,786819969.8912,3.0000000000000000e+00,5.3921568627450983e-02,1.3500000000000000e+01,2.9786000000000001e+02
"MADISON",2.0120000000000000e+03,7.7000000000000000e+01,7.6000000000000000e+01,"NH",76395822.0000,16702511.0000,93482189.0000,3431603.0000,0.0000,0.0000,0.0000,1363696.0000,10028892.0000,8665196.0000,10028892.0000,8300730.0000,66155979.0000,76712312.0000,52720499.0000,4101296.0000,73215766.0000,64100.0000,64100.0000,3062032.0000,3062032.0000,498614.0000,498614.0000,0.0000,,39460000.0000,39460000.0000,66347409.0000,65889778.0000,9.9310250382196541e-01,67031518.0000,66111966.0000,9.8628179657217374e-01,1.8291000000000000e+04,"Aaa",3432946993.0000,4321079300.6303,9.0000000000000000e+00,6.0697857062717381e-02,1.9430000000000000e+01,3.5193000000000002e+03
"ANDOVER",2.0120000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",5928214.0000,2622029.0000,8647792.0000,261519.0000,2187.0000,0.0000,0.0000,84012.0000,2029919.0000,1943720.0000,2027732.0000,2835725.0000,7520427.0000,10451841.0000,8408601.0000,132885.0000,10178489.0000,0.0000,0.0000,59.0000,59.0000,273293.0000,273293.0000,0.0000,3859499.9754,900000.0000,4759499.9754,7657199.0000,7572674.0000,9.8896136824966940e-01,7738418.0000,7618466.0000,9.8449915732130266e-01,3.2720000000000000e+03,,277779008.0000,375282777.6056,1.1000000000000000e+01,6.6003143006809845e-02,2.7600000000000001e+01,6.0815999999999997e+02
"ANSONIA",2.0120000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",34219254.0000,11665643.0000,45891459.0000,-1425498.0000,0.0000,0.0000,2408595.0000,0.0000,8759386.0000,6350791.0000,8759386.0000,26864426.0000,30079600.0000,60502603.0000,33764768.0000,8738794.0000,60374860.0000,0.0000,0.0000,0.0000,0.0000,127743.0000,127743.0000,0.0000,,18324741.0000,18324741.0000,30667475.0000,29491520.0000,9.6165465203770439e-01,33255713.0000,30418647.0000,9.1468936480177110e-01,1.9158000000000000e+04,"Aa3",1165382074.0000,1456089783.3750,2.8900000000000000e+02,1.1398536535092239e-01,2.6250000000000000e+01,2.7105599999999999e+03
"ASHFORD",2.0120000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",12401512.0000,3095434.0000,16899822.0000,362223.0000,37878.0000,0.0000,26171.0000,57485.0000,1822521.0000,1700987.0000,1784643.0000,5120557.0000,8882703.0000,14422540.0000,11084777.0000,499209.0000,13933046.0000,0.0000,0.0000,93463.0000,93463.0000,396031.0000,396031.0000,0.0000,2543487.6514,2905000.0000,5448487.6514,8826425.0000,8641907.0000,9.7909482038311091e-01,9378234.0000,8793547.0000,9.3765489323469642e-01,4.2840000000000000e+03,"Aa3",343837767.0000,405748470.9402,2.1000000000000000e+01,7.6923076923076927e-02,2.5600000000000001e+01,7.0271000000000004e+02
"AVON",2.0120000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",115379009.0000,12329474.0000,127708483.0000,4035090.0000,190147.0000,0.0000,0.0000,2318586.0000,9119240.0000,6610507.0000,8929093.0000,10519982.0000,66477970.0000,79568080.0000,51292289.0000,4658237.0000,77584466.0000,33432.0000,33432.0000,903060.0000,903060.0000,1113986.0000,1113986.0000,0.0000,,29570000.0000,29570000.0000,66261613.0000,66072909.0000,9.9715213693937699e-01,66435130.0000,66204680.0000,9.9653120269351469e-01,1.8283000000000000e+04,"Aaa",2638616860.0000,3572440735.7362,1.4000000000000000e+01,5.4104477611940295e-02,2.5039999999999999e+01,3.5380000000000000e+03
"BARKHAMSTED",2.0120000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",3962416.0000,3254663.0000,7217079.0000,112890.0000,0.0000,0.0000,0.0000,1236.0000,1456193.0000,1454957.0000,1456193.0000,2118537.0000,8445529.0000,10688900.0000,8597998.0000,15254.0000,10524397.0000,0.0000,0.0000,155040.0000,155040.0000,9463.0000,9463.0000,0.0000,1458054.4132,1925000.0000,3383054.4132,8435758.0000,8245347.0000,9.7742811019472109e-01,8907115.0000,8353532.0000,9.3784934852643087e-01,3.7590000000000000e+03,,370660182.0000,531437283.1912,4.0000000000000000e+00,7.6030927835051540e-02,2.2670000000000002e+01,6.5015999999999997e+02
"BEACON FALLS",2.0120000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",11924797.0000,1120603.0000,13285976.0000,1042103.0000,0.0000,0.0000,0.0000,0.0000,872562.0000,872562.0000,872562.0000,4488715.0000,14110201.0000,19057733.0000,13312652.0000,302547.0000,18881175.0000,50000.0000,109450.0000,235900.0000,235900.0000,-9342.0000,50108.0000,0.0000,8535227.6524,2597092.0000,11132319.6524,13962723.0000,13487356.0000,9.6595456344725883e-01,15031156.0000,13816067.0000,9.1916197263869792e-01,6.0650000000000000e+03,,540455641.0000,636220057.7926,2.4000000000000000e+01,7.4433656957928807e-02,2.6100000000000001e+01,9.9490999999999997e+02
"BERLIN",2.0120000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",57119702.0000,19290018.0000,76567108.0000,539496.0000,0.0000,0.0000,368642.0000,1550000.0000,11298003.0000,9379361.0000,11298003.0000,13319574.0000,57384370.0000,75213076.0000,45044221.0000,2862610.0000,73665280.0000,317390.0000,429578.0000,1047083.0000,1047083.0000,818103.0000,930291.0000,0.0000,,27583238.0000,27583238.0000,57082130.0000,56246044.0000,9.8535292919167528e-01,58811019.0000,56801878.0000,9.6583733738740352e-01,2.0463000000000000e+04,"Aa2",2315395129.0000,3173994699.6836,3.2000000000000000e+01,6.6916441578809799e-02,2.4500000000000000e+01,3.0789200000000001e+03
"BETHANY",2.0120000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17445773.0000,4180856.0000,22327162.0000,148822.0000,20822.0000,3300.0000,0.0000,0.0000,2989420.0000,2965298.0000,2965298.0000,3233000.0000,17388184.0000,21332188.0000,15411290.0000,1155706.0000,20977192.0000,0.0000,5960736.0000,509819.0000,6028380.0000,-154823.0000,287352.0000,0.0000,9414819.5923,7589088.0000,17003907.5923,17361758.0000,17122459.0000,9.8621689116966149e-01,17624644.0000,17263580.0000,9.7951368549628581e-01,5.5500000000000000e+03,"Aa2",617087907.0000,818192357.9615,1.3000000000000000e+01,6.1231172233136871e-02,2.8059999999999999e+01,9.7352999999999997e+02
