Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"LEBANON",72,"NL",17965903.0000,18223118.0000,18392607.0000,18773165.0000
"LEDYARD",73,"NL",34190219.0000,34614907.0000,34473672.0000,35220292.0000
"LISBON",74,"NL",7541296.0000,7647714.0000,7657433.0000,7930442.0000
"LITCHFIELD",75,"L",27415497.0000,27729272.0000,27708426.0000,28283144.0000
"LYME",76,"NL",9386998.0000,9472210.0000,9474539.0000,9662632.0000
"MADISON",77,"NH",75745823.0000,76096977.0000,76031126.0000,76840755.0000
"MANCHESTER",78,"H",140888000.0000,143323000.0000,142804000.0000,147875000.0000
"MANSFIELD",79,"T",31384167.0000,31643561.0000,31591440.0000,32195600.0000
"MARLBOROUGH",80,"H",19715983.0000,19872403.0000,19828153.0000,20054185.0000
"MERIDEN",81,"NH",120721440.0000,123323652.0000,122944237.0000,131148103.0000
"MIDDLEBURY",82,"NH",28997317.0000,29468293.0000,29461949.0000,30389678.0000
"MIDDLEFIELD",83,"M",13442057.0000,13665986.0000,13626395.0000,14053539.0000
"MIDDLETOWN",84,"M",116365000.0000,119420000.0000,118182000.0000,125015000.0000
"MILFORD",85,"NH",175991000.0000,178889000.0000,179278000.0000,187191000.0000
"MONROE",86,"F",74237134.0000,75013051.0000,74865446.0000,76029066.0000
"MONTVILLE",87,"NL",38044641.0000,38989997.0000,38523027.0000,41424451.0000
"MORRIS",88,"L",8395990.0000,8519184.0000,8636014.0000,8818197.0000
"NAUGATUCK",89,"NH",71126468.0000,74955066.0000,74572511.0000,88207874.0000
"NEW BRITAIN",90,"H",119252000.0000,122594000.0000,122736000.0000,136056000.0000
"NEW CANAAN",91,"F",134029719.0000,134542165.0000,134393619.0000,135184759.0000
"NEW FAIRFIELD",92,"F",42150506.0000,42437752.0000,42348285.0000,42820280.0000
"NEW HARTFORD",93,"L",19235749.0000,19496089.0000,19598837.0000,20076627.0000
"NEW HAVEN",94,"NH",246609814.0000,251492664.0000,247639398.0000,258423719.0000
"NEW LONDON",95,"NL",51370348.0000,52309151.0000,52167453.0000,53717351.0000
"NEW MILFORD",96,"L",75614542.0000,76802218.0000,76419277.0000,78426291.0000
"NEWINGTON",97,"H",92629000.0000,93302000.0000,93092000.0000,94238000.0000
"NEWTOWN",98,"F",102196864.0000,102847280.0000,102563627.0000,104405837.0000
"NORFOLK",99,"L",6452273.0000,6524527.0000,6507113.0000,6654412.0000
"NORTH BRANFORD",100,"NH",38975533.0000,39540971.0000,39482509.0000,40707406.0000
"NORTH CANAAN",101,"L",8702479.0000,8976537.0000,8876055.0000,9506462.0000
"NORTH HAVEN",102,"NH",83850584.0000,84880513.0000,84217112.0000,86823983.0000
"NORTH STONINGTON",103,"NL",13706986.0000,14013046.0000,13897645.0000,14623316.0000
"NORWALK",104,"F",303329078.0000,307313733.0000,304557282.0000,310701459.0000
"NORWICH",105,"NL",72111000.0000,74367000.0000,73442000.0000,76968000.0000
"OLD LYME",106,"NL",32966245.0000,33318255.0000,33381827.0000,34054035.0000
"OLD SAYBROOK",107,"M",42115229.0000,42458577.0000,42494225.0000,42964347.0000
"ORANGE",108,"NH",61145713.0000,61593922.0000,61461698.0000,61956809.0000
"OXFORD",109,"NH",34686576.0000,35247753.0000,35200087.0000,37154205.0000
"PLAINFIELD",110,"W",26694313.0000,27408386.0000,27212218.0000,28734582.0000
"PLAINVILLE",111,"H",43590849.0000,44436738.0000,44256046.0000,46596575.0000
"PLYMOUTH",112,"L",27135998.0000,27781374.0000,27590388.0000,28580016.0000
"POMFRET",113,"W",8700053.0000,8778905.0000,8773629.0000,8893780.0000
"PORTLAND",114,"M",26122321.0000,26467246.0000,26394441.0000,27164094.0000
"PRESTON",115,"NL",9300872.0000,9494091.0000,9437555.0000,9737994.0000
"PROSPECT",116,"NH",24927676.0000,25169096.0000,25137244.0000,25465940.0000
"PUTNAM",117,"W",10321887.0000,10524607.0000,10580212.0000,11170840.0000
"REDDING",118,"F",45521327.0000,46189697.0000,45910611.0000,48822598.0000
"RIDGEFIELD",119,"F",124557363.0000,125667665.0000,126351661.0000,129374334.0000
"ROCKY HILL",120,"H",63081494.0000,63539767.0000,63597320.0000,64357152.0000
"ROXBURY",121,"L",9520058.0000,9606249.0000,9579394.0000,9683171.0000
"SALEM",122,"NL",11609955.0000,11735249.0000,11789125.0000,12008889.0000
"SALISBURY",123,"L",13217399.0000,13336576.0000,13279538.0000,13497567.0000
"SCOTLAND",124,"W",4289597.0000,4374596.0000,4366804.0000,4510743.0000
"SEYMOUR",125,"NH",42534319.0000,43226476.0000,43231695.0000,44592940.0000
"SHARON",126,"L",10347362.0000,10580556.0000,10546526.0000,11213746.0000
"SHELTON",127,"F",101932309.0000,102961802.0000,102621193.0000,105155442.0000
"SHERMAN",128,"F",13758270.0000,13795598.0000,13812478.0000,13864825.0000
"SIMSBURY",129,"H",85007777.0000,85482093.0000,85344182.0000,86370172.0000
"SOMERS",130,"T",20177715.0000,20442173.0000,20448601.0000,20786573.0000
"SOUTH WINDSOR",131,"H",94247010.0000,95502476.0000,94991846.0000,98811314.0000
"SOUTHBURY",132,"NH",60659191.0000,61139258.0000,60944087.0000,61766989.0000
"SOUTHINGTON",133,"H",114908000.0000,116198000.0000,116438000.0000,118718000.0000
"SPRAGUE",134,"NL",4936848.0000,5377997.0000,5029528.0000,6104228.0000
"STAFFORD",135,"T",25330801.0000,25964212.0000,26043945.0000,27259082.0000
"STAMFORD",136,"F",499123905.0000,505429194.0000,503403916.0000,513237074.0000
"STERLING",137,"W",7025078.0000,7191255.0000,7212375.0000,7396016.0000
"STONINGTON",138,"NL",58263288.0000,58791362.0000,58920238.0000,59502165.0000
"STRATFORD",139,"F",168761349.0000,172755443.0000,171768208.0000,180413203.0000
"SUFFIELD",140,"H",38944457.0000,39310525.0000,39195432.0000,40088723.0000
"THOMASTON",141,"L",18537433.0000,18744659.0000,18716298.0000,19078278.0000
"THOMPSON",142,"W",15278869.0000,15555474.0000,15574237.0000,16394883.0000
"TOLLAND",143,"T",42991650.0000,43430320.0000,43264993.0000,43891438.0000
"TORRINGTON",144,"L",87745345.0000,87745345.0000,87745345.0000,87745345.0000
"TRUMBULL",145,"F",148504549.0000,149913420.0000,149786330.0000,151979333.0000
"UNION",146,"T",2716036.0000,2754071.0000,2758677.0000,2837434.0000
"VERNON",147,"T",66936857.0000,67778045.0000,67639809.0000,69094231.0000
"VOLUNTOWN",148,"NL",5550787.0000,5659814.0000,5627815.0000,5871030.0000
"WALLINGFORD",149,"NH",116264000.0000,118055000.0000,117567000.0000,121920000.0000
"WARREN",150,"L",5083326.0000,5103840.0000,5102169.0000,5122683.0000
"WASHINGTON",151,"L",15749976.0000,15864090.0000,15973556.0000,16128649.0000
"WATERBURY",152,"NH",232992000.0000,236551000.0000,233827000.0000,240987000.0000
"WATERFORD",153,"NL",85024687.0000,85633930.0000,85629185.0000,87295150.0000
"WATERTOWN",154,"L",53569468.0000,54355497.0000,54228568.0000,55605970.0000
"WEST HARTFORD",155,"H",234921000.0000,236740000.0000,236220000.0000,239290000.0000
"WEST HAVEN",156,"NH",92520326.0000,94194456.0000,93128245.0000,96907205.0000
"WESTBROOK",157,"M",26869618.0000,27003379.0000,27018820.0000,27294710.0000
"WESTON",158,"F",66495193.0000,67306771.0000,67419388.0000,69618035.0000
"WESTPORT",159,"F",181519184.0000,183629580.0000,183781677.0000,194047575.0000
"WETHERSFIELD",160,"H",84613505.0000,85282173.0000,85091086.0000,87104850.0000
"WILLINGTON",161,"T",12264642.0000,12330776.0000,12325957.0000,12403059.0000
"WILTON",162,"F",116302499.0000,117214932.0000,117096005.0000,119332244.0000
"WINCHESTER",163,"L",22902097.0000,23241742.0000,23274207.0000,23743269.0000
"WINDHAM",164,"W",35162593.0000,35990960.0000,35724739.0000,37086069.0000
"WINDSOR",165,"H",92085688.0000,93031833.0000,93012325.0000,94442696.0000
"WINDSOR LOCKS",166,"H",32642728.0000,33469448.0000,32815325.0000,34147846.0000
"WOLCOTT",167,"NH",36582945.0000,37402689.0000,37053460.0000,38496314.0000
"WOODBRIDGE",168,"NH",43867457.0000,44027418.0000,43984254.0000,44141690.0000
"WOODBURY",169,"L",29557655.0000,30068493.0000,30043670.0000,31519210.0000
"WOODSTOCK",170,"W",16332396.0000,16585539.0000,16563437.0000,16978090.0000
