TFA18%,TFA17%,MUNICIPALITY,numbered,2018 TFA Recipients,2017 TFA Recipients,Sort ID
4.4622936189201252e-03,9.3708165997322627e-03,"CHAPLIN",2.4000000000000000e+01,1.0000000000000000e+01,2.1000000000000000e+01,39
4.2372881355932203e-03,2.8248587570621469e-03,"CANAAN",2.1000000000000000e+01,4.5000000000000000e+00,3.0000000000000000e+00,40
4.1844505816386306e-03,5.7745418026613109e-03,"STAFFORD",1.3500000000000000e+02,5.0000000000000000e+01,6.9000000000000000e+01,41
3.8642009384487995e-03,3.7261937620756279e-03,"SALISBURY",1.2300000000000000e+02,1.4000000000000000e+01,1.3500000000000000e+01,42
3.8580246913580245e-03,2.3148148148148147e-03,"FRANKLIN",5.3000000000000000e+01,7.5000000000000000e+00,4.5000000000000000e+00,43
3.8368630975787878e-03,4.1233638559631481e-03,"NORWALK",1.0400000000000000e+02,3.4150000000000000e+02,3.6700000000000000e+02,44
3.6076964190272583e-03,5.3447354355959384e-03,"STERLING",1.3700000000000000e+02,1.3500000000000000e+01,2.0000000000000000e+01,45
3.5048590090807712e-03,4.2217619882109290e-03,"WINDSOR LOCKS",1.6600000000000000e+02,4.4000000000000000e+01,5.3000000000000000e+01,46
3.4960359155602255e-03,3.5151399369567292e-03,"STRATFORD",1.3900000000000000e+02,1.8300000000000000e+02,1.8400000000000000e+02,47
3.4727662018904384e-03,3.4988772259648025e-03,"MONTVILLE",8.7000000000000000e+01,6.6500000000000000e+01,6.7000000000000000e+01,48
3.4690474909912332e-03,4.4640456085623618e-03,"STONINGTON",1.3800000000000000e+02,6.4500000000000000e+01,8.3000000000000000e+01,49
3.4453057708871662e-03,5.2217915590008612e-03,"THOMPSON",1.4200000000000000e+02,3.2000000000000000e+01,4.8500000000000000e+01,50
3.3699534946417739e-03,4.2798409381950529e-03,"LEDYARD",7.3000000000000000e+01,5.0000000000000000e+01,6.3500000000000000e+01,52
3.3166495808960982e-03,2.5025628655852379e-03,"SEYMOUR",1.2500000000000000e+02,5.5000000000000000e+01,4.1500000000000000e+01,53
3.3164260632071790e-03,2.3410066328521262e-03,"BOZRAH",1.3000000000000000e+01,8.5000000000000000e+00,6.0000000000000000e+00,54
3.3025517558170846e-03,3.5718245608477341e-03,"WEST HARTFORD",1.5500000000000000e+02,2.0850000000000000e+02,2.2550000000000000e+02,55
3.2228360957642726e-03,3.8147855827413840e-03,"THOMASTON",1.4100000000000000e+02,2.4500000000000000e+01,2.9000000000000000e+01,56
3.2156925797893719e-03,2.8137310073157004e-03,"COVENTRY",3.2000000000000000e+01,4.0000000000000000e+01,3.5000000000000000e+01,57
3.1005348422602900e-03,2.9067514146190218e-03,"EAST HAMPTON",4.1000000000000000e+01,4.0000000000000000e+01,3.7500000000000000e+01,58
2.9914529914529917e-03,3.5256410256410257e-03,"PORTLAND",1.1400000000000000e+02,2.8000000000000000e+01,3.3000000000000000e+01,60
2.9326889238204725e-03,3.2611500832883653e-03,"DANBURY",3.4000000000000000e+01,2.5000000000000000e+02,2.7800000000000000e+02,61
2.9182879377431907e-03,3.0804150453955900e-03,"BEACON FALLS",6.0000000000000000e+00,1.8000000000000000e+01,1.9000000000000000e+01,62
2.9067779221667463e-03,2.9181770512732826e-03,"SOUTHINGTON",1.3300000000000000e+02,1.2750000000000000e+02,1.2800000000000000e+02,63
2.7586206896551722e-03,4.1379310344827587e-03,"CANTERBURY",2.2000000000000000e+01,1.4000000000000000e+01,2.1000000000000000e+01,65
2.6906878802058962e-03,3.9775386055217596e-03,"LISBON",7.4000000000000000e+01,1.1500000000000000e+01,1.7000000000000000e+01,66
2.5410476935105552e-03,5.0820953870211105e-03,"VOLUNTOWN",1.4800000000000000e+02,6.5000000000000000e+00,1.3000000000000000e+01,67
2.4908668216539354e-03,2.1772021107789954e-03,"NEW MILFORD",9.6000000000000000e+01,6.7500000000000000e+01,5.9000000000000000e+01,68
2.4384296513045600e-03,2.1945866861741038e-03,"BERLIN",7.0000000000000000e+00,5.0000000000000000e+01,4.5000000000000000e+01,69
2.4367685247767778e-03,2.9881541033759027e-03,"BRANFORD",1.4000000000000000e+01,6.8500000000000000e+01,8.4000000000000000e+01,70
2.4148756339048539e-03,2.4148756339048539e-03,"SALEM",1.2200000000000000e+02,1.0000000000000000e+01,1.0000000000000000e+01,71
2.3914643119941135e-03,9.1979396615158204e-04,"SHARON",1.2600000000000000e+02,6.5000000000000000e+00,2.5000000000000000e+00,72
2.3229070837166512e-03,2.7138914443422262e-03,"WATERTOWN",1.5400000000000000e+02,5.0500000000000000e+01,5.9000000000000000e+01,73
