Municipality,2013 TFA Recipients,2014 TFA Recipients,2015 TFA Recipients,2016 TFA Recipients,2017 TFA Recipients,2018 TFA Recipients
"EAST HAVEN",2.4900000000000000e+02,2.8250000000000000e+02,2.6300000000000000e+02,2.4900000000000000e+02,1.8600000000000000e+02,1.9300000000000000e+02
"EAST LYME",4.3000000000000000e+01,5.5000000000000000e+01,4.1500000000000000e+01,2.8000000000000000e+01,3.0500000000000000e+01,2.5500000000000000e+01
"EAST WINDSOR",5.5500000000000000e+01,6.0000000000000000e+01,7.8500000000000000e+01,5.1500000000000000e+01,4.6500000000000000e+01,5.1500000000000000e+01
"EASTFORD",1.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000000e+00,1.5000000000000000e+00,5.0000000000000000e-01,5.0000000000000000e-01
"EASTON",2.5000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+00,5.5000000000000000e+00,0.0000000000000000e+00,1.5000000000000000e+00
"ELLINGTON",4.6500000000000000e+01,3.9000000000000000e+01,3.4500000000000000e+01,3.2000000000000000e+01,4.4500000000000000e+01,3.7000000000000000e+01
"ENFIELD",2.7250000000000000e+02,3.0250000000000000e+02,3.4950000000000000e+02,3.3950000000000000e+02,2.5200000000000000e+02,2.4400000000000000e+02
"ESSEX",7.0000000000000000e+00,4.0000000000000000e+00,6.0000000000000000e+00,5.5000000000000000e+00,6.0000000000000000e+00,6.0000000000000000e+00
"FAIRFIELD",6.6000000000000000e+01,5.9500000000000000e+01,5.2000000000000000e+01,3.4000000000000000e+01,4.1000000000000000e+01,3.7000000000000000e+01
"FARMINGTON",4.2500000000000000e+01,5.5000000000000000e+01,5.3000000000000000e+01,3.9000000000000000e+01,4.0000000000000000e+01,3.7500000000000000e+01
"FRANKLIN",6.5000000000000000e+00,8.0000000000000000e+00,5.0000000000000000e+00,2.0000000000000000e+00,4.5000000000000000e+00,7.5000000000000000e+00
"GLASTONBURY",4.7000000000000000e+01,5.5000000000000000e+01,6.5000000000000000e+01,7.3000000000000000e+01,5.9000000000000000e+01,5.8500000000000000e+01
"GOSHEN",1.0000000000000000e+01,7.0000000000000000e+00,3.0000000000000000e+00,4.5000000000000000e+00,7.5000000000000000e+00,5.0000000000000000e+00
"GRANBY",1.5000000000000000e+01,1.2000000000000000e+01,1.1500000000000000e+01,4.5000000000000000e+00,2.5000000000000000e+00,4.5000000000000000e+00
"GREENWICH",1.3800000000000000e+02,1.3100000000000000e+02,1.1900000000000000e+02,1.0500000000000000e+02,8.9500000000000000e+01,8.0500000000000000e+01
"GRISWOLD",1.6250000000000000e+02,1.8150000000000000e+02,1.4250000000000000e+02,1.1650000000000000e+02,6.8000000000000000e+01,7.3500000000000000e+01
"GROTON",3.4600000000000000e+02,3.6350000000000000e+02,3.3850000000000000e+02,2.6200000000000000e+02,2.1350000000000000e+02,2.3450000000000000e+02
"GROTON (City of)",,,,,,
"GUILFORD",3.9500000000000000e+01,3.6000000000000000e+01,4.6500000000000000e+01,4.6500000000000000e+01,2.8000000000000000e+01,1.4500000000000000e+01
"HADDAM",1.3000000000000000e+01,1.9500000000000000e+01,1.5500000000000000e+01,5.5000000000000000e+00,9.5000000000000000e+00,7.5000000000000000e+00
"HAMDEN",5.2450000000000000e+02,5.6250000000000000e+02,4.9000000000000000e+02,4.5250000000000000e+02,3.8150000000000000e+02,4.0350000000000000e+02
"HAMPTON",8.0000000000000000e+00,1.1500000000000000e+01,9.0000000000000000e+00,7.5000000000000000e+00,1.2000000000000000e+01,1.1000000000000000e+01
"HARTFORD",6.0110000000000000e+03,6.2750000000000000e+03,6.1475000000000000e+03,5.4615000000000000e+03,4.8315000000000000e+03,4.2030000000000000e+03
"HARTLAND",1.5000000000000000e+00,1.5000000000000000e+00,2.5000000000000000e+00,2.0000000000000000e+00,2.5000000000000000e+00,1.0000000000000000e+00
"HARWINTON",1.1000000000000000e+01,9.5000000000000000e+00,4.5000000000000000e+00,3.0000000000000000e+00,1.0000000000000000e+00,2.5000000000000000e+00
"HEBRON",1.0500000000000000e+01,1.0500000000000000e+01,1.2500000000000000e+01,1.4500000000000000e+01,7.0000000000000000e+00,6.5000000000000000e+00
"KENT",1.5000000000000000e+00,3.5000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,2.5000000000000000e+00
"KILLINGLY",2.2150000000000000e+02,2.6600000000000000e+02,2.5050000000000000e+02,1.8150000000000000e+02,1.8250000000000000e+02,1.5650000000000000e+02
"KILLINGWORTH",5.0000000000000000e+00,6.0000000000000000e+00,6.5000000000000000e+00,5.5000000000000000e+00,1.0000000000000000e+00,3.5000000000000000e+00
"LEBANON",3.6000000000000000e+01,3.0500000000000000e+01,2.9000000000000000e+01,1.5500000000000000e+01,1.4000000000000000e+01,1.3000000000000000e+01
"LEDYARD",7.6000000000000000e+01,7.3000000000000000e+01,8.0000000000000000e+01,6.8500000000000000e+01,6.3500000000000000e+01,5.0000000000000000e+01
"LISBON",2.7000000000000000e+01,2.1000000000000000e+01,1.5000000000000000e+01,1.8000000000000000e+01,1.7000000000000000e+01,1.1500000000000000e+01
"LITCHFIELD",1.5000000000000000e+01,1.7500000000000000e+01,1.6000000000000000e+01,1.4500000000000000e+01,1.3500000000000000e+01,1.8500000000000000e+01
"LYME",1.0000000000000000e+00,2.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,3.5000000000000000e+00,0.0000000000000000e+00
"MADISON",1.3500000000000000e+01,1.2500000000000000e+01,1.4000000000000000e+01,5.0000000000000000e+00,8.0000000000000000e+00,1.3500000000000000e+01
"MANCHESTER",7.5300000000000000e+02,7.9050000000000000e+02,7.7350000000000000e+02,6.8200000000000000e+02,6.7150000000000000e+02,6.4450000000000000e+02
"MANSFIELD",3.9500000000000000e+01,3.0500000000000000e+01,4.5500000000000000e+01,3.0000000000000000e+01,2.2500000000000000e+01,2.1500000000000000e+01
"MARLBOROUGH",1.2000000000000000e+01,1.7000000000000000e+01,1.1000000000000000e+01,1.1000000000000000e+01,1.6000000000000000e+01,1.1500000000000000e+01
"MERIDEN",1.4590000000000000e+03,1.3035000000000000e+03,1.3690000000000000e+03,1.2605000000000000e+03,1.0195000000000000e+03,9.2700000000000000e+02
"MIDDLEBURY",7.5000000000000000e+00,8.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+00,4.5000000000000000e+00,2.0000000000000000e+00
"MIDDLEFIELD",8.0000000000000000e+00,1.3000000000000000e+01,7.5000000000000000e+00,6.0000000000000000e+00,6.5000000000000000e+00,6.5000000000000000e+00
"MIDDLETOWN",5.0900000000000000e+02,4.9700000000000000e+02,5.3050000000000000e+02,5.0650000000000000e+02,4.1600000000000000e+02,3.5700000000000000e+02
"MILFORD",1.7900000000000000e+02,1.6550000000000000e+02,1.3050000000000000e+02,1.2950000000000000e+02,1.1450000000000000e+02,9.0500000000000000e+01
"MONROE",2.3000000000000000e+01,1.9500000000000000e+01,1.0500000000000000e+01,9.5000000000000000e+00,1.1500000000000000e+01,1.0500000000000000e+01
"MONTVILLE",1.0750000000000000e+02,1.0800000000000000e+02,9.2500000000000000e+01,6.6000000000000000e+01,6.7000000000000000e+01,6.6500000000000000e+01
"MORRIS",1.0500000000000000e+01,8.0000000000000000e+00,1.1000000000000000e+01,7.0000000000000000e+00,4.0000000000000000e+00,5.0000000000000000e+00
"NAUGATUCK",3.0250000000000000e+02,3.0350000000000000e+02,3.1050000000000000e+02,2.4600000000000000e+02,2.5050000000000000e+02,2.0800000000000000e+02
"NEW BRITAIN",2.8975000000000000e+03,2.8930000000000000e+03,2.8000000000000000e+03,2.6850000000000000e+03,2.4640000000000000e+03,2.3870000000000000e+03
"NEW CANAAN",1.1000000000000000e+01,2.4000000000000000e+01,2.2500000000000000e+01,1.0500000000000000e+01,1.4500000000000000e+01,2.2000000000000000e+01
"NEW FAIRFIELD",2.0000000000000000e+01,1.8000000000000000e+01,1.7500000000000000e+01,1.2500000000000000e+01,1.7500000000000000e+01,1.6500000000000000e+01
"NEW HARTFORD",1.4000000000000000e+01,1.4000000000000000e+01,7.5000000000000000e+00,6.5000000000000000e+00,2.5000000000000000e+00,8.5000000000000000e+00
"NEW HAVEN",4.7485000000000000e+03,5.0460000000000000e+03,4.8700000000000000e+03,4.5970000000000000e+03,3.9625000000000000e+03,3.3815000000000000e+03
"NEW LONDON",7.8450000000000000e+02,7.9600000000000000e+02,7.1750000000000000e+02,6.3400000000000000e+02,5.3700000000000000e+02,5.2300000000000000e+02
"NEW MILFORD",8.9000000000000000e+01,9.1000000000000000e+01,8.7500000000000000e+01,8.1500000000000000e+01,5.9000000000000000e+01,6.7500000000000000e+01
"NEWINGTON",6.0000000000000000e+01,8.5500000000000000e+01,9.5500000000000000e+01,7.7500000000000000e+01,8.0000000000000000e+01,6.6500000000000000e+01
"NEWTOWN",4.3500000000000000e+01,2.8500000000000000e+01,2.5500000000000000e+01,1.5500000000000000e+01,1.6000000000000000e+01,1.6500000000000000e+01
"NORFOLK",1.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1.5000000000000000e+00,2.5000000000000000e+00
"NORTH BRANFORD",4.6500000000000000e+01,3.1500000000000000e+01,3.6500000000000000e+01,3.5500000000000000e+01,3.0500000000000000e+01,2.0000000000000000e+01
"NORTH CANAAN",5.0000000000000000e+00,6.0000000000000000e+00,6.0000000000000000e+00,3.5000000000000000e+00,1.5000000000000000e+00,2.0000000000000000e+00
"NORTH HAVEN",6.7000000000000000e+01,5.6500000000000000e+01,6.2000000000000000e+01,5.3500000000000000e+01,4.3500000000000000e+01,4.6000000000000000e+01
"NORTH STONINGTON",1.3000000000000000e+01,2.1000000000000000e+01,1.0500000000000000e+01,7.5000000000000000e+00,7.0000000000000000e+00,5.5000000000000000e+00
"NORWALK",4.5500000000000000e+02,4.3900000000000000e+02,3.7450000000000000e+02,3.5850000000000000e+02,3.6700000000000000e+02,3.4150000000000000e+02
"NORWICH",9.6900000000000000e+02,1.0205000000000000e+03,9.5650000000000000e+02,8.1100000000000000e+02,6.7050000000000000e+02,5.8100000000000000e+02
"OLD LYME",1.7000000000000000e+01,1.2500000000000000e+01,7.0000000000000000e+00,8.0000000000000000e+00,4.0000000000000000e+00,7.0000000000000000e+00
"OLD SAYBROOK",1.3500000000000000e+01,1.5000000000000000e+01,1.8000000000000000e+01,1.4000000000000000e+01,4.5000000000000000e+00,6.5000000000000000e+00
"ORANGE",1.4000000000000000e+01,1.6000000000000000e+01,2.1000000000000000e+01,2.1500000000000000e+01,2.6500000000000000e+01,1.4000000000000000e+01
"OXFORD",1.8000000000000000e+01,1.8000000000000000e+01,2.0000000000000000e+01,2.1500000000000000e+01,1.4000000000000000e+01,1.4500000000000000e+01
"PLAINFIELD",1.9600000000000000e+02,1.8450000000000000e+02,1.6450000000000000e+02,1.3550000000000000e+02,1.2650000000000000e+02,1.2750000000000000e+02
"PLAINVILLE",1.2100000000000000e+02,1.3050000000000000e+02,1.1550000000000000e+02,9.5000000000000000e+01,1.0000000000000000e+02,6.0500000000000000e+01
"PLYMOUTH",7.9000000000000000e+01,9.0000000000000000e+01,9.4500000000000000e+01,6.9000000000000000e+01,7.0500000000000000e+01,6.2500000000000000e+01
"POMFRET",1.1500000000000000e+01,1.1000000000000000e+01,9.0000000000000000e+00,9.0000000000000000e+00,7.0000000000000000e+00,6.0000000000000000e+00
"PORTLAND",4.3500000000000000e+01,3.3500000000000000e+01,3.5000000000000000e+01,3.5500000000000000e+01,3.3000000000000000e+01,2.8000000000000000e+01
"PRESTON",2.3000000000000000e+01,2.2000000000000000e+01,2.1500000000000000e+01,1.6500000000000000e+01,1.3500000000000000e+01,9.0000000000000000e+00
"PROSPECT",2.0000000000000000e+01,2.0000000000000000e+01,2.1500000000000000e+01,2.2000000000000000e+01,1.6000000000000000e+01,1.6000000000000000e+01
"PUTNAM",1.4200000000000000e+02,1.5600000000000000e+02,1.4400000000000000e+02,1.1100000000000000e+02,1.0850000000000000e+02,9.1500000000000000e+01
"REDDING",4.0000000000000000e+00,2.0000000000000000e+00,4.5000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"RIDGEFIELD",2.5000000000000000e+00,3.5000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,2.5000000000000000e+00,1.0000000000000000e+01
"ROCKY HILL",3.7500000000000000e+01,6.0500000000000000e+01,4.1500000000000000e+01,5.1500000000000000e+01,3.3500000000000000e+01,3.1000000000000000e+01
"ROXBURY",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"SALEM",1.6000000000000000e+01,1.4500000000000000e+01,1.7500000000000000e+01,9.5000000000000000e+00,1.0000000000000000e+01,1.0000000000000000e+01
"SALISBURY",5.0000000000000000e+00,8.5000000000000000e+00,6.0000000000000000e+00,2.0000000000000000e+00,1.3500000000000000e+01,1.4000000000000000e+01
"SCOTLAND",9.0000000000000000e+00,8.0000000000000000e+00,7.5000000000000000e+00,4.0000000000000000e+00,3.5000000000000000e+00,3.5000000000000000e+00
"SEYMOUR",6.5000000000000000e+01,8.4500000000000000e+01,6.5500000000000000e+01,4.7000000000000000e+01,4.1500000000000000e+01,5.5000000000000000e+01
"SHARON",8.0000000000000000e+00,8.5000000000000000e+00,6.0000000000000000e+00,2.0000000000000000e+00,2.5000000000000000e+00,6.5000000000000000e+00
"SHELTON",1.4100000000000000e+02,1.6750000000000000e+02,1.2350000000000000e+02,1.2150000000000000e+02,9.6000000000000000e+01,7.5000000000000000e+01
"SHERMAN",1.0000000000000000e+00,2.0000000000000000e+00,4.0000000000000000e+00,3.0000000000000000e+00,4.5000000000000000e+00,2.5000000000000000e+00
"SIMSBURY",2.6500000000000000e+01,3.2000000000000000e+01,3.0500000000000000e+01,2.7500000000000000e+01,2.3000000000000000e+01,2.1000000000000000e+01
"SOMERS",2.8000000000000000e+01,3.7500000000000000e+01,4.1500000000000000e+01,1.8500000000000000e+01,2.3500000000000000e+01,1.4000000000000000e+01
"SOUTH WINDSOR",4.7500000000000000e+01,3.9500000000000000e+01,4.5500000000000000e+01,3.8500000000000000e+01,3.2000000000000000e+01,3.0500000000000000e+01
"SOUTHBURY",2.3500000000000000e+01,2.5000000000000000e+01,2.6500000000000000e+01,2.3500000000000000e+01,1.8000000000000000e+01,1.0000000000000000e+01
"SOUTHINGTON",1.7050000000000000e+02,1.8500000000000000e+02,1.6800000000000000e+02,1.2000000000000000e+02,1.2800000000000000e+02,1.2750000000000000e+02
"SPRAGUE",5.7000000000000000e+01,6.7500000000000000e+01,5.8000000000000000e+01,5.3500000000000000e+01,3.4500000000000000e+01,2.2500000000000000e+01
"STAFFORD",7.8000000000000000e+01,5.3500000000000000e+01,8.2500000000000000e+01,7.0000000000000000e+01,6.9000000000000000e+01,5.0000000000000000e+01
"STAMFORD",9.1550000000000000e+02,9.3900000000000000e+02,9.1700000000000000e+02,8.4200000000000000e+02,7.0550000000000000e+02,6.5450000000000000e+02
"STERLING",3.1000000000000000e+01,3.5000000000000000e+01,3.4000000000000000e+01,2.6500000000000000e+01,2.0000000000000000e+01,1.3500000000000000e+01
"STONINGTON",1.0300000000000000e+02,1.4800000000000000e+02,1.4200000000000000e+02,1.1600000000000000e+02,8.3000000000000000e+01,6.4500000000000000e+01
"STRATFORD",3.3100000000000000e+02,2.6300000000000000e+02,2.7900000000000000e+02,2.1400000000000000e+02,1.8400000000000000e+02,1.8300000000000000e+02
"SUFFIELD",2.5000000000000000e+01,2.3000000000000000e+01,3.4500000000000000e+01,3.7500000000000000e+01,3.0500000000000000e+01,2.1500000000000000e+01
"THOMASTON",2.8500000000000000e+01,2.0000000000000000e+01,2.5000000000000000e+01,2.8500000000000000e+01,2.9000000000000000e+01,2.4500000000000000e+01
"THOMPSON",7.7500000000000000e+01,7.0500000000000000e+01,5.6500000000000000e+01,4.8500000000000000e+01,4.8500000000000000e+01,3.2000000000000000e+01
"TOLLAND",2.5500000000000000e+01,3.2500000000000000e+01,2.4500000000000000e+01,2.2000000000000000e+01,1.5500000000000000e+01,1.5500000000000000e+01
"TORRINGTON",3.3600000000000000e+02,3.3850000000000000e+02,3.1200000000000000e+02,2.5800000000000000e+02,2.3800000000000000e+02,2.2000000000000000e+02
"TRUMBULL",4.9000000000000000e+01,3.3000000000000000e+01,3.3000000000000000e+01,2.2500000000000000e+01,2.3000000000000000e+01,2.6000000000000000e+01
"UNION",1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
"VERNON",3.2400000000000000e+02,3.2800000000000000e+02,3.2800000000000000e+02,2.7400000000000000e+02,2.7250000000000000e+02,2.5400000000000000e+02
"VOLUNTOWN",1.5000000000000000e+01,1.7000000000000000e+01,2.2500000000000000e+01,1.9000000000000000e+01,1.3000000000000000e+01,6.5000000000000000e+00
"WALLINGFORD",1.6250000000000000e+02,1.7250000000000000e+02,1.4300000000000000e+02,1.2650000000000000e+02,1.1200000000000000e+02,1.0250000000000000e+02
"WARREN",1.0000000000000000e+00,3.0000000000000000e+00,1.5000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
"WASHINGTON",1.0000000000000000e+00,3.0000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+00,1.0000000000000000e+00,1.0000000000000000e+00
"WATERBURY",4.0010000000000000e+03,4.2325000000000000e+03,3.9780000000000000e+03,3.5520000000000000e+03,3.0825000000000000e+03,2.7115000000000000e+03
"WATERFORD",5.8000000000000000e+01,6.2000000000000000e+01,7.3000000000000000e+01,7.5000000000000000e+01,6.3500000000000000e+01,2.9000000000000000e+01
"WATERTOWN",1.0000000000000000e+02,9.3000000000000000e+01,8.3000000000000000e+01,7.1500000000000000e+01,5.9000000000000000e+01,5.0500000000000000e+01
"WEST HARTFORD",2.4800000000000000e+02,2.4900000000000000e+02,2.3800000000000000e+02,2.0150000000000000e+02,2.2550000000000000e+02,2.0850000000000000e+02
"WEST HAVEN",7.8250000000000000e+02,8.2400000000000000e+02,7.0900000000000000e+02,6.8250000000000000e+02,5.8900000000000000e+02,5.2300000000000000e+02
"WESTBROOK",1.3000000000000000e+01,8.5000000000000000e+00,8.0000000000000000e+00,6.0000000000000000e+00,6.0000000000000000e+00,4.0000000000000000e+00
"WESTON",7.5000000000000000e+00,6.5000000000000000e+00,3.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00,2.0000000000000000e+00
"WESTPORT",2.0500000000000000e+01,2.0500000000000000e+01,1.6500000000000000e+01,2.3000000000000000e+01,1.2500000000000000e+01,1.2000000000000000e+01
"WETHERSFIELD",7.2500000000000000e+01,7.7000000000000000e+01,7.6500000000000000e+01,6.6000000000000000e+01,6.7500000000000000e+01,4.5500000000000000e+01
"WILLINGTON",2.6500000000000000e+01,2.0000000000000000e+01,1.3500000000000000e+01,1.4000000000000000e+01,1.0500000000000000e+01,1.1500000000000000e+01
"WILTON",8.0000000000000000e+00,3.5000000000000000e+00,3.5000000000000000e+00,5.0000000000000000e+00,7.0000000000000000e+00,4.5000000000000000e+00
"WINCHESTER",9.6000000000000000e+01,1.1950000000000000e+02,1.1350000000000000e+02,8.1000000000000000e+01,6.9500000000000000e+01,5.4500000000000000e+01
"WINDHAM",7.9250000000000000e+02,7.9950000000000000e+02,6.6000000000000000e+02,5.0500000000000000e+02,4.1700000000000000e+02,4.7950000000000000e+02
"WINDSOR",1.9950000000000000e+02,2.1050000000000000e+02,1.8600000000000000e+02,2.0200000000000000e+02,1.9750000000000000e+02,1.7950000000000000e+02
"WINDSOR LOCKS",1.0150000000000000e+02,9.3000000000000000e+01,8.0000000000000000e+01,6.1500000000000000e+01,5.3000000000000000e+01,4.4000000000000000e+01
"WOLCOTT",6.0500000000000000e+01,5.0500000000000000e+01,3.6000000000000000e+01,2.6000000000000000e+01,2.7500000000000000e+01,1.4000000000000000e+01
"WOODBRIDGE",1.5000000000000000e+01,1.5000000000000000e+01,1.0500000000000000e+01,1.7000000000000000e+01,9.5000000000000000e+00,6.0000000000000000e+00
"WOODBURY",1.7000000000000000e+01,1.6500000000000000e+01,1.8500000000000000e+01,9.0000000000000000e+00,8.0000000000000000e+00,1.1000000000000000e+01
"WOODSTOCK",1.3500000000000000e+01,4.5000000000000000e+00,1.1000000000000000e+01,1.5000000000000000e+01,1.2500000000000000e+01,5.5000000000000000e+00
