MUNICIPALITY,Median Home Values - 2016 Estimate,Margin of Error
"GLASTONBURY",343600.0000,6351.0000
"GOSHEN",362600.0000,21804.0000
"GRANBY",288500.0000,13088.0000
"GREENWICH",1205600.0000,40637.0000
"GRISWOLD",192500.0000,18871.0000
"GROTON",247100.0000,9628.0000
"GROTON (City of)",,
"GUILFORD",385500.0000,11057.0000
"HADDAM",297300.0000,17142.0000
"HAMDEN",228200.0000,5410.0000
"HAMPTON",224500.0000,10580.0000
"HARTFORD",159100.0000,3499.0000
"HARTLAND",266300.0000,12362.0000
"HARWINTON",282900.0000,14549.0000
"HEBRON",299700.0000,15906.0000
"KENT",365800.0000,33700.0000
"KILLINGLY",187300.0000,6496.0000
"KILLINGWORTH",372800.0000,23098.0000
"LEBANON",255500.0000,15725.0000
"LEDYARD",243000.0000,10489.0000
"LISBON",220900.0000,15327.0000
"LITCHFIELD",312400.0000,17465.0000
"LYME",497300.0000,78307.0000
"MADISON",440600.0000,16238.0000
"MANCHESTER",183000.0000,3697.0000
"MANSFIELD",235500.0000,9783.0000
"MARLBOROUGH",303600.0000,27812.0000
"MERIDEN",174800.0000,3846.0000
"MIDDLEBURY",353800.0000,12511.0000
"MIDDLEFIELD",304100.0000,24708.0000
"MIDDLETOWN",228500.0000,4998.0000
"MILFORD",306000.0000,6839.0000
"MONROE",374500.0000,13018.0000
"MONTVILLE",191700.0000,5898.0000
"MORRIS",344000.0000,19991.0000
"NAUGATUCK",178800.0000,6500.0000
"NEW BRITAIN",157300.0000,3149.0000
"NEW CANAAN",1373100.0000,122251.0000
"NEW FAIRFIELD",356300.0000,11360.0000
"NEW HARTFORD",294600.0000,19424.0000
"NEW HAVEN",190700.0000,6538.0000
"NEW LONDON",183900.0000,6633.0000
"NEW MILFORD",288200.0000,9570.0000
"NEWINGTON",228000.0000,4252.0000
"NEWTOWN",402200.0000,12464.0000
"NORFOLK",310900.0000,38548.0000
"NORTH BRANFORD",282600.0000,8952.0000
"NORTH CANAAN",212100.0000,18369.0000
"NORTH HAVEN",295500.0000,6950.0000
"NORTH STONINGTON",290000.0000,16489.0000
"NORWALK",416800.0000,10179.0000
"NORWICH",169600.0000,5562.0000
"OLD LYME",408100.0000,22255.0000
"OLD SAYBROOK",373600.0000,14246.0000
"ORANGE",382300.0000,7436.0000
"OXFORD",346500.0000,10665.0000
"PLAINFIELD",169900.0000,4920.0000
"PLAINVILLE",204000.0000,10618.0000
"PLYMOUTH",188900.0000,5228.0000
"POMFRET",273900.0000,16452.0000
"PORTLAND",244500.0000,11356.0000
"PRESTON",249500.0000,21588.0000
"PROSPECT",295300.0000,14971.0000
"PUTNAM",182800.0000,10639.0000
"REDDING",603300.0000,22737.0000
"RIDGEFIELD",673900.0000,21110.0000
"ROCKY HILL",254400.0000,13183.0000
"ROXBURY",638400.0000,37279.0000
"SALEM",268700.0000,14101.0000
"SALISBURY",433800.0000,82755.0000
"SCOTLAND",240600.0000,21889.0000
"SEYMOUR",255800.0000,9418.0000
"SHARON",385500.0000,45310.0000
"SHELTON",338200.0000,5045.0000
"SHERMAN",472000.0000,33863.0000
"SIMSBURY",328600.0000,6800.0000
"SOMERS",306700.0000,13985.0000
"SOUTH WINDSOR",276200.0000,6050.0000
"SOUTHBURY",318600.0000,14760.0000
"SOUTHINGTON",267800.0000,6183.0000
"SPRAGUE",227700.0000,26860.0000
"STAFFORD",193400.0000,10354.0000
"STAMFORD",504200.0000,14242.0000
"STERLING",196600.0000,15193.0000
"STONINGTON",315300.0000,18655.0000
"STRATFORD",249600.0000,4794.0000
"SUFFIELD",295200.0000,13761.0000
"THOMASTON",205100.0000,14333.0000
"THOMPSON",195700.0000,11575.0000
"TOLLAND",277900.0000,15015.0000
"TORRINGTON",162300.0000,3430.0000
"TRUMBULL",392800.0000,7448.0000
"UNION",275000.0000,20836.0000
"VERNON",205900.0000,6947.0000
"VOLUNTOWN",229100.0000,15224.0000
"WALLINGFORD",264800.0000,6018.0000
"WARREN",371000.0000,24360.0000
"WASHINGTON",449500.0000,49096.0000
"WATERBURY",129500.0000,3783.0000
"WATERFORD",253800.0000,8583.0000
"WATERTOWN",241100.0000,8846.0000
"WEST HARTFORD",318800.0000,6047.0000
"WEST HAVEN",193800.0000,5047.0000
"WESTBROOK",374000.0000,34380.0000
"WESTON",857700.0000,32830.0000
"WESTPORT",1087700.0000,53428.0000
"WETHERSFIELD",246200.0000,4050.0000
"WILLINGTON",228800.0000,12818.0000
"WILTON",812100.0000,28321.0000
"WINCHESTER",171500.0000,10225.0000
"WINDHAM",158900.0000,8062.0000
"WINDSOR",217500.0000,5707.0000
"WINDSOR LOCKS",190700.0000,5116.0000
"WOLCOTT",243400.0000,8697.0000
"WOODBRIDGE",484300.0000,21531.0000
"WOODBURY",331800.0000,17419.0000
"WOODSTOCK",246600.0000,15077.0000
