Municipality,numbered,PER CAPITA INCOME - 2017 ESTIMATE,Population_Range,PercentOfState,Sort ID
"NEWTOWN",9.8000000000000000e+01,52754.0000,"10,000 to 30,000",1.2753293847455578e+00,32
"CANTON",2.3000000000000000e+01,52569.0000,"0 to 10,000",1.2708570047141303e+00,33
"STAMFORD",1.3600000000000000e+02,52245.0000,"70,000 & Up",1.2630242959023328e+00,34
"ORANGE",1.0800000000000000e+02,51784.0000,"10,000 to 30,000",1.2518796083645594e+00,36
"BURLINGTON",2.0000000000000000e+01,51224.0000,"0 to 10,000",1.2383415931342923e+00,37
"BETHANY",8.0000000000000000e+00,51192.0000,"0 to 10,000",1.2375679922639913e+00,38
"KILLINGWORTH",7.1000000000000000e+01,50503.0000,"0 to 10,000",1.2209113985253233e+00,39
"BOLTON",1.2000000000000000e+01,49763.0000,"0 to 10,000",1.2030218783996132e+00,40
"CORNWALL",3.1000000000000000e+01,49441.0000,"0 to 10,000",1.1952375196422096e+00,41
"STONINGTON",1.3800000000000000e+02,49353.0000,"10,000 to 30,000",1.1931101172488818e+00,42
"PORTLAND",1.1400000000000000e+02,49280.0000,"0 to 10,000",1.1913453402635077e+00,43
"TRUMBULL",1.4500000000000000e+02,49030.0000,"30,000 to 70,000",1.1853015834642815e+00,44
"SALEM",1.2200000000000000e+02,48703.0000,"0 to 10,000",1.1773963495708932e+00,45
"BROOKFIELD",1.8000000000000000e+01,48576.0000,"10,000 to 30,000",1.1743261211168863e+00,46
"WOODBURY",1.6900000000000000e+02,48084.0000,"0 to 10,000",1.1624320077360086e+00,47
"HADDAM",6.2000000000000000e+01,48008.0000,"0 to 10,000",1.1605947056690438e+00,48
"MONROE",8.6000000000000000e+01,47991.0000,"10,000 to 30,000",1.1601837302066964e+00,49
"NEW FAIRFIELD",9.2000000000000000e+01,47982.0000,"10,000 to 30,000",1.1599661549619242e+00,50
"TOLLAND",1.4300000000000000e+02,47611.0000,"10,000 to 30,000",1.1509972198718723e+00,52
"CHESHIRE",2.5000000000000000e+01,47012.0000,"10,000 to 30,000",1.1365163785809258e+00,54
"MORRIS",8.8000000000000000e+01,46973.0000,"0 to 10,000",1.1355735525202466e+00,55
"MIDDLEBURY",8.2000000000000000e+01,46918.0000,"0 to 10,000",1.1342439260244168e+00,56
"SOUTH WINDSOR",1.3100000000000000e+02,46900.0000,"10,000 to 30,000",1.1338087755348725e+00,57
"UNION",1.4600000000000000e+02,46679.0000,"0 to 10,000",1.1284660945243563e+00,58
"COLUMBIA",3.0000000000000000e+01,46301.0000,"0 to 10,000",1.1193279342439260e+00,59
"MIDDLEFIELD",8.3000000000000000e+01,45752.0000,"0 to 10,000",1.1060558443128248e+00,62
"SOUTHBURY",1.3200000000000000e+02,45690.0000,"10,000 to 30,000",1.1045569926266168e+00,63
"SHELTON",1.2700000000000000e+02,45642.0000,"30,000 to 70,000",1.1033965913211652e+00,64
"NORFOLK",9.9000000000000000e+01,45582.0000,"0 to 10,000",1.1019460896893509e+00,65
"SUFFIELD",1.4000000000000000e+02,45478.0000,"10,000 to 30,000",1.0994318868608728e+00,66
"BETHLEHEM",1.0000000000000000e+01,45476.0000,"0 to 10,000",1.0993835368064788e+00,67
"BERLIN",7.0000000000000000e+00,45324.0000,"10,000 to 30,000",1.0957089326725493e+00,68
"CHESTER",2.6000000000000000e+01,45195.0000,"0 to 10,000",1.0925903541641484e+00,69
"BETHEL",9.0000000000000000e+00,45171.0000,"10,000 to 30,000",1.0920101535114226e+00,70
"HARWINTON",6.7000000000000000e+01,44988.0000,"0 to 10,000",1.0875861235343889e+00,71
"ROCKY HILL",1.2000000000000000e+02,44956.0000,"10,000 to 30,000",1.0868125226640879e+00,72
"NORWALK",1.0400000000000000e+02,44888.0000,"70,000 & Up",1.0851686208146984e+00,73
"LITCHFIELD",7.5000000000000000e+01,44833.0000,"0 to 10,000",1.0838389943188687e+00,74
"ELLINGTON",4.8000000000000000e+01,44421.0000,"10,000 to 30,000",1.0738788831137436e+00,75
"DEEP RIVER",3.6000000000000000e+01,44101.0000,"0 to 10,000",1.0661428744107337e+00,76
"OLD SAYBROOK",1.0700000000000000e+02,44026.0000,"0 to 10,000",1.0643297473709659e+00,77
"NORTH HAVEN",1.0200000000000000e+02,43424.0000,"10,000 to 30,000",1.0497763809984286e+00,80
"EAST HAMPTON",4.1000000000000000e+01,43358.0000,"10,000 to 30,000",1.0481808292034329e+00,81
"EAST LYME",4.4000000000000000e+01,43195.0000,"10,000 to 30,000",1.0442402997703373e+00,82
"NORTH BRANFORD",1.0000000000000000e+02,42794.0000,"10,000 to 30,000",1.0345461138643781e+00,83
"COLCHESTER",2.8000000000000000e+01,42775.0000,"10,000 to 30,000",1.0340867883476368e+00,84
"LEDYARD",7.3000000000000000e+01,42765.0000,"10,000 to 30,000",1.0338450380756679e+00,85
"OXFORD",1.0900000000000000e+02,42695.0000,"0 to 10,000",1.0321527861718844e+00,86
"FRANKLIN",5.3000000000000000e+01,42290.0000,"0 to 10,000",1.0223619001571376e+00,87
"BARKHAMSTED",5.0000000000000000e+00,42224.0000,"0 to 10,000",1.0207663483621419e+00,88
"ANDOVER",1.0000000000000000e+00,42190.0000,"0 to 10,000",1.0199443974374471e+00,89
"NEW HARTFORD",9.3000000000000000e+01,42173.0000,"0 to 10,000",1.0195334219750998e+00,90
"WATERFORD",1.5300000000000000e+02,42028.0000,"10,000 to 30,000",1.0160280430315485e+00,91
"BLOOMFIELD",1.1000000000000000e+01,41515.0000,"10,000 to 30,000",1.0036262540795358e+00,92
"SOUTHINGTON",1.3300000000000000e+02,41493.0000,"30,000 to 70,000",1.0030944034812039e+00,93
"WETHERSFIELD",1.6000000000000000e+02,41404.0000,"10,000 to 30,000",1.0009428260606794e+00,94
"HARTLAND",6.6000000000000000e+01,41377.0000,"0 to 10,000",1.0002901003263629e+00,95
"PROSPECT",1.1600000000000000e+02,41285.0000,"0 to 10,000",9.9806599782424754e-01,96
"SOMERS",1.3000000000000000e+02,40388.0000,"0 to 10,000",9.7638099842862325e-01,99
"WALLINGFORD",1.4900000000000000e+02,40338.0000,"30,000 to 70,000",9.7517224706877792e-01,100
"EAST HADDAM",4.0000000000000000e+01,40292.0000,"0 to 10,000",9.7406019581772030e-01,101
"GOSHEN",5.5000000000000000e+01,40164.0000,"0 to 10,000",9.7096579233651636e-01,102
"LEBANON",7.2000000000000000e+01,40033.0000,"0 to 10,000",9.6779886377372171e-01,103
"WATERTOWN",1.5400000000000000e+02,39836.0000,"10,000 to 30,000",9.6303638341593134e-01,104
"CLINTON",2.7000000000000000e+01,39713.0000,"10,000 to 30,000",9.6006285507071198e-01,105
"WILLINGTON",1.6100000000000000e+02,39635.0000,"0 to 10,000",9.5817720294935327e-01,106
"WINDSOR",1.6500000000000000e+02,39542.0000,"10,000 to 30,000",9.5592892542004104e-01,107
"NEW MILFORD",9.6000000000000000e+01,39515.0000,"10,000 to 30,000",9.5527619968572464e-01,108
"KENT",6.9000000000000000e+01,39152.0000,"0 to 10,000",9.4650066481324791e-01,109
"LISBON",7.4000000000000000e+01,39146.0000,"0 to 10,000",9.4635561465006646e-01,110
"BEACON FALLS",6.0000000000000000e+00,39020.0000,"0 to 10,000",9.4330956122325638e-01,111
"NEWINGTON",9.7000000000000000e+01,38179.0000,"10,000 to 30,000",9.2297836335065875e-01,113
"WOODSTOCK",1.7000000000000000e+02,37910.0000,"0 to 10,000",9.1647528103469111e-01,114
"COLEBROOK",2.9000000000000000e+01,37116.0000,"0 to 10,000",8.9728030944034809e-01,115
"HAMDEN",6.3000000000000000e+01,37009.0000,"30,000 to 70,000",8.9469358153027922e-01,116
"BOZRAH",1.3000000000000000e+01,36717.0000,"0 to 10,000",8.8763447358878278e-01,117
"NORTH STONINGTON",1.0300000000000000e+02,36664.0000,"0 to 10,000",8.8635319714734684e-01,118
"EAST WINDSOR",4.5000000000000000e+01,36602.0000,"0 to 10,000",8.8485434546113861e-01,119
"WINDSOR LOCKS",1.6600000000000000e+02,36253.0000,"10,000 to 30,000",8.7641726096941863e-01,120
"PRESTON",1.1500000000000000e+02,36152.0000,"0 to 10,000",8.7397558322253110e-01,121
"CANTERBURY",2.2000000000000000e+01,36138.0000,"0 to 10,000",8.7363713284177447e-01,122
"HAMPTON",6.4000000000000000e+01,36094.0000,"0 to 10,000",8.7257343164511059e-01,123
"STRATFORD",1.3900000000000000e+02,36043.0000,"30,000 to 70,000",8.7134050525806839e-01,124
"MIDDLETOWN",8.4000000000000000e+01,35992.0000,"30,000 to 70,000",8.7010757887102619e-01,125
"SEYMOUR",1.2500000000000000e+02,35974.0000,"10,000 to 30,000",8.6967242838148195e-01,126
"GROTON",5.9000000000000000e+01,35903.0000,"30,000 to 70,000",8.6795600145050167e-01,127
"PLAINVILLE",1.1100000000000000e+02,35646.0000,"10,000 to 30,000",8.6174301946089693e-01,128
"VERNON",1.4700000000000000e+02,35260.0000,"10,000 to 30,000",8.5241145896289139e-01,131
"NAUGATUCK",8.9000000000000000e+01,34593.0000,"30,000 to 70,000",8.3628671582255532e-01,132
"PLYMOUTH",1.1200000000000000e+02,34297.0000,"10,000 to 30,000",8.2913090777227128e-01,133
"MANCHESTER",7.8000000000000000e+01,34244.0000,"30,000 to 70,000",8.2784963133083522e-01,134
"ASHFORD",3.0000000000000000e+00,34236.0000,"0 to 10,000",8.2765623111326003e-01,135
"VOLUNTOWN",1.4800000000000000e+02,34042.0000,"0 to 10,000",8.2296627583706028e-01,136
"STAFFORD",1.3500000000000000e+02,33932.0000,"10,000 to 30,000",8.2030702284540069e-01,137
"CHAPLIN",2.4000000000000000e+01,33757.0000,"0 to 10,000",8.1607639308594226e-01,138
"THOMASTON",1.4100000000000000e+02,33667.0000,"0 to 10,000",8.1390064063822076e-01,139
"NORTH CANAAN",1.0100000000000000e+02,33629.0000,"0 to 10,000",8.1298198960473833e-01,140
"ENFIELD",4.9000000000000000e+01,33246.0000,"30,000 to 70,000",8.0372295418832351e-01,141
"EAST HAVEN",4.3000000000000000e+01,32987.0000,"10,000 to 30,000",7.9746162214432492e-01,142
"BRISTOL",1.7000000000000000e+01,32823.0000,"30,000 to 70,000",7.9349691768403241e-01,143
"MONTVILLE",8.7000000000000000e+01,32796.0000,"10,000 to 30,000",7.9284419194971589e-01,144
"DANBURY",3.4000000000000000e+01,32764.0000,"30,000 to 70,000",7.9207059107941491e-01,145
"SCOTLAND",1.2400000000000000e+02,32594.0000,"0 to 10,000",7.8796083645594106e-01,147
"WINCHESTER",1.6300000000000000e+02,32363.0000,"10,000 to 30,000",7.8237640517345586e-01,148
"GRISWOLD",5.8000000000000000e+01,31146.0000,"10,000 to 30,000",7.5295539707482173e-01,150
"SPRAGUE",1.3400000000000000e+02,31035.0000,"0 to 10,000",7.5027196905596516e-01,151
"BROOKLYN",1.9000000000000000e+01,31014.0000,"0 to 10,000",7.4976429348483020e-01,152
"TORRINGTON",1.4400000000000000e+02,30982.0000,"30,000 to 70,000",7.4899069261452922e-01,153
"DERBY",3.7000000000000000e+01,30321.0000,"10,000 to 30,000",7.3301099963737459e-01,154
"KILLINGLY",7.0000000000000000e+01,29577.0000,"10,000 to 30,000",7.1502477940287679e-01,155
"PLAINFIELD",1.1000000000000000e+02,29275.0000,"10,000 to 30,000",7.0772392118941130e-01,156
"STERLING",1.3700000000000000e+02,28663.0000,"0 to 10,000",6.9292880454490513e-01,157
"NORWICH",1.0500000000000000e+02,28429.0000,"30,000 to 70,000",6.8727184818082920e-01,158
"WEST HAVEN",1.5600000000000000e+02,27968.0000,"30,000 to 70,000",6.7612716064305567e-01,159
"EAST HARTFORD",4.2000000000000000e+01,26374.0000,"30,000 to 70,000",6.3759216729118817e-01,160
"ANSONIA",2.0000000000000000e+00,24896.0000,"10,000 to 30,000",6.0186147709416171e-01,161
"NEW HAVEN",9.4000000000000000e+01,24688.0000,"70,000 & Up",5.9683307143720532e-01,162
"NEW BRITAIN",9.0000000000000000e+01,23101.0000,"70,000 & Up",5.5846730327571614e-01,164
"BRIDGEPORT",1.5000000000000000e+01,22806.0000,"70,000 & Up",5.5133567025262908e-01,165
"MANSFIELD",7.9000000000000000e+01,21916.0000,"10,000 to 30,000",5.2981989604738300e-01,166
"WATERBURY",1.5200000000000000e+02,21605.0000,"70,000 & Up",5.2230146258914545e-01,167
"WINDHAM",1.6400000000000000e+02,19666.0000,"10,000 to 30,000",4.7542608485434545e-01,168
"HARTFORD",6.5000000000000000e+01,19220.0000,"70,000 & Up",4.6464402272452554e-01,169
"REDDING",1.1800000000000000e+02,66046.0000,"0 to 10,000",1.5966638462468270e+00,14
"WEST HARTFORD",1.5500000000000000e+02,52846.0000,"30,000 to 70,000",1.2775534872476733e+00,31
"MARLBOROUGH",8.0000000000000000e+01,47978.0000,"0 to 10,000",1.1598694548531367e+00,51
"CROMWELL",3.3000000000000000e+01,45954.0000,"10,000 to 30,000",1.1109391998065998e+00,61
"MILFORD",8.5000000000000000e+01,43547.0000,"30,000 to 70,000",1.0527499093436481e+00,79
"COVENTRY",3.2000000000000000e+01,41100.0000,"10,000 to 30,000",9.9359361779282007e-01,97
"EASTFORD",4.6000000000000000e+01,38958.0000,"0 to 10,000",9.4181070953704826e-01,112
"THOMPSON",1.4200000000000000e+02,35606.0000,"0 to 10,000",8.6077601837302065e-01,129
"MERIDEN",8.1000000000000000e+01,32762.0000,"30,000 to 70,000",7.9202224102502117e-01,146
"NEW LONDON",9.5000000000000000e+01,23385.0000,"10,000 to 30,000",5.6533301099963740e-01,163
"BRIDGEWATER",1.6000000000000000e+01,64829.0000,"0 to 10,000",1.5672428381481929e+00,15
"GRANBY",5.6000000000000000e+01,52140.0000,"0 to 10,000",1.2604859180466579e+00,35
"BRANFORD",1.4000000000000000e+01,47070.0000,"10,000 to 30,000",1.1379185301583463e+00,53
"HEBRON",6.8000000000000000e+01,45956.0000,"0 to 10,000",1.1109875498609936e+00,60
"POMFRET",1.1300000000000000e+02,43686.0000,"0 to 10,000",1.0561102381240179e+00,78
"EAST GRANBY",3.9000000000000000e+01,41099.0000,"0 to 10,000",9.9356944276562309e-01,98
"WOLCOTT",1.6700000000000000e+02,35565.0000,"10,000 to 30,000",8.5978484225794749e-01,130
"PUTNAM",1.1700000000000000e+02,31197.0000,"0 to 10,000",7.5418832346186393e-01,149
