MUNICIPALITY,NUMBERED,TOWN CODE,2015 Net GL,2015 GL Tax Exempt Property,Total Assessed Value 2015 GL,Tax Exempt Property as a % of 2015 GL
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,1.0559840310000000e+09,4.6438500000000000e+07,1.1024225310000000e+09,4.2124048351838340e-02
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,1.0784936174000000e+10,1.1361512100000000e+09,1.1921087384000000e+10,9.5306004679144962e-02
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,3.6221912130000000e+09,9.3001644000000000e+08,4.5522076530000000e+09,2.0430009149233333e-01
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,2.0499651000000000e+08,1.2947970000000000e+07,2.1794448000000000e+08,5.9409488141199999e-02
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3.9303332890000000e+09,2.4994124000000000e+08,4.1802745290000000e+09,5.9790628167138732e-02
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,5.2512546000000000e+08,2.7897130000000000e+07,5.5302259000000000e+08,5.0444829025881203e-02
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,9.7310636000000000e+08,6.4457790000000000e+07,1.0375641500000000e+09,6.2124149142971062e-02
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,3.2352040666000000e+10,3.4313624100000000e+09,3.5783403076000000e+10,9.5892567923519315e-02
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,7.0822924800000000e+08,8.1552320000000000e+07,7.8978156800000000e+08,1.0325933562430265e-01
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,3.9615645800000000e+09,9.8727100000000000e+08,4.9488355800000000e+09,1.9949561549183656e-01
"GROTON (City of)",6.0000000000000000e+01,,,,0.0000000000000000e+00,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,3.0892992550000000e+09,1.8453008000000000e+08,3.2738293350000000e+09,5.6365210619630540e-02
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,9.0645146500000000e+08,6.5251490000000000e+07,9.7170295500000000e+08,6.7151684230496139e-02
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,3.8780398670000000e+09,7.1168852000000000e+08,4.5897283870000000e+09,1.5506114087617795e-01
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,1.3775458100000000e+08,1.3459460000000000e+07,1.5121404100000000e+08,8.9009326852127438e-02
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,3.7383325330000000e+09,3.7887025690000000e+09,7.5270351020000000e+09,5.0334594135123778e-01
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,1.9819276900000000e+08,2.7736530000000000e+07,2.2592929900000000e+08,1.2276641463841305e-01
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,5.4503663900000000e+08,1.3917158000000000e+07,5.5895379700000000e+08,2.4898583880627972e-02
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,7.8617532000000000e+08,6.3501780000000000e+07,8.4967710000000000e+08,7.4736367497723541e-02
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,5.9610110900000000e+08,1.2594310000000000e+08,7.2204420900000000e+08,1.7442574627726154e-01
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,1.2043121900000000e+09,1.8049210000000000e+08,1.3848042900000000e+09,1.3033762337636895e-01
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,7.2437008900000000e+08,5.3153680000000000e+07,7.7752376900000000e+08,6.8362771813860773e-02
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,6.3089138500000000e+08,5.0145860000000000e+07,6.8103724500000000e+08,7.3631597050173081e-02
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,1.1111908500000000e+09,2.6686478000000000e+08,1.3780556300000000e+09,1.9365312559987147e-01
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,3.7058430600000000e+08,2.2485442000000000e+07,3.9306974800000000e+08,5.7204712686258423e-02
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,1.0324807280000000e+09,1.5059493000000000e+08,1.1830756580000000e+09,1.2729103923461843e-01
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,5.1983115000000000e+08,4.1157692000000000e+07,5.6098884200000000e+08,7.3366329093582941e-02
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,2.8730290610000000e+09,2.7842290000000000e+08,3.1514519610000000e+09,8.8347499325882956e-02
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,4.0208119090000000e+09,4.5179516000000000e+08,4.4726070690000000e+09,1.0101382773627235e-01
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,1.0739737690000000e+09,1.3269307730000000e+09,2.4009045420000000e+09,5.5267952131684539e-01
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,5.7652498600000000e+08,2.6733640000000000e+07,6.0325862600000000e+08,4.4315387874785235e-02
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,3.2865317500000000e+09,5.5226633500000000e+08,3.8387980850000000e+09,1.4386438743886160e-01
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,9.4679170900000000e+08,8.5480360000000000e+07,1.0322720690000000e+09,8.2807975307137752e-02
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,4.2647526000000000e+08,2.7092400000000000e+07,4.5356766000000000e+08,5.9731771881619600e-02
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,3.5047856410000000e+09,1.2832899940000000e+09,4.7880756350000000e+09,2.6801790360606947e-01
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,6.5679674550000000e+09,5.3492200000000000e+08,7.1028894550000000e+09,7.5310477994761357e-02
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,2.1665654720000000e+09,1.3107470000000000e+08,2.2976401720000000e+09,5.7047531461771467e-02
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1.3045763100000000e+09,2.9969269000000000e+08,1.6042690000000000e+09,1.8680950015240586e-01
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,3.0029743500000000e+08,1.4539090000000000e+07,3.1483652500000000e+08,4.6179807123712856e-02
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1.6310583350000000e+09,1.2931254000000000e+08,1.7603708750000000e+09,7.3457554789413335e-02
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,2.5730315220000000e+09,1.1220626500000000e+09,3.6950941720000000e+09,3.0366280202073292e-01
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,8.2175341200000000e+09,5.6771281000000000e+08,8.7852469300000000e+09,6.4621155731134361e-02
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,1.5871629610000000e+09,6.2900000000000000e+07,1.6500629610000000e+09,3.8119757540573021e-02
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,6.6503047200000000e+08,3.8473125000000000e+07,7.0350359700000000e+08,5.4687886691786168e-02
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,6.1280196660000000e+09,6.0048616210000000e+09,1.2132881287000000e+10,4.9492461674656124e-01
"NEW LONDON",9.6000000000000000e+01,9.6000000000000000e+01,1.3010350310000000e+09,8.5984747200000000e+08,2.1608825030000000e+09,3.9791495872924842e-01
"NEW MILFORD",9.7000000000000000e+01,9.4000000000000000e+01,2.9464504780000000e+09,2.4877826000000000e+08,3.1952287380000000e+09,7.7859295968813358e-02
"NEWINGTON",9.5000000000000000e+01,9.5000000000000000e+01,2.6915258010000000e+09,3.9231505000000000e+08,3.0838408510000000e+09,1.2721637365715019e-01
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,3.1097044730000000e+09,2.8135968000000000e+08,3.3910641530000000e+09,8.2970910400231523e-02
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,2.9837748800000000e+08,6.0871559000000000e+07,3.5924904700000000e+08,1.6944111475958906e-01
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,1.2504368470000000e+09,1.0464863100000000e+08,1.3550854780000000e+09,7.7226590277133800e-02
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,3.5041931500000000e+08,4.7686780000000000e+07,3.9810609500000000e+08,1.1978409926127857e-01
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,2.8836363750000000e+09,3.0855391000000000e+08,3.1921902850000000e+09,9.6658996629958110e-02
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,5.1302545800000000e+08,3.8801235000000000e+07,5.5182669300000000e+08,7.0314168365175483e-02
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,1.2112677850000000e+10,1.3671488300000000e+09,1.3479826680000000e+10,1.0142184038823265e-01
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,1.8265067920000000e+09,5.5802000000000000e+08,2.3845267920000000e+09,2.3401708123898488e-01
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1.5757189050000000e+09,1.0319997000000000e+08,1.6789188750000000e+09,6.1468109946646469e-02
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,2.2146964420000000e+09,1.6422917100000000e+08,2.3789256130000000e+09,6.9035017363529474e-02
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1.9526178800000000e+09,1.5822893000000000e+08,2.1108468100000000e+09,7.4959930417688628e-02
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,1.4578913500000000e+09,1.0561620000000000e+08,1.5635075500000000e+09,6.7550809076681470e-02
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,9.5012609000000000e+08,1.2037549000000000e+08,1.0705015800000000e+09,1.1244774622378419e-01
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,1.4113006150000000e+09,1.2029672000000000e+08,1.5315973350000000e+09,7.8543307206786178e-02
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,7.7418626900000000e+08,5.0748350000000000e+07,8.2493461900000000e+08,6.1518026800133602e-02
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,3.4688718900000000e+08,9.3085760000000000e+07,4.3997294900000000e+08,2.1157155277744133e-01
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,8.1149601800000000e+08,5.1336920000000000e+07,8.6283293800000000e+08,5.9498099503475378e-02
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,3.9564888600000000e+08,7.3910491000000000e+07,4.6955937700000000e+08,1.5740392934374303e-01
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,8.4032377500000000e+08,4.9956150000000000e+07,8.9027992500000000e+08,5.6112856863530874e-02
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,6.4408060000000000e+08,1.2363270000000000e+08,7.6771330000000000e+08,1.6104019560427049e-01
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.6329749070000000e+09,1.9737524000000000e+08,1.8303501470000000e+09,1.0783468962127496e-01
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.8120735320000000e+09,4.8384757700000000e+08,5.2959211090000000e+09,9.1362308282451413e-02
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,2.0463615960000000e+09,2.3011625000000000e+08,2.2764778460000000e+09,1.0108433534916114e-01
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,7.0025914000000000e+08,5.2616130000000000e+07,7.5287527000000000e+08,6.9886914999877731e-02
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,3.6951139500000000e+08,2.8685740000000000e+07,3.9819713500000000e+08,7.2039041667138065e-02
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,1.2454023020000000e+09,1.8104054000000000e+08,1.4264428420000000e+09,1.2691748640006145e-01
"SCOTLAND",1.2400000000000000e+02,1.2300000000000000e+02,1.1390462000000000e+08,1.3847280000000000e+07,1.2775190000000000e+08,1.0839196912139859e-01
"SEYMOUR",1.2500000000000000e+02,1.2400000000000000e+02,1.2159605400000000e+09,8.1271920000000000e+07,1.2972324600000000e+09,6.2650236180491509e-02
"SHARON",1.2600000000000000e+02,1.2500000000000000e+02,7.3320233100000000e+08,7.8308950000000000e+07,8.1151128100000000e+08,9.6497672716887348e-02
"SHELTON",1.2700000000000000e+02,1.2600000000000000e+02,4.6268447650000000e+09,2.2839262000000000e+08,4.8552373850000000e+09,4.7040464119346044e-02
"SHERMAN",1.2800000000000000e+02,1.2700000000000000e+02,6.7852850200000000e+08,1.8189020000000000e+07,6.9671752200000000e+08,2.6106735406605720e-02
"SIMSBURY",1.2900000000000000e+02,1.2800000000000000e+02,2.3037839560000000e+09,3.2421050000000000e+08,2.6279944560000000e+09,1.2336803042327270e-01
"SOMERS",1.3000000000000000e+02,1.2900000000000000e+02,8.4953790600000000e+08,1.7295503000000000e+08,1.0224929360000000e+09,1.6915034217898989e-01
"SOUTH WINDSOR",1.3300000000000000e+02,1.3100000000000000e+02,2.6076856570000000e+09,1.7000819000000000e+08,2.7776938470000000e+09,6.1204797707859124e-02
"SOUTHBURY",1.3100000000000000e+02,1.3200000000000000e+02,2.1093879580000000e+09,1.5107732000000000e+08,2.2604652780000000e+09,6.6834612090865303e-02
"SOUTHINGTON",1.3200000000000000e+02,1.3000000000000000e+02,3.9969927380000000e+09,2.1590047300000000e+08,4.2128932110000000e+09,5.1247554159758166e-02
"SPRAGUE",1.3400000000000000e+02,1.3300000000000000e+02,1.7648259200000000e+08,1.6592610000000000e+07,1.9307520200000000e+08,8.5938586768900552e-02
"STAFFORD",1.3500000000000000e+02,1.3400000000000000e+02,7.9681635900000000e+08,9.6927200000000000e+07,8.9374355900000000e+08,1.0845079555980330e-01
"STAMFORD",1.3600000000000000e+02,1.3500000000000000e+02,1.9658863083000000e+10,2.5885747650000000e+09,2.2247437848000000e+10,1.1635383735807167e-01
"STERLING",1.3700000000000000e+02,1.3600000000000000e+02,2.2940839600000000e+08,2.1540440000000000e+07,2.5094883600000000e+08,8.5835982917250905e-02
"STONINGTON",1.3800000000000000e+02,1.3700000000000000e+02,2.6355734030000000e+09,2.1651756900000000e+08,2.8520909720000000e+09,7.5915379672538724e-02
"STRATFORD",1.3900000000000000e+02,1.3800000000000000e+02,4.6719620060000000e+09,4.3784090000000000e+08,5.1098029060000000e+09,8.5686455633324193e-02
"SUFFIELD",1.4000000000000000e+02,1.3900000000000000e+02,1.4065039610000000e+09,4.7957328000000000e+08,1.8860772410000000e+09,2.5427022264779026e-01
"THOMASTON",1.4100000000000000e+02,1.4000000000000000e+02,5.7580811300000000e+08,4.8483590000000000e+07,6.2429170300000000e+08,7.7661756142224425e-02
"THOMPSON",1.4200000000000000e+02,1.4100000000000000e+02,6.0474834300000000e+08,5.5968854000000000e+07,6.6071719700000000e+08,8.4709243613043120e-02
"TOLLAND",1.4300000000000000e+02,1.4200000000000000e+02,1.2679894370000000e+09,1.4649211500000000e+08,1.4144815520000000e+09,1.0356594244221010e-01
"TORRINGTON",1.4400000000000000e+02,1.4300000000000000e+02,1.9878197090000000e+09,2.2278589000000000e+08,2.2106055990000000e+09,1.0078047848100108e-01
"TRUMBULL",1.4500000000000000e+02,1.4400000000000000e+02,4.6172512870000000e+09,3.1776847000000000e+08,4.9350197570000000e+09,6.4390516278940199e-02
"UNION",1.4600000000000000e+02,1.4500000000000000e+02,9.0850155000000000e+07,9.9411000000000000e+06,1.0079125500000000e+08,9.8630580599477602e-02
"VERNON",1.4700000000000000e+02,1.4600000000000000e+02,1.7761905230000000e+09,2.3019533000000000e+08,2.0063858530000000e+09,1.1473133627602387e-01
"VOLUNTOWN",1.4800000000000000e+02,1.4700000000000000e+02,2.0153009700000000e+08,2.8283890000000000e+07,2.2981398700000000e+08,1.2307297031490080e-01
"WALLINGFORD",1.4900000000000000e+02,1.4800000000000000e+02,4.4058606470000000e+09,6.1128860000000000e+08,5.0171492470000000e+09,1.2183982773993010e-01
"WARREN",1.5000000000000000e+02,1.4900000000000000e+02,3.5427336400000000e+08,1.8747290000000000e+07,3.7302065400000000e+08,5.0258048177675436e-02
"WASHINGTON",1.5100000000000000e+02,1.5000000000000000e+02,1.1112578920000000e+09,1.8044591000000000e+08,1.2917038020000000e+09,1.3969604310261216e-01
"WATERBURY",1.5200000000000000e+02,1.5100000000000000e+02,4.1986561450000000e+09,1.6421082700000000e+09,5.8407644150000000e+09,2.8114612289151880e-01
"WATERFORD",1.5300000000000000e+02,1.5200000000000000e+02,3.1983111620000000e+09,2.7985329800000000e+08,3.4781644600000000e+09,8.0460053346643648e-02
"WATERTOWN",1.5400000000000000e+02,1.5300000000000000e+02,1.7960229390000000e+09,1.9386580000000000e+08,1.9898887390000000e+09,9.7425447061640968e-02
"WEST HARTFORD",1.5600000000000000e+02,1.5600000000000000e+02,6.0161692790000000e+09,8.0366706000000000e+08,6.8198363390000000e+09,1.1784257276148104e-01
"WEST HAVEN",1.5700000000000000e+02,1.5400000000000000e+02,2.6723052460000000e+09,6.3928089000000000e+08,3.3115861360000000e+09,1.9304371492875461e-01
"WESTBROOK",1.5500000000000000e+02,1.5500000000000000e+02,1.1886085440000000e+09,9.3252283000000000e+07,1.2818608270000000e+09,7.2747587753533877e-02
"WESTON",1.5800000000000000e+02,1.5700000000000000e+02,2.3572745470000000e+09,1.9834188000000000e+08,2.5556164270000000e+09,7.7610191382605317e-02
"WESTPORT",1.5900000000000000e+02,1.5800000000000000e+02,1.0865186732000000e+10,1.0987451000000000e+09,1.1963931832000000e+10,9.1838127751712850e-02
"WETHERSFIELD",1.6000000000000000e+02,1.5900000000000000e+02,2.2170517200000000e+09,2.0188360000000000e+08,2.4189353200000000e+09,8.3459693333180984e-02
"WILLINGTON",1.6100000000000000e+02,1.6000000000000000e+02,4.4357187200000000e+08,2.5844810000000000e+07,4.6941668200000000e+08,5.5057289165535025e-02
"WILTON",1.6200000000000000e+02,1.6100000000000000e+02,4.3609094190000000e+09,4.3544775000000000e+08,4.7963571690000000e+09,9.0787181741677339e-02
"WINCHESTER",1.6300000000000000e+02,1.6200000000000000e+02,7.1745856900000000e+08,7.9518200000000000e+07,7.9697676900000000e+08,9.9774802846229513e-02
"WINDHAM",1.6400000000000000e+02,1.6300000000000000e+02,9.2121278900000000e+08,6.1560482000000000e+08,1.5368176090000000e+09,4.0057116498071049e-01
"WINDSOR",1.6500000000000000e+02,1.6400000000000000e+02,2.9874416600000000e+09,2.7057205000000000e+08,3.2580137100000000e+09,8.3048161881430507e-02
"WINDSOR LOCKS",1.6600000000000000e+02,1.6500000000000000e+02,1.4042741570000000e+09,7.8160350000000000e+08,2.1858776570000000e+09,3.5756964599414448e-01
"WOLCOTT",1.6700000000000000e+02,1.6600000000000000e+02,1.2985097250000000e+09,7.4406260000000000e+07,1.3729159850000000e+09,5.4195785330593264e-02
"WOODBRIDGE",1.6800000000000000e+02,1.6700000000000000e+02,1.1407121000000000e+09,1.2454129000000000e+08,1.2652533900000000e+09,9.8431895922444432e-02
"WOODBURY",1.6900000000000000e+02,1.6800000000000000e+02,1.1424556810000000e+09,6.7523865000000000e+07,1.2099795460000000e+09,5.5805790455899160e-02
"WOODSTOCK",1.7000000000000000e+02,1.6900000000000000e+02,6.9255613800000000e+08,6.3010490000000000e+07,7.5556662800000000e+08,8.3395014635294348e-02
,,,,,,
,,,,,,
