Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,2011 Nonspendable_Fund_Bal,2011 Restricted_Fund_Bal,2011 Committed_Fund_Bal,2011 Assigned_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2011 Population,Moody's_Bond_Ratings_July2011,area lmt,ACGLFY11,EGL,TANF11 Recipients,empl,ACMR,enrollmt,RPA Identifier
"EAST GRANBY","JG",2.0110000000000000e+03,3.9000000000000000e+01,4.0000000000000000e+01,"H",17885349.0000,2944600.0000,25159497.0000,-71683.0000,59955.0000,0.0000,0.0000,805445.0000,3011763.0000,"N",2146363.0000,2951808.0000,2619515.0000,15207739.0000,18104794.0000,12993868.0000,540038.0000,17601413.0000,250000.0000,250000.0000,564333.0000,564333.0000,189048.0000,-640957.0000,189048.0000,0.0000,"N","N",,350000.0000,350000.0000,15124277.0000,14944273.0000,9.8809834017189713e-01,15513201.0000,15113143.0000,9.7421176970504020e-01,5.1520000000000000e+03,"Aa2",1.7480000000000000e+01,559656612.0000,835190013.9456,1.2000000000000000e+01,6.6333333333333327e-02,2.7090000000000000e+01,9.2377999999999997e+02,"Capital Region COG"
"EAST HADDAM","BP",2.0110000000000000e+03,4.0000000000000000e+01,4.1000000000000000e+01,"M",49599651.0000,16131559.0000,66173248.0000,1655378.0000,0.0000,0.0000,11187.0000,1964988.0000,5880860.0000,"N",3904685.0000,5880860.0000,6087634.0000,20410472.0000,27415896.0000,19343860.0000,2241300.0000,27768468.0000,1366693.0000,1366693.0000,336804.0000,336804.0000,677317.0000,-941791.0000,677317.0000,0.0000,"N","N",,19765883.0000,19765883.0000,20334570.0000,20138793.0000,9.9037220850994145e-01,20593340.0000,20266375.0000,9.8412277950055693e-01,9.1460000000000000e+03,"Aa2",5.4329999999999998e+01,976159892.0000,1360122328.0565,1.4000000000000000e+01,6.8760453447314629e-02,2.0870000000000001e+01,1.3712800000000000e+03,"Lower CT River Valley COG"
"EAST HAMPTON","JG",2.0110000000000000e+03,4.1000000000000000e+01,4.2000000000000000e+01,"M",67987584.0000,8466520.0000,79485492.0000,2100814.0000,0.0000,0.0000,0.0000,0.0000,4350654.0000,"N",4350654.0000,4350654.0000,11369957.0000,28900523.0000,40796712.0000,28545580.0000,1742602.0000,39364965.0000,0.0000,0.0000,1164500.0000,1164500.0000,267247.0000,-510866.0000,267247.0000,0.0000,"N","N",,7413182.0000,7413182.0000,28743643.0000,28141090.0000,9.7903699958978752e-01,29699089.0000,28587887.0000,9.6258464358957274e-01,1.2989000000000000e+04,"Aa3",3.5590000000000003e+01,1147511651.0000,1642527989.4640,4.2000000000000000e+01,8.0266195844085286e-02,2.4980000000000000e+01,2.0040100000000000e+03,"Lower CT River Valley COG"
"EAST HARTFORD","JG",2.0110000000000000e+03,4.2000000000000000e+01,4.3000000000000000e+01,"H",118754000.0000,-21534000.0000,97411000.0000,-5886000.0000,0.0000,0.0000,0.0000,668000.0000,13518000.0000,"N",12850000.0000,13518000.0000,51565000.0000,103943000.0000,164143000.0000,89434000.0000,9162000.0000,163839000.0000,457000.0000,457000.0000,187000.0000,187000.0000,574000.0000,-698000.0000,574000.0000,0.0000,"N","Y",,56531000.0000,56531000.0000,104001000.0000,101051000.0000,9.7163488812607568e-01,106932000.0000,102706000.0000,9.6047955710170951e-01,5.1293000000000000e+04,"Aa2",1.8020000000000000e+01,3088969638.0000,4288594846.1352,1.0540000000000000e+03,1.1160632740291528e-01,3.3820000000000000e+01,8.0274200000000001e+03,"Capital Region COG"
"EAST HAVEN","BP",2.0110000000000000e+03,4.3000000000000000e+01,4.4000000000000000e+01,"NH",44377039.0000,-8086441.0000,38562097.0000,8115285.0000,0.0000,0.0000,0.0000,0.0000,200800.0000,"N",200800.0000,200800.0000,22486788.0000,61263927.0000,86395615.0000,43749500.0000,7965661.0000,82669847.0000,0.0000,1672168.0000,0.0000,0.0000,3725768.0000,-2412128.0000,5397936.0000,0.0000,"N","Y",,48348062.0000,48348062.0000,60332253.0000,58975641.0000,9.7751431560164015e-01,62666428.0000,60006079.0000,9.5754746065947782e-01,2.9209000000000000e+04,"A3",1.2260000000000000e+01,2253988456.0000,2925349233.5479,2.5600000000000000e+02,9.6889737926093969e-02,2.6840000000000000e+01,3.7748499999999999e+03,"South Central Regional COG"
"EAST LYME","JG",2.0110000000000000e+03,4.4000000000000000e+01,4.5000000000000000e+01,"NL",52896924.0000,22195274.0000,75092198.0000,611950.0000,0.0000,0.0000,0.0000,1273044.0000,5354965.0000,"Y",4081921.0000,5354965.0000,11012922.0000,45105288.0000,62242178.0000,43090693.0000,6064247.0000,63828394.0000,2148562.0000,14940423.0000,121144.0000,12771142.0000,441202.0000,136719.0000,583065.0000,0.0000,"N","N",,44883560.0000,44883560.0000,44981652.0000,44367689.0000,9.8635081254908108e-01,45945808.0000,44852615.0000,9.7620690444708258e-01,1.9124000000000000e+04,"Aa2",3.4030000000000001e+01,2310845271.0000,3151465726.7527,4.7000000000000000e+01,8.1051258902598053e-02,1.9550999999999998e+01,2.8787500000000000e+03,"Southeastern CT COG"
"EAST WINDSOR","BP",2.0110000000000000e+03,4.5000000000000000e+01,4.7000000000000000e+01,"H",39844361.0000,8520495.0000,48374677.0000,2503852.0000,0.0000,0.0000,0.0000,563147.0000,3935859.0000,"N",3372712.0000,3935859.0000,7273015.0000,26071181.0000,34321679.0000,20522588.0000,1679510.0000,33202434.0000,350007.0000,350007.0000,419755.0000,419755.0000,1049497.0000,-218350.0000,1049497.0000,0.0000,"N","N",,7472300.0000,7472300.0000,25804815.0000,25141490.0000,9.7429452604097333e-01,27148175.0000,25737570.0000,9.4804052206087519e-01,1.1170000000000000e+04,"Aa2",2.6280000000000001e+01,1077269878.0000,1502243643.3407,7.3000000000000000e+01,9.1582691167753402e-02,2.3996400000000001e+01,1.3962100000000000e+03,"Capital Region COG"
"EASTFORD","BP",2.0110000000000000e+03,4.6000000000000000e+01,3.9000000000000000e+01,"W",2697003.0000,786123.0000,3742182.0000,90018.0000,0.0000,1716.0000,0.0000,52.0000,1016575.0000,"N",1014807.0000,1014859.0000,1557126.0000,3383034.0000,5034124.0000,3819029.0000,0.0000,4906189.0000,0.0000,0.0000,44500.0000,44500.0000,83435.0000,72934.0000,83435.0000,0.0000,"N","N",,34786.0000,34786.0000,3372170.0000,3303739.0000,9.7970713220270622e-01,3480620.0000,3370981.0000,9.6850015227172170e-01,1.7440000000000000e+03,,2.8879999999999999e+01,160328742.0000,221350085.5836,0.0000000000000000e+00,6.9346733668341709e-02,2.1000000000000000e+01,2.4593000000000001e+02,"Northeastern CT COG"
"EASTON","BP",2.0110000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",55630433.0000,4275449.0000,59905882.0000,54859.0000,0.0000,0.0000,0.0000,540200.0000,3809980.0000,"N",3269780.0000,3809980.0000,2233793.0000,37094655.0000,40406455.0000,25665283.0000,3697398.0000,40806338.0000,103366.0000,9142161.0000,221189.0000,9141182.0000,-517706.0000,-713607.0000,-398904.0000,0.0000,"N","N",10073635.4083,28955000.0000,39028635.4083,37084154.0000,36632127.0000,9.8781077761676861e-01,37630650.0000,36826027.0000,9.7861788196589750e-01,7.5640000000000000e+03,"Aaa",2.7420000000000002e+01,1667450303.0000,1929450918.9321,3.0000000000000000e+00,6.1493797835840594e-02,2.2399999999999999e+01,1.5532400000000000e+03,"Greater Bridgeport RPA"
"ELLINGTON","JG",2.0110000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",44264202.0000,4948915.0000,49958997.0000,81650.0000,0.0000,0.0000,3676115.0000,834881.0000,6848833.0000,"Y",2337837.0000,6848833.0000,13593091.0000,31933571.0000,46951104.0000,32365108.0000,2626416.0000,48405040.0000,141395.0000,1209064.0000,192363.0000,192363.0000,-1504904.0000,1270246.0000,-437235.0000,0.0000,"Y","N",,14314696.0000,14314696.0000,32222929.0000,31788688.0000,9.8652385076477689e-01,33056407.0000,31990038.0000,9.6774092840761550e-01,1.5582000000000000e+04,"Aa3",3.4049999999999997e+01,1263975024.0000,1870347136.9496,3.9000000000000000e+01,6.7594433399602388e-02,2.5300000000000001e+01,2.7324299999999998e+03,"Capital Region COG"
"ENFIELD","JG",2.0110000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",189683000.0000,24273000.0000,220013000.0000,4583000.0000,3823000.0000,0.0000,0.0000,1448000.0000,18384000.0000,"Y",13113000.0000,14561000.0000,40876000.0000,75675000.0000,125788000.0000,70698000.0000,3577000.0000,124177000.0000,17000.0000,1304000.0000,3905000.0000,3905000.0000,-2277000.0000,-878000.0000,-990000.0000,0.0000,"N","N",,28688000.0000,28688000.0000,75864000.0000,74191000.0000,9.7794737952124855e-01,79710000.0000,75307000.0000,9.4476226320411494e-01,4.4686000000000000e+04,"Aa2",3.3380000000000003e+01,3193264598.0000,4716736849.2867,2.6600000000000000e+02,8.7049884373967629e-02,2.3879999999999999e+01,6.0516000000000004e+03,"Capital Region COG"
"WOODBURY","JG",2.0110000000000000e+03,1.6900000000000000e+02,1.6800000000000000e+02,"L",17656303.0000,3710886.0000,22343114.0000,-543204.0000,0.0000,0.0000,0.0000,37904.0000,2493847.0000,"Y",2455943.0000,2493847.0000,1157274.0000,26110652.0000,27823632.0000,19655602.0000,384647.0000,27933075.0000,28699.0000,125949.0000,20410.0000,20410.0000,-101154.0000,-344824.0000,-3904.0000,0.0000,"N","N",2880870.0496,2542519.0000,5423389.0496,26071554.0000,25624548.0000,9.8285464686915092e-01,26879104.0000,25951510.0000,9.6549014431433433e-01,9.9150000000000000e+03,"Aa2",3.6469999999999999e+01,1213849044.0000,1623688758.2480,1.4000000000000000e+01,6.3029661016949151e-02,2.1449999999999999e+01,1.3857100000000000e+03,"COG of Central Naugatuck Valley"
"WOODSTOCK","JG",2.0110000000000000e+03,1.7000000000000000e+02,1.6900000000000000e+02,"W",18776522.0000,3710379.0000,25640077.0000,1368162.0000,0.0000,0.0000,0.0000,475532.0000,2378854.0000,"Y",1903322.0000,2378854.0000,7088491.0000,14190703.0000,21737715.0000,16265285.0000,964189.0000,21447552.0000,16295.0000,1322279.0000,307776.0000,1536035.0000,-1318.0000,-491451.0000,76407.0000,0.0000,"N","N",,5302898.0000,5302898.0000,14101881.0000,13832562.0000,9.8090190946867306e-01,14437699.0000,14009441.0000,9.7033751707941829e-01,7.9450000000000000e+03,"Aa3",6.0539999999999999e+01,785892538.0000,1021258365.5074,1.5000000000000000e+01,6.9939183318853168e-02,1.7920000000000002e+01,1.3837600000000000e+03,"Northeastern CT COG"
"ANDOVER","BP",2.0110000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",5883753.0000,2401709.0000,8386273.0000,31506.0000,0.0000,0.0000,0.0000,223524.0000,1756626.0000,"N",1533102.0000,1756626.0000,2431822.0000,7414142.0000,9940515.0000,8009858.0000,136710.0000,9885945.0000,1738.0000,1738.0000,0.0000,0.0000,56308.0000,304989.0000,56308.0000,0.0000,"N","N",4117574.8969,990000.0000,5107574.8969,7602980.0000,7533283.0000,9.9083293655908600e-01,7657412.0000,7571850.0000,9.8882625095789545e-01,3.2980000000000000e+03,,1.5449999999999999e+01,275407242.0000,377034535.9659,1.1000000000000000e+01,6.5048543689320393e-02,2.7600000000000001e+01,6.3648000000000002e+02,"Capital Region COG"
"ANSONIA","BP",2.0110000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",32141271.0000,15168208.0000,47316957.0000,-2890921.0000,0.0000,0.0000,780179.0000,1457779.0000,8631643.0000,"N",6393685.0000,8631643.0000,27166329.0000,29439270.0000,59512462.0000,31895845.0000,8830110.0000,60091435.0000,0.0000,0.0000,0.0000,0.0000,-578973.0000,780838.0000,-578973.0000,0.0000,"N","N",,21736351.0000,21736351.0000,29887189.0000,28877719.0000,9.6622398981717550e-01,32416514.0000,29594471.0000,9.1294427895609009e-01,1.9219000000000000e+04,"A1",6.0300000000000002e+00,1164619962.0000,1484130265.0078,3.4100000000000000e+02,1.0241996951219512e-01,2.5750000000000000e+01,2.7954200000000001e+03,"Valley COG"
"ASHFORD","BP",2.0110000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",12095565.0000,3096437.0000,16537599.0000,65857.0000,1406.0000,0.0000,27516.0000,57566.0000,1426490.0000,"Y",1340002.0000,1425084.0000,4903431.0000,8689053.0000,13975187.0000,11069550.0000,516153.0000,13992024.0000,2169.0000,2169.0000,365712.0000,365712.0000,-380380.0000,158222.0000,-380380.0000,0.0000,"N","N",3046606.5419,3287500.0000,6334106.5419,8706950.0000,8520060.0000,9.7853553770263979e-01,9180724.0000,8605264.0000,9.3731866898514760e-01,4.3070000000000000e+03,"Aa3",3.8799999999999997e+01,341703306.0000,454127480.8827,2.6000000000000000e+01,8.1257186661556152e-02,2.5430000000000000e+01,7.0177999999999997e+02,"Northeastern CT COG"
"AVON","JG",2.0110000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",107467654.0000,16205739.0000,123673393.0000,5453910.0000,133724.0000,0.0000,0.0000,1786555.0000,8005254.0000,"Y",6084975.0000,7871530.0000,5710137.0000,64340735.0000,73134382.0000,46977726.0000,4776412.0000,69814606.0000,0.0000,0.0000,1555152.0000,1555152.0000,1764624.0000,-152983.0000,1764624.0000,0.0000,"N","N",,33120000.0000,33120000.0000,64184141.0000,64016578.0000,9.9738933952547559e-01,64308416.0000,64111785.0000,9.9694237531834096e-01,1.8113000000000000e+04,"Aaa",2.3120000000000001e+01,2618153660.0000,3649823882.3365,1.5000000000000000e+01,5.4847071021254537e-02,2.4440000000000001e+01,3.5854299999999998e+03,"Capital Region COG"
"BARKHAMSTED","JG",2.0110000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",4172042.0000,2932147.0000,7104189.0000,1746.0000,0.0000,0.0000,0.0000,206064.0000,1446730.0000,"N",1240666.0000,1446730.0000,2040073.0000,8258860.0000,10432168.0000,8512747.0000,0.0000,10396219.0000,0.0000,0.0000,8000.0000,8000.0000,27949.0000,-64489.0000,27949.0000,0.0000,"N","N",1671038.5970,0.0000,1671038.5970,8276044.0000,8096916.0000,9.7835584247739615e-01,8692666.0000,8221187.0000,9.4576128888421573e-01,3.7760000000000000e+03,,3.6219999999999999e+01,368941301.0000,533907239.0023,4.0000000000000000e+00,8.3476027397260275e-02,2.2390000000000001e+01,6.6010000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls"
"BEACON FALLS","BP",2.0110000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",9757372.0000,2136383.0000,12243873.0000,414138.0000,0.0000,0.0000,0.0000,0.0000,822454.0000,"N",822454.0000,822454.0000,3766748.0000,13859691.0000,17832315.0000,12593791.0000,299713.0000,17955715.0000,105034.0000,133214.0000,256841.0000,256841.0000,-275207.0000,-177960.0000,-247027.0000,0.0000,"N","N",8288973.9202,2759259.0000,11048232.9202,13512456.0000,13079066.0000,9.6792663006636248e-01,14454982.0000,13378183.0000,9.2550672148882651e-01,6.0380000000000000e+03,,9.7699999999999996e+00,531822271.0000,711752725.1289,1.7000000000000000e+01,8.4572761738116065e-02,2.5600000000000001e+01,1.0212500000000000e+03,"COG of Central Naugatuck Valley"
"BERLIN","BP",2.0110000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",56582569.0000,19288970.0000,76027612.0000,25582.0000,0.0000,0.0000,295251.0000,1550000.0000,10367712.0000,"Y",8522461.0000,10367712.0000,11406083.0000,54508377.0000,70616679.0000,42974081.0000,1751221.0000,69306749.0000,395549.0000,892693.0000,913318.0000,913318.0000,792161.0000,-419918.0000,1289305.0000,0.0000,"N","N",,29223800.0000,29223800.0000,54154344.0000,53367466.0000,9.8546971596590660e-01,55788506.0000,53970191.0000,9.6740699598587565e-01,1.9881000000000000e+04,"Aa2",2.6449999999999999e+01,2279390278.0000,3269406577.9005,2.8000000000000000e+01,7.6109936575052856e-02,2.3649999999999999e+01,3.1664400000000001e+03,"Central CT RPA"
"BETHANY","JG",2.0110000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",18000713.0000,3974444.0000,22178339.0000,111005.0000,93764.0000,3300.0000,0.0000,0.0000,2702067.0000,"Y",2605003.0000,2605003.0000,3064837.0000,17004067.0000,20844556.0000,15340874.0000,1056497.0000,20507631.0000,0.0000,0.0000,345000.0000,345000.0000,-8075.0000,115502.0000,-8075.0000,0.0000,"N","N",10440260.6231,7003330.0000,17443590.6231,16965326.0000,16778437.0000,9.8898406078374212e-01,17178412.0000,16911458.0000,9.8445991398972155e-01,5.5540000000000000e+03,"Aa2",2.0960000000000001e+01,615225920.0000,864122512.9497,4.0000000000000000e+00,6.8232307204062204e-02,2.7550000000000001e+01,1.0144500000000000e+03,"South Central Regional COG"
"BETHEL","JG",2.0110000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",62587262.0000,9313986.0000,72337449.0000,1623751.0000,61987.0000,0.0000,0.0000,22987.0000,7033413.0000,"N",6948439.0000,6971426.0000,11415189.0000,51376303.0000,63780825.0000,39878864.0000,3647722.0000,63286545.0000,0.0000,0.0000,488000.0000,488000.0000,6280.0000,37206.0000,6280.0000,0.0000,"Y","N",,35602203.0000,35602203.0000,50571935.0000,49883970.0000,9.8639630854544125e-01,51453899.0000,50429699.0000,9.8009480292251516e-01,1.8771000000000000e+04,"Aa2",1.6789999999999999e+01,2295815380.0000,2815952631.7257,6.0000000000000000e+01,6.8771547813463979e-02,2.2440000000000001e+01,2.9532199999999998e+03,"Housatonic Council of Elected Ofcls"
