MUNICIPALITY,TANF RECIPIENTS FY 2005-06
"KILLINGLY",2.5400000000000000e+02
"KILLINGWORTH",1.5000000000000000e+01
"LEBANON",2.9000000000000000e+01
"LEDYARD",6.2000000000000000e+01
"LISBON",1.2000000000000000e+01
"LITCHFIELD",2.0000000000000000e+01
"LYME",2.0000000000000000e+00
"MADISON",1.3000000000000000e+01
"MANCHESTER",7.6200000000000000e+02
"MANSFIELD",3.8000000000000000e+01
"MARLBOROUGH",4.0000000000000000e+00
"MERIDEN",1.5700000000000000e+03
"MIDDLEBURY",7.0000000000000000e+00
"MIDDLEFIELD",8.0000000000000000e+00
"MIDDLETOWN",6.0400000000000000e+02
"MILFORD",2.4500000000000000e+02
"MONROE",2.3000000000000000e+01
"MONTVILLE",1.1100000000000000e+02
"MORRIS",8.0000000000000000e+00
"NAUGATUCK",2.8400000000000000e+02
"NEW BRITAIN",2.9800000000000000e+03
"NEW CANAAN",3.0000000000000000e+00
"NEW FAIRFIELD",2.2000000000000000e+01
"NEW HARTFORD",9.0000000000000000e+00
"NEW HAVEN",5.9310000000000000e+03
"NEW LONDON",8.7500000000000000e+02
"NEW MILFORD",8.8000000000000000e+01
"NEWINGTON",9.7000000000000000e+01
"NEWTOWN",3.7000000000000000e+01
"NORFOLK",1.1000000000000000e+01
"NORTH BRANFORD",3.0000000000000000e+01
"NORTH CANAAN",1.6000000000000000e+01
"NORTH HAVEN",7.5000000000000000e+01
"NORTH STONINGTON",1.3000000000000000e+01
"NORWALK",5.9900000000000000e+02
"NORWICH",8.5300000000000000e+02
"OLD LYME",7.0000000000000000e+00
"OLD SAYBROOK",2.6000000000000000e+01
"ORANGE",8.0000000000000000e+00
"OXFORD",1.7000000000000000e+01
"PLAINFIELD",1.6600000000000000e+02
"PLAINVILLE",1.2900000000000000e+02
"PLYMOUTH",8.3000000000000000e+01
"POMFRET",1.2000000000000000e+01
"PORTLAND",6.5000000000000000e+01
"PRESTON",1.7000000000000000e+01
"PROSPECT",1.4000000000000000e+01
"PUTNAM",1.4200000000000000e+02
"REDDING",5.0000000000000000e+00
"RIDGEFIELD",5.0000000000000000e+00
"ROCKY HILL",2.7000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",8.0000000000000000e+00
"SALISBURY",1.2000000000000000e+01
"SCOTLAND",5.0000000000000000e+00
"SEYMOUR",8.3000000000000000e+01
"SHARON",2.0000000000000000e+00
"SHELTON",1.3800000000000000e+02
"SHERMAN",7.0000000000000000e+00
"SIMSBURY",2.2000000000000000e+01
"SOMERS",2.4000000000000000e+01
"SOUTH WINDSOR",4.0000000000000000e+01
"SOUTHBURY",2.8000000000000000e+01
"SOUTHINGTON",1.5000000000000000e+02
"SPRAGUE",3.9000000000000000e+01
"STAFFORD",8.3000000000000000e+01
"STAMFORD",5.9500000000000000e+02
"STERLING",2.4000000000000000e+01
"STONINGTON",9.8000000000000000e+01
"STRATFORD",3.6600000000000000e+02
"SUFFIELD",1.4000000000000000e+01
"THOMASTON",3.2000000000000000e+01
"THOMPSON",6.6000000000000000e+01
"TOLLAND",9.0000000000000000e+00
"TORRINGTON",4.2700000000000000e+02
"TRUMBULL",3.5000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",3.6300000000000000e+02
"VOLUNTOWN",1.4000000000000000e+01
"WALLINGFORD",1.4000000000000000e+02
"WARREN",1.0000000000000000e+00
"WASHINGTON",1.5000000000000000e+01
"WATERBURY",4.4160000000000000e+03
"WATERFORD",6.8000000000000000e+01
"WATERTOWN",7.7000000000000000e+01
"WEST HARTFORD",2.8700000000000000e+02
"WEST HAVEN",8.6500000000000000e+02
"WESTBROOK",9.0000000000000000e+00
"WESTON",1.0000000000000000e+00
"WESTPORT",1.0000000000000000e+01
"WETHERSFIELD",8.6000000000000000e+01
"WILLINGTON",1.8000000000000000e+01
"WILTON",0.0000000000000000e+00
"WINCHESTER",1.0600000000000000e+02
"WINDHAM",6.3800000000000000e+02
"WINDSOR",1.8400000000000000e+02
"WINDSOR LOCKS",5.8000000000000000e+01
"WOLCOTT",5.4000000000000000e+01
"WOODBRIDGE",8.0000000000000000e+00
"WOODBURY",1.0000000000000000e+01
"WOODSTOCK",1.0000000000000000e+01
