Municipality,Numbered,April 2010 Census Population,April 2000 Population,Population2000vs2010Change
"PORTLAND",114,9.5080000000000000e+03,8.7320000000000000e+03,8.8868529546495642e-02
"PRESTON",115,4.7260000000000000e+03,4.6880000000000000e+03,8.1058020477815691e-03
"PROSPECT",116,9.4050000000000000e+03,8.7070000000000000e+03,8.0165384173653376e-02
"PUTNAM",117,9.5840000000000000e+03,9.0020000000000000e+03,6.4652299489002446e-02
"REDDING",118,9.1580000000000000e+03,8.2700000000000000e+03,1.0737605804111246e-01
"RIDGEFIELD",119,2.4638000000000000e+04,2.3643000000000000e+04,4.2084337858985743e-02
"ROCKY HILL",120,1.9709000000000000e+04,1.7966000000000000e+04,9.7016586886340864e-02
"ROXBURY",121,2.2620000000000000e+03,2.1370000000000000e+03,5.8493214787084698e-02
"SALEM",122,4.1510000000000000e+03,3.8580000000000000e+03,7.5946086054950748e-02
"SALISBURY",123,3.7410000000000000e+03,3.9770000000000000e+03,-5.9341211968820716e-02
"SCOTLAND",124,1.7260000000000000e+03,1.5560000000000000e+03,1.0925449871465295e-01
"SEYMOUR",125,1.6540000000000000e+04,1.5454000000000000e+04,7.0273068461239804e-02
"SHARON",126,2.7820000000000000e+03,2.9680000000000000e+03,-6.2668463611859834e-02
"SHELTON",127,3.9559000000000000e+04,3.8101000000000000e+04,3.8266712159785832e-02
"SHERMAN",128,3.5810000000000000e+03,3.8270000000000000e+03,-6.4280114972563362e-02
"SIMSBURY",129,2.3511000000000000e+04,2.3234000000000000e+04,1.1922183007661187e-02
"SOMERS",130,1.1444000000000000e+04,1.0417000000000000e+04,9.8588845156954971e-02
"SOUTH WINDSOR",131,2.5709000000000000e+04,2.4412000000000000e+04,5.3129608389316726e-02
"SOUTHBURY",132,1.9904000000000000e+04,1.8567000000000000e+04,7.2009479183497607e-02
"SOUTHINGTON",133,4.3069000000000000e+04,3.9728000000000000e+04,8.4096858638743457e-02
"SPRAGUE",134,2.9840000000000000e+03,2.9710000000000000e+03,4.3756311006395154e-03
"STAFFORD",135,1.2087000000000000e+04,1.1307000000000000e+04,6.8983815335632789e-02
"STAMFORD",136,1.2264300000000000e+05,1.1708300000000000e+05,4.7487679680226845e-02
"STERLING",137,3.8300000000000000e+03,3.0990000000000000e+03,2.3588254275572765e-01
"ANDOVER",1,3.3030000000000000e+03,3.0360000000000000e+03,8.7944664031620559e-02
"ANSONIA",2,1.9249000000000000e+04,1.8554000000000000e+04,3.7458230031260108e-02
"ASHFORD",3,4.3170000000000000e+03,4.0980000000000000e+03,5.3440702781844804e-02
"AVON",4,1.8098000000000000e+04,1.5832000000000000e+04,1.4312784234461851e-01
"BARKHAMSTED",5,3.7990000000000000e+03,3.4940000000000000e+03,8.7292501431024613e-02
"BEACON FALLS",6,6.0490000000000000e+03,5.2460000000000000e+03,1.5306900495615708e-01
"BERLIN",7,1.9866000000000000e+04,1.8215000000000000e+04,9.0639582761460336e-02
"BETHANY",8,5.5630000000000000e+03,5.0400000000000000e+03,1.0376984126984128e-01
"BETHEL",9,1.8584000000000000e+04,1.8067000000000000e+04,2.8615708197265732e-02
"BETHLEHEM",10,3.6070000000000000e+03,3.4220000000000000e+03,5.4061952074810050e-02
"BLOOMFIELD",11,2.0486000000000000e+04,1.9587000000000000e+04,4.5897789350079134e-02
"BOLTON",12,4.9800000000000000e+03,5.0170000000000000e+03,-7.3749252541359380e-03
"BOZRAH",13,2.6270000000000000e+03,2.3570000000000000e+03,1.1455239711497667e-01
"BRANFORD",14,2.8026000000000000e+04,2.8683000000000000e+04,-2.2905553812362724e-02
"BRIDGEPORT",15,1.4422900000000000e+05,1.3952900000000000e+05,3.3684753707114649e-02
"BRIDGEWATER",16,1.7270000000000000e+03,1.8240000000000000e+03,-5.3179824561403508e-02
"BRISTOL",17,6.0477000000000000e+04,6.0062000000000000e+04,6.9095268222836405e-03
"BROOKFIELD",18,1.6452000000000000e+04,1.5664000000000000e+04,5.0306435137895809e-02
"BROOKLYN",19,8.2100000000000000e+03,7.1730000000000000e+03,1.4456991495887356e-01
"BURLINGTON",20,9.3010000000000000e+03,8.1900000000000000e+03,1.3565323565323564e-01
"CANAAN",21,1.2340000000000000e+03,1.0810000000000000e+03,1.4153561517113783e-01
"CANTERBURY",22,5.1320000000000000e+03,4.6920000000000000e+03,9.3776641091219096e-02
"CANTON",23,1.0292000000000000e+04,8.8400000000000000e+03,1.6425339366515837e-01
"CHAPLIN",24,2.3050000000000000e+03,2.2500000000000000e+03,2.4444444444444446e-02
"CHESHIRE",25,2.9261000000000000e+04,2.8543000000000000e+04,2.5155029254107838e-02
"CHESTER",26,3.9940000000000000e+03,3.7430000000000000e+03,6.7058509217205450e-02
"CLINTON",27,1.3260000000000000e+04,1.3094000000000000e+04,1.2677562242248358e-02
"COLCHESTER",28,1.6068000000000000e+04,1.4551000000000000e+04,1.0425400316129475e-01
"COLEBROOK",29,1.4850000000000000e+03,1.4710000000000000e+03,9.5173351461590762e-03
"COLUMBIA",30,5.4850000000000000e+03,4.9710000000000000e+03,1.0339971836652585e-01
"CORNWALL",31,1.4200000000000000e+03,1.4340000000000000e+03,-9.7629009762900971e-03
"COVENTRY",32,1.2435000000000000e+04,1.1468000000000000e+04,8.4321590512731082e-02
"CROMWELL",33,1.4005000000000000e+04,1.2871000000000000e+04,8.8105042343252268e-02
"DANBURY",34,8.0893000000000000e+04,7.4848000000000000e+04,8.0763681060282172e-02
"DARIEN",35,2.0732000000000000e+04,1.9607000000000000e+04,5.7377467231090939e-02
"DEEP RIVER",36,4.6290000000000000e+03,4.6100000000000000e+03,4.1214750542299351e-03
"DERBY",37,1.2902000000000000e+04,1.2391000000000000e+04,4.1239609393914939e-02
"DURHAM",38,7.3880000000000000e+03,6.6270000000000000e+03,1.1483325788441226e-01
"EAST GRANBY",39,5.1480000000000000e+03,4.7450000000000000e+03,8.4931506849315067e-02
"EAST HADDAM",40,9.1260000000000000e+03,8.3330000000000000e+03,9.5163806552262087e-02
"EAST HAMPTON",41,1.2959000000000000e+04,1.0956000000000000e+04,1.8282219788243884e-01
"EAST HARTFORD",42,5.1252000000000000e+04,4.9575000000000000e+04,3.3827534039334341e-02
"EAST HAVEN",43,2.9257000000000000e+04,2.8189000000000000e+04,3.7887119089006348e-02
"EAST LYME",44,1.9159000000000000e+04,1.8118000000000000e+04,5.7456672921956067e-02
"EAST WINDSOR",45,1.1162000000000000e+04,9.8180000000000000e+03,1.3689142391525769e-01
"EASTFORD",46,1.7490000000000000e+03,1.6180000000000000e+03,8.0964153275648945e-02
"EASTON",47,7.4900000000000000e+03,7.2720000000000000e+03,2.9977997799779978e-02
"ELLINGTON",48,1.5602000000000000e+04,1.2921000000000000e+04,2.0749168021051001e-01
"ENFIELD",49,4.4654000000000000e+04,4.5212000000000000e+04,-1.2341856144386446e-02
"ESSEX",50,6.6830000000000000e+03,6.5050000000000000e+03,2.7363566487317449e-02
"FAIRFIELD",51,5.9404000000000000e+04,5.7340000000000000e+04,3.5995814440181371e-02
"FARMINGTON",52,2.5340000000000000e+04,2.3641000000000000e+04,7.1866672306586013e-02
"FRANKLIN",53,1.9220000000000000e+03,1.8350000000000000e+03,4.7411444141689373e-02
"GLASTONBURY",54,3.4427000000000000e+04,3.1876000000000000e+04,8.0028861839628554e-02
"GOSHEN",55,2.9760000000000000e+03,2.6970000000000000e+03,1.0344827586206896e-01
"GRANBY",56,1.1282000000000000e+04,1.0347000000000000e+04,9.0364356818401464e-02
"GREENWICH",57,6.1171000000000000e+04,6.1101000000000000e+04,1.1456440974779464e-03
"GRISWOLD",58,1.1951000000000000e+04,1.0807000000000000e+04,1.0585731470343296e-01
"GROTON",59,4.0115000000000000e+04,3.9925000000000000e+04,4.7589229805886039e-03
"GUILFORD",61,2.2375000000000000e+04,2.1398000000000000e+04,4.5658472754463032e-02
"HADDAM",62,8.3460000000000000e+03,7.1570000000000000e+03,1.6613106050020959e-01
"HAMDEN",63,6.0960000000000000e+04,5.6763000000000000e+04,7.3939009566090591e-02
"HAMPTON",64,1.8630000000000000e+03,1.7580000000000000e+03,5.9726962457337884e-02
"HARTFORD",65,1.2477500000000000e+05,1.2412100000000000e+05,5.2690519734774934e-03
"HARTLAND",66,2.1140000000000000e+03,2.0120000000000000e+03,5.0695825049701791e-02
"HARWINTON",67,5.6420000000000000e+03,5.2830000000000000e+03,6.7953814120764719e-02
"HEBRON",68,9.6860000000000000e+03,8.6100000000000000e+03,1.2497096399535423e-01
"KENT",69,2.9790000000000000e+03,2.8580000000000000e+03,4.2337298810356895e-02
"KILLINGLY",70,1.7370000000000000e+04,1.6472000000000000e+04,5.4516755706653715e-02
