MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2609273860.0000,342739680.0000,111624370.0000,2729600.0000,39578350.0000,3124822760.0000,9732100.0000,3115090660.0000,210031282.0000,3931968.0000,206099314.0000,148936805.0000,23301692.0000,125635113.0000,3483790847.0000,3446825087.0000,18876900.0000
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,4091195912.0000,895676158.0000,568655925.0000,42171365.0000,272743779.0000,5946001678.0000,37925276.0000,5908076402.0000,396467663.0000,7035504.0000,389432159.0000,804993022.0000,117457651.0000,687535371.0000,7147462363.0000,6985043932.0000,75558539.0000
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,367333652.0000,3025100.0000,799500.0000,567500.0000,0.0000,396976692.0000,805000.0000,396171692.0000,16857347.0000,33500.0000,16823847.0000,3824842.0000,298570.0000,3526272.0000,417658881.0000,416521811.0000,25250940.0000
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2857643070.0000,482637610.0000,230550290.0000,2439290.0000,132714720.0000,3753576320.0000,47817123.0000,3705759197.0000,342455000.0000,3461676.0000,338993324.0000,386925970.0000,158732246.0000,228193724.0000,4482957290.0000,4272946245.0000,47591340.0000
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1952200965.0000,245862530.0000,110787470.0000,3827980.0000,14060690.0000,2385995175.0000,4581620.0000,2381413555.0000,132956206.0000,2415402.0000,130540804.0000,113244318.0000,9276840.0000,103967478.0000,2632195699.0000,2615921837.0000,59255540.0000
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,386168760.0000,33558200.0000,3718800.0000,2594900.0000,15055400.0000,460165380.0000,1579250.0000,458586130.0000,49445750.0000,763820.0000,48681930.0000,15732261.0000,1020754.0000,14711507.0000,525343391.0000,521979567.0000,19069320.0000
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,779163200.0000,13039430.0000,3126550.0000,0.0000,344260.0000,839450020.0000,1988140.0000,837461880.0000,74593386.0000,149380.0000,74444006.0000,11654022.0000,1095810.0000,10558212.0000,925697428.0000,922464098.0000,43776580.0000
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,117953600.0000,4251900.0000,10349200.0000,2422800.0000,0.0000,169698800.0000,241500.0000,169457300.0000,9264340.0000,745300.0000,8519040.0000,12554810.0000,2342390.0000,10212420.0000,191517950.0000,188188760.0000,34721300.0000
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,303598640.0000,10895980.0000,4285900.0000,148300.0000,1653600.0000,341337250.0000,3453000.0000,337884250.0000,36208219.0000,837960.0000,35370259.0000,7308686.0000,554740.0000,6753946.0000,384854155.0000,380008455.0000,20754830.0000
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,859728090.0000,129546860.0000,7747520.0000,137580.0000,7844880.0000,1007105870.0000,1235000.0000,1005870870.0000,76620596.0000,209150.0000,76411446.0000,39489230.0000,546610.0000,38942620.0000,1123215696.0000,1121224936.0000,2100940.0000
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,136428345.0000,7004000.0000,1423400.0000,0.0000,286600.0000,147918745.0000,368080.0000,147550665.0000,15319780.0000,117030.0000,15202750.0000,9758360.0000,259838.0000,9498522.0000,172996885.0000,172251937.0000,2776400.0000
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2114711460.0000,216948550.0000,180801150.0000,0.0000,13215500.0000,2548743960.0000,18099791.0000,2530644169.0000,216170065.0000,9127842.0000,207042223.0000,134092898.0000,31538448.0000,102554450.0000,2899006923.0000,2840240842.0000,23067300.0000
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,366198130.0000,56562730.0000,19772170.0000,1120480.0000,3231420.0000,459336790.0000,1537480.0000,457799310.0000,26912240.0000,262620.0000,26649620.0000,22094020.0000,5561880.0000,16532140.0000,508343050.0000,500981070.0000,12451860.0000
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1163222040.0000,134434139.0000,29471110.0000,1039900.0000,9232137.0000,1355274466.0000,5563110.0000,1349711356.0000,88269290.0000,204740.0000,88064550.0000,69350609.0000,16718430.0000,52632179.0000,1512894365.0000,1490408085.0000,17875140.0000
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,996308520.0000,93061600.0000,9590300.0000,309800.0000,23410100.0000,1158539901.0000,3854542.0000,1154685359.0000,109870970.0000,1618765.0000,108252205.0000,36858990.0000,2498680.0000,34360310.0000,1305269861.0000,1297297874.0000,35859581.0000
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,148156300.0000,1453400.0000,634700.0000,11723200.0000,0.0000,164087390.0000,1154000.0000,162933390.0000,11317853.0000,106480.0000,11211373.0000,8070185.0000,75540.0000,7994645.0000,183475428.0000,182139408.0000,2119790.0000
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,448033848.0000,14477200.0000,7809100.0000,339000.0000,634900.0000,483265798.0000,1200000.0000,482065798.0000,41785300.0000,286070.0000,41499230.0000,12449362.0000,1913860.0000,10535502.0000,537500460.0000,534100530.0000,11971750.0000
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,315659110.0000,10673110.0000,0.0000,0.0000,0.0000,434078070.0000,388000.0000,433690070.0000,13484040.0000,64450.0000,13419590.0000,8230020.0000,592840.0000,7637180.0000,455792130.0000,454746840.0000,107745850.0000
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,834814250.0000,33696800.0000,1140100.0000,455900.0000,55200.0000,871628650.0000,2428500.0000,869200150.0000,81763820.0000,673396.0000,81090424.0000,20616139.0000,1519310.0000,19096829.0000,974008609.0000,969387403.0000,1466400.0000
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,966445230.0000,210250240.0000,33363130.0000,0.0000,1365660.0000,1223425100.0000,4491565.0000,1218933535.0000,99133353.0000,642023.0000,98491330.0000,77882380.0000,3659940.0000,74222440.0000,1400440833.0000,1391647305.0000,12000840.0000
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,5372437900.0000,1662078100.0000,436822600.0000,4588300.0000,250486400.0000,7726756300.0000,737328031.0000,6989428269.0000,455281381.0000,1760148.0000,453521233.0000,535429920.0000,160960360.0000,374469560.0000,8717467601.0000,7817419062.0000,343000.0000
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,7564757890.0000,666676830.0000,3405010.0000,666120.0000,37886310.0000,8423807250.0000,1433500.0000,8422373750.0000,216654170.0000,6000.0000,216648170.0000,156415113.0000,23550.0000,156391563.0000,8796876533.0000,8795413483.0000,150415090.0000
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,377845370.0000,30214290.0000,13031900.0000,430220.0000,2779210.0000,435274690.0000,1581520.0000,433693170.0000,31396670.0000,213030.0000,31183640.0000,22404763.0000,8614367.0000,13790396.0000,489076123.0000,478667206.0000,10973700.0000
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,637184580.0000,131455480.0000,13751080.0000,600870.0000,22932880.0000,815031050.0000,6652660.0000,808378390.0000,60464182.0000,658111.0000,59806071.0000,44493944.0000,943814.0000,43550130.0000,919989176.0000,911734591.0000,9106160.0000
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,499581766.0000,18654573.0000,18355190.0000,398230.0000,1617280.0000,647163088.0000,4340050.0000,642823038.0000,57824795.0000,225730.0000,57599065.0000,36494576.0000,10075441.0000,26419135.0000,741482459.0000,726841238.0000,108556049.0000
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,369520200.0000,19310000.0000,72920100.0000,398300.0000,0.0000,480761400.0000,1349750.0000,479411650.0000,49841879.0000,1453885.0000,48387994.0000,68531641.0000,34413368.0000,34118273.0000,599134920.0000,561917917.0000,18612800.0000
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,824461270.0000,37187300.0000,8438740.0000,190640.0000,3493340.0000,905287000.0000,3955912.0000,901331088.0000,68210775.0000,2920390.0000,65290385.0000,17305600.0000,569230.0000,16736370.0000,990803375.0000,983357843.0000,31515710.0000
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,931219134.0000,51176006.0000,11166800.0000,0.0000,0.0000,1001910307.0000,4215730.0000,997694577.0000,93624804.0000,771380.0000,92853424.0000,25378039.0000,1242010.0000,24136029.0000,1120913150.0000,1114684030.0000,8348367.0000
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1877028030.0000,408803232.0000,253459985.0000,1648540.0000,100402550.0000,2667379737.0000,43457510.0000,2623922227.0000,248909665.0000,5030820.0000,243878845.0000,433028840.0000,208713330.0000,224315510.0000,3349318242.0000,3092116582.0000,26037400.0000
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1735169659.0000,234445100.0000,50535970.0000,0.0000,44768410.0000,2080932779.0000,20375920.0000,2060556859.0000,154019726.0000,3554008.0000,150465718.0000,54042230.0000,3472850.0000,50569380.0000,2288994735.0000,2261591957.0000,16013640.0000
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1931201381.0000,134566463.0000,15244600.0000,865480.0000,33701346.0000,2179207180.0000,10122930.0000,2169084250.0000,118521460.0000,931840.0000,117589620.0000,44947804.0000,2216860.0000,42730944.0000,2342676444.0000,2329404814.0000,63627910.0000
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,613833194.0000,186294346.0000,78446007.0000,0.0000,30444780.0000,930742742.0000,1337720.0000,929405022.0000,89684597.0000,6933807.0000,82750790.0000,82623175.0000,12784110.0000,69839065.0000,1103050514.0000,1081994877.0000,21724415.0000
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,127448710.0000,7269650.0000,3136160.0000,0.0000,0.0000,144061780.0000,765155.0000,143296625.0000,12851324.0000,79420.0000,12771904.0000,11084977.0000,5167244.0000,5917733.0000,167998081.0000,161986262.0000,6207260.0000
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1539821460.0000,36924220.0000,282600.0000,0.0000,0.0000,1590446940.0000,3289110.0000,1587157830.0000,70969030.0000,193960.0000,70775070.0000,14226633.0000,563430.0000,13663203.0000,1675642603.0000,1671596103.0000,13418660.0000
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,943265942.0000,72806460.0000,17973060.0000,626770.0000,55526914.0000,1099481766.0000,5760400.0000,1093721366.0000,111022620.0000,1170950.0000,109851670.0000,53561900.0000,14991470.0000,38570430.0000,1264066286.0000,1242143466.0000,9282620.0000
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2112966130.0000,499712970.0000,134650770.0000,5706750.0000,42697590.0000,2822656900.0000,13658970.0000,2808997930.0000,243645190.0000,2570278.0000,241074912.0000,181312440.0000,21246416.0000,160066024.0000,3247614530.0000,3210138866.0000,26922690.0000
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,875091750.0000,120447770.0000,36085700.0000,0.0000,0.0000,1032146420.0000,1984250.0000,1030162170.0000,58260255.0000,2021520.0000,56238735.0000,38429151.0000,8291280.0000,30137871.0000,1128835826.0000,1116538776.0000,521200.0000
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,8935227745.0000,1021430143.0000,53189290.0000,38609690.0000,6510840.0000,10160696398.0000,43591180.0000,10117105218.0000,447304931.0000,2498489.0000,444806442.0000,234662324.0000,8848354.0000,225813970.0000,10842663653.0000,10787725630.0000,105728690.0000
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2463772607.0000,748606276.0000,37610020.0000,235760.0000,78043800.0000,3337561873.0000,2282750.0000,3335279123.0000,204996860.0000,632740.0000,204364120.0000,230818830.0000,43106810.0000,187712020.0000,3773377563.0000,3727355263.0000,9293410.0000
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,128882340.0000,32991850.0000,5280770.0000,0.0000,334080.0000,181733790.0000,444750.0000,181289040.0000,17424680.0000,200230.0000,17224450.0000,14675115.0000,1976400.0000,12698715.0000,213833585.0000,211212205.0000,14244750.0000
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3206319700.0000,478566500.0000,68811100.0000,2895400.0000,26886800.0000,3785345000.0000,5395400.0000,3779949600.0000,263823430.0000,1461800.0000,262361630.0000,137608650.0000,14520800.0000,123087850.0000,4186777080.0000,4165399080.0000,1865500.0000
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,504975430.0000,19628030.0000,2681540.0000,460940.0000,197470.0000,575063180.0000,1661500.0000,573401680.0000,28809700.0000,92510.0000,28717190.0000,8670790.0000,483690.0000,8187100.0000,612543670.0000,610305970.0000,47119770.0000
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,818325540.0000,40811540.0000,3933300.0000,685720.0000,4426730.0000,960257060.0000,1812590.0000,958444470.0000,81872250.0000,596710.0000,81275540.0000,19340270.0000,1954760.0000,17385510.0000,1061469580.0000,1057105520.0000,92074230.0000
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,23913780310.0000,4090961630.0000,77849380.0000,32829300.0000,324943430.0000,29087992990.0000,24362000.0000,29063630990.0000,690695160.0000,5992980.0000,684702180.0000,630706970.0000,15848253.0000,614858717.0000,30409395120.0000,30363191887.0000,647628940.0000
"GRISWOLD",5.8000000000000000e+01,5.8000000000000000e+01,664350484.0000,36577326.0000,5884200.0000,1462440.0000,9926944.0000,745512144.0000,5528179.0000,739983965.0000,71223362.0000,1019636.0000,70203726.0000,19098937.0000,3156195.0000,15942742.0000,835834443.0000,826130433.0000,27310750.0000
"GROTON",5.9000000000000000e+01,5.9000000000000000e+01,2377563966.0000,433565972.0000,611396821.0000,0.0000,178004358.0000,3687571269.0000,70876416.0000,3616694853.0000,204403560.0000,12811508.0000,191592052.0000,449627871.0000,147314614.0000,302313257.0000,4341602700.0000,4110600162.0000,87040152.0000
"GROTON (City of)",6.0000000000000000e+01,,,,,,,,,,,,,,,,,,
"GUILFORD",6.1000000000000000e+01,6.0000000000000000e+01,2979775959.0000,211332970.0000,27339050.0000,0.0000,4999740.0000,3250679249.0000,9052009.0000,3241627240.0000,170706960.0000,776060.0000,169930900.0000,67644592.0000,7008060.0000,60636532.0000,3489030801.0000,3472194672.0000,27231530.0000
"HADDAM",6.2000000000000000e+01,6.1000000000000000e+01,684000578.0000,26255040.0000,25193070.0000,1244400.0000,682810.0000,774335498.0000,2713052.0000,771622446.0000,64055115.0000,288495.0000,63766620.0000,55187492.0000,243450.0000,54944042.0000,893578105.0000,890333108.0000,36959600.0000
"HAMDEN",6.3000000000000000e+01,6.2000000000000000e+01,2841372940.0000,452279790.0000,64619410.0000,4108860.0000,253742520.0000,3625072280.0000,31404950.0000,3593667330.0000,295254061.0000,3753181.0000,291500880.0000,152891730.0000,15083982.0000,137807748.0000,4073218071.0000,4022975958.0000,8948760.0000
"HAMPTON",6.4000000000000000e+01,6.3000000000000000e+01,128448010.0000,2345840.0000,122640.0000,0.0000,0.0000,138356600.0000,669130.0000,137687470.0000,14690040.0000,1697660.0000,12992380.0000,3126481.0000,259505.0000,2866976.0000,156173121.0000,153546826.0000,7440110.0000
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,806295501.0000,1453895295.0000,86231393.0000,20640088.0000,366131697.0000,2823936262.0000,13383970.0000,2810552292.0000,275364171.0000,11096935.0000,264267236.0000,692064120.0000,28505970.0000,663558150.0000,3791364553.0000,3738377678.0000,90742288.0000
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,151542410.0000,638720.0000,0.0000,17532480.0000,0.0000,177282930.0000,394500.0000,176888430.0000,15338320.0000,20640.0000,15317680.0000,5743430.0000,9806.0000,5733624.0000,198364680.0000,197939734.0000,7569320.0000
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,446870883.0000,12369860.0000,1703120.0000,0.0000,0.0000,494393103.0000,2667840.0000,491725263.0000,47326130.0000,720680.0000,46605450.0000,17749229.0000,2161467.0000,15587762.0000,559468462.0000,553918475.0000,33449240.0000
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,750421330.0000,24172100.0000,800520.0000,0.0000,2998450.0000,790149970.0000,2606500.0000,787543470.0000,67696280.0000,369290.0000,67326990.0000,13699170.0000,350810.0000,13348360.0000,871545420.0000,868218820.0000,11757570.0000
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,522545800.0000,43853910.0000,0.0000,1961400.0000,0.0000,624446810.0000,1526720.0000,622920090.0000,24028950.0000,85140.0000,23943810.0000,13367835.0000,226729.0000,13141106.0000,661843595.0000,660005006.0000,56085700.0000
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,796462718.0000,142046580.0000,83085730.0000,138713790.0000,35369040.0000,1256197733.0000,142172330.0000,1114025403.0000,101758287.0000,8189400.0000,93568887.0000,374486326.0000,270629880.0000,103856446.0000,1732442346.0000,1311450736.0000,60519875.0000
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,724423610.0000,23647380.0000,1015560.0000,0.0000,0.0000,760941400.0000,4452738.0000,756488662.0000,52068255.0000,384565.0000,51683690.0000,10588170.0000,467353.0000,10120817.0000,823597825.0000,818293169.0000,11854850.0000
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,544558660.0000,13520220.0000,3017080.0000,986930.0000,1225250.0000,583679910.0000,2099000.0000,581580910.0000,51895693.0000,560553.0000,51335140.0000,29325310.0000,3311220.0000,26014090.0000,664900913.0000,658930140.0000,20371770.0000
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,867499219.0000,46888804.0000,9186170.0000,531300.0000,8445500.0000,962799423.0000,3665215.0000,959134208.0000,98594330.0000,7882540.0000,90711790.0000,65167069.0000,23135529.0000,42031540.0000,1126560822.0000,1091877538.0000,30248430.0000
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,265663200.0000,79166510.0000,2127520.0000,0.0000,767700.0000,364455970.0000,1320500.0000,363135470.0000,28936698.0000,402510.0000,28534188.0000,24331500.0000,9081400.0000,15250100.0000,417724168.0000,406919758.0000,16731040.0000
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,862248880.0000,94040450.0000,6790690.0000,5174450.0000,5804450.0000,1008741470.0000,1926000.0000,1006815470.0000,68507350.0000,136790.0000,68370560.0000,26300793.0000,891970.0000,25408823.0000,1103549613.0000,1100594853.0000,34682550.0000
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,548049636.0000,4976000.0000,0.0000,325800.0000,0.0000,579116124.0000,1111543.0000,578004581.0000,21491214.0000,15370.0000,21475844.0000,5478440.0000,230780.0000,5247660.0000,606085778.0000,604728085.0000,25764688.0000
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,3030318368.0000,161948260.0000,3039600.0000,1277600.0000,4044400.0000,3245803618.0000,9921500.0000,3235882118.0000,150515600.0000,943730.0000,149571870.0000,47708765.0000,215760.0000,47493005.0000,3444027983.0000,3432946993.0000,45175390.0000
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,2463965620.0000,809163332.0000,206353030.0000,5345600.0000,264822700.0000,3750171252.0000,17418735.0000,3732752517.0000,311384370.0000,4989060.0000,306395310.0000,331365120.0000,88924040.0000,242441080.0000,4392920742.0000,4281588907.0000,520970.0000
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,735749080.0000,80921450.0000,2127790.0000,1116570.0000,45656450.0000,872799960.0000,2444500.0000,870355460.0000,71916804.0000,1917738.0000,69999066.0000,35730116.0000,2362064.0000,33368052.0000,980446880.0000,973722578.0000,7228620.0000
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,540348430.0000,28789530.0000,2481710.0000,0.0000,263410.0000,572896380.0000,1667390.0000,571228990.0000,47360900.0000,124850.0000,47236050.0000,8858568.0000,475390.0000,8383178.0000,629115848.0000,626848218.0000,1013300.0000
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,2409832550.0000,554384300.0000,161301940.0000,4249610.0000,123599010.0000,3269905710.0000,124482750.0000,3145422960.0000,279450335.0000,3216700.0000,276233635.0000,328051389.0000,110247875.0000,217803514.0000,3877407434.0000,3639460109.0000,16538300.0000
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,819411700.0000,112740647.0000,8950800.0000,1466000.0000,0.0000,989255797.0000,1903672.0000,987352125.0000,61714410.0000,500280.0000,61214130.0000,41067023.0000,5139429.0000,35927594.0000,1092037230.0000,1084493849.0000,46686650.0000
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,362942800.0000,16713000.0000,15281700.0000,1806000.0000,1528700.0000,399951800.0000,2742450.0000,397209350.0000,31496900.0000,213210.0000,31283690.0000,33500250.0000,14435900.0000,19064350.0000,464948950.0000,447557390.0000,1679600.0000
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,2054438031.0000,404905250.0000,160305170.0000,22902200.0000,246687020.0000,2990893082.0000,30010577.0000,2960882505.0000,257337008.0000,4880270.0000,252456738.0000,495695129.0000,130607972.0000,365087157.0000,3743925219.0000,3578426400.0000,101655411.0000
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,5303419096.0000,1020436700.0000,251101970.0000,26453240.0000,104360030.0000,6777495286.0000,2034129509.0000,4743365777.0000,342792440.0000,3040112.0000,339752328.0000,435189489.0000,108238815.0000,326950674.0000,7555477215.0000,5410068779.0000,71724250.0000
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,1781550580.0000,153365220.0000,55355020.0000,28866810.0000,861210.0000,2078616748.0000,9029482.0000,2069587266.0000,150399886.0000,405884.0000,149994002.0000,80587807.0000,10390089.0000,70197718.0000,2309604441.0000,2289778986.0000,58617908.0000
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,1062196655.0000,139428113.0000,31792900.0000,23437990.0000,14386435.0000,1273635223.0000,3509130.0000,1270126093.0000,115876620.0000,6089875.0000,109786745.0000,172957971.0000,33214554.0000,139743417.0000,1562469814.0000,1519656255.0000,2393130.0000
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,295911460.0000,11272470.0000,1574000.0000,0.0000,0.0000,330704070.0000,3540840.0000,327163230.0000,18490630.0000,114840.0000,18375790.0000,6274726.0000,365450.0000,5909276.0000,355469426.0000,351448296.0000,21946140.0000
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,1507911394.0000,140704370.0000,66029700.0000,7891310.0000,51075340.0000,1799373914.0000,10457700.0000,1788916214.0000,165346532.0000,2068910.0000,163277622.0000,92690110.0000,19141073.0000,73549037.0000,2057410556.0000,2025742873.0000,25761800.0000
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,1868997695.0000,321439940.0000,104206300.0000,429730.0000,249060320.0000,2558122725.0000,23122108.0000,2535000617.0000,253974484.0000,14214020.0000,239760464.0000,216493256.0000,70410380.0000,146082876.0000,3028590465.0000,2920843957.0000,13988740.0000
