Sort ID,Municipality,numbered,PER CAPITA INCOME - 2011 ESTIMATE,Population_Range,PercentOfState
30,"WASHINGTON",1.5100000000000000e+02,48670.0000,"0 to 10,000",1.2934860605416323e+00
31,"NEWTOWN",9.8000000000000000e+01,47393.0000,"10,000 to 30,000",1.2595476652403859e+00
32,"CROMWELL",3.3000000000000000e+01,46448.0000,"10,000 to 30,000",1.2344327211842561e+00
33,"MIDDLEBURY",8.2000000000000000e+01,46013.0000,"0 to 10,000",1.2228718739203233e+00
34,"MONROE",8.6000000000000000e+01,45908.0000,"10,000 to 30,000",1.2200813245807531e+00
35,"CANTON",2.3000000000000000e+01,45891.0000,"0 to 10,000",1.2196295213543467e+00
36,"ORANGE",1.0800000000000000e+02,45704.0000,"10,000 to 30,000",1.2146596858638743e+00
37,"WEST HARTFORD",1.5500000000000000e+02,45453.0000,"30,000 to 70,000",1.2079889441092833e+00
38,"KENT",6.9000000000000000e+01,45368.0000,"0 to 10,000",1.2057299279772504e+00
39,"TRUMBULL",1.4500000000000000e+02,45172.0000,"30,000 to 70,000",1.2005209025433865e+00
40,"MARLBOROUGH",8.0000000000000000e+01,45126.0000,"0 to 10,000",1.1992983761660510e+00
41,"NORWALK",1.0400000000000000e+02,45122.0000,"70,000 & Up",1.1991920695245435e+00
42,"SHARON",1.2600000000000000e+02,44702.0000,"0 to 10,000",1.1880298721662637e+00
43,"STAMFORD",1.3600000000000000e+02,44595.0000,"70,000 & Up",1.1851861695059398e+00
44,"OXFORD",1.0900000000000000e+02,44495.0000,"0 to 10,000",1.1825285034682542e+00
45,"WOODBURY",1.6900000000000000e+02,44458.0000,"0 to 10,000",1.1815451670343105e+00
46,"SOUTHBURY",1.3200000000000000e+02,44331.0000,"10,000 to 30,000",1.1781699311664495e+00
47,"BETHANY",8.0000000000000000e+00,43906.0000,"0 to 10,000",1.1668748505062854e+00
48,"NORFOLK",9.9000000000000000e+01,43861.0000,"0 to 10,000",1.1656789007893269e+00
49,"BURLINGTON",2.0000000000000000e+01,43545.0000,"0 to 10,000",1.1572806761102399e+00
50,"STONINGTON",1.3800000000000000e+02,43505.0000,"10,000 to 30,000",1.1562176096951657e+00
51,"OLD SAYBROOK",1.0700000000000000e+02,43266.0000,"0 to 10,000",1.1498657878650969e+00
52,"SALEM",1.2200000000000000e+02,43069.0000,"0 to 10,000",1.1446301857708561e+00
53,"TOLLAND",1.4300000000000000e+02,42762.0000,"10,000 to 30,000",1.1364711510351608e+00
54,"BOLTON",1.2000000000000000e+01,42454.0000,"0 to 10,000",1.1282855396390890e+00
55,"GOSHEN",5.5000000000000000e+01,42385.0000,"0 to 10,000",1.1264517500730857e+00
56,"NEW HARTFORD",9.3000000000000000e+01,42379.0000,"0 to 10,000",1.1262922901108248e+00
57,"LITCHFIELD",7.5000000000000000e+01,42175.0000,"0 to 10,000",1.1208706513939459e+00
58,"HARWINTON",6.7000000000000000e+01,42165.0000,"0 to 10,000",1.1206048847901773e+00
59,"CHESHIRE",2.5000000000000000e+01,42144.0000,"10,000 to 30,000",1.1200467749222633e+00
60,"BRANFORD",1.4000000000000000e+01,42034.0000,"10,000 to 30,000",1.1171233422808089e+00
61,"NEW MILFORD",9.6000000000000000e+01,41828.0000,"10,000 to 30,000",1.1116485502431765e+00
62,"PORTLAND",1.1400000000000000e+02,41622.0000,"0 to 10,000",1.1061737582055440e+00
63,"HEBRON",6.8000000000000000e+01,41517.0000,"0 to 10,000",1.1033832088659739e+00
64,"BLOOMFIELD",1.1000000000000000e+01,41504.0000,"10,000 to 30,000",1.1030377122810748e+00
65,"DURHAM",3.8000000000000000e+01,41465.0000,"0 to 10,000",1.1020012225263773e+00
66,"PROSPECT",1.1600000000000000e+02,41460.0000,"0 to 10,000",1.1018683392244930e+00
67,"EAST GRANBY",3.9000000000000000e+01,41365.0000,"0 to 10,000",1.0993435564886915e+00
68,"WESTBROOK",1.5700000000000000e+02,40506.0000,"0 to 10,000",1.0765142052249714e+00
69,"SHELTON",1.2700000000000000e+02,40441.0000,"30,000 to 70,000",1.0747867223004757e+00
70,"SUFFIELD",1.4000000000000000e+02,40353.0000,"10,000 to 30,000",1.0724479761873122e+00
71,"NEW FAIRFIELD",9.2000000000000000e+01,40330.0000,"10,000 to 30,000",1.0718367129986446e+00
72,"ANDOVER",1.0000000000000000e+00,40118.0000,"0 to 10,000",1.0662024609987508e+00
73,"COLEBROOK",2.9000000000000000e+01,40099.0000,"0 to 10,000",1.0656975044515906e+00
74,"MILFORD",8.5000000000000000e+01,39890.0000,"30,000 to 70,000",1.0601429824328275e+00
75,"CHESTER",2.6000000000000000e+01,39635.0000,"0 to 10,000",1.0533659340367290e+00
76,"BETHLEHEM",1.0000000000000000e+01,39255.0000,"0 to 10,000",1.0432668030935233e+00
77,"SOUTH WINDSOR",1.3100000000000000e+02,39248.0000,"10,000 to 30,000",1.0430807664708852e+00
78,"NORTH BRANFORD",1.0000000000000000e+02,39245.0000,"10,000 to 30,000",1.0430010364897546e+00
79,"EAST HAMPTON",4.1000000000000000e+01,39127.0000,"10,000 to 30,000",1.0398649905652855e+00
80,"EASTFORD",4.6000000000000000e+01,39084.0000,"0 to 10,000",1.0387221941690807e+00
81,"MIDDLEFIELD",8.3000000000000000e+01,39061.0000,"0 to 10,000",1.0381109309804131e+00
82,"NORTH STONINGTON",1.0300000000000000e+02,38970.0000,"0 to 10,000",1.0356924548861191e+00
83,"HADDAM",6.2000000000000000e+01,38965.0000,"0 to 10,000",1.0355595715842347e+00
84,"WETHERSFIELD",1.6000000000000000e+02,38912.0000,"10,000 to 30,000",1.0341510085842613e+00
85,"COLUMBIA",3.0000000000000000e+01,38892.0000,"0 to 10,000",1.0336194753767241e+00
86,"NORTH HAVEN",1.0200000000000000e+02,38834.0000,"10,000 to 30,000",1.0320780290748663e+00
87,"ELLINGTON",4.8000000000000000e+01,38554.0000,"10,000 to 30,000",1.0246365641693465e+00
88,"CANAAN",2.1000000000000000e+01,38552.0000,"0 to 10,000",1.0245834108485927e+00
89,"BETHEL",9.0000000000000000e+00,38250.0000,"10,000 to 30,000",1.0165572594147820e+00
90,"WATERFORD",1.5300000000000000e+02,38245.0000,"10,000 to 30,000",1.0164243761128977e+00
91,"CLINTON",2.7000000000000000e+01,38219.0000,"10,000 to 30,000",1.0157333829430994e+00
92,"DEEP RIVER",3.6000000000000000e+01,38210.0000,"0 to 10,000",1.0154941929997077e+00
93,"ROCKY HILL",1.2000000000000000e+02,38180.0000,"10,000 to 30,000",1.0146968931884019e+00
94,"EAST HADDAM",4.0000000000000000e+01,38168.0000,"0 to 10,000",1.0143779732638796e+00
95,"WOODSTOCK",1.7000000000000000e+02,38046.0000,"0 to 10,000",1.0111356206979032e+00
96,"BOZRAH",1.3000000000000000e+01,37677.0000,"0 to 10,000",1.0013288330188428e+00
97,"BERLIN",7.0000000000000000e+00,37526.0000,"10,000 to 30,000",9.9731575730193744e-01
98,"LEDYARD",7.3000000000000000e+01,37268.0000,"10,000 to 30,000",9.9045897892470836e-01
99,"HARTLAND",6.6000000000000000e+01,37266.0000,"0 to 10,000",9.9040582560395463e-01
100,"POMFRET",1.1300000000000000e+02,37214.0000,"0 to 10,000",9.8902383926435800e-01
101,"EAST LYME",4.4000000000000000e+01,36761.0000,"10,000 to 30,000",9.7698461211364185e-01
102,"SOUTHINGTON",1.3300000000000000e+02,36682.0000,"30,000 to 70,000",9.7488505594387009e-01
103,"MORRIS",8.8000000000000000e+01,36669.0000,"0 to 10,000",9.7453955935897096e-01
104,"COLCHESTER",2.8000000000000000e+01,36593.0000,"10,000 to 30,000",9.7251973317032980e-01
105,"HAMPTON",6.4000000000000000e+01,36470.0000,"0 to 10,000",9.6925080394397645e-01
106,"BARKHAMSTED",5.0000000000000000e+00,36380.0000,"0 to 10,000",9.6685890451005929e-01
107,"WATERTOWN",1.5400000000000000e+02,36207.0000,"10,000 to 30,000",9.6226114226486303e-01
108,"ASHFORD",3.0000000000000000e+00,36117.0000,"0 to 10,000",9.5986924283094588e-01
109,"WINDSOR",1.6500000000000000e+02,35806.0000,"10,000 to 30,000",9.5160390145374329e-01
110,"WALLINGFORD",1.4900000000000000e+02,35418.0000,"30,000 to 70,000",9.4129215722752280e-01
111,"COVENTRY",3.2000000000000000e+01,35349.0000,"10,000 to 30,000",9.3945836766151969e-01
112,"NEWINGTON",9.7000000000000000e+01,35055.0000,"10,000 to 30,000",9.3164482951072369e-01
113,"LISBON",7.4000000000000000e+01,34958.0000,"0 to 10,000",9.2906689345416860e-01
114,"UNION",1.4600000000000000e+02,34792.0000,"0 to 10,000",9.2465516783161028e-01
115,"PRESTON",1.1500000000000000e+02,34462.0000,"0 to 10,000",9.1588486990724749e-01
116,"WOLCOTT",1.6700000000000000e+02,34349.0000,"10,000 to 30,000",9.1288170728466256e-01
117,"HAMDEN",6.3000000000000000e+01,33947.0000,"30,000 to 70,000",9.0219788981316607e-01
118,"SOMERS",1.3000000000000000e+02,33868.0000,"0 to 10,000",9.0009833364339442e-01
119,"VERNON",1.4700000000000000e+02,33784.0000,"10,000 to 30,000",8.9786589417173834e-01
120,"STRATFORD",1.3900000000000000e+02,33716.0000,"30,000 to 70,000",8.9605868126611210e-01
121,"SEYMOUR",1.2500000000000000e+02,33466.0000,"10,000 to 30,000",8.8941451617189782e-01
122,"LEBANON",7.2000000000000000e+01,33084.0000,"0 to 10,000",8.7926223190793840e-01
123,"MANCHESTER",7.8000000000000000e+01,32939.0000,"30,000 to 70,000",8.7540861615329413e-01
124,"VOLUNTOWN",1.4800000000000000e+02,32700.0000,"0 to 10,000",8.6905679432322536e-01
125,"THOMASTON",1.4100000000000000e+02,32512.0000,"0 to 10,000",8.6406038217237624e-01
126,"CHAPLIN",2.4000000000000000e+01,32451.0000,"0 to 10,000",8.6243920588938794e-01
127,"EAST WINDSOR",4.5000000000000000e+01,32137.0000,"0 to 10,000",8.5409413453105487e-01
128,"BEACON FALLS",6.0000000000000000e+00,32023.0000,"0 to 10,000",8.5106439524809308e-01
129,"GROTON",5.9000000000000000e+01,31948.0000,"30,000 to 70,000",8.4907114571982889e-01
130,"MIDDLETOWN",8.4000000000000000e+01,31850.0000,"30,000 to 70,000",8.4646663300289682e-01
131,"FRANKLIN",5.3000000000000000e+01,31821.0000,"0 to 10,000",8.4569590985196796e-01
132,"WINDSOR LOCKS",1.6600000000000000e+02,31712.0000,"10,000 to 30,000",8.4279905387089060e-01
133,"CANTERBURY",2.2000000000000000e+01,31603.0000,"0 to 10,000",8.3990219788981313e-01
134,"SCOTLAND",1.2400000000000000e+02,31301.0000,"0 to 10,000",8.3187604645600233e-01
135,"PLAINVILLE",1.1100000000000000e+02,31271.0000,"10,000 to 30,000",8.3107874664469661e-01
136,"PLYMOUTH",1.1200000000000000e+02,31160.0000,"10,000 to 30,000",8.2812873734286552e-01
137,"DANBURY",3.4000000000000000e+01,30838.0000,"30,000 to 70,000",8.1957105270151753e-01
138,"WILLINGTON",1.6100000000000000e+02,30808.0000,"0 to 10,000",8.1877375289021181e-01
139,"GRISWOLD",5.8000000000000000e+01,30801.0000,"10,000 to 30,000",8.1858771626757376e-01
140,"BRISTOL",1.7000000000000000e+01,30197.0000,"30,000 to 70,000",8.0253541339995216e-01
141,"EAST HAVEN",4.3000000000000000e+01,30188.0000,"10,000 to 30,000",8.0229622345656049e-01
142,"SPRAGUE",1.3400000000000000e+02,30055.0000,"0 to 10,000",7.9876152762643848e-01
143,"MONTVILLE",8.7000000000000000e+01,29777.0000,"10,000 to 30,000",7.9137321604167221e-01
144,"ENFIELD",4.9000000000000000e+01,29646.0000,"30,000 to 70,000",7.8789167353230394e-01
145,"NAUGATUCK",8.9000000000000000e+01,28801.0000,"30,000 to 70,000",7.6543439551385972e-01
146,"THOMPSON",1.4200000000000000e+02,28781.0000,"0 to 10,000",7.6490286230632254e-01
147,"STAFFORD",1.3500000000000000e+02,28161.0000,"10,000 to 30,000",7.4842533287267121e-01
148,"WINCHESTER",1.6300000000000000e+02,28061.0000,"10,000 to 30,000",7.4576766683498552e-01
149,"MERIDEN",8.1000000000000000e+01,27647.0000,"30,000 to 70,000",7.3476492943896665e-01
150,"DERBY",3.7000000000000000e+01,27646.0000,"10,000 to 30,000",7.3473835277858979e-01
151,"TORRINGTON",1.4400000000000000e+02,27449.0000,"30,000 to 70,000",7.2950275068434900e-01
152,"PUTNAM",1.1700000000000000e+02,26994.0000,"0 to 10,000",7.1741037021287901e-01
153,"BROOKLYN",1.9000000000000000e+01,26985.0000,"0 to 10,000",7.1717118026948734e-01
154,"NORTH CANAAN",1.0100000000000000e+02,26905.0000,"0 to 10,000",7.1504504743933872e-01
155,"WEST HAVEN",1.5600000000000000e+02,26601.0000,"30,000 to 70,000",7.0696574268477419e-01
156,"NORWICH",1.0500000000000000e+02,26563.0000,"30,000 to 70,000",7.0595582959045367e-01
157,"KILLINGLY",7.0000000000000000e+01,26023.0000,"10,000 to 30,000",6.9160443298695085e-01
158,"ANSONIA",2.0000000000000000e+00,25645.0000,"10,000 to 30,000",6.8155845536449888e-01
159,"STERLING",1.3700000000000000e+02,25630.0000,"0 to 10,000",6.8115980545884602e-01
160,"EAST HARTFORD",4.2000000000000000e+01,25356.0000,"30,000 to 70,000",6.7387780051558721e-01
161,"PLAINFIELD",1.1000000000000000e+02,25131.0000,"10,000 to 30,000",6.6789805193079432e-01
162,"MANSFIELD",7.9000000000000000e+01,22817.0000,"10,000 to 30,000",6.0639965981874722e-01
163,"NEW HAVEN",9.4000000000000000e+01,22814.0000,"70,000 & Up",6.0631992983761662e-01
164,"NEW LONDON",9.5000000000000000e+01,22386.0000,"10,000 to 30,000",5.9494511919632176e-01
165,"WATERBURY",1.5200000000000000e+02,22004.0000,"70,000 & Up",5.8479283493236245e-01
166,"WINDHAM",1.6400000000000000e+02,21342.0000,"10,000 to 30,000",5.6719908576288303e-01
167,"NEW BRITAIN",9.0000000000000000e+01,20768.0000,"70,000 & Up",5.5194408270656714e-01
168,"BRIDGEPORT",1.5000000000000000e+01,19979.0000,"70,000 & Up",5.3097509766922690e-01
169,"HARTFORD",6.5000000000000000e+01,16959.0000,"70,000 & Up",4.5071358333111861e-01
