Municipality,Numbered,NCE 2010-11,ADM 2010-11
"STAMFORD           ",1.3600000000000000e+02,2.4654550600000000e+08,1.5123270000000000e+04
"STERLING           ",1.3700000000000000e+02,7.5599610000000000e+06,6.3991999999999996e+02
"STONINGTON         ",1.3800000000000000e+02,3.1842889000000000e+07,2.5433299999999999e+03
"STRATFORD          ",1.3900000000000000e+02,9.7712791000000000e+07,7.5022299999999996e+03
"SUFFIELD           ",1.4000000000000000e+02,3.0014498000000000e+07,2.4077800000000002e+03
"THOMASTON          ",1.4100000000000000e+02,1.4802165000000000e+07,1.2507900000000000e+03
"THOMPSON           ",1.4200000000000000e+02,1.6209275000000000e+07,1.2792700000000000e+03
"TOLLAND            ",1.4300000000000000e+02,3.4526285000000000e+07,3.1161799999999998e+03
"TORRINGTON         ",1.4400000000000000e+02,6.4231861000000000e+07,4.6645699999999997e+03
"TRUMBULL           ",1.4500000000000000e+02,8.7006389000000000e+07,6.8538100000000004e+03
"UNION              ",1.4600000000000000e+02,1.4733520000000000e+06,1.0900000000000000e+02
"VERNON             ",1.4700000000000000e+02,5.1004925000000000e+07,3.7688899999999999e+03
"VOLUNTOWN          ",1.4800000000000000e+02,6.0677500000000000e+06,4.2992000000000002e+02
"WALLINGFORD        ",1.4900000000000000e+02,8.8582043000000000e+07,6.5878699999999999e+03
"WARREN             ",1.5000000000000000e+02,2.7401020000000000e+06,1.7628000000000000e+02
"WASHINGTON         ",1.5100000000000000e+02,8.5090980000000000e+06,4.1572000000000003e+02
"WATERBURY          ",1.5200000000000000e+02,2.5653339700000000e+08,1.7593610000000001e+04
"WATERFORD          ",1.5300000000000000e+02,4.2756539000000000e+07,3.1657900000000000e+03
"WATERTOWN          ",1.5400000000000000e+02,3.5982702000000000e+07,3.1833299999999999e+03
"WEST HARTFORD      ",1.5500000000000000e+02,1.3373436000000000e+08,1.0446450000000001e+04
"WEST HAVEN         ",1.5600000000000000e+02,9.1512422000000000e+07,7.5543999999999996e+03
"WESTBROOK          ",1.5700000000000000e+02,1.4321117000000000e+07,9.6538999999999999e+02
"WESTON             ",1.5800000000000000e+02,4.5048138000000000e+07,2.5307700000000000e+03
"WESTPORT           ",1.5900000000000000e+02,1.0005869200000000e+08,5.7389099999999999e+03
"WETHERSFIELD       ",1.6000000000000000e+02,5.2380381000000000e+07,3.9302700000000000e+03
"WILLINGTON         ",1.6100000000000000e+02,1.1958607000000000e+07,7.9923000000000002e+02
"WILTON             ",1.6200000000000000e+02,6.7850615000000000e+07,4.3316400000000003e+03
"WINCHESTER         ",1.6300000000000000e+02,2.1419992000000000e+07,1.3720999999999999e+03
"WINDHAM            ",1.6400000000000000e+02,4.9409789000000000e+07,3.3397500000000000e+03
"WINDSOR            ",1.6500000000000000e+02,6.1511947000000000e+07,4.1538800000000001e+03
"WINDSOR LOCKS      ",1.6600000000000000e+02,2.8713554000000000e+07,1.8898599999999999e+03
"WOLCOTT            ",1.6700000000000000e+02,3.2446356000000000e+07,2.9799400000000001e+03
"WOODBRIDGE         ",1.6800000000000000e+02,2.2535542000000000e+07,1.5112200000000000e+03
"WOODBURY           ",1.6900000000000000e+02,1.9917884000000000e+07,1.3857100000000000e+03
"WOODSTOCK          ",1.7000000000000000e+02,1.5557596000000000e+07,1.3837600000000000e+03
