MUNICIPALITY,TANF RECIPIENTS FY 2004-05
"KILLINGLY",3.2000000000000000e+02
"KILLINGWORTH",1.4000000000000000e+01
"LEBANON",2.0000000000000000e+01
"LEDYARD",5.4000000000000000e+01
"LISBON",1.8000000000000000e+01
"LITCHFIELD",2.0000000000000000e+01
"LYME",2.0000000000000000e+00
"MADISON",2.9000000000000000e+01
"MANCHESTER",8.1600000000000000e+02
"MANSFIELD",3.8000000000000000e+01
"MARLBOROUGH",7.0000000000000000e+00
"MERIDEN",1.6930000000000000e+03
"MIDDLEBURY",5.0000000000000000e+00
"MIDDLEFIELD",5.0000000000000000e+00
"MIDDLETOWN",6.5000000000000000e+02
"MILFORD",2.6900000000000000e+02
"MONROE",2.2000000000000000e+01
"MONTVILLE",1.1400000000000000e+02
"MORRIS",9.0000000000000000e+00
"NAUGATUCK",3.3900000000000000e+02
"NEW BRITAIN",3.1830000000000000e+03
"NEW CANAAN",1.0000000000000000e+01
"NEW FAIRFIELD",1.6000000000000000e+01
"NEW HARTFORD",1.1000000000000000e+01
"NEW HAVEN",6.6460000000000000e+03
"NEW LONDON",8.9800000000000000e+02
"NEW MILFORD",8.9000000000000000e+01
"NEWINGTON",1.1200000000000000e+02
"NEWTOWN",3.1000000000000000e+01
"NORFOLK",1.0000000000000000e+01
"NORTH BRANFORD",3.2000000000000000e+01
"NORTH CANAAN",1.0000000000000000e+01
"NORTH HAVEN",7.4000000000000000e+01
"NORTH STONINGTON",1.6000000000000000e+01
"NORWALK",7.1200000000000000e+02
"NORWICH",8.4400000000000000e+02
"OLD LYME",8.0000000000000000e+00
"OLD SAYBROOK",3.0000000000000000e+01
"ORANGE",1.2000000000000000e+01
"OXFORD",2.1000000000000000e+01
"PLAINFIELD",1.6400000000000000e+02
"PLAINVILLE",1.0800000000000000e+02
"PLYMOUTH",7.6000000000000000e+01
"POMFRET",9.0000000000000000e+00
"PORTLAND",6.4000000000000000e+01
"PRESTON",2.5000000000000000e+01
"PROSPECT",1.5000000000000000e+01
"PUTNAM",1.4600000000000000e+02
"REDDING",5.0000000000000000e+00
"RIDGEFIELD",4.0000000000000000e+00
"ROCKY HILL",2.8000000000000000e+01
"ROXBURY",1.0000000000000000e+00
"SALEM",8.0000000000000000e+00
"SALISBURY",1.3000000000000000e+01
"SCOTLAND",6.0000000000000000e+00
"SEYMOUR",9.6000000000000000e+01
"SHARON",3.0000000000000000e+00
"SHELTON",1.3700000000000000e+02
"SHERMAN",7.0000000000000000e+00
"SIMSBURY",2.3000000000000000e+01
"SOMERS",2.5000000000000000e+01
"SOUTH WINDSOR",3.5000000000000000e+01
"SOUTHBURY",2.3000000000000000e+01
"SOUTHINGTON",1.3600000000000000e+02
"SPRAGUE",3.1000000000000000e+01
"STAFFORD",9.2000000000000000e+01
"STAMFORD",6.6300000000000000e+02
"STERLING",2.0000000000000000e+01
"STONINGTON",1.2100000000000000e+02
"STRATFORD",3.8200000000000000e+02
"SUFFIELD",1.5000000000000000e+01
"THOMASTON",2.5000000000000000e+01
"THOMPSON",6.0000000000000000e+01
"TOLLAND",1.6000000000000000e+01
"TORRINGTON",4.3000000000000000e+02
"TRUMBULL",5.1000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",3.5600000000000000e+02
"VOLUNTOWN",1.0000000000000000e+01
"WALLINGFORD",1.5900000000000000e+02
"WARREN",1.0000000000000000e+00
"WASHINGTON",5.0000000000000000e+00
"WATERBURY",4.5000000000000000e+03
"WATERFORD",7.1000000000000000e+01
"WATERTOWN",9.1000000000000000e+01
"WEST HARTFORD",3.5100000000000000e+02
"WEST HAVEN",9.9500000000000000e+02
"WESTBROOK",1.9000000000000000e+01
"WESTON",1.0000000000000000e+00
"WESTPORT",1.3000000000000000e+01
"WETHERSFIELD",1.1800000000000000e+02
"WILLINGTON",2.6000000000000000e+01
"WILTON",0.0000000000000000e+00
"WINCHESTER",1.5200000000000000e+02
"WINDHAM",6.6700000000000000e+02
"WINDSOR",2.2700000000000000e+02
"WINDSOR LOCKS",6.7000000000000000e+01
"WOLCOTT",5.7000000000000000e+01
"WOODBRIDGE",7.0000000000000000e+00
"WOODBURY",7.0000000000000000e+00
"WOODSTOCK",1.1000000000000000e+01
