MUNICIPALITY,TANF RECIPIENTS FY 2007-08
"GROTON",3.3900000000000000e+02
"GROTON (City of)",
"GUILFORD",4.5000000000000000e+01
"HADDAM",8.0000000000000000e+00
"HAMDEN",4.0500000000000000e+02
"HAMPTON",5.0000000000000000e+00
"HARTFORD",6.8670000000000000e+03
"HARTLAND",5.0000000000000000e+00
"HARWINTON",6.0000000000000000e+00
"HEBRON",7.0000000000000000e+00
"KENT",3.0000000000000000e+00
"KILLINGLY",1.8200000000000000e+02
"KILLINGWORTH",4.0000000000000000e+00
"LEBANON",2.1000000000000000e+01
"LEDYARD",4.9000000000000000e+01
"LISBON",1.5000000000000000e+01
"LITCHFIELD",1.5000000000000000e+01
"LYME",3.0000000000000000e+00
"MADISON",5.0000000000000000e+00
"MANCHESTER",7.4500000000000000e+02
"MANSFIELD",4.2000000000000000e+01
"MARLBOROUGH",1.4000000000000000e+01
"MERIDEN",1.4240000000000000e+03
"MIDDLEBURY",1.2000000000000000e+01
"MIDDLEFIELD",6.0000000000000000e+00
"MIDDLETOWN",4.7700000000000000e+02
"MILFORD",1.5800000000000000e+02
"MONROE",1.4000000000000000e+01
"MONTVILLE",8.8000000000000000e+01
"MORRIS",2.0000000000000000e+00
"NAUGATUCK",2.3900000000000000e+02
"NEW BRITAIN",2.4790000000000000e+03
"NEW CANAAN",7.0000000000000000e+00
"NEW FAIRFIELD",1.8000000000000000e+01
"NEW HARTFORD",3.0000000000000000e+00
"NEW HAVEN",4.8780000000000000e+03
"NEW LONDON",8.1800000000000000e+02
"NEW MILFORD",6.5000000000000000e+01
"NEWINGTON",7.4000000000000000e+01
"NEWTOWN",2.3000000000000000e+01
"NORFOLK",9.0000000000000000e+00
"NORTH BRANFORD",3.4000000000000000e+01
"NORTH CANAAN",1.5000000000000000e+01
"NORTH HAVEN",7.4000000000000000e+01
"NORTH STONINGTON",1.4000000000000000e+01
"NORWALK",5.1100000000000000e+02
"NORWICH",8.6000000000000000e+02
"OLD LYME",9.0000000000000000e+00
"OLD SAYBROOK",1.9000000000000000e+01
"ORANGE",1.1000000000000000e+01
"OXFORD",1.8000000000000000e+01
"PLAINFIELD",1.5600000000000000e+02
"PLAINVILLE",9.7000000000000000e+01
"PLYMOUTH",7.1000000000000000e+01
"POMFRET",6.0000000000000000e+00
"PORTLAND",4.0000000000000000e+01
"PRESTON",1.5000000000000000e+01
"PROSPECT",1.9000000000000000e+01
"PUTNAM",1.6500000000000000e+02
"REDDING",4.0000000000000000e+00
"RIDGEFIELD",6.0000000000000000e+00
"ROCKY HILL",3.2000000000000000e+01
"ROXBURY",0.0000000000000000e+00
"SALEM",1.1000000000000000e+01
"SALISBURY",4.0000000000000000e+00
"SCOTLAND",6.0000000000000000e+00
"SEYMOUR",7.5000000000000000e+01
"SHARON",0.0000000000000000e+00
"SHELTON",1.2000000000000000e+02
"SHERMAN",0.0000000000000000e+00
"SIMSBURY",4.1000000000000000e+01
"SOMERS",2.7000000000000000e+01
"SOUTH WINDSOR",4.1000000000000000e+01
"SOUTHBURY",2.2000000000000000e+01
"SOUTHINGTON",1.2800000000000000e+02
"SPRAGUE",3.5000000000000000e+01
"STAFFORD",7.3000000000000000e+01
"STAMFORD",5.4100000000000000e+02
"STERLING",2.5000000000000000e+01
"STONINGTON",1.0000000000000000e+02
"STRATFORD",3.3900000000000000e+02
"SUFFIELD",1.5000000000000000e+01
"THOMASTON",1.4000000000000000e+01
"THOMPSON",4.6000000000000000e+01
"TOLLAND",2.6000000000000000e+01
"TORRINGTON",3.2400000000000000e+02
"TRUMBULL",2.8000000000000000e+01
"UNION",0.0000000000000000e+00
"VERNON",2.9600000000000000e+02
"VOLUNTOWN",1.4000000000000000e+01
"WALLINGFORD",1.2900000000000000e+02
"WARREN",1.0000000000000000e+00
"WASHINGTON",1.0000000000000000e+01
"WATERBURY",4.0170000000000000e+03
"WATERFORD",5.9000000000000000e+01
"WATERTOWN",7.8000000000000000e+01
"WEST HARTFORD",2.2300000000000000e+02
"WEST HAVEN",8.0000000000000000e+02
"WESTBROOK",1.2000000000000000e+01
"WESTON",1.0000000000000000e+00
"WESTPORT",1.3000000000000000e+01
"WETHERSFIELD",6.7000000000000000e+01
"WILLINGTON",2.1000000000000000e+01
"WILTON",4.0000000000000000e+00
"WINCHESTER",9.0000000000000000e+01
"WINDHAM",6.9900000000000000e+02
"WINDSOR",1.7800000000000000e+02
"WINDSOR LOCKS",8.4000000000000000e+01
"WOLCOTT",4.2000000000000000e+01
"WOODBRIDGE",1.0000000000000000e+01
"WOODBURY",1.1000000000000000e+01
"WOODSTOCK",1.2000000000000000e+01
