MUNICIPALITY,Numbered,Sept10 Labor Force,Sept10 Unemployed
"WESTBROOK",1.5700000000000000e+02,3.7530000000000000e+03,2.5800000000000000e+02
"WESTON",1.5800000000000000e+02,4.8980000000000000e+03,2.7900000000000000e+02
"WESTPORT",1.5900000000000000e+02,1.2822000000000000e+04,7.8100000000000000e+02
"WETHERSFIELD",1.6000000000000000e+02,1.3476000000000000e+04,1.1430000000000000e+03
"WILLINGTON",1.6100000000000000e+02,3.9090000000000000e+03,2.3500000000000000e+02
"WILTON",1.6200000000000000e+02,8.3230000000000000e+03,5.2700000000000000e+02
"WINCHESTER",1.6300000000000000e+02,6.1110000000000000e+03,6.4000000000000000e+02
"WINDHAM",1.6400000000000000e+02,1.2359000000000000e+04,1.3650000000000000e+03
"WINDSOR",1.6500000000000000e+02,1.6519000000000000e+04,1.3120000000000000e+03
"WINDSOR LOCKS",1.6600000000000000e+02,7.1690000000000000e+03,6.1900000000000000e+02
"WOLCOTT",1.6700000000000000e+02,9.1070000000000000e+03,8.6700000000000000e+02
"WOODBRIDGE",1.6800000000000000e+02,4.8760000000000000e+03,2.9600000000000000e+02
"WOODBURY",1.6900000000000000e+02,5.5360000000000000e+03,4.1500000000000000e+02
"WOODSTOCK",1.7000000000000000e+02,4.7060000000000000e+03,3.9500000000000000e+02
