MUNICIPALITY,2011 TANF RECIPIENTS
"SALEM",2.0000000000000000e+01
"SALISBURY",0.0000000000000000e+00
"SCOTLAND",6.0000000000000000e+00
"SEYMOUR",8.2000000000000000e+01
"SHARON",5.0000000000000000e+00
"SHELTON",1.1700000000000000e+02
"SHERMAN",5.0000000000000000e+00
"SIMSBURY",1.9000000000000000e+01
"SOMERS",1.1000000000000000e+01
"SOUTH WINDSOR",4.1000000000000000e+01
"SOUTHBURY",2.9000000000000000e+01
"SOUTHINGTON",1.3800000000000000e+02
"SPRAGUE",4.2000000000000000e+01
"STAFFORD",6.7000000000000000e+01
"STAMFORD",9.1900000000000000e+02
"STERLING",2.9000000000000000e+01
"STONINGTON",9.8000000000000000e+01
"STRATFORD",4.0700000000000000e+02
"SUFFIELD",3.2000000000000000e+01
"THOMASTON",3.5000000000000000e+01
"THOMPSON",4.9000000000000000e+01
"TOLLAND",1.7000000000000000e+01
"TORRINGTON",3.9000000000000000e+02
"TRUMBULL",4.7000000000000000e+01
"UNION",1.0000000000000000e+00
"VERNON",3.5000000000000000e+02
"VOLUNTOWN",1.8000000000000000e+01
"WALLINGFORD",1.5500000000000000e+02
"WARREN",1.0000000000000000e+00
"WASHINGTON",7.0000000000000000e+00
"WATERBURY",3.9220000000000000e+03
"WATERFORD",6.4000000000000000e+01
"WATERTOWN",7.2000000000000000e+01
"WEST HARTFORD",2.5800000000000000e+02
"WEST HAVEN",7.5100000000000000e+02
"WESTBROOK",1.4000000000000000e+01
"WESTON",7.0000000000000000e+00
"WESTPORT",1.4000000000000000e+01
"WETHERSFIELD",7.5000000000000000e+01
"WILLINGTON",1.8000000000000000e+01
"WILTON",2.0000000000000000e+00
"WINCHESTER",1.2700000000000000e+02
"WINDHAM",7.2500000000000000e+02
"WINDSOR",2.1600000000000000e+02
"WINDSOR LOCKS",8.9000000000000000e+01
"WOLCOTT",4.7000000000000000e+01
"WOODBRIDGE",1.0000000000000000e+01
"WOODBURY",1.4000000000000000e+01
"WOODSTOCK",1.5000000000000000e+01
