Municipality,April 2000 Population,April 1990 Population
"GUILFORD",2.1398000000000000e+04,1.9848000000000000e+04
"HADDAM",7.1570000000000000e+03,6.7690000000000000e+03
"HAMDEN",5.6763000000000000e+04,5.2434000000000000e+04
"HAMPTON",1.7580000000000000e+03,1.5780000000000000e+03
"HARTFORD",1.2412100000000000e+05,1.3973900000000000e+05
"HARTLAND",2.0120000000000000e+03,1.8660000000000000e+03
"HARWINTON",5.2830000000000000e+03,5.2280000000000000e+03
"HEBRON",8.6100000000000000e+03,7.0790000000000000e+03
"KENT",2.8580000000000000e+03,2.9180000000000000e+03
"KILLINGLY",1.6472000000000000e+04,1.5889000000000000e+04
"KILLINGWORTH",6.0180000000000000e+03,4.8140000000000000e+03
"LEBANON",6.9070000000000000e+03,6.0410000000000000e+03
"LEDYARD",1.4687000000000000e+04,1.4913000000000000e+04
"LISBON",4.0690000000000000e+03,3.7900000000000000e+03
"LITCHFIELD",8.3160000000000000e+03,8.3650000000000000e+03
"LYME",2.0160000000000000e+03,1.9490000000000000e+03
"MADISON",1.7858000000000000e+04,1.5485000000000000e+04
"MANCHESTER",5.4740000000000000e+04,5.1618000000000000e+04
"MANSFIELD",2.0816000000000000e+04,2.1103000000000000e+04
"MARLBOROUGH",5.7090000000000000e+03,5.5350000000000000e+03
"MERIDEN",5.8244000000000000e+04,5.9479000000000000e+04
"MIDDLEBURY",6.4510000000000000e+03,6.1450000000000000e+03
"MIDDLEFIELD",4.2030000000000000e+03,3.9250000000000000e+03
"MIDDLETOWN",4.5563000000000000e+04,4.2762000000000000e+04
"MILFORD",5.2305000000000000e+04,4.9938000000000000e+04
"MONROE",1.9247000000000000e+04,1.6896000000000000e+04
"MONTVILLE",1.8546000000000000e+04,1.6673000000000000e+04
"MORRIS",2.3010000000000000e+03,2.0390000000000000e+03
"NAUGATUCK",3.0989000000000000e+04,3.0625000000000000e+04
"NEW BRITAIN",7.1538000000000000e+04,7.5491000000000000e+04
"NEW CANAAN",1.9395000000000000e+04,1.7864000000000000e+04
"NEW FAIRFIELD",1.3953000000000000e+04,1.2911000000000000e+04
"NEW HARTFORD",6.0880000000000000e+03,5.7690000000000000e+03
"NEW HAVEN",1.2377600000000000e+05,1.3047400000000000e+05
"NEW LONDON",2.6185000000000000e+04,2.8540000000000000e+04
"NEW MILFORD",2.7098000000000000e+04,2.3629000000000000e+04
"NEWINGTON",2.9306000000000000e+04,2.9208000000000000e+04
"NEWTOWN",2.5031000000000000e+04,2.0779000000000000e+04
"NORFOLK",1.6600000000000000e+03,2.0600000000000000e+03
"NORTH BRANFORD",1.3906000000000000e+04,1.2996000000000000e+04
"NORTH CANAAN",3.3500000000000000e+03,3.2840000000000000e+03
"NORTH HAVEN",2.3035000000000000e+04,2.2247000000000000e+04
"NORTH STONINGTON",4.9910000000000000e+03,4.8840000000000000e+03
"NORWALK",8.2951000000000000e+04,7.8331000000000000e+04
"NORWICH",3.6117000000000000e+04,3.7391000000000000e+04
"OLD LYME",7.4060000000000000e+03,6.5350000000000000e+03
"OLD SAYBROOK",1.0367000000000000e+04,9.5520000000000000e+03
"ORANGE",1.3233000000000000e+04,1.2830000000000000e+04
"OXFORD",9.8210000000000000e+03,8.6850000000000000e+03
"PLAINFIELD",1.4619000000000000e+04,1.4363000000000000e+04
"PLAINVILLE",1.7328000000000000e+04,1.7392000000000000e+04
"PLYMOUTH",1.1634000000000000e+04,1.1822000000000000e+04
"POMFRET",3.7980000000000000e+03,3.1020000000000000e+03
"PORTLAND",8.7320000000000000e+03,8.4180000000000000e+03
"PRESTON",4.6880000000000000e+03,5.0060000000000000e+03
"PROSPECT",8.7070000000000000e+03,7.7750000000000000e+03
"PUTNAM",9.0020000000000000e+03,9.0310000000000000e+03
"REDDING",8.2700000000000000e+03,7.9270000000000000e+03
"RIDGEFIELD",2.3643000000000000e+04,2.0919000000000000e+04
"ROCKY HILL",1.7966000000000000e+04,1.6554000000000000e+04
"ROXBURY",2.1370000000000000e+03,1.8250000000000000e+03
"SALEM",3.8580000000000000e+03,3.3100000000000000e+03
"SALISBURY",3.9770000000000000e+03,4.0900000000000000e+03
"SCOTLAND",1.5560000000000000e+03,1.2150000000000000e+03
"SEYMOUR",1.5454000000000000e+04,1.4288000000000000e+04
"SHARON",2.9680000000000000e+03,2.9280000000000000e+03
"SHELTON",3.8101000000000000e+04,3.5418000000000000e+04
"SHERMAN",3.8270000000000000e+03,2.8090000000000000e+03
"SIMSBURY",2.3234000000000000e+04,2.2023000000000000e+04
"SOMERS",1.0417000000000000e+04,9.1080000000000000e+03
"SOUTH WINDSOR",2.4412000000000000e+04,2.2090000000000000e+04
"SOUTHBURY",1.8567000000000000e+04,1.5818000000000000e+04
"SOUTHINGTON",3.9728000000000000e+04,3.8518000000000000e+04
"SPRAGUE",2.9710000000000000e+03,3.0080000000000000e+03
"STAFFORD",1.1307000000000000e+04,1.1091000000000000e+04
"STAMFORD",1.1708300000000000e+05,1.0805600000000000e+05
"STERLING",3.0990000000000000e+03,2.3570000000000000e+03
"STONINGTON",1.7906000000000000e+04,1.6919000000000000e+04
"STRATFORD",4.9976000000000000e+04,4.9389000000000000e+04
"SUFFIELD",1.3552000000000000e+04,1.1427000000000000e+04
"THOMASTON",7.5030000000000000e+03,6.9470000000000000e+03
"THOMPSON",8.8780000000000000e+03,8.6680000000000000e+03
"TOLLAND",1.3086000000000000e+04,1.1001000000000000e+04
"TORRINGTON",3.5202000000000000e+04,3.3687000000000000e+04
"TRUMBULL",3.4243000000000000e+04,3.2016000000000000e+04
"UNION",6.9300000000000000e+02,6.1200000000000000e+02
"VERNON",2.8063000000000000e+04,2.9841000000000000e+04
"VOLUNTOWN",2.5280000000000000e+03,2.1130000000000000e+03
"WALLINGFORD",4.3026000000000000e+04,4.0822000000000000e+04
"WARREN",1.2540000000000000e+03,1.2260000000000000e+03
"WASHINGTON",3.6390000000000000e+03,3.9050000000000000e+03
"WATERBURY",1.0727100000000000e+05,1.0896100000000000e+05
"WATERFORD",1.8638000000000000e+04,1.7930000000000000e+04
"WATERTOWN",2.1661000000000000e+04,2.0456000000000000e+04
"WEST HARTFORD",6.1046000000000000e+04,6.0110000000000000e+04
"WEST HAVEN",5.2360000000000000e+04,5.4021000000000000e+04
"WESTBROOK",6.2920000000000000e+03,5.4140000000000000e+03
"WESTON",1.0037000000000000e+04,8.6480000000000000e+03
"WESTPORT",2.5749000000000000e+04,2.4410000000000000e+04
"WETHERSFIELD",2.6271000000000000e+04,2.5651000000000000e+04
"WILLINGTON",5.9590000000000000e+03,5.9790000000000000e+03
"WILTON",1.7633000000000000e+04,1.5989000000000000e+04
"WINCHESTER",1.0664000000000000e+04,1.1524000000000000e+04
"WINDHAM",2.2857000000000000e+04,2.2039000000000000e+04
"WINDSOR",2.8237000000000000e+04,2.7817000000000000e+04
"WINDSOR LOCKS",1.2043000000000000e+04,1.2358000000000000e+04
"WOLCOTT",1.5215000000000000e+04,1.3700000000000000e+04
"WOODBRIDGE",8.9830000000000000e+03,7.9240000000000000e+03
"WOODBURY",9.1960000000000000e+03,8.1310000000000000e+03
"WOODSTOCK",7.2210000000000000e+03,6.0080000000000000e+03
