Sort ID,Municipality,numbered,Median Household Income,Population_Range,PercentOfStateMedian
77,"EAST HADDAM",4.0000000000000000e+01,62304.0000,"0 to 10,000",1.1551682580884397e+00
78,"FRANKLIN",5.3000000000000000e+01,62083.0000,"0 to 10,000",1.1510707332900714e+00
79,"SOUTHBURY",1.3200000000000000e+02,61919.0000,"10,000 to 30,000",1.1480300361546305e+00
80,"WEST HARTFORD",1.5500000000000000e+02,61665.0000,"30,000 to 70,000",1.1433206637619358e+00
81,"WOLCOTT",1.6700000000000000e+02,61376.0000,"10,000 to 30,000",1.1379623621025308e+00
82,"MILFORD",8.5000000000000000e+01,61183.0000,"30,000 to 70,000",1.1343839807175304e+00
83,"LEBANON",7.2000000000000000e+01,61173.0000,"0 to 10,000",1.1341985723556132e+00
84,"CROMWELL",3.3000000000000000e+01,60662.0000,"10,000 to 30,000",1.1247242050616484e+00
85,"STAMFORD",1.3600000000000000e+02,60556.0000,"70,000 & Up",1.1227588764253267e+00
86,"SOUTHINGTON",1.3300000000000000e+02,60538.0000,"30,000 to 70,000",1.1224251413738759e+00
87,"CLINTON",2.7000000000000000e+01,60471.0000,"10,000 to 30,000",1.1211829053490312e+00
88,"ROCKY HILL",1.2000000000000000e+02,60247.0000,"10,000 to 30,000",1.1170297580420876e+00
89,"NORWALK",1.0400000000000000e+02,59839.0000,"70,000 & Up",1.1094650968758690e+00
90,"MIDDLEFIELD",8.3000000000000000e+01,59448.0000,"0 to 10,000",1.1022156299249095e+00
91,"WATERTOWN",1.5400000000000000e+02,59420.0000,"10,000 to 30,000",1.1016964865115417e+00
92,"NORFOLK",9.9000000000000000e+01,58906.0000,"0 to 10,000",1.0921664967090017e+00
93,"COLEBROOK",2.9000000000000000e+01,58684.0000,"0 to 10,000",1.0880504310744414e+00
94,"LITCHFIELD",7.5000000000000000e+01,58418.0000,"0 to 10,000",1.0831185686474460e+00
95,"UNION",1.4600000000000000e+02,58214.0000,"0 to 10,000",1.0793362380643368e+00
96,"MORRIS",8.8000000000000000e+01,58050.0000,"0 to 10,000",1.0762955409288959e+00
97,"BRANFORD",1.4000000000000000e+01,58009.0000,"10,000 to 30,000",1.0755353666450358e+00
98,"POMFRET",1.1300000000000000e+02,57937.0000,"0 to 10,000",1.0742004264392324e+00
99,"NORTH STONINGTON",1.0300000000000000e+02,57887.0000,"0 to 10,000",1.0732733846296467e+00
100,"WESTBROOK",1.5700000000000000e+02,57531.0000,"0 to 10,000",1.0666728469453972e+00
101,"WALLINGFORD",1.4900000000000000e+02,57308.0000,"30,000 to 70,000",1.0625382404746455e+00
102,"EASTFORD",4.6000000000000000e+01,57159.0000,"0 to 10,000",1.0597756558820803e+00
103,"NEWINGTON",9.7000000000000000e+01,57118.0000,"10,000 to 30,000",1.0590154815982200e+00
104,"BOZRAH",1.3000000000000000e+01,57059.0000,"0 to 10,000",1.0579215722629089e+00
105,"SCOTLAND",1.2400000000000000e+02,56848.0000,"0 to 10,000",1.0540094558264577e+00
106,"VOLUNTOWN",1.4800000000000000e+02,56802.0000,"0 to 10,000",1.0531565773616389e+00
107,"BEACON FALLS",6.0000000000000000e+00,56592.0000,"0 to 10,000",1.0492630017613795e+00
108,"WATERFORD",1.5300000000000000e+02,56047.0000,"10,000 to 30,000",1.0391582460368962e+00
109,"CANTERBURY",2.2000000000000000e+01,55547.0000,"0 to 10,000",1.0298878279410402e+00
110,"WOODSTOCK",1.7000000000000000e+02,55313.0000,"0 to 10,000",1.0255492722721795e+00
111,"LISBON",7.4000000000000000e+01,55149.0000,"0 to 10,000",1.0225085751367387e+00
112,"MONTVILLE",8.7000000000000000e+01,55086.0000,"10,000 to 30,000",1.0213405024566609e+00
113,"ASHFORD",3.0000000000000000e+00,55000.0000,"0 to 10,000",1.0197459905441735e+00
114,"PRESTON",1.1500000000000000e+02,54942.0000,"0 to 10,000",1.0186706220450543e+00
115,"CORNWALL",3.1000000000000000e+01,54886.0000,"0 to 10,000",1.0176323352183183e+00
116,"CANAAN",2.1000000000000000e+01,54688.0000,"0 to 10,000",1.0139612496523593e+00
117,"HAMPTON",6.4000000000000000e+01,54464.0000,"0 to 10,000",1.0098081023454157e+00
118,"THOMASTON",1.4100000000000000e+02,54297.0000,"0 to 10,000",1.0067117827013998e+00
119,"KENT",6.9000000000000000e+01,53906.0000,"0 to 10,000",9.9946231575044031e-01
120,"BLOOMFIELD",1.1000000000000000e+01,53812.0000,"10,000 to 30,000",9.9771947714841935e-01
121,"PLYMOUTH",1.1200000000000000e+02,53750.0000,"10,000 to 30,000",9.9656994530453324e-01
122,"DANBURY",3.4000000000000000e+01,53664.0000,"30,000 to 70,000",9.9497543339204597e-01
123,"STRATFORD",1.3900000000000000e+02,53494.0000,"30,000 to 70,000",9.9182349123945490e-01
124,"WETHERSFIELD",1.6000000000000000e+02,53289.0000,"10,000 to 30,000",9.8802261982015394e-01
125,"SALISBURY",1.2300000000000000e+02,53051.0000,"0 to 10,000",9.8360990080652633e-01
126,"SHARON",1.2600000000000000e+02,53000.0000,"0 to 10,000",9.8266431816074906e-01
127,"ENFIELD",4.9000000000000000e+01,52810.0000,"30,000 to 70,000",9.7914155928432367e-01
128,"STAFFORD",1.3500000000000000e+02,52699.0000,"10,000 to 30,000",9.7708352646704366e-01
129,"STONINGTON",1.3800000000000000e+02,52437.0000,"10,000 to 30,000",9.7222582738481500e-01
130,"SEYMOUR",1.2500000000000000e+02,52408.0000,"10,000 to 30,000",9.7168814313525542e-01
131,"HAMDEN",6.3000000000000000e+01,52351.0000,"30,000 to 70,000",9.7063131547232784e-01
132,"WILLINGTON",1.6100000000000000e+02,51690.0000,"0 to 10,000",9.5837582274960598e-01
133,"DEEP RIVER",3.6000000000000000e+01,51677.0000,"0 to 10,000",9.5813479187911377e-01
134,"CHAPLIN",2.4000000000000000e+01,51602.0000,"0 to 10,000",9.5674422916473534e-01
135,"NAUGATUCK",8.9000000000000000e+01,51247.0000,"30,000 to 70,000",9.5016223231667751e-01
136,"EAST WINDSOR",4.5000000000000000e+01,51092.0000,"0 to 10,000",9.4728840270696213e-01
137,"GRISWOLD",5.8000000000000000e+01,50156.0000,"10,000 to 30,000",9.2993418003151940e-01
138,"BROOKLYN",1.9000000000000000e+01,49756.0000,"0 to 10,000",9.2251784555483451e-01
139,"MANCHESTER",7.8000000000000000e+01,49426.0000,"30,000 to 70,000",9.1639936961156954e-01
140,"STERLING",1.3700000000000000e+02,49167.0000,"0 to 10,000",9.1159729303791603e-01
141,"MANSFIELD",7.9000000000000000e+01,48888.0000,"10,000 to 30,000",9.0642439974042832e-01
142,"WINDSOR LOCKS",1.6600000000000000e+02,48837.0000,"10,000 to 30,000",9.0547881709465095e-01
143,"PLAINVILLE",1.1100000000000000e+02,48136.0000,"10,000 to 30,000",8.9248169092426066e-01
144,"EAST HAVEN",4.3000000000000000e+01,47930.0000,"10,000 to 30,000",8.8866227866876801e-01
145,"VERNON",1.4700000000000000e+02,47816.0000,"10,000 to 30,000",8.8654862334291273e-01
146,"BRISTOL",1.7000000000000000e+01,47422.0000,"30,000 to 70,000",8.7924353388337817e-01
147,"MIDDLETOWN",8.4000000000000000e+01,47162.0000,"30,000 to 70,000",8.7442291647353299e-01
148,"WINCHESTER",1.6300000000000000e+02,46671.0000,"10,000 to 30,000",8.6531936590340219e-01
149,"GROTON",5.9000000000000000e+01,46154.0000,"30,000 to 70,000",8.5573375359228698e-01
150,"THOMPSON",1.4200000000000000e+02,46065.0000,"0 to 10,000",8.5408361917122466e-01
151,"DERBY",3.7000000000000000e+01,45670.0000,"10,000 to 30,000",8.4675998887549830e-01
152,"MERIDEN",8.1000000000000000e+01,43237.0000,"30,000 to 70,000",8.0165013442106237e-01
153,"SPRAGUE",1.3400000000000000e+02,43125.0000,"0 to 10,000",7.9957356076759056e-01
154,"ANSONIA",2.0000000000000000e+00,43026.0000,"10,000 to 30,000",7.9773801798461108e-01
155,"PUTNAM",1.1700000000000000e+02,43010.0000,"0 to 10,000",7.9744136460554371e-01
156,"PLAINFIELD",1.1000000000000000e+02,42851.0000,"10,000 to 30,000",7.9449337165106149e-01
157,"WEST HAVEN",1.5600000000000000e+02,42393.0000,"30,000 to 70,000",7.8600166867525723e-01
158,"TORRINGTON",1.4400000000000000e+02,41841.0000,"30,000 to 70,000",7.7576712709743212e-01
159,"EAST HARTFORD",4.2000000000000000e+01,41424.0000,"30,000 to 70,000",7.6803559840548807e-01
160,"KILLINGLY",7.0000000000000000e+01,41087.0000,"10,000 to 30,000",7.6178733660888109e-01
161,"NORWICH",1.0500000000000000e+02,39181.0000,"30,000 to 70,000",7.2644850282747753e-01
162,"NORTH CANAAN",1.0100000000000000e+02,39020.0000,"0 to 10,000",7.2346342820061182e-01
163,"WINDHAM",1.6400000000000000e+02,35087.0000,"10,000 to 30,000",6.5054231945860763e-01
164,"BRIDGEPORT",1.5000000000000000e+01,34658.0000,"70,000 & Up",6.4258830073236306e-01
165,"WATERBURY",1.5200000000000000e+02,34285.0000,"70,000 & Up",6.3567256883285439e-01
166,"NEW BRITAIN",9.0000000000000000e+01,34185.0000,"70,000 & Up",6.3381848521368311e-01
167,"NEW LONDON",9.5000000000000000e+01,33809.0000,"10,000 to 30,000",6.2684713080559928e-01
168,"NEW HAVEN",9.4000000000000000e+01,29604.0000,"70,000 & Up",5.4888291461944938e-01
169,"HARTFORD",6.5000000000000000e+01,24820.0000,"70,000 & Up",4.6018355427829793e-01
