MUNICIPALITY,Numbered,Sept11 Labor Force,Sept11 Unemployed
"HARWINTON",6.7000000000000000e+01,3.1900000000000000e+03,2.1100000000000000e+02
"HEBRON",6.8000000000000000e+01,5.5500000000000000e+03,3.2300000000000000e+02
"KENT",6.9000000000000000e+01,1.5990000000000000e+03,1.0700000000000000e+02
"KILLINGLY",7.0000000000000000e+01,9.6300000000000000e+03,9.0000000000000000e+02
"KILLINGWORTH",7.1000000000000000e+01,3.6540000000000000e+03,2.3800000000000000e+02
"LEBANON",7.2000000000000000e+01,4.4410000000000000e+03,3.5000000000000000e+02
"LEDYARD",7.3000000000000000e+01,8.6020000000000000e+03,6.2700000000000000e+02
"LISBON",7.4000000000000000e+01,2.6150000000000000e+03,2.1200000000000000e+02
"LITCHFIELD",7.5000000000000000e+01,4.4110000000000000e+03,3.2600000000000000e+02
"LYME",7.6000000000000000e+01,1.1260000000000000e+03,4.8000000000000000e+01
"MADISON",7.7000000000000000e+01,1.0036000000000000e+04,5.7100000000000000e+02
"MANCHESTER",7.8000000000000000e+01,3.2935000000000000e+04,2.7270000000000000e+03
"MANSFIELD",7.9000000000000000e+01,1.3518000000000000e+04,9.9000000000000000e+02
"MARLBOROUGH",8.0000000000000000e+01,3.6460000000000000e+03,2.0600000000000000e+02
"MERIDEN",8.1000000000000000e+01,3.1944000000000000e+04,3.2320000000000000e+03
"MIDDLEBURY",8.2000000000000000e+01,3.9810000000000000e+03,2.8500000000000000e+02
"MIDDLEFIELD",8.3000000000000000e+01,2.3810000000000000e+03,1.5400000000000000e+02
"MIDDLETOWN",8.4000000000000000e+01,2.7412000000000000e+04,2.1990000000000000e+03
"MILFORD",8.5000000000000000e+01,3.2738000000000000e+04,2.5910000000000000e+03
"MONROE",8.6000000000000000e+01,1.0593000000000000e+04,7.6900000000000000e+02
"MONTVILLE",8.7000000000000000e+01,1.1119000000000000e+04,9.1200000000000000e+02
"MORRIS",8.8000000000000000e+01,1.2760000000000000e+03,8.6000000000000000e+01
"NAUGATUCK",8.9000000000000000e+01,1.7278000000000000e+04,1.6580000000000000e+03
"NEW BRITAIN",9.0000000000000000e+01,3.5424000000000000e+04,4.2040000000000000e+03
"NEW CANAAN",9.1000000000000000e+01,8.8750000000000000e+03,4.8600000000000000e+02
"NEW FAIRFIELD",9.2000000000000000e+01,7.5310000000000000e+03,5.2300000000000000e+02
"NEW HARTFORD",9.3000000000000000e+01,3.8440000000000000e+03,2.6700000000000000e+02
"NEW HAVEN",9.4000000000000000e+01,5.6835000000000000e+04,7.3290000000000000e+03
"NEW LONDON",9.5000000000000000e+01,1.3925000000000000e+04,1.4920000000000000e+03
"NEW MILFORD",9.6000000000000000e+01,1.6236000000000000e+04,1.1010000000000000e+03
"NEWINGTON",9.7000000000000000e+01,1.6900000000000000e+04,1.2240000000000000e+03
"NEWTOWN",9.8000000000000000e+01,1.4180000000000000e+04,8.7600000000000000e+02
"NORFOLK",9.9000000000000000e+01,9.3400000000000000e+02,5.4000000000000000e+01
"NORTH BRANFORD",1.0000000000000000e+02,8.3650000000000000e+03,6.0100000000000000e+02
"NORTH CANAAN",1.0100000000000000e+02,1.7490000000000000e+03,1.4600000000000000e+02
"NORTH HAVEN",1.0200000000000000e+02,1.3173000000000000e+04,9.9600000000000000e+02
"NORTH STONINGTON",1.0300000000000000e+02,3.2650000000000000e+03,1.8700000000000000e+02
"NORWALK",1.0400000000000000e+02,4.8199000000000000e+04,3.3480000000000000e+03
"NORWICH",1.0500000000000000e+02,2.1052000000000000e+04,2.1000000000000000e+03
"OLD LYME",1.0600000000000000e+02,4.1680000000000000e+03,2.5100000000000000e+02
"OLD SAYBROOK",1.0700000000000000e+02,5.5060000000000000e+03,3.8500000000000000e+02
"ORANGE",1.0800000000000000e+02,7.2370000000000000e+03,4.7900000000000000e+02
"OXFORD",1.0900000000000000e+02,7.5670000000000000e+03,4.8700000000000000e+02
"PLAINFIELD",1.1000000000000000e+02,8.5410000000000000e+03,8.8600000000000000e+02
"PLAINVILLE",1.1100000000000000e+02,1.0137000000000000e+04,7.7200000000000000e+02
"PLYMOUTH",1.1200000000000000e+02,6.9010000000000000e+03,6.3300000000000000e+02
"POMFRET",1.1300000000000000e+02,2.2910000000000000e+03,1.6300000000000000e+02
"PORTLAND",1.1400000000000000e+02,5.4160000000000000e+03,3.7800000000000000e+02
"PRESTON",1.1500000000000000e+02,2.9020000000000000e+03,2.1600000000000000e+02
"PROSPECT",1.1600000000000000e+02,5.3730000000000000e+03,4.0400000000000000e+02
"PUTNAM",1.1700000000000000e+02,5.3300000000000000e+03,4.7800000000000000e+02
"REDDING",1.1800000000000000e+02,4.6380000000000000e+03,2.6600000000000000e+02
"RIDGEFIELD",1.1900000000000000e+02,1.1818000000000000e+04,7.6600000000000000e+02
"ROCKY HILL",1.2000000000000000e+02,1.0863000000000000e+04,7.6400000000000000e+02
"ROXBURY",1.2100000000000000e+02,1.3630000000000000e+03,7.8000000000000000e+01
"SALEM",1.2200000000000000e+02,2.6290000000000000e+03,1.7400000000000000e+02
"SALISBURY",1.2300000000000000e+02,1.9370000000000000e+03,1.0800000000000000e+02
"SCOTLAND",1.2400000000000000e+02,1.0020000000000000e+03,4.5000000000000000e+01
"SEYMOUR",1.2500000000000000e+02,9.3800000000000000e+03,8.3300000000000000e+02
"SHARON",1.2600000000000000e+02,1.5420000000000000e+03,7.8000000000000000e+01
"SHELTON",1.2700000000000000e+02,2.3123000000000000e+04,1.7340000000000000e+03
"SHERMAN",1.2800000000000000e+02,2.1410000000000000e+03,1.3200000000000000e+02
"SIMSBURY",1.2900000000000000e+02,1.2165000000000000e+04,7.3700000000000000e+02
"SOMERS",1.3000000000000000e+02,4.9110000000000000e+03,4.0500000000000000e+02
"SOUTH WINDSOR",1.3100000000000000e+02,1.4999000000000000e+04,9.1600000000000000e+02
"SOUTHBURY",1.3200000000000000e+02,9.0810000000000000e+03,6.3100000000000000e+02
"SOUTHINGTON",1.3300000000000000e+02,2.4570000000000000e+04,1.7080000000000000e+03
"SPRAGUE",1.3400000000000000e+02,1.8150000000000000e+03,1.5600000000000000e+02
"STAFFORD",1.3500000000000000e+02,6.9160000000000000e+03,5.2700000000000000e+02
"STAMFORD",1.3600000000000000e+02,6.7301000000000000e+04,4.7730000000000000e+03
"STERLING",1.3700000000000000e+02,2.1450000000000000e+03,2.0100000000000000e+02
"STONINGTON",1.3800000000000000e+02,1.0555000000000000e+04,6.3800000000000000e+02
"STRATFORD",1.3900000000000000e+02,2.6021000000000000e+04,2.4740000000000000e+03
"SUFFIELD",1.4000000000000000e+02,7.6040000000000000e+03,5.7500000000000000e+02
"THOMASTON",1.4100000000000000e+02,4.6120000000000000e+03,3.6100000000000000e+02
"THOMPSON",1.4200000000000000e+02,5.4640000000000000e+03,4.9100000000000000e+02
"TOLLAND",1.4300000000000000e+02,8.5010000000000000e+03,5.0400000000000000e+02
"TORRINGTON",1.4400000000000000e+02,1.9986000000000000e+04,1.8180000000000000e+03
"TRUMBULL",1.4500000000000000e+02,1.7811000000000000e+04,1.2520000000000000e+03
"UNION",1.4600000000000000e+02,4.8900000000000000e+02,3.5000000000000000e+01
"VERNON",1.4700000000000000e+02,1.7858000000000000e+04,1.3710000000000000e+03
"VOLUNTOWN",1.4800000000000000e+02,1.6740000000000000e+03,1.7500000000000000e+02
"WALLINGFORD",1.4900000000000000e+02,2.5418000000000000e+04,1.8880000000000000e+03
"WARREN",1.5000000000000000e+02,7.4500000000000000e+02,4.6000000000000000e+01
"WASHINGTON",1.5100000000000000e+02,1.9400000000000000e+03,1.2400000000000000e+02
"WATERBURY",1.5200000000000000e+02,5.0739000000000000e+04,6.6890000000000000e+03
"WATERFORD",1.5300000000000000e+02,1.0534000000000000e+04,8.4000000000000000e+02
"WATERTOWN",1.5400000000000000e+02,1.2300000000000000e+04,1.0240000000000000e+03
"WEST HARTFORD",1.5500000000000000e+02,2.9720000000000000e+04,2.2850000000000000e+03
"WEST HAVEN",1.5600000000000000e+02,3.6950000000000000e+03,2.3000000000000000e+02
"WESTBROOK",1.5700000000000000e+02,3.0219000000000000e+04,3.0180000000000000e+03
"WESTON",1.5800000000000000e+02,4.8800000000000000e+03,2.8600000000000000e+02
"WESTPORT",1.5900000000000000e+02,1.2701000000000000e+04,7.2400000000000000e+02
"WETHERSFIELD",1.6000000000000000e+02,1.3363000000000000e+04,1.0360000000000000e+03
"WILLINGTON",1.6100000000000000e+02,3.9200000000000000e+03,2.4800000000000000e+02
"WILTON",1.6200000000000000e+02,8.2390000000000000e+03,4.8500000000000000e+02
"WINCHESTER",1.6300000000000000e+02,6.0330000000000000e+03,5.6000000000000000e+02
"WINDHAM",1.6400000000000000e+02,1.2303000000000000e+04,1.3360000000000000e+03
"WINDSOR",1.6500000000000000e+02,1.6558000000000000e+04,1.3600000000000000e+03
"WINDSOR LOCKS",1.6600000000000000e+02,7.1660000000000000e+03,5.7200000000000000e+02
"WOLCOTT",1.6700000000000000e+02,9.0490000000000000e+03,7.1100000000000000e+02
"WOODBRIDGE",1.6800000000000000e+02,4.8160000000000000e+03,2.6000000000000000e+02
"WOODBURY",1.6900000000000000e+02,5.4370000000000000e+03,3.1500000000000000e+02
"WOODSTOCK",1.7000000000000000e+02,4.7170000000000000e+03,2.8400000000000000e+02
