Municipality,numbered,Moody's
"ELLINGTON",4.8000000000000000e+01,"Aa3"
"ENFIELD",4.9000000000000000e+01,"Aa2"
"ESSEX",5.0000000000000000e+01,"Aa2"
"FAIRFIELD",5.1000000000000000e+01,"Aaa"
"FARMINGTON",5.2000000000000000e+01,"Aaa"
"FRANKLIN",5.3000000000000000e+01," "
"GLASTONBURY",5.4000000000000000e+01,"Aaa"
"GOSHEN",5.5000000000000000e+01," "
"GRANBY",5.6000000000000000e+01,"Aa2"
"GREENWICH",5.7000000000000000e+01,"Aaa"
"GRISWOLD",5.8000000000000000e+01," "
"GROTON",5.9000000000000000e+01,"Aa2"
"GROTON (City of)",6.0000000000000000e+01,"Aa2"
"GUILFORD",6.1000000000000000e+01,"Aa2"
"HADDAM",6.2000000000000000e+01," "
"HAMDEN",6.3000000000000000e+01,"Aa3"
"HAMPTON",6.4000000000000000e+01," "
"HARTFORD",6.5000000000000000e+01,"Aa3"
"HARTLAND",6.6000000000000000e+01,"A1"
"HARWINTON",6.7000000000000000e+01," "
"HEBRON",6.8000000000000000e+01,"Aa2"
"KENT",6.9000000000000000e+01,"Aa2"
"KILLINGLY",7.0000000000000000e+01,"Aa2"
"KILLINGWORTH",7.1000000000000000e+01,"Aa2"
"LEBANON",7.2000000000000000e+01,"Aa2"
"LEDYARD",7.3000000000000000e+01,"Aa2"
"LISBON",7.4000000000000000e+01,"A1"
"LITCHFIELD",7.5000000000000000e+01,"Aa2"
"LYME",7.6000000000000000e+01," "
"MADISON",7.7000000000000000e+01,"Aaa"
"MANCHESTER",7.8000000000000000e+01,"Aa1"
"MANSFIELD",7.9000000000000000e+01,"Aa2"
"MARLBOROUGH",8.0000000000000000e+01,"Aa2"
"MERIDEN",8.1000000000000000e+01,"A1"
"MIDDLEBURY",8.2000000000000000e+01,"Aa2"
"MIDDLEFIELD",8.3000000000000000e+01," "
"MIDDLETOWN",8.4000000000000000e+01,"Aa2"
"MILFORD",8.5000000000000000e+01,"Aa1"
"MONROE",8.6000000000000000e+01,"Aa2"
"MONTVILLE",8.7000000000000000e+01,"Aa2"
"MORRIS",8.8000000000000000e+01," "
"NAUGATUCK",8.9000000000000000e+01,"Aa2"
"NEW BRITAIN",9.0000000000000000e+01,"A1"
"NEW CANAAN",9.1000000000000000e+01,"Aaa"
"NEW FAIRFIELD",9.2000000000000000e+01,"Aa1"
"NEW HARTFORD",9.3000000000000000e+01,"Aa3"
"NEW HAVEN",9.4000000000000000e+01,"A1"
"NEW LONDON",9.5000000000000000e+01," "
"NEW MILFORD",9.6000000000000000e+01,"Aa1"
"NEWINGTON",9.7000000000000000e+01,"Aa2"
"NEWTOWN",9.8000000000000000e+01,"Aa1"
"NORFOLK",9.9000000000000000e+01," "
"NORTH BRANFORD",1.0000000000000000e+02,"Aa2"
"NORTH CANAAN",1.0100000000000000e+02,"A1"
"NORTH HAVEN",1.0200000000000000e+02,"Aa1"
"NORTH STONINGTON",1.0300000000000000e+02,"A1"
"NORWALK",1.0400000000000000e+02,"Aaa"
"NORWICH",1.0500000000000000e+02,"Aa2"
"OLD LYME",1.0600000000000000e+02," "
"OLD SAYBROOK",1.0700000000000000e+02,"Aa2"
"ORANGE",1.0800000000000000e+02,"Aa1"
"OXFORD",1.0900000000000000e+02,"Aa2"
"PLAINFIELD",1.1000000000000000e+02,"Aa3"
"PLAINVILLE",1.1100000000000000e+02,"Aa3"
"PLYMOUTH",1.1200000000000000e+02,"Aa3"
"POMFRET",1.1300000000000000e+02," "
"PORTLAND",1.1400000000000000e+02,"Aa3"
"PRESTON",1.1500000000000000e+02," "
"PROSPECT",1.1600000000000000e+02,"A1"
"PUTNAM",1.1700000000000000e+02," "
"REDDING",1.1800000000000000e+02,"Aa1"
"RIDGEFIELD",1.1900000000000000e+02,"Aaa"
"ROCKY HILL",1.2000000000000000e+02,"Aa2"
"ROXBURY",1.2100000000000000e+02," "
"SALEM",1.2200000000000000e+02,"A1"
"SALISBURY",1.2300000000000000e+02,"Aa2"
"SCOTLAND",1.2400000000000000e+02,"A1"
"SEYMOUR",1.2500000000000000e+02,"Aa3"
"SHARON",1.2600000000000000e+02,"Aa2"
"SHELTON",1.2700000000000000e+02,"Aa2"
"SHERMAN",1.2800000000000000e+02,"Aa2"
"SIMSBURY",1.2900000000000000e+02,"Aaa"
"SOMERS",1.3000000000000000e+02,"Aa2"
"SOUTH WINDSOR",1.3100000000000000e+02,"Aa2"
"SOUTHBURY",1.3200000000000000e+02,"Aa2"
"SOUTHINGTON",1.3300000000000000e+02,"Aa2"
"SPRAGUE",1.3400000000000000e+02,"A1"
"STAFFORD",1.3500000000000000e+02,"A1"
"STAMFORD",1.3600000000000000e+02,"Aa1"
"STERLING",1.3700000000000000e+02,"A1"
"STONINGTON",1.3800000000000000e+02,"Aa1"
"STRATFORD",1.3900000000000000e+02,"Aa2"
"SUFFIELD",1.4000000000000000e+02,"Aa2"
"THOMASTON",1.4100000000000000e+02,"Aa3"
"THOMPSON",1.4200000000000000e+02,"A1"
"TOLLAND",1.4300000000000000e+02,"Aa2"
"TORRINGTON",1.4400000000000000e+02,"Aa2"
"TRUMBULL",1.4500000000000000e+02,"Aa2"
"UNION",1.4600000000000000e+02," "
"VERNON",1.4700000000000000e+02,"Aa2"
"VOLUNTOWN",1.4800000000000000e+02," "
"WALLINGFORD",1.4900000000000000e+02,"Aaa"
"WARREN",1.5000000000000000e+02,"Aa2"
"WASHINGTON",1.5100000000000000e+02,"Aa2"
"WATERBURY",1.5200000000000000e+02,"A1"
"WATERFORD",1.5300000000000000e+02,"Aa2"
"WATERTOWN",1.5400000000000000e+02,"Aa2"
"WEST HARTFORD",1.5500000000000000e+02,"Aaa"
"WEST HAVEN",1.5600000000000000e+02,"A2"
"WESTBROOK",1.5700000000000000e+02,"Aa2"
"WESTON",1.5800000000000000e+02,"Aaa"
"WESTPORT",1.5900000000000000e+02,"Aaa"
"WETHERSFIELD",1.6000000000000000e+02,"Aa2"
"WILLINGTON",1.6100000000000000e+02,"Aa3"
"WILTON",1.6200000000000000e+02,"Aaa"
"WINCHESTER",1.6300000000000000e+02,"Aa3"
"WINDHAM",1.6400000000000000e+02,"Aa3"
"WINDSOR",1.6500000000000000e+02,"Aa1"
"WINDSOR LOCKS",1.6600000000000000e+02,"Aa1"
"WOLCOTT",1.6700000000000000e+02,"A1"
"WOODBRIDGE",1.6800000000000000e+02,"Aaa"
"WOODBURY",1.6900000000000000e+02,"Aa2"
"WOODSTOCK",1.7000000000000000e+02,"Aa3"
