MUNICIPALITY,NUMBERED,TOWN CODE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,PUBLIC UTILITY,APARTMENT,TOTAL REAL,REAL EXEMPTIONS,TOTAL NET REAL,TOTAL GROSS MV,MV EXEMPTIONS,TOTAL NET MV,TOTAL PERS PROP,PERS PROP EXEMPTIONS,TOTAL NET PERS PROP,TOTAL GROSS GRAND LIST,TOTAL NET GRAND LIST,OTHER
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,1.0991119100000000e+09,2.7265608000000000e+08,1.7770828100000000e+08,0.0000000000000000e+00,1.1902093000000000e+08,1.6730807210000000e+09,6.3378020000000000e+06,1.6667429190000000e+09,1.3508935800000000e+08,1.9063150000000000e+06,1.3318304300000000e+08,2.7146658500000000e+08,8.0780302000000000e+07,1.9068628300000000e+08,2.0796366640000000e+09,1.9906122450000000e+09,4.5835200000000000e+06
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,3.8687176400000000e+08,2.2074140000000000e+07,2.9451300000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,4.2802478400000000e+08,2.0309450000000000e+06,4.2599383900000000e+08,3.5608560000000000e+07,2.7092000000000000e+05,3.5337640000000000e+07,1.1230164000000000e+07,1.5931300000000000e+06,9.6370340000000000e+06,4.7486350800000000e+08,4.7096851300000000e+08,1.6133750000000000e+07
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,1.6314373000000000e+08,1.0793520000000000e+07,2.3106650000000000e+07,0.0000000000000000e+00,1.0877800000000000e+06,2.0879022000000000e+08,1.0469300000000000e+06,2.0774329000000000e+08,2.1971950000000000e+07,1.7404000000000000e+05,2.1797910000000000e+07,1.8767733000000000e+07,8.7645040000000000e+06,1.0003229000000000e+07,2.4952990300000000e+08,2.3954442900000000e+08,1.0658540000000000e+07
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,2.6027973800000000e+09,3.4229827000000000e+08,1.0971419000000000e+08,2.7296000000000000e+06,4.0690380000000000e+07,3.1179765200000000e+09,9.6064000000000000e+06,3.1083701200000000e+09,2.0447734000000000e+08,4.2873220000000000e+06,2.0019001800000000e+08,1.4505782400000000e+08,2.1036910000000000e+07,1.2402091400000000e+08,3.4675116840000000e+09,3.4325810520000000e+09,1.9746700000000000e+07
"BRIDGEPORT",1.5000000000000000e+01,1.5000000000000000e+01,4.0846317190000000e+09,9.2269988200000000e+08,5.7854018900000000e+08,4.2171365000000000e+07,3.4150825000000000e+08,6.0453849050000000e+09,2.8269449000000000e+07,6.0171154560000000e+09,3.8297494900000000e+08,7.6951300000000000e+06,3.7527981900000000e+08,8.4849584900000000e+08,4.3048268000000000e+07,8.0544758100000000e+08,7.2768557030000000e+09,7.1978428560000000e+09,7.5833500000000000e+07
"BRIDGEWATER",1.6000000000000000e+01,1.6000000000000000e+01,3.6599045200000000e+08,3.0251000000000000e+06,7.9950000000000000e+05,5.6750000000000000e+05,0.0000000000000000e+00,3.9598472200000000e+08,7.8500000000000000e+05,3.9519972200000000e+08,1.6191450000000000e+07,2.2540000000000000e+04,1.6168910000000000e+07,3.9624760000000000e+06,2.4400000000000000e+05,3.7184760000000000e+06,4.1613864800000000e+08,4.1508710800000000e+08,2.5602170000000000e+07
"BRISTOL",1.7000000000000000e+01,1.7000000000000000e+01,2.8513694600000000e+09,4.7229649000000000e+08,2.3197594000000000e+08,2.4392900000000000e+06,1.3292738000000000e+08,3.7397293700000000e+09,3.5092674000000000e+07,3.7046366960000000e+09,3.3161744000000000e+08,3.2033400000000000e+06,3.2841410000000000e+08,3.8141471000000000e+08,1.4275249200000000e+08,2.3866221800000000e+08,4.4527615200000000e+09,4.2717130140000000e+09,4.8720810000000000e+07
"BROOKFIELD",1.8000000000000000e+01,1.8000000000000000e+01,1.9447266050000000e+09,2.4863724000000000e+08,1.1052833000000000e+08,3.8400900000000000e+06,1.4060690000000000e+07,2.3801514650000000e+09,4.6571200000000000e+06,2.3754943450000000e+09,1.2651338100000000e+08,9.6387000000000000e+05,1.2554951100000000e+08,1.0162753800000000e+08,9.0447160000000000e+06,9.2582822000000000e+07,2.6082923840000000e+09,2.5936266780000000e+09,5.8358510000000000e+07
"BROOKLYN",1.9000000000000000e+01,1.9000000000000000e+01,3.8217168000000000e+08,3.3776100000000000e+07,3.8645000000000000e+06,2.2929000000000000e+06,1.5016200000000000e+07,4.5655035000000000e+08,1.6802100000000000e+06,4.5487014000000000e+08,4.8250445000000000e+07,1.0323500000000000e+06,4.7218095000000000e+07,1.5389296000000000e+07,1.0165160000000000e+06,1.4372780000000000e+07,5.2019009100000000e+08,5.1646101500000000e+08,1.9428970000000000e+07
"BURLINGTON",2.0000000000000000e+01,2.0000000000000000e+01,7.7169062000000000e+08,1.3012130000000000e+07,3.3219900000000000e+06,0.0000000000000000e+00,3.4426000000000000e+05,8.3479659000000000e+08,8.4380000000000000e+05,8.3395279000000000e+08,7.0321950000000000e+07,1.0358000000000000e+05,7.0218370000000000e+07,1.1487907000000000e+07,1.1696440000000000e+06,1.0318263000000000e+07,9.1660644700000000e+08,9.1448942300000000e+08,4.6427590000000000e+07
"CANAAN",2.1000000000000000e+01,2.1000000000000000e+01,1.1818500000000000e+08,4.2519000000000000e+06,1.0348600000000000e+07,2.4228000000000000e+06,0.0000000000000000e+00,1.6953450000000000e+08,2.3850000000000000e+05,1.6929600000000000e+08,8.7698600000000000e+06,3.7391000000000000e+05,8.3959500000000000e+06,1.0988640000000000e+07,2.2491400000000000e+06,8.7395000000000000e+06,1.8929300000000000e+08,1.8643145000000000e+08,3.4326200000000000e+07
"CANTERBURY",2.2000000000000000e+01,2.2000000000000000e+01,3.0235817000000000e+08,1.1000880000000000e+07,4.4299000000000000e+06,1.4830000000000000e+05,1.6536000000000000e+06,3.4040381000000000e+08,3.5108000000000000e+06,3.3689301000000000e+08,3.6821031000000000e+07,1.8384910000000000e+06,3.4982540000000000e+07,7.6724960000000000e+06,6.0448000000000000e+05,7.0680160000000000e+06,3.8489733700000000e+08,3.7894356600000000e+08,2.0812960000000000e+07
"CANTON",2.3000000000000000e+01,2.3000000000000000e+01,8.5411282000000000e+08,1.2941928000000000e+08,7.7475200000000000e+06,1.3758000000000000e+05,7.8448800000000000e+06,1.0014955400000000e+09,1.1915000000000000e+06,1.0003040400000000e+09,7.3319053000000000e+07,2.0717000000000000e+05,7.3111883000000000e+07,4.0673260000000000e+07,4.8855000000000000e+05,4.0184710000000000e+07,1.1154878530000000e+09,1.1136006330000000e+09,2.2334600000000000e+06
"CHAPLIN",2.4000000000000000e+01,2.4000000000000000e+01,1.3735720000000000e+08,6.8304000000000000e+06,1.4234000000000000e+06,0.0000000000000000e+00,2.8660000000000000e+05,1.4827850000000000e+08,3.6323000000000000e+05,1.4791527000000000e+08,1.4901660000000000e+07,1.1959000000000000e+05,1.4782070000000000e+07,8.9682300000000000e+06,2.4696800000000000e+05,8.7212620000000000e+06,1.7214839000000000e+08,1.7141860200000000e+08,2.3809000000000000e+06
"CHESHIRE",2.5000000000000000e+01,2.5000000000000000e+01,2.1027898400000000e+09,2.1744836000000000e+08,1.8106553000000000e+08,0.0000000000000000e+00,1.3279990000000000e+07,2.5396062200000000e+09,1.8485204000000000e+07,2.5211210160000000e+09,2.0938931000000000e+08,1.0899655000000000e+07,1.9848965500000000e+08,1.3650214100000000e+08,2.9890437000000000e+07,1.0661170400000000e+08,2.8854976710000000e+09,2.8262223750000000e+09,2.5022500000000000e+07
"CHESTER",2.6000000000000000e+01,2.6000000000000000e+01,3.6443386000000000e+08,5.6557610000000000e+07,1.9658830000000000e+07,1.1204800000000000e+06,3.2314200000000000e+06,4.5800953000000000e+08,1.5219700000000000e+06,4.5648756000000000e+08,2.6251030000000000e+07,3.0155000000000000e+05,2.5949480000000000e+07,2.2790151000000000e+07,5.7815000000000000e+06,1.7008651000000000e+07,5.0705071100000000e+08,4.9944569100000000e+08,1.3007330000000000e+07
"CLINTON",2.7000000000000000e+01,2.7000000000000000e+01,1.3099155300000000e+09,1.5250944800000000e+08,3.1990520000000000e+07,1.2662000000000000e+06,3.7668920000000000e+06,1.5232939000000000e+09,6.8235100000000000e+06,1.5164703900000000e+09,8.4522086000000000e+07,5.6140000000000000e+05,8.3960686000000000e+07,7.1076959000000000e+07,1.4446470000000000e+07,5.6630489000000000e+07,1.6788929450000000e+09,1.6570615650000000e+09,2.3845310000000000e+07
"COLCHESTER",2.8000000000000000e+01,2.8000000000000000e+01,9.7811260000000000e+08,9.2063900000000000e+07,9.6102000000000000e+06,3.0980000000000000e+05,2.3476000000000000e+07,1.1424965110000000e+09,3.7858160000000000e+06,1.1387106950000000e+09,1.0594356000000000e+08,1.4300000000000000e+06,1.0451356000000000e+08,3.4473808000000000e+07,2.7142600000000000e+06,3.1759548000000000e+07,1.2829138790000000e+09,1.2749838030000000e+09,3.8924011000000000e+07
"COLEBROOK",2.9000000000000000e+01,2.9000000000000000e+01,1.5659760000000000e+08,1.2409000000000000e+06,6.6020000000000000e+05,1.1645900000000000e+07,0.0000000000000000e+00,1.7201699000000000e+08,1.1375000000000000e+06,1.7087949000000000e+08,1.1059035000000000e+07,1.1175000000000000e+05,1.0947285000000000e+07,6.6700950000000000e+06,6.4210000000000000e+04,6.6058850000000000e+06,1.8974612000000000e+08,1.8843266000000000e+08,1.8723900000000000e+06
"COLUMBIA",3.0000000000000000e+01,3.0000000000000000e+01,4.4604984000000000e+08,1.4420900000000000e+07,7.8091000000000000e+06,3.3900000000000000e+05,6.3490000000000000e+05,4.8096614000000000e+08,1.1970000000000000e+06,4.7976914000000000e+08,3.9488779000000000e+07,3.2817000000000000e+05,3.9160609000000000e+07,1.0674275000000000e+07,1.6096520000000000e+06,9.0646230000000000e+06,5.3112919400000000e+08,5.2799437200000000e+08,1.1712400000000000e+07
"CORNWALL",3.1000000000000000e+01,3.1000000000000000e+01,3.1281532000000000e+08,1.0330490000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.3230927000000000e+08,3.8200000000000000e+05,4.3192727000000000e+08,1.3104060000000000e+07,6.5170000000000000e+04,1.3038890000000000e+07,7.7642600000000000e+06,4.5193000000000000e+05,7.3123300000000000e+06,4.5317759000000000e+08,4.5227849000000000e+08,1.0916346000000000e+08
"COVENTRY",3.2000000000000000e+01,3.2000000000000000e+01,8.2708978000000000e+08,3.3171300000000000e+07,9.8260000000000000e+05,4.5590000000000000e+05,5.5200000000000000e+04,8.6321448000000000e+08,2.9854000000000000e+06,8.6022908000000000e+08,7.7660290000000000e+07,6.6556000000000000e+05,7.6994730000000000e+07,1.9551263000000000e+07,1.3185300000000000e+06,1.8232733000000000e+07,9.6042603300000000e+08,9.5545654300000000e+08,1.4597000000000000e+06
"CROMWELL",3.3000000000000000e+01,3.3000000000000000e+01,9.5540450000000000e+08,2.1350148000000000e+08,3.3297370000000000e+07,0.0000000000000000e+00,1.3656600000000000e+06,1.2153985100000000e+09,4.8245350000000000e+06,1.2105739750000000e+09,9.5397097000000000e+07,6.1858300000000000e+05,9.4778514000000000e+07,7.3678400000000000e+07,2.4794700000000000e+06,7.1198930000000000e+07,1.3844740070000000e+09,1.3765514190000000e+09,1.1829500000000000e+07
"DANBURY",3.4000000000000000e+01,3.4000000000000000e+01,5.3548305000000000e+09,1.6817482000000000e+09,4.3993400000000000e+08,4.5883000000000000e+06,2.4892790000000000e+08,7.7303436000000000e+09,7.3089961000000000e+08,6.9994439900000000e+09,4.3763329900000000e+08,2.1193810000000000e+06,4.3551391800000000e+08,5.5127138000000000e+08,1.5597811000000000e+08,3.9529327000000000e+08,8.7192482790000000e+09,7.8302511780000000e+09,3.1470000000000000e+05
"DARIEN",3.5000000000000000e+01,3.5000000000000000e+01,7.5159871500000000e+09,6.8215927000000000e+08,3.5795900000000000e+06,6.6612000000000000e+05,3.7886310000000000e+07,8.3897927000000000e+09,1.4487500000000000e+06,8.3883439500000000e+09,2.0121768000000000e+08,7.5000000000000000e+03,2.0121018000000000e+08,1.5012048500000000e+08,9.0890000000000000e+04,1.5002959500000000e+08,8.7411308650000000e+09,8.7395837250000000e+09,1.4951426000000000e+08
"DEEP RIVER",3.6000000000000000e+01,3.6000000000000000e+01,4.1464486000000000e+08,3.0191140000000000e+07,1.3433420000000000e+07,4.5647000000000000e+05,2.2239700000000000e+06,4.7346181000000000e+08,1.1100200000000000e+06,4.7235179000000000e+08,3.0915610000000000e+07,1.8013000000000000e+05,3.0735480000000000e+07,2.3519541000000000e+07,8.2874480000000000e+06,1.5232093000000000e+07,5.2789696100000000e+08,5.1831936300000000e+08,1.2511950000000000e+07
"DERBY",3.7000000000000000e+01,3.7000000000000000e+01,6.3541557000000000e+08,1.3224040000000000e+08,1.4038570000000000e+07,6.0087000000000000e+05,2.3769940000000000e+07,8.1546698000000000e+08,6.8408400000000000e+06,8.0862614000000000e+08,5.8476659000000000e+07,6.6060000000000000e+05,5.7816059000000000e+07,4.2224685000000000e+07,9.7172300000000000e+05,4.1252962000000000e+07,9.1616832400000000e+08,9.0769516100000000e+08,9.4016300000000000e+06
"DURHAM",3.8000000000000000e+01,3.8000000000000000e+01,6.3536126800000000e+08,2.0111230000000000e+07,1.4933450000000000e+07,0.0000000000000000e+00,1.7405500000000000e+06,7.0218567500000000e+08,4.2824800000000000e+06,6.9790319500000000e+08,5.3991593000000000e+07,1.7835000000000000e+05,5.3813243000000000e+07,3.8535916000000000e+07,9.9933740000000000e+06,2.8542542000000000e+07,7.9471318400000000e+08,7.8025898000000000e+08,3.0039177000000000e+07
"EAST GRANBY",3.9000000000000000e+01,4.0000000000000000e+01,3.6647400000000000e+08,1.9983000000000000e+07,7.2496300000000000e+07,3.9830000000000000e+05,0.0000000000000000e+00,4.7753990000000000e+08,1.3895000000000000e+06,4.7615040000000000e+08,4.6944786000000000e+07,7.2831400000000000e+05,4.6216472000000000e+07,6.5427768000000000e+07,2.8138028000000000e+07,3.7289740000000000e+07,5.8991245400000000e+08,5.5965661200000000e+08,1.8188300000000000e+07
"EAST HADDAM",4.0000000000000000e+01,4.1000000000000000e+01,8.1900111000000000e+08,3.7127900000000000e+07,8.2480700000000000e+06,1.9064000000000000e+05,3.4933400000000000e+06,9.0039907000000000e+08,4.1188380000000000e+06,8.9628023200000000e+08,6.5771695000000000e+07,2.8559600000000000e+06,6.2915735000000000e+07,1.7547877000000000e+07,5.8395200000000000e+05,1.6963925000000000e+07,9.8371864200000000e+08,9.7615989200000000e+08,3.2338010000000000e+07
"EAST HAMPTON",4.1000000000000000e+01,4.2000000000000000e+01,9.3611037300000000e+08,4.5349335000000000e+07,1.0454290000000000e+07,3.5018600000000000e+06,4.2221900000000000e+06,1.0348077180000000e+09,3.7364210000000000e+06,1.0310712970000000e+09,9.2970484000000000e+07,8.0210000000000000e+05,9.2168384000000000e+07,2.5543480000000000e+07,1.2715100000000000e+06,2.4271970000000000e+07,1.1533216820000000e+09,1.1475116510000000e+09,3.5169670000000000e+07
"EAST HARTFORD",4.2000000000000000e+01,4.3000000000000000e+01,1.8735380490000000e+09,4.0718753000000000e+08,2.5479909500000000e+08,1.6485400000000000e+06,1.0048305000000000e+08,2.6638417140000000e+09,4.1128430000000000e+07,2.6227132840000000e+09,2.4208463300000000e+08,3.7351300000000000e+06,2.3834950300000000e+08,4.1835119300000000e+08,1.9044434200000000e+08,2.2790685100000000e+08,3.3242775400000000e+09,3.0889696380000000e+09,2.6185450000000000e+07
"EAST HAVEN",4.3000000000000000e+01,4.4000000000000000e+01,1.7295266710000000e+09,2.3153502000000000e+08,5.0546340000000000e+07,0.0000000000000000e+00,4.4975180000000000e+07,2.0755356710000000e+09,2.1588330000000000e+07,2.0539473410000000e+09,1.5037060500000000e+08,3.5643400000000000e+06,1.4680626500000000e+08,5.6828990000000000e+07,3.5941400000000000e+06,5.3234850000000000e+07,2.2827352660000000e+09,2.2539884560000000e+09,1.8952460000000000e+07
"EAST LYME",4.4000000000000000e+01,4.5000000000000000e+01,1.9201024280000000e+09,1.3438165600000000e+08,1.7345160000000000e+07,8.6548000000000000e+05,3.1239978000000000e+07,2.1704794820000000e+09,1.0141930000000000e+07,2.1603375520000000e+09,1.1220639000000000e+08,9.6505000000000000e+05,1.1124134000000000e+08,4.1017499000000000e+07,1.7511200000000000e+06,3.9266379000000000e+07,2.3237033710000000e+09,2.3108452710000000e+09,6.6544780000000000e+07
"EAST WINDSOR",4.5000000000000000e+01,4.7000000000000000e+01,6.0842239500000000e+08,1.8630786500000000e+08,8.1362780000000000e+07,0.0000000000000000e+00,3.1122460000000000e+07,9.2884518500000000e+08,1.3037500000000000e+06,9.2754143500000000e+08,8.6782275000000000e+07,6.7251200000000000e+06,8.0057155000000000e+07,8.6035026000000000e+07,1.6363738000000000e+07,6.9671288000000000e+07,1.1016624860000000e+09,1.0772698780000000e+09,2.1629685000000000e+07
"EASTFORD",4.6000000000000000e+01,3.9000000000000000e+01,1.2668022000000000e+08,7.2544500000000000e+06,3.1361600000000000e+06,0.0000000000000000e+00,0.0000000000000000e+00,1.4374201000000000e+08,6.8241500000000000e+05,1.4305959500000000e+08,1.2102959000000000e+07,2.1026000000000000e+05,1.1892699000000000e+07,9.3697390000000000e+06,3.9932910000000000e+06,5.3764480000000000e+06,1.6521470800000000e+08,1.6032874200000000e+08,6.6711800000000000e+06
"EASTON",4.7000000000000000e+01,4.6000000000000000e+01,1.5364749700000000e+09,3.8324220000000000e+07,2.8260000000000000e+05,0.0000000000000000e+00,0.0000000000000000e+00,1.5884581200000000e+09,3.1137800000000000e+06,1.5853443400000000e+09,6.9341210000000000e+07,2.8658000000000000e+05,6.9054630000000000e+07,1.3719973000000000e+07,6.6864000000000000e+05,1.3051333000000000e+07,1.6715193030000000e+09,1.6674503030000000e+09,1.3376330000000000e+07
"ELLINGTON",4.8000000000000000e+01,4.8000000000000000e+01,9.7726982000000000e+08,7.0634680000000000e+07,1.7724966000000000e+07,0.0000000000000000e+00,5.3357910000000000e+07,1.1265652560000000e+09,5.9676200000000000e+06,1.1205976360000000e+09,1.0470162500000000e+08,1.4507000000000000e+06,1.0325092500000000e+08,5.4885540000000000e+07,1.4759077000000000e+07,4.0126463000000000e+07,1.2861524210000000e+09,1.2639750240000000e+09,7.5778800000000000e+06
"ENFIELD",4.9000000000000000e+01,4.9000000000000000e+01,2.1093853200000000e+09,4.9508040000000000e+08,1.3988196000000000e+08,5.7184400000000000e+06,4.2215170000000000e+07,2.8192006900000000e+09,1.5431780000000000e+07,2.8037689100000000e+09,2.3230646200000000e+08,3.0021800000000000e+06,2.2930428200000000e+08,1.8111343600000000e+08,2.0922030000000000e+07,1.6019140600000000e+08,3.2326205880000000e+09,3.1932645980000000e+09,2.6919400000000000e+07
"ESSEX",5.0000000000000000e+01,5.0000000000000000e+01,8.7074385000000000e+08,1.2086610000000000e+08,3.5542100000000000e+07,0.0000000000000000e+00,0.0000000000000000e+00,1.0275649500000000e+09,2.0022500000000000e+06,1.0255627000000000e+09,5.6689616000000000e+07,1.8725160000000000e+06,5.4817100000000000e+07,3.7710122000000000e+07,8.0215040000000000e+06,2.9688618000000000e+07,1.1219646880000000e+09,1.1100684180000000e+09,4.1290000000000000e+05
"FAIRFIELD",5.1000000000000000e+01,5.1000000000000000e+01,1.0208303942000000e+10,9.7547187800000000e+08,4.8912360000000000e+07,3.6572690000000000e+07,1.4622580000000000e+07,1.1391873200000000e+10,4.3799000000000000e+07,1.1348074200000000e+10,4.2726201700000000e+08,2.6827760000000000e+06,4.2457924100000000e+08,2.3737992600000000e+08,8.3648610000000000e+06,2.2901506500000000e+08,1.2056515143000000e+10,1.2001668506000000e+10,1.0798975000000000e+08
"FARMINGTON",5.2000000000000000e+01,5.2000000000000000e+01,2.4418068370000000e+09,7.4695183600000000e+08,3.7597490000000000e+07,2.3576000000000000e+05,7.8043800000000000e+07,3.3139573430000000e+09,2.1545000000000000e+06,3.3118028430000000e+09,1.9706564000000000e+08,8.7136000000000000e+05,1.9619428000000000e+08,2.4133941000000000e+08,4.3114980000000000e+07,1.9822443000000000e+08,3.7523623930000000e+09,3.7062215530000000e+09,9.3216200000000000e+06
"FRANKLIN",5.3000000000000000e+01,5.3000000000000000e+01,1.2841030000000000e+08,3.2205790000000000e+07,5.1769700000000000e+06,0.0000000000000000e+00,2.6416000000000000e+05,1.8044732000000000e+08,4.5898000000000000e+05,1.7998834000000000e+08,1.6889536000000000e+07,2.2285000000000000e+05,1.6666686000000000e+07,1.3164409000000000e+07,2.1638140000000000e+06,1.1000595000000000e+07,2.1050126500000000e+08,2.0765562100000000e+08,1.4390100000000000e+07
"GLASTONBURY",5.4000000000000000e+01,5.4000000000000000e+01,3.1548012100000000e+09,4.7277670000000000e+08,6.5933900000000000e+07,2.3938000000000000e+06,2.4243300000000000e+07,3.7591906100000000e+09,5.2379500000000000e+06,3.7539526600000000e+09,2.5209395000000000e+08,1.8000500000000000e+06,2.5029390000000000e+08,1.3580415000000000e+08,1.4209170000000000e+07,1.2159498000000000e+08,4.1470887100000000e+09,4.1258415400000000e+09,3.9041700000000000e+07
"GOSHEN",5.5000000000000000e+01,5.5000000000000000e+01,5.0078215000000000e+08,1.9090880000000000e+07,2.6835000000000000e+06,6.2145000000000000e+05,1.9747000000000000e+05,5.7100145000000000e+08,1.5095000000000000e+06,5.6949195000000000e+08,2.6426450000000000e+07,9.1330000000000000e+04,2.6335120000000000e+07,8.3133300000000000e+06,3.8758800000000000e+05,7.9257420000000000e+06,6.0574123000000000e+08,6.0375281200000000e+08,4.7626000000000000e+07
"GRANBY",5.6000000000000000e+01,5.6000000000000000e+01,8.1408682000000000e+08,4.0764990000000000e+07,3.9333000000000000e+06,6.8572000000000000e+05,4.4267300000000000e+06,9.5581009000000000e+08,1.2994000000000000e+06,9.5451069000000000e+08,7.7569390000000000e+07,8.1487000000000000e+05,7.6754520000000000e+07,1.9485310000000000e+07,2.0008200000000000e+06,1.7484490000000000e+07,1.0528647900000000e+09,1.0487497000000000e+09,9.1912530000000000e+07
"GREENWICH",5.7000000000000000e+01,5.7000000000000000e+01,2.7647186350000000e+10,4.2175695800000000e+09,8.9560590000000000e+07,3.1974950000000000e+07,3.7041711000000000e+08,3.3110068530000000e+10,2.5264930000000000e+07,3.3084803600000000e+10,6.5752416000000000e+08,5.5967100000000000e+06,6.5192745000000000e+08,6.6123082000000000e+08,1.5075394000000000e+07,6.4615542600000000e+08,3.4428823510000000e+10,3.4382886476000000e+10,7.5335995000000000e+08
