MUNICIPALITY,TANF RECIPIENTS FY 2008-09
"UNION",0.0000000000000000e+00
"VERNON",3.2300000000000000e+02
"VOLUNTOWN",7.0000000000000000e+00
"WALLINGFORD",1.4000000000000000e+02
"WARREN",2.0000000000000000e+00
"WASHINGTON",3.0000000000000000e+00
"WATERBURY",4.0860000000000000e+03
"WATERFORD",6.5000000000000000e+01
"WATERTOWN",6.9000000000000000e+01
"WEST HARTFORD",2.4900000000000000e+02
"WEST HAVEN",7.3300000000000000e+02
"WESTBROOK",7.0000000000000000e+00
"WESTON",2.0000000000000000e+00
"WESTPORT",1.0000000000000000e+01
"WETHERSFIELD",5.8000000000000000e+01
"WILLINGTON",1.6000000000000000e+01
"WILTON",4.0000000000000000e+00
"WINCHESTER",1.1400000000000000e+02
"WINDHAM",6.7000000000000000e+02
"WINDSOR",1.9700000000000000e+02
"WINDSOR LOCKS",7.8000000000000000e+01
"WOLCOTT",4.1000000000000000e+01
"WOODBRIDGE",6.0000000000000000e+00
"WOODBURY",1.4000000000000000e+01
"WOODSTOCK",8.0000000000000000e+00
