Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2010 Population,Moody's_Bond_Ratings_July2010,area lmt,ACGLFY10,EGL,TANF10 Recipients,empl,ACMR,enrollmt,RPA Identifier
"BLOOMFIELD","JG",2.0100000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",73964394.0000,-16903582.0000,63204943.0000,7162633.0000,720057.0000,0.0000,10027629.0000,"N",9307572.0000,10277496.0000,62139854.0000,74327375.0000,40445920.0000,3275364.0000,73112393.0000,0.0000,0.0000,270000.0000,270000.0000,944982.0000,1299799.0000,944982.0000,0.0000,"N","N",,48689835.0000,48689835.0000,62068048.0000,60677058.0000,9.7758927427522768e-01,63702931.0000,61374489.0000,9.6344843222362875e-01,2.0525000000000000e+04,"Aa2",2.6010000000000002e+01,1755693878.0000,3141560761.0404,1.6000000000000000e+02,1.0386984982672315e-01,3.5530000000000001e+01,2.5294099999999999e+03,"Capital Region COG"
"BOLTON","BP",2.0100000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",18185922.0000,1368494.0000,20408661.0000,678010.0000,71016.0000,956644.0000,1384102.0000,"N",1313086.0000,4500629.0000,13158775.0000,18302638.0000,12866459.0000,961856.0000,17989519.0000,0.0000,0.0000,267828.0000,267828.0000,45291.0000,-280837.0000,45291.0000,0.0000,"N","N",,2738180.0000,2738180.0000,13161954.0000,13000677.0000,9.8774672818336851e-01,13402778.0000,13084122.0000,9.7622463044601648e-01,4.9770000000000000e+03,"Aa3",1.4410000000000000e+01,467097785.0000,669352492.8571,2.3000000000000000e+01,6.9902912621359226e-02,2.8180000000000000e+01,8.3924000000000001e+02,"Capital Region COG"
"BOZRAH","BP",2.0100000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",5399695.0000,1402743.0000,7012438.0000,29773.0000,16826.0000,0.0000,403000.0000,"Y",386174.0000,1990901.0000,4852536.0000,7054131.0000,5370163.0000,315375.0000,7345993.0000,0.0000,0.0000,0.0000,0.0000,-291862.0000,-351822.0000,-291862.0000,0.0000,"N","N",,1080357.0000,1080357.0000,4888956.0000,4752713.0000,9.7213249618118880e-01,5125347.0000,4806017.0000,9.3769592575878280e-01,2.6310000000000000e+03,"A1",1.9960000000000001e+01,243606880.0000,326361925.0304,1.3000000000000000e+01,8.2010582010582006e-02,2.0250000000000000e+01,3.8781000000000000e+02,"Southeastern CT COG"
"BRANFORD","KE",2.0100000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",82529238.0000,33513475.0000,116278722.0000,1549734.0000,362652.0000,2900000.0000,17776116.0000,"N",17413464.0000,7974118.0000,78509702.0000,91623457.0000,50550551.0000,5834651.0000,88349320.0000,397112.0000,397112.0000,3677397.0000,3677397.0000,-6148.0000,853601.0000,-6148.0000,0.0000,"N","Y",,40393993.0000,40393993.0000,78567255.0000,77203372.0000,9.8264056698939017e-01,80946784.0000,77967396.0000,9.6319325051876059e-01,2.8000000000000000e+04,"Aa1",2.1989999999999998e+01,3329767016.0000,5401901383.0385,8.9000000000000000e+01,7.6406285584149400e-02,2.3579999999999998e+01,3.5812700000000000e+03,"South Central Regional COG"
"BRIDGEPORT","BP",2.0100000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",444946155.0000,-297902514.0000,150204817.0000,5282902.0000,30876.0000,4000000.0000,15642227.0000,"N",15611351.0000,185155817.0000,268637066.0000,472291637.0000,205130582.0000,73308701.0000,467902163.0000,500000.0000,500000.0000,0.0000,0.0000,4889474.0000,147651.0000,4889474.0000,0.0000,"N","Y",,666802000.0000,666802000.0000,266479224.0000,260055196.0000,9.7589294991342368e-01,296629871.0000,262654439.0000,8.8546186570670760e-01,1.4435500000000000e+05,"A1",1.6000000000000000e+01,6741299992.0000,9673049562.8571,4.1180000000000000e+03,1.3756792955339686e-01,3.8740000000000002e+01,2.1022700000000001e+04,"Greater Bridgeport RPA"
"BRIDGEWATER","JG",2.0100000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",3854219.0000,4435829.0000,9048128.0000,-33897.0000,0.0000,378519.0000,1263695.0000,"N",1263695.0000,156725.0000,6318428.0000,6689005.0000,4678658.0000,0.0000,6597324.0000,0.0000,0.0000,39172.0000,39172.0000,52509.0000,-206912.0000,52509.0000,0.0000,"N","N",338430.0523,0.0000,338430.0523,6275770.0000,6249242.0000,9.9577294897677893e-01,6413153.0000,6298011.0000,9.8204596085576001e-01,1.7250000000000000e+03,,1.6230000000000000e+01,413262998.0000,529125497.0397,2.0000000000000000e+00,6.4139941690962099e-02,1.5199999999999999e+01,2.3206999999999999e+02,"Housatonic Council of Elected Ofcls"
"BRISTOL","JG",2.0100000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",206272000.0000,27173000.0000,234100000.0000,-4818000.0000,749000.0000,7427000.0000,28072000.0000,"N",27323000.0000,60286000.0000,111833000.0000,178178000.0000,95615000.0000,6862000.0000,146669000.0000,2053000.0000,2053000.0000,33081000.0000,33081000.0000,481000.0000,-1462000.0000,481000.0000,0.0000,"N","N",,54223000.0000,54223000.0000,110520000.0000,108912000.0000,9.8545059717698158e-01,113693000.0000,110790000.0000,9.7446632598312999e-01,6.0510000000000000e+04,"Aa2",2.6510000000000002e+01,4244138020.0000,6164454137.1428,8.7500000000000000e+02,9.8397188651752801e-02,2.5989999999999998e+01,8.7836399999999994e+03,"Central CT RPA"
"BROOKFIELD","JG",2.0100000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",30004931.0000,-1685745.0000,28319186.0000,-632061.0000,0.0000,0.0000,4327757.0000,"Y",4327757.0000,4975659.0000,48180787.0000,54098721.0000,36461447.0000,4600044.0000,53001704.0000,2316104.0000,2316104.0000,1193301.0000,1193301.0000,2219820.0000,-266040.0000,2219820.0000,0.0000,"N","N",,31189470.0000,31189470.0000,47990624.0000,47501986.0000,9.8981805279297885e-01,48631471.0000,47887854.0000,9.8470914030134926e-01,1.6470000000000000e+04,"Aa1",1.9800000000000001e+01,2565298098.0000,3320021555.7870,1.4000000000000000e+01,7.3366616019101369e-02,1.8859999999999999e+01,2.9880100000000002e+03,"Housatonic Council of Elected Ofcls"
"BROOKLYN","BP",2.0100000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",21765259.0000,3483970.0000,25607692.0000,1086610.0000,99819.0000,0.0000,1602818.0000,"Y",1502999.0000,8629250.0000,11430102.0000,21428948.0000,16296384.0000,3318167.0000,21151675.0000,56.0000,56.0000,99959.0000,99959.0000,177370.0000,446743.0000,177370.0000,0.0000,"N","N",,5431106.0000,5431106.0000,11415926.0000,11068644.0000,9.6957916510671149e-01,12135458.0000,11389288.0000,9.3851323946735266e-01,8.2280000000000000e+03,"A1",2.8969999999999999e+01,510468050.0000,747131497.1293,5.7000000000000000e+01,1.0175438596491228e-01,2.2289999999999999e+01,1.3129300000000001e+03,"Northeastern CT COG"
"BURLINGTON","BP",2.0100000000000000e+03,2.0000000000000000e+01,2.0000000000000000e+01,"H",10669076.0000,6925914.0000,17774905.0000,-430051.0000,0.0000,196472.0000,3607870.0000,"N",3607870.0000,4683862.0000,23735110.0000,29566991.0000,21646385.0000,691294.0000,29183629.0000,0.0000,0.0000,95270.0000,95270.0000,288092.0000,198232.0000,288092.0000,0.0000,"N","N",15914065.5896,4646030.0000,20560095.5896,23432886.0000,23137930.0000,9.8741273268687435e-01,24161111.0000,23525134.0000,9.7367765911095727e-01,9.3290000000000000e+03,"Aa2",2.9789999999999999e+01,909935083.0000,1300774610.0000,8.0000000000000000e+00,7.0851688693098380e-02,2.5820000000000000e+01,1.8742000000000000e+03,"Central CT RPA"
"CANAAN","BP",2.0100000000000000e+03,2.1000000000000000e+01,2.1000000000000000e+01,"L",3707923.0000,1393119.0000,5274763.0000,-32140.0000,0.0000,111173.0000,866472.0000,"N",866472.0000,584938.0000,3527435.0000,4235861.0000,2787951.0000,97585.0000,4127686.0000,0.0000,0.0000,96728.0000,96728.0000,11447.0000,73848.0000,11447.0000,0.0000,"N","N",318053.7239,668945.0000,986998.7239,3502634.0000,3461317.0000,9.8820402017453146e-01,3568603.0000,3492771.0000,9.7875022803040856e-01,1.2380000000000000e+03,,3.2939999999999998e+01,186286162.0000,280134345.3784,4.0000000000000000e+00,8.0724876441515644e-02,1.9000000000000000e+01,1.3609999999999999e+02,"Northwestern CT COG"
"CANTERBURY","JG",2.0100000000000000e+03,2.2000000000000000e+01,2.2000000000000000e+01,"W",8772022.0000,3655807.0000,12439103.0000,200653.0000,26031.0000,447332.0000,2509394.0000,"N",2483363.0000,6034454.0000,7871144.0000,14068360.0000,11317718.0000,197372.0000,13742249.0000,0.0000,0.0000,284861.0000,284861.0000,41250.0000,244606.0000,41250.0000,0.0000,"N","N",,705000.0000,705000.0000,7811809.0000,7613257.0000,9.7458309592566839e-01,8134303.0000,7784383.0000,9.5698217782150485e-01,5.1440000000000000e+03,"A1",3.9890000000000001e+01,355207211.0000,522399471.7963,3.2000000000000000e+01,8.8949605343047966e-02,2.1949999999999999e+01,7.7025999999999999e+02,"Northeastern CT COG"
"CANTON","JG",2.0100000000000000e+03,2.3000000000000000e+01,2.3000000000000000e+01,"H",63191805.0000,10579419.0000,73804276.0000,1718863.0000,553498.0000,0.0000,5066957.0000,"N",4513459.0000,5376525.0000,28397389.0000,34670508.0000,23152901.0000,2435439.0000,33633334.0000,0.0000,0.0000,928109.0000,928109.0000,109065.0000,647189.0000,109065.0000,0.0000,"N","N",,14390407.0000,14390407.0000,28383440.0000,28060523.0000,9.8862304921461241e-01,29101208.0000,28251639.0000,9.7080640088892534e-01,1.0337000000000000e+04,"Aa2",2.4559999999999999e+01,1111056805.0000,1587849750.0000,1.2000000000000000e+01,7.3973532405836442e-02,2.5640000000000001e+01,1.7933199999999999e+03,"Capital Region COG"
"CHAPLIN","BP",2.0100000000000000e+03,2.4000000000000000e+01,2.4000000000000000e+01,"W",5245967.0000,841041.0000,6136289.0000,108843.0000,59103.0000,40000.0000,697215.0000,"N",638112.0000,2722137.0000,5173448.0000,7950049.0000,5945322.0000,323728.0000,7679833.0000,0.0000,0.0000,231825.0000,231825.0000,38391.0000,-154066.0000,38391.0000,0.0000,"N","N",0.0000,445858.0000,445858.0000,5085070.0000,5004852.0000,9.8422479926530015e-01,5220653.0000,5109883.0000,9.7878234772546657e-01,2.3110000000000000e+03,,1.9440000000000001e+01,169562995.0000,242380057.1429,1.5000000000000000e+01,7.4766355140186910e-02,2.9850000000000001e+01,2.9044999999999999e+02,"Windham Region COG"
"CHESHIRE","JG",2.0100000000000000e+03,2.5000000000000000e+01,2.5000000000000000e+01,"NH",98447456.0000,16328991.0000,114955067.0000,6605972.0000,1559700.0000,600000.0000,10634630.0000,"N",9074930.0000,20817817.0000,73420198.0000,96519779.0000,63459814.0000,10715041.0000,96899377.0000,1453185.0000,10807756.0000,1034959.0000,10263073.0000,38628.0000,-1520149.0000,165085.0000,0.0000,"N","Y",,63484576.0000,63484576.0000,73095410.0000,72847492.0000,9.9660829592446365e-01,73348199.0000,73066750.0000,9.9616283693618712e-01,2.9260000000000000e+04,"Aa1",3.2909999999999997e+01,2825089390.0000,4074658490.0000,3.2000000000000000e+01,7.0660212451257226e-02,2.6050000000000001e+01,4.9433699999999999e+03,"COG of Central Naugatuck Valley"
"CHESTER","JG",2.0100000000000000e+03,2.6000000000000000e+01,2.6000000000000000e+01,"M",8230615.0000,2997054.0000,11511440.0000,997784.0000,118021.0000,0.0000,1517603.0000,"N",1399582.0000,1304347.0000,10538182.0000,12271177.0000,8781327.0000,472693.0000,12121077.0000,133602.0000,133602.0000,511115.0000,511115.0000,-227413.0000,-100703.0000,-227413.0000,0.0000,"N","N",4637407.1466,2247671.0000,6885078.1466,10517242.0000,10371436.0000,9.8613647950669958e-01,10775223.0000,10498470.0000,9.7431579838301263e-01,3.9910000000000000e+03,"Aa3",1.6030000000000001e+01,498965018.0000,721675968.5714,6.0000000000000000e+00,6.4080209241499569e-02,2.1109999999999999e+01,5.7403999999999996e+02,"CT River Estuary RPA"
"CLINTON","KE",2.0100000000000000e+03,2.7000000000000000e+01,2.7000000000000000e+01,"M",40365771.0000,3858722.0000,44224493.0000,459157.0000,505232.0000,250000.0000,6934181.0000,"N",6428949.0000,10091741.0000,36324724.0000,47289809.0000,31113649.0000,1812756.0000,44826157.0000,0.0000,0.0000,1283400.0000,1283400.0000,1180252.0000,-935548.0000,1180252.0000,0.0000,"N","N",,14983720.0000,14983720.0000,36123678.0000,35878022.0000,9.9319958504779049e-01,36681885.0000,36130443.0000,9.8496691214205589e-01,1.3254000000000000e+04,"Aa2",1.6280000000000001e+01,1653337779.0000,2295657543.6252,4.6000000000000000e+01,7.6104442519490167e-02,2.1879999999999999e+01,2.0692199999999998e+03,"CT River Estuary RPA"
"COLCHESTER","JG",2.0100000000000000e+03,2.8000000000000000e+01,2.8000000000000000e+01,"NL",61620441.0000,5672904.0000,67293345.0000,-2209960.0000,61985.0000,340824.0000,3377284.0000,"N",3315299.0000,16597510.0000,30313052.0000,48331453.0000,35813628.0000,3869073.0000,48643210.0000,0.0000,0.0000,216977.0000,216977.0000,-528734.0000,-912841.0000,-528734.0000,0.0000,"N","N",,21000000.0000,21000000.0000,30066131.0000,29550407.0000,9.8284701147613573e-01,31315886.0000,29993435.0000,9.5777060243481538e-01,1.6092000000000000e+04,"Aa2",4.9060000000000002e+01,1268302215.0000,1752979788.6252,7.6000000000000000e+01,7.9889807162534437e-02,2.3649999999999999e+01,3.2373000000000002e+03,"Southeastern CT COG"
"COLEBROOK","BP",2.0100000000000000e+03,2.9000000000000000e+01,2.9000000000000000e+01,"L",4303263.0000,1789208.0000,6097775.0000,-63367.0000,0.0000,3785.0000,1153425.0000,"N",1153425.0000,833648.0000,4506416.0000,5416184.0000,3754811.0000,181649.0000,5349388.0000,6553.0000,6553.0000,80500.0000,80500.0000,-7151.0000,-51296.0000,-7151.0000,0.0000,"N","N",764256.7336,812035.0000,1576291.7336,4475346.0000,4404160.0000,9.8409374381332748e-01,4612496.0000,4472119.0000,9.6956593566693605e-01,1.4860000000000000e+03,"A1",3.1489999999999998e+01,185599495.0000,218508765.0978,0.0000000000000000e+00,4.5679012345679011e-02,2.4100000000000001e+01,2.5502000000000001e+02,"Litchfield Hills Cncl of Elected Ofcls"
"COLUMBIA","BP",2.0100000000000000e+03,3.0000000000000000e+01,3.0000000000000000e+01,"T",9633346.0000,4528699.0000,14185022.0000,1085382.0000,94393.0000,0.0000,2047649.0000,"N",1953256.0000,4203162.0000,12125389.0000,16621588.0000,11517470.0000,919133.0000,15457273.0000,86665.0000,86665.0000,329076.0000,329076.0000,921904.0000,-119107.0000,921904.0000,0.0000,"N","N",,3675000.0000,3675000.0000,12132579.0000,11939877.0000,9.8411697958035138e-01,12429704.0000,12048173.0000,9.6930490058331231e-01,5.4950000000000000e+03,"Aa2",2.1350000000000001e+01,526321858.0000,725100730.9210,1.8000000000000000e+01,7.7390470099136549e-02,2.3010000000000002e+01,7.8583000000000004e+02,"Windham Region COG"
"CORNWALL","BP",2.0100000000000000e+03,3.1000000000000000e+01,3.1000000000000000e+01,"L",5832510.0000,2301019.0000,8378929.0000,253036.0000,0.0000,100000.0000,1061606.0000,"N",1061606.0000,667164.0000,5479863.0000,6229055.0000,4082378.0000,376082.0000,5981198.0000,0.0000,0.0000,323500.0000,323500.0000,-75643.0000,-310434.0000,-75643.0000,0.0000,"N","N",453227.1324,2070000.0000,2523227.1324,5457759.0000,5380995.0000,9.8593488646164107e-01,5629651.0000,5408538.0000,9.6072349777988009e-01,1.4190000000000000e+03,"Aa2",4.6000000000000000e+01,452781370.0000,582171240.6236,0.0000000000000000e+00,6.7632850241545889e-02,1.2050000000000001e+01,1.8219000000000000e+02,"Northwestern CT COG"
"COVENTRY","JG",2.0100000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",94010187.0000,12267159.0000,106279815.0000,718804.0000,368090.0000,0.0000,3037517.0000,"N",2669427.0000,10890396.0000,24691171.0000,36136150.0000,25029076.0000,3086120.0000,36418782.0000,691036.0000,11737605.0000,162227.0000,11073342.0000,246177.0000,166847.0000,381631.0000,0.0000,"N","N",,21291722.0000,21291722.0000,24607427.0000,24099128.0000,9.7934367538710976e-01,25456967.0000,24513875.0000,9.6295348145755144e-01,1.2453000000000000e+04,"Aa3",3.7719999999999999e+01,858198386.0000,1390215935.0579,2.9000000000000000e+01,8.0998613037447986e-02,2.8539999999999999e+01,1.9878599999999999e+03,"Windham Region COG"
"CROMWELL","JG",2.0100000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",77588875.0000,16499040.0000,94097910.0000,-940161.0000,24160.0000,226111.0000,4221184.0000,"N",4197024.0000,6033567.0000,35645513.0000,42576360.0000,26596305.0000,3775777.0000,42786330.0000,350092.0000,350092.0000,1180906.0000,1180906.0000,-1040784.0000,-477405.0000,-1040784.0000,0.0000,"N","N",,33980204.0000,33980204.0000,35490099.0000,35217856.0000,9.9232904365806363e-01,36381903.0000,35466615.0000,9.7484221757174161e-01,1.4038000000000000e+04,,1.2390000000000001e+01,1359256874.0000,1881859721.7212,4.3000000000000000e+01,7.9860244571999001e-02,2.6160000000000000e+01,2.0503299999999999e+03,"Midstate RPA"
