Entity,Initials,DBplans,DCplans,CSplans,Comment,NOPEBO
"MORRIS","VR",0,0,0,,0
"NEW BRITAIN","VR",1,0,0,,0
"NEW CANAAN","VR",0,0,0,,0
"NEWTOWN","VR",0,0,0,,0
"NORFOLK","VR",0,0,0,,0
"NORTH STONINGTON","VR",0,0,0,,0
"NORWALK","VR",1,0,0,,0
"NORWICH","VR",1,0,0,,0
"STONINGTON","VR",0,0,0,,0
"OLD SAYBROOK","VR",0,0,0,,0
"ORANGE","VR",0,0,0,,0
"PLAINVILLE","VR",0,0,0,,0
"PROSPECT","VR",0,0,0,,0
"REDDING","VR",0,0,0,,0
"SHARON","VR",0,0,0,,0
"SHERMAN","VR",0,0,0,,0
"SOUTHBURY","VR",0,0,0,,0
"SOUTHINGTON","VR",0,0,0,,0
"KILLINGLY","VR",0,0,0,,0
"MONROE","VR",0,0,0,,0
"NAUGATUCK","VR",0,0,0,,0
"SOMERS","VR",0,0,0,,0
"STAFFORD","VR",0,0,0,,0
"STERLING","VR",0,0,0,,0
"THOMASTON","VR",0,0,0,,0
"TRUMBULL","VR",0,0,0,,0
"WESTPORT","VR",1,0,0,,0
"WINDSOR","VR",0,0,0,,0
"OXFORD","VR",0,0,0,,0
"SEYMOUR","VR",0,0,0,,0
"SHELTON","VR",0,0,0,,0
"TORRINGTON","                     VR",0,0,0,,0
"UNION","VR",0,0,0,,0
"VERNON","VR",0,0,0,,0
"WALLINGFORD","VR",1,0,0,,0
"WATERFORD","VR",0,0,0,,0
"WATERBURY","VR",1,0,0,,0
"WEST HARTFORD","VR",1,0,0,,0
"WETHERSFIELD","VR",0,0,0,,0
"WILLINGTON","VR",0,0,0,,0
"WINDHAM","VR",0,0,0,,0
"WOLCOTT","VR",0,0,0,,0
"WOODSTOCK","VR",0,0,0,,0
"CANAAN","VR",0,0,0,,0
"ANDOVER","VR",0,0,0,,0
"ANSONIA","VR",0,0,0,,0
"ASHFORD","VR",0,0,0,,0
"BEACON FALLS","VR",0,0,0,,0
"BERLIN","VR",0,0,0,,0
"BOZRAH","VR",0,0,0,,0
"BRANFORD","VR",0,0,0,,0
"BROOKLYN","VR",0,0,0,,0
"BRIDGEPORT","VR",1,0,0,,0
"BURLINGTON","VR",0,0,0,,0
"CANTERBURY","VR",0,0,0,,0
"CHAPLIN","VR",0,0,0,,0
"CLINTON","VR",0,0,0,,0
"COLUMBIA","VR",0,0,0,,0
"COLEBROOK","VR",0,0,0,,0
"DEEP RIVER","VR",0,0,0,,0
"DERBY","VR",0,0,0,,0
"EAST HAVEN","VR",0,0,0,,0
"EAST WINDSOR","VR",0,0,0,,0
"EASTON","VR",0,0,0,,0
"FAIRFIELD","VR",3,0,0,,0
"FRANKLIN","VR",0,0,0,,0
"SALISBURY","VR",0,0,0,,0
"VOLUNTOWN","VR",0,0,0,,0
"SPRAGUE","VR",0,0,0,,0
"GUILFORD","VR",0,0,0,,0
"HAMPTON","VR",0,0,0,,0
"HARTLAND","VR",0,0,0,,0
"HARWINTON","VR",0,0,0,,0
"HEBRON","VR",0,0,0,,0
"KILLINGWORTH","VR",0,0,0,,0
"LEBANON","VR",0,0,0,,0
"LISBON","VR",0,0,0,,0
"MANCHESTER","VR",1,0,0,,0
"MILFORD","VR",2,0,0,,0
"MONTVILLE","VR",0,0,0,,0
"NEW FAIRFIELD","VR",0,0,0,,0
"NEW HARTFORD","VR",0,0,0,,0
"NEW HAVEN","VR",1,0,0,,0
"NEW LONDON","VR",0,0,0,,0
"NEW MILFORD","VR",0,0,0,,0
"NORTH CANAAN","VR",0,0,0,,0
"NEWINGTON","VR",0,0,0,,0
"NORTH HAVEN","VR",0,0,0,,0
"OLD LYME","VR",0,0,0,,0
"PLAINFIELD","VR",0,0,0,,0
"PLYMOUTH","VR",0,0,0,,0
"POMFRET","VR",0,0,0,,0
"PORTLAND","VR",0,0,0,,0
"PRESTON","VR",0,0,0,,0
"PUTNAM","VR",0,0,0,,0
"RIDGEFIELD","VR",0,0,0,,0
"ROCKY HILL","VR",0,0,0,,0
"ROXBURY","VR",0,0,0,,0
"SALEM","VR",0,0,0,,0
"SCOTLAND","VR",0,0,0,,0
"SIMSBURY","VR",1,0,0,,0
"SOUTH WINDSOR","VR",0,0,0,,0
"STAMFORD","VR",1,0,0,,0
"STRATFORD","VR",1,0,0,,0
"SUFFIELD","VR",0,0,0,,0
"WARREN","VR",0,0,0,,0
"WASHINGTON","VR",0,0,0,,0
"WATERTOWN","VR",0,0,0,,0
"WESTBROOK","VR",0,0,0,,0
"WESTON","VR",0,0,0,,0
"WILTON","VR",0,0,0,,0
"WINDSOR LOCKS","VR",0,0,0,,0
"WOODBRIDGE","VR",0,0,0,,0
"WOODBURY","VR",0,0,0,,0
"WEST HAVEN","VR",1,0,0,,0
"WINCHESTER","VR",0,0,0,,0
"DURHAM","VR",0,0,0,,0
"MIDDLEFIELD","VR",0,0,0,,0
"NORTH BRANFORD","VR",0,0,0,,0
