Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2009 Population,Moody's_Bond_Ratings_July2009,area lmt,ACGLFY09,EGL,TANF09 Recipients,empl,ACMR,enrollmt,RPA Identifier
"COVENTRY","JG",2.0090000000000000e+03,3.2000000000000000e+01,3.2000000000000000e+01,"T",93201542.0000,12357291.0000,105561011.0000,1636508.0000,358753.0000,0.0000,2655886.0000,"N",2297133.0000,12365688.0000,24121508.0000,37018495.0000,25815014.0000,4322786.0000,37652013.0000,1017384.0000,1017384.0000,217019.0000,217019.0000,166847.0000,192869.0000,166847.0000,0.0000,"N","N",,23660470.0000,23660470.0000,24067778.0000,23522202.0000,9.7733168388041469e-01,24779275.0000,23891650.0000,9.6417873404286447e-01,1.2307000000000000e+04,"A2",3.7719999999999999e+01,855277981.0000,1446495746.3011,3.7000000000000000e+01,7.1040534893439200e-02,2.8090000000000000e+01,2.0245899999999999e+03,"Windham Region COG"
"CROMWELL","JG",2.0090000000000000e+03,3.3000000000000000e+01,3.3000000000000000e+01,"M",79977008.0000,15051100.0000,95038071.0000,-1257057.0000,408567.0000,282750.0000,5261968.0000,"N",4853401.0000,6776783.0000,35388867.0000,43321453.0000,26760282.0000,3742537.0000,42828472.0000,243514.0000,243514.0000,1213900.0000,1213900.0000,-477405.0000,1178993.0000,-477405.0000,0.0000,"N","N",,29711850.0000,29711850.0000,35341525.0000,35011177.0000,9.9065269537746314e-01,36049650.0000,35176600.0000,9.7578201175323476e-01,1.3669000000000000e+04,,1.2390000000000001e+01,1346830367.0000,1929219407.1429,3.0000000000000000e+01,7.0507201001878517e-02,2.6210000000000001e+01,2.0097700000000000e+03,"Midstate RPA"
"DANBURY","JG",2.0090000000000000e+03,3.4000000000000000e+01,3.4000000000000000e+01,"F",139376277.0000,11197507.0000,152087495.0000,-2662542.0000,1390780.0000,4000000.0000,26310395.0000,"N",24919615.0000,43575163.0000,152551430.0000,206365345.0000,121411300.0000,12307636.0000,208343359.0000,0.0000,2051354.0000,744048.0000,744048.0000,-2722062.0000,-1338570.0000,-670708.0000,0.0000,"N","N",,129059690.0000,129059690.0000,153576576.0000,150822994.0000,9.8207029957485181e-01,159288817.0000,152533222.0000,9.5758901894537896e-01,7.9743000000000000e+04,"Aa2",4.2109999999999999e+01,7146429508.0000,10347419782.8571,4.2100000000000000e+02,7.5345220538946239e-02,2.1350000000000001e+01,1.0132820000000000e+04,"Housatonic Council of Elected Ofcls"
"DARIEN","JG",2.0090000000000000e+03,3.5000000000000000e+01,3.5000000000000000e+01,"F",93213796.0000,24183198.0000,117396994.0000,777538.0000,81204.0000,1100000.0000,16080147.0000,"N",15998943.0000,10883824.0000,96223301.0000,110720620.0000,74728039.0000,10663660.0000,108105979.0000,1290808.0000,31634696.0000,5523121.0000,35757009.0000,-1617672.0000,540871.0000,-1507672.0000,0.0000,"N","N",,89722365.0000,89722365.0000,96009567.0000,95204297.0000,9.9161260668949791e-01,97070964.0000,95588642.0000,9.8472950160461992e-01,2.0292000000000000e+04,"Aaa",1.2859999999999999e+01,6606255385.0000,12460762951.7636,2.0000000000000000e+00,6.2173913043478260e-02,1.4550000000000001e+01,4.7146199999999999e+03,"South Western RPA"
"ANDOVER","BP",2.0090000000000000e+03,1.0000000000000000e+00,1.0000000000000000e+00,"T",6036378.0000,2018999.0000,8183589.0000,242056.0000,3153.0000,0.0000,1356589.0000,"N",1353436.0000,2720551.0000,7532534.0000,10404226.0000,8056856.0000,228951.0000,9920656.0000,0.0000,0.0000,146004.0000,146004.0000,337566.0000,361476.0000,337566.0000,0.0000,"N","N",4839675.0789,1246131.0000,6085806.0789,7513565.0000,7425329.0000,9.8825644018518510e-01,7637065.0000,7486684.0000,9.8030905851920858e-01,3.2100000000000000e+03,"A3",1.5449999999999999e+01,272966484.0000,416011483.3687,1.0000000000000000e+00,6.4676616915422883e-02,2.7600000000000001e+01,6.4175999999999999e+02,"Capital Region COG"
"ANSONIA","BP",2.0090000000000000e+03,2.0000000000000000e+00,2.0000000000000000e+00,"NH",29652009.0000,21485077.0000,51145315.0000,-1673881.0000,1959754.0000,421985.0000,8429778.0000,"N",6470024.0000,26302924.0000,28644425.0000,58164892.0000,31520992.0000,8934708.0000,57203675.0000,0.0000,0.0000,0.0000,0.0000,961217.0000,635266.0000,961217.0000,0.0000,"N","N",,28480079.0000,28480079.0000,29438985.0000,28314350.0000,9.6179776578574294e-01,31694257.0000,29197850.0000,9.2123472085179348e-01,1.8514000000000000e+04,"A3",6.0300000000000002e+00,1168865537.0000,1675945517.1429,3.0700000000000000e+02,9.8595757394681807e-02,2.5250000000000000e+01,2.8547800000000002e+03,"Valley COG"
"ASHFORD","BP",2.0090000000000000e+03,3.0000000000000000e+00,3.0000000000000000e+00,"W",11140877.0000,3905986.0000,15140863.0000,410675.0000,1175.0000,121500.0000,1609243.0000,"N",1608068.0000,5027254.0000,8454058.0000,14017178.0000,10816718.0000,553740.0000,13579707.0000,0.0000,0.0000,1056854.0000,1056854.0000,-619383.0000,-960924.0000,-619383.0000,0.0000,"N","N",3261428.7800,4067500.0000,7328928.7800,8383943.0000,8240025.0000,9.8283409131001964e-01,8778726.0000,8356115.0000,9.5185964341522900e-01,4.4700000000000000e+03,"A2",3.8799999999999997e+01,339484754.0000,485430028.5714,1.3000000000000000e+01,6.5942300487073807e-02,2.4650000000000002e+01,6.9588999999999999e+02,"Windham Region COG"
"AVON","JG",2.0090000000000000e+03,4.0000000000000000e+00,4.0000000000000000e+00,"H",106328362.0000,9407746.0000,115736108.0000,2120317.0000,0.0000,463942.0000,5253522.0000,"N",5253522.0000,5662776.0000,60443984.0000,68440549.0000,44212809.0000,4738189.0000,66917304.0000,1350678.0000,1350678.0000,2296625.0000,2296625.0000,577298.0000,898794.0000,577298.0000,0.0000,"N ","N",,12185000.0000,12185000.0000,60286570.0000,60173614.0000,9.9812634887007168e-01,60322014.0000,60194717.0000,9.9788970905381247e-01,1.7357000000000000e+04,"Aaa",2.3120000000000001e+01,2264825190.0000,3973388770.3001,9.0000000000000000e+00,5.5788455336988070e-02,2.6530000000000001e+01,3.5738099999999999e+03,"Capital Region COG"
"BARKHAMSTED","JG",2.0090000000000000e+03,5.0000000000000000e+00,5.0000000000000000e+00,"L",4367695.0000,3106941.0000,7474636.0000,-55921.0000,750.0000,283243.0000,1483270.0000,"N",1482520.0000,2144721.0000,8126597.0000,10474015.0000,8371378.0000,222600.0000,10467390.0000,0.0000,0.0000,12862.0000,12862.0000,-6237.0000,-192608.0000,-6237.0000,0.0000,"N","N",2011670.8382,0.0000,2011670.8382,8149315.0000,7979125.0000,9.7911603613309828e-01,8495699.0000,8063583.0000,9.4913708689538079e-01,3.6920000000000000e+03,,3.6219999999999999e+01,303105980.0000,532382023.9074,9.0000000000000000e+00,8.0879120879120886e-02,2.6699999999999999e+01,6.7646000000000004e+02,"Litchfield Hills Cncl of Elected Ofcls"
"BEACON FALLS","BP",2.0090000000000000e+03,6.0000000000000000e+00,6.0000000000000000e+00,"NH",6235592.0000,2452761.0000,9280169.0000,174885.0000,0.0000,100000.0000,1377454.0000,"N",1377454.0000,4475600.0000,12873095.0000,17773041.0000,12655947.0000,485626.0000,17866375.0000,28947.0000,81668.0000,0.0000,0.0000,-64387.0000,177868.0000,-11666.0000,0.0000,"N","N",10295078.4318,3035553.0000,13330631.4318,12704408.0000,12246268.0000,9.6393850071565712e-01,13187350.0000,12516154.0000,9.4910304193033479e-01,5.8660000000000000e+03,,9.7699999999999996e+00,512746659.0000,738923413.8439,1.0000000000000000e+01,8.7651761918862897e-02,2.4730000000000000e+01,1.0250699999999999e+03,"COG of Central Naugatuck Valley"
"BERLIN","BP",2.0090000000000000e+03,7.0000000000000000e+00,7.0000000000000000e+00,"H",56546105.0000,18996702.0000,75695153.0000,-1977206.0000,0.0000,2000000.0000,9199724.0000,"N",9199724.0000,11668616.0000,50700632.0000,67564026.0000,41651157.0000,2223136.0000,67323986.0000,223014.0000,223014.0000,782362.0000,782362.0000,-319308.0000,348107.0000,-319308.0000,0.0000,"N","N",,6330000.0000,6330000.0000,50792134.0000,49989264.0000,9.8419302484908389e-01,51858572.0000,50350675.0000,9.7092289776124185e-01,2.0467000000000000e+04,"Aa3",2.6449999999999999e+01,2225689058.0000,3229787265.7143,2.8000000000000000e+01,7.0553985786454318e-02,2.2690000000000001e+01,3.2667300000000000e+03,"Central CT RPA"
"BETHANY","JG",2.0090000000000000e+03,8.0000000000000000e+00,8.0000000000000000e+00,"NH",17375833.0000,4730339.0000,22314204.0000,217582.0000,97632.0000,0.0000,2601844.0000,"N",2504212.0000,3183514.0000,16231805.0000,20485162.0000,15045677.0000,1063135.0000,20058750.0000,0.0000,0.0000,546700.0000,546700.0000,-120288.0000,-364126.0000,-120288.0000,0.0000,"N","N",11986408.8050,7291265.0000,19277673.8050,16232993.0000,16071367.0000,9.9004336415348670e-01,16539447.0000,16230521.0000,9.8132186644450692e-01,5.5820000000000000e+03,"A1",2.0960000000000001e+01,538043291.0000,975832913.6886,9.0000000000000000e+00,6.4333017975402085e-02,3.0030000000000001e+01,1.0745500000000000e+03,"South Central Regional COG"
"BETHEL","JG",2.0090000000000000e+03,9.0000000000000000e+00,9.0000000000000000e+00,"F",59884103.0000,7163856.0000,67376212.0000,5141603.0000,837905.0000,0.0000,6989927.0000,"N",6152022.0000,12650886.0000,48953127.0000,62695305.0000,39762463.0000,4042927.0000,61580957.0000,0.0000,0.0000,981500.0000,981500.0000,132848.0000,605187.0000,132848.0000,0.0000,"Y","N",,40663511.0000,40663511.0000,48529233.0000,47822441.0000,9.8543574756271135e-01,49321293.0000,48346645.0000,9.8023879868680652e-01,1.8534000000000000e+04,"Aa3",1.6789999999999999e+01,2292601340.0000,3294934128.5714,4.0000000000000000e+01,7.4413863404689098e-02,2.1280000000000001e+01,3.1021700000000001e+03,"Housatonic Council of Elected Ofcls"
"BETHLEHEM","JG",2.0090000000000000e+03,1.0000000000000000e+01,1.0000000000000000e+01,"L",4535372.0000,2232546.0000,6767918.0000,560593.0000,43063.0000,0.0000,750769.0000,"N",707706.0000,1601535.0000,8192774.0000,10115801.0000,6984949.0000,169599.0000,9385525.0000,250000.0000,250000.0000,713248.0000,713248.0000,267028.0000,-8665.0000,267028.0000,0.0000,"N","N",1509167.1831,160937.0000,1670104.1831,8197003.0000,8002186.0000,9.7623314277181550e-01,8535699.0000,8112696.0000,9.5044307443362286e-01,3.5770000000000000e+03,,1.9359999999999999e+01,360227466.0000,663369368.1703,4.0000000000000000e+00,7.5481006413418844e-02,2.2820000000000000e+01,4.9864999999999998e+02,"COG of Central Naugatuck Valley"
"BLOOMFIELD","JG",2.0090000000000000e+03,1.1000000000000000e+01,1.1000000000000000e+01,"H",64565774.0000,-46379269.0000,56042310.0000,14759334.0000,998384.0000,0.0000,9082647.0000,"N",8084263.0000,11248024.0000,60941705.0000,74559314.0000,40453351.0000,2616591.0000,71609515.0000,0.0000,0.0000,1650000.0000,1650000.0000,1299799.0000,2513917.0000,1299799.0000,0.0000,"N","Y",,30755110.0000,30755110.0000,60370599.0000,59337787.0000,9.8289213595511948e-01,62313559.0000,60181763.0000,9.6578921130150819e-01,2.0696000000000000e+04,"Aa3",2.6010000000000002e+01,1723152319.0000,3190940420.3303,1.5100000000000000e+02,8.9946576007770757e-02,3.5289999999999999e+01,2.5565000000000000e+03,"Capital Region COG"
"BOLTON","BP",2.0090000000000000e+03,1.2000000000000000e+01,1.2000000000000000e+01,"T",16315352.0000,2319563.0000,19685975.0000,-63983.0000,11000.0000,898694.0000,1338811.0000,"N",1327811.0000,4585666.0000,12697498.0000,17934070.0000,12675559.0000,957918.0000,17958931.0000,0.0000,78509.0000,334485.0000,334485.0000,-359346.0000,188514.0000,-280837.0000,0.0000,"N","N",,3578509.0000,3578509.0000,12648028.0000,12502894.0000,9.8852516771784504e-01,12853245.0000,12607442.0000,9.8087619118751723e-01,5.1550000000000000e+03,"A2",1.4410000000000000e+01,402561715.0000,677157698.4609,2.3000000000000000e+01,6.5568475452196379e-02,3.1470000000000002e+01,8.4382000000000005e+02,"Capital Region COG"
"BOZRAH","BP",2.0090000000000000e+03,1.3000000000000000e+01,1.3000000000000000e+01,"NL",4880980.0000,1830321.0000,6921301.0000,220763.0000,264584.0000,0.0000,699653.0000,"N",435069.0000,2255572.0000,4659142.0000,7143311.0000,5320790.0000,328925.0000,7588499.0000,93366.0000,93366.0000,0.0000,0.0000,-351822.0000,9007.0000,-351822.0000,0.0000,"N","N",,1469767.0000,1469767.0000,4657752.0000,4556112.0000,9.7817831434563285e-01,4862520.0000,4611075.0000,9.4828915870783048e-01,2.4660000000000000e+03,"Baa1",1.9960000000000001e+01,239248220.0000,355780957.1429,1.3000000000000000e+01,7.2233267064280987e-02,1.9500000000000000e+01,3.9167000000000002e+02,"Southeastern CT COG"
"BRANFORD","BP",2.0090000000000000e+03,1.4000000000000000e+01,1.4000000000000000e+01,"NH",81370828.0000,33131747.0000,114728988.0000,3482338.0000,383388.0000,3000000.0000,17782264.0000,"N",17398876.0000,8247139.0000,77396463.0000,91190384.0000,49602424.0000,5840978.0000,84909147.0000,383250.0000,11778250.0000,5200269.0000,17205886.0000,1464218.0000,313659.0000,853601.0000,0.0000,"N","N",,44939524.0000,44939524.0000,77010522.0000,76057882.0000,9.8762974233572909e-01,79148486.0000,76746405.0000,9.6965095453626238e-01,2.9014000000000000e+04,"Aa2",2.1989999999999998e+01,3312770155.0000,6088562615.2942,7.3000000000000000e+01,6.9054441260744989e-02,2.3210000000000001e+01,3.5368699999999999e+03,"South Central Regional COG"
"BRIDGEPORT","BP",2.0090000000000000e+03,1.5000000000000000e+01,1.5000000000000000e+01,"F",444537656.0000,-302776953.0000,144921915.0000,24354903.0000,0.0000,0.0000,10752753.0000,"N",10752753.0000,214369477.0000,248743175.0000,484340418.0000,222867074.0000,72556592.0000,486192767.0000,2000000.0000,2000000.0000,0.0000,0.0000,147651.0000,-18636004.0000,147651.0000,0.0000,"N","Y",,658700000.0000,658700000.0000,250083276.0000,243126091.0000,9.7218052677780820e-01,282051375.0000,244761031.0000,8.6778882393322843e-01,1.3729800000000000e+05,"Baa1",1.6000000000000000e+01,5540265609.0000,11436680102.9920,3.6320000000000000e+03,1.2250529121266755e-01,4.4579999999999998e+01,2.1288930000000000e+04,"Greater Bridgeport RPA"
"BRIDGEWATER","JG",2.0090000000000000e+03,1.6000000000000000e+01,1.6000000000000000e+01,"L",3798753.0000,4544128.0000,9082025.0000,-340841.0000,0.0000,0.0000,1211186.0000,"N",1211186.0000,203694.0000,6360804.0000,6808881.0000,4818496.0000,0.0000,6873488.0000,0.0000,0.0000,142305.0000,142305.0000,-206912.0000,148980.0000,-206912.0000,0.0000,"N","N",422100.0161,0.0000,422100.0161,6345365.0000,6302844.0000,9.9329888824362345e-01,6494624.0000,6343259.0000,9.7669380090363966e-01,1.8890000000000000e+03,,1.6230000000000000e+01,409591640.0000,549555901.2686,0.0000000000000000e+00,6.2196307094266275e-02,1.5500000000000000e+01,2.3237000000000000e+02,"Housatonic Council of Elected Ofcls"
"BRISTOL","JG",2.0090000000000000e+03,1.7000000000000000e+01,1.7000000000000000e+01,"H",201557000.0000,36804000.0000,238918000.0000,-8142000.0000,998000.0000,8948000.0000,27591000.0000,"N",26593000.0000,62075000.0000,111135000.0000,179565000.0000,96364000.0000,6944000.0000,151100000.0000,1868000.0000,1868000.0000,31795000.0000,31795000.0000,-1462000.0000,1332000.0000,-1462000.0000,0.0000,"N","N",,58793000.0000,58793000.0000,110104000.0000,108099000.0000,9.8178994405289544e-01,113891000.0000,109967000.0000,9.6554600451308703e-01,6.1027000000000000e+04,"Aa3",2.6510000000000002e+01,4235435720.0000,6232297421.4286,8.0300000000000000e+02,9.0979337187339013e-02,2.5990000000000002e+01,8.9137800000000007e+03,"Central CT RPA"
"BROOKFIELD","JG",2.0090000000000000e+03,1.8000000000000000e+01,1.8000000000000000e+01,"F",26101476.0000,6386396.0000,32487872.0000,1357968.0000,0.0000,550000.0000,2427650.0000,"N",2427650.0000,5740069.0000,47580407.0000,54741559.0000,37278699.0000,5222219.0000,54026825.0000,111994.0000,111994.0000,1092768.0000,1092768.0000,-266040.0000,-1389715.0000,-266040.0000,0.0000,"N","N",,36368913.0000,36368913.0000,47616362.0000,47042795.0000,9.8795441365302117e-01,48319027.0000,47367857.0000,9.8031479400444055e-01,1.6680000000000000e+04,"Aa2",1.9800000000000001e+01,2571524950.0000,3640789552.1974,1.0000000000000000e+01,7.0652173913043473e-02,1.8650000000000002e+01,3.0296900000000001e+03,"Housatonic Council of Elected Ofcls"
"BROOKLYN","BP",2.0090000000000000e+03,1.9000000000000000e+01,1.9000000000000000e+01,"W",20414434.0000,3681001.0000,24454435.0000,703350.0000,204819.0000,0.0000,1626836.0000,"N",1422017.0000,8623293.0000,11353425.0000,21342125.0000,16034423.0000,5798167.0000,20776863.0000,0.0000,0.0000,118519.0000,118519.0000,446743.0000,176141.0000,446743.0000,0.0000,"N","N",,6424464.0000,6424464.0000,11313479.0000,10896784.0000,9.6316827034372010e-01,11875416.0000,11129971.0000,9.3722788321689110e-01,7.9770000000000000e+03,"A3",2.8969999999999999e+01,504412121.0000,844298372.7143,6.5000000000000000e+01,9.5739348370927319e-02,2.2289999999999999e+01,1.3145200000000000e+03,"Northeastern CT COG"
