Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2006 Population,Moody's_Bond_Ratings_July_2006,area lmt,ACGLFY06,EGL,TANF06 Recipients,empl,ACMR,enrollmt,RPA Identifier
"EASTON","IT",2.0060000000000000e+03,4.7000000000000000e+01,4.6000000000000000e+01,"F",28586505.0000,6906861.0000,35493366.0000,3904190.0000,1427019.0000,30773434.0000,33486183.0000,19822526.0000,4120120.0000,32425947.0000,49721.0000,49721.0000,431178.0000,431178.0000,678779.0000,744594.0000,678779.0000,0.0000,11878124.1666,39545000.0000,51423124.1666,0.0000,237200.0000,4458765.0000,"N",4458765.0000,"N","Y",30696461.0000,30508854.0000,9.9388831826574409e-01,31153382.0000,30640277.0000,9.8352971757608854e-01,7.4510000000000000e+03,"Aa1",2.7420000000000002e+01,1227477433.0000,2253935474.3177,2.0000000000000000e+00,3.0278453636117870e-02,2.5120000000000001e+01,1.5854700000000000e+03,"Greater Bridgeport RPA"
"ELLINGTON","VR",2.0060000000000000e+03,4.8000000000000000e+01,4.8000000000000000e+01,"T",41445460.0000,3919827.0000,46032802.0000,1946090.0000,11311136.0000,25912105.0000,39446006.0000,25724476.0000,2789830.0000,38752992.0000,179293.0000,514293.0000,81375.0000,81375.0000,790932.0000,-608649.0000,1125932.0000,0.0000,,20540028.0000,20540028.0000,144646.0000,3247960.0000,4584950.0000,"N",4440304.0000,"Y","N",25889404.0000,25610207.0000,9.8921578109716235e-01,26798051.0000,25939159.0000,9.6794946020514705e-01,1.4370000000000000e+04,"A2",3.4049999999999997e+01,759736991.0000,1643041583.2579,3.1000000000000000e+01,3.7762237762237763e-02,3.3600000000000001e+01,2.5214400000000001e+03,"Capital Region COG"
"ENFIELD","VR",2.0060000000000000e+03,4.9000000000000000e+01,4.9000000000000000e+01,"H",94180000.0000,31799000.0000,126039000.0000,3889000.0000,35418000.0000,72430000.0000,112401000.0000,69351000.0000,4088000.0000,106786000.0000,351000.0000,351000.0000,6556000.0000,6556000.0000,-590000.0000,1317000.0000,-590000.0000,0.0000,,25538000.0000,25538000.0000,1678000.0000,6143000.0000,18423000.0000,"N",16745000.0000,"N","N",72224000.0000,70454000.0000,9.7549291094373058e-01,74337000.0000,71373000.0000,9.6012752734170059e-01,4.5297000000000000e+04,"Aa3",3.3380000000000003e+01,2042092641.0000,4320230220.5925,3.0800000000000000e+02,4.7794273146385825e-02,3.5200000000000003e+01,6.7155299999999997e+03,"Capital Region COG"
"ESSEX","VR",2.0060000000000000e+03,5.0000000000000000e+01,5.0000000000000000e+01,"M",7675157.0000,2310806.0000,9985963.0000,1126385.0000,1146079.0000,15444453.0000,17511000.0000,11641664.0000,636822.0000,16993352.0000,0.0000,0.0000,177059.0000,177059.0000,340589.0000,169295.0000,340589.0000,0.0000,8461271.5393,1443209.0000,9904480.5393,392919.0000,0.0000,1933218.0000,"Y",1540299.0000,"N","N",15418114.0000,15265257.0000,9.9008588209945780e-01,15656149.0000,15335822.0000,9.7953986002560400e-01,6.7760000000000000e+03,"Aa3",1.0359999999999999e+01,998276104.0000,1665980477.6135,9.0000000000000000e+00,3.2119914346895075e-02,1.5500000000000000e+01,9.7784000000000003e+02,"CT River Estuary RPA"
"FAIRFIELD","IT",2.0060000000000000e+03,5.1000000000000000e+01,5.1000000000000000e+01,"F",208403000.0000,3176000.0000,217305000.0000,5024000.0000,13949000.0000,181083000.0000,210456000.0000,123157000.0000,18822000.0000,206807000.0000,286000.0000,286000.0000,3263000.0000,3263000.0000,672000.0000,-671000.0000,672000.0000,0.0000,,200014000.0000,200014000.0000,2937000.0000,1800000.0000,11530000.0000,"N",8593000.0000,"N","Y",178723000.0000,177192000.0000,9.9143367109997038e-01,181213000.0000,179105000.0000,9.8836728049312139e-01,5.7930000000000000e+04,"Aaa",3.0030000000000001e+01,7281558913.0000,17057834889.1456,8.9000000000000000e+01,3.4742555166749983e-02,2.4800000000000001e+01,9.2725900000000001e+03,"Greater Bridgeport RPA"
"FARMINGTON","VR",2.0060000000000000e+03,5.2000000000000000e+01,5.2000000000000000e+01,"H",22036765.0000,17644550.0000,39681315.0000,3655798.0000,9052902.0000,64640537.0000,79987581.0000,47620106.0000,7897578.0000,77094182.0000,0.0000,123061.0000,2264220.0000,2264220.0000,629179.0000,209729.0000,752240.0000,0.0000,,78520953.0000,78520953.0000,535942.0000,475000.0000,8297885.0000,"N",7761943.0000,"N","N",64842370.0000,64677020.0000,9.9744996982682776e-01,65087463.0000,64863572.0000,9.9656015168389644e-01,2.5040000000000000e+04,"Aa1",2.8060000000000002e+01,2658644832.0000,4876994774.7454,4.9000000000000000e+01,3.4189380809831416e-02,2.4270000000000000e+01,4.2595400000000000e+03,"Capital Region COG"
"FRANKLIN","IT",2.0060000000000000e+03,5.3000000000000000e+01,5.3000000000000000e+01,"NL",7312971.0000,1627934.0000,8949402.0000,649959.0000,1477245.0000,4130215.0000,5827869.0000,3921149.0000,544088.0000,5573890.0000,0.0000,0.0000,41932.0000,41932.0000,212047.0000,-53847.0000,212047.0000,0.0000,,2789250.0000,2789250.0000,284188.0000,0.0000,805078.0000,"N",520890.0000,"N","N",3887182.0000,3807622.0000,9.7953273090892068e-01,4107638.0000,3936027.0000,9.5822148884590119e-01,1.8960000000000000e+03,"A3",1.9510000000000002e+01,165607120.0000,283925401.9416,3.0000000000000000e+00,3.8983050847457630e-02,2.3129999999999999e+01,3.1251999999999998e+02,"Southeastern CT COG"
"GLASTONBURY","VR",2.0060000000000000e+03,5.4000000000000000e+01,5.4000000000000000e+01,"H",127585226.0000,43726770.0000,171311996.0000,17465501.0000,7530085.0000,96403227.0000,117694221.0000,68918999.0000,8648220.0000,113714690.0000,1322991.0000,1726741.0000,2025000.0000,2025000.0000,3277522.0000,1395650.0000,3681272.0000,0.0000,,91403750.0000,91403750.0000,269842.0000,839776.0000,14202302.0000,"N",13932460.0000,"N","N",95985200.0000,95552148.0000,9.9548834612002679e-01,96335151.0000,95902099.0000,9.9550473533798689e-01,3.3077000000000000e+04,"Aa1",5.1370000000000005e+01,2970600790.0000,5663902305.7311,4.9000000000000000e+01,3.0695121268134208e-02,3.2100000000000001e+01,6.8785699999999997e+03,"Capital Region COG"
"GOSHEN","VR",2.0060000000000000e+03,5.5000000000000000e+01,5.5000000000000000e+01,"L",2460414.0000,2077520.0000,4687253.0000,872014.0000,310073.0000,7985497.0000,8728787.0000,5747150.0000,139912.0000,7919320.0000,97300.0000,97300.0000,402761.0000,402761.0000,504006.0000,361703.0000,504006.0000,0.0000,3275262.1509,170000.0000,3445262.1509,0.0000,0.0000,1486578.0000,"N",1486578.0000,"N","N",7961386.0000,7873940.0000,9.8901623410798067e-01,8150461.0000,7985109.0000,9.7971255859024420e-01,3.1540000000000000e+03,"A2",4.3660000000000004e+01,371944700.0000,779534263.1583,4.0000000000000000e+00,3.0721003134796237e-02,2.1199999999999999e+01,4.2426999999999998e+02,"Litchfield Hills Cncl of Elected Ofcls"
"GRANBY","VR",2.0060000000000000e+03,5.6000000000000000e+01,5.6000000000000000e+01,"H",31341248.0000,7080035.0000,39640438.0000,6696175.0000,7174090.0000,26932665.0000,35340792.0000,23874807.0000,2914312.0000,34099735.0000,966166.0000,966166.0000,1869276.0000,1869276.0000,337947.0000,400165.0000,337947.0000,0.0000,,30112091.0000,30112091.0000,147275.0000,970000.0000,4104770.0000,"N",3957495.0000,"N","N",26833005.0000,26609098.0000,9.9165553764850412e-01,27137255.0000,26838952.0000,9.8900762070445225e-01,1.1187000000000000e+04,"A1",4.0689999999999998e+01,800151750.0000,1439837448.8131,1.3000000000000000e+01,3.1497334840898075e-02,3.3410000000000004e+01,2.2330300000000002e+03,"Capital Region COG"
"GREENWICH","VR",2.0060000000000000e+03,5.7000000000000000e+01,5.7000000000000000e+01,"F",258858851.0000,15799896.0000,274658747.0000,18820000.0000,29076453.0000,235217755.0000,303488535.0000,119282550.0000,4714897.0000,275793442.0000,6027250.0000,6027250.0000,56558136.0000,56558136.0000,-22835793.0000,-3532279.0000,-22835793.0000,0.0000,,45265368.0000,45265368.0000,6908929.0000,468824.0000,-7827075.0000,"N",-14736004.0000,"N","N",235162591.0000,234323631.0000,9.9643242576792324e-01,237456491.0000,235596877.0000,9.9216861163841585e-01,6.2193000000000000e+04,"Aaa",4.7829999999999998e+01,20386058255.0000,49811503913.5083,7.9000000000000000e+01,2.9842756774841085e-02,1.1510000000000000e+01,8.9032199999999993e+03,"South Western RPA"
"GRISWOLD","VR",2.0060000000000000e+03,5.8000000000000000e+01,5.8000000000000000e+01,"NL",20496304.0000,12482306.0000,33683310.0000,1243169.0000,13530549.0000,13865610.0000,30815880.0000,22502878.0000,2109206.0000,28358648.0000,257000.0000,257000.0000,1318273.0000,1318273.0000,1395959.0000,1177474.0000,1395959.0000,0.0000,,6945000.0000,6945000.0000,704700.0000,1000000.0000,6232463.0000,"Y",5527763.0000,"N","N",13620267.0000,13237894.0000,9.7192617442815177e-01,14421911.0000,13608135.0000,9.4357363597653598e-01,1.1264000000000000e+04,,3.4950000000000003e+01,475689230.0000,1137763769.9347,1.1600000000000000e+02,4.5608108108108107e-02,2.8250000000000000e+01,2.0130599999999999e+03,"Southeastern CT COG"
"GROTON","VR",2.0060000000000000e+03,5.9000000000000000e+01,5.9000000000000000e+01,"NL",64716282.0000,37764291.0000,102810066.0000,5656326.0000,43164855.0000,60183373.0000,107274564.0000,70109396.0000,3435072.0000,106974732.0000,722797.0000,722797.0000,2725212.0000,2725212.0000,-1702583.0000,1028238.0000,-1702583.0000,0.0000,,17425000.0000,17425000.0000,1569628.0000,2298358.0000,13025817.0000,"N",11456189.0000,"N","N",59700131.0000,58714353.0000,9.8348784192785099e-01,61340299.0000,59664817.0000,9.7268546082568008e-01,3.9520000000000000e+04,"Aa3",3.1300000000000001e+01,2593019347.0000,6125214279.3373,3.7300000000000000e+02,4.3166982522636344e-02,2.2949999999999999e+01,5.4821599999999999e+03,"Southeastern CT COG"
"GROTON (City of)","IT",2.0060000000000000e+03,6.0000000000000000e+01,5.0100000000000000e+02,,15174745.0000,5840295.0000,24456901.0000,1282312.0000,1142519.0000,4762481.0000,11645575.0000,0.0000,967768.0000,12914165.0000,2143508.0000,2143508.0000,403615.0000,403615.0000,471303.0000,229323.0000,471303.0000,0.0000,,5990500.0000,5990500.0000,52003.0000,574897.0000,3435046.0000,"N",3383043.0000,"N","N",4680780.0000,4647368.0000,9.9286187344844234e-01,4784064.0000,4728394.0000,9.8836344998729109e-01,,"Aa3",,,,,,,,
"GUILFORD","IT",2.0060000000000000e+03,6.1000000000000000e+01,6.0000000000000000e+01,"NH",-3886452.0000,3731895.0000,-154557.0000,196175.0000,7766216.0000,55143746.0000,66183652.0000,43476194.0000,4345039.0000,65252424.0000,269130.0000,269130.0000,658204.0000,658204.0000,542154.0000,-534076.0000,542154.0000,0.0000,,29013284.0000,29013284.0000,1271379.0000,1381460.0000,5921962.0000,"N",4650583.0000,"N","Y",51680979.0000,51558285.0000,9.9762593506597463e-01,51992153.0000,51741790.0000,9.9518460026073552e-01,2.2376000000000000e+04,"Aa2",4.7050000000000004e+01,2477428502.0000,4639365468.1866,3.6000000000000000e+01,2.9326659888949714e-02,2.2270000000000000e+01,3.8632600000000002e+03,"South Central Regional COG"
"HADDAM","VR",2.0060000000000000e+03,6.2000000000000000e+01,6.1000000000000000e+01,"M",9184834.0000,5284889.0000,14469723.0000,979547.0000,1440779.0000,19223289.0000,21527153.0000,15658930.0000,153725.0000,21503293.0000,34478.0000,434978.0000,375259.0000,375259.0000,-316921.0000,-13324.0000,83579.0000,0.0000,13418395.8442,1025500.0000,14443895.8442,614442.0000,0.0000,2913320.0000,"N",2298878.0000,"N","N",19021004.0000,18714843.0000,9.8390405679952542e-01,20111685.0000,18958897.0000,9.4268068538265193e-01,7.7430000000000000e+03,,4.4030000000000001e+01,611938149.0000,1228128152.5891,1.8000000000000000e+01,2.9901031796167613e-02,3.1000000000000000e+01,1.3461100000000001e+03,"Midstate RPA"
"HAMDEN","VR",2.0060000000000000e+03,6.3000000000000000e+01,6.2000000000000000e+01,"NH",131648223.0000,-94388083.0000,37271704.0000,9575666.0000,32379764.0000,115259322.0000,156056997.0000,83929730.0000,9737536.0000,155775358.0000,4282895.0000,4589884.0000,7500.0000,7500.0000,4557034.0000,2656751.0000,4864023.0000,0.0000,,101883607.0000,101883607.0000,4602707.0000,0.0000,11325868.0000,"N",6723161.0000,"N","Y",114236358.0000,112980599.0000,9.8900736138664369e-01,116103295.0000,114050659.0000,9.8232060511288677e-01,5.7944000000000000e+04,"A2",3.2780000000000001e+01,2622381908.0000,6577296743.0743,4.9300000000000000e+02,4.3286335485571224e-02,4.3240000000000002e+01,7.1068299999999999e+03,"South Central Regional COG"
"HAMPTON","IT",2.0060000000000000e+03,6.4000000000000000e+01,6.3000000000000000e+01,"W",3320229.0000,2104428.0000,6789834.0000,243683.0000,1739759.0000,3474776.0000,5509480.0000,3825972.0000,295087.0000,5547107.0000,0.0000,343995.0000,161384.0000,161384.0000,-199011.0000,423927.0000,144984.0000,0.0000,0.0000,983484.0000,983484.0000,0.0000,0.0000,1030849.0000,"N",1030849.0000,"N","N",3365792.0000,3326300.0000,9.8826665462393393e-01,3490077.0000,3385325.0000,9.6998576249177315e-01,2.0850000000000000e+03,,2.5000000000000000e+01,114981023.0000,197339535.5083,3.0000000000000000e+00,4.7698744769874478e-02,2.9250000000000000e+01,2.6850999999999999e+02,"Windham Region COG"
"HARTFORD","VR",2.0060000000000000e+03,6.5000000000000000e+01,6.4000000000000000e+01,"H",737253000.0000,53952000.0000,846714000.0000,128381000.0000,242112000.0000,208241000.0000,476061000.0000,270874000.0000,24921000.0000,451342000.0000,7039000.0000,9039000.0000,31462000.0000,31462000.0000,296000.0000,9447000.0000,2296000.0000,0.0000,,256745000.0000,256745000.0000,246000.0000,0.0000,33215000.0000,"N",32969000.0000,"N","Y",210325000.0000,198964000.0000,9.4598359681445388e-01,228853000.0000,204580000.0000,8.9393628224231270e-01,1.2469900000000000e+05,"A2",1.7309999999999999e+01,3457004010.0000,8511588775.3340,7.6750000000000000e+03,8.9753490993341539e-02,6.0820000000000000e+01,2.2945520000000000e+04,"Capital Region COG"
"HARTLAND","IT",2.0060000000000000e+03,6.6000000000000000e+01,6.5000000000000000e+01,"H",5468745.0000,1212816.0000,6682740.0000,55348.0000,1843494.0000,3974284.0000,5993775.0000,4454604.0000,411124.0000,6281214.0000,95.0000,420095.0000,112845.0000,112845.0000,-400189.0000,18903.0000,19811.0000,0.0000,,2368262.0000,2368262.0000,0.0000,110614.0000,525977.0000,"N",525977.0000,"N","N",3941231.0000,3910376.0000,9.9217122772047617e-01,3997722.0000,3951304.0000,9.8838888747141496e-01,2.0900000000000000e+03,"A3",3.3020000000000003e+01,146968710.0000,273982423.1690,3.0000000000000000e+00,3.3726812816188868e-02,2.6500000000000000e+01,3.5931999999999999e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HARWINTON","IT",2.0060000000000000e+03,6.7000000000000000e+01,6.6000000000000000e+01,"L",6115377.0000,3784661.0000,9900038.0000,890897.0000,2644881.0000,10964098.0000,14211834.0000,9330901.0000,147250.0000,13398705.0000,1916.0000,1916.0000,248388.0000,248388.0000,566657.0000,-728545.0000,566657.0000,0.0000,5030491.6226,250000.0000,5280491.6226,0.0000,0.0000,1959947.0000,"N",1959947.0000,"N","N",11039683.0000,10896225.0000,9.8700524281358437e-01,11476168.0000,11024143.0000,9.6061185231864854e-01,5.6000000000000000e+03,"A2",3.0740000000000002e+01,450986510.0000,807520240.8498,1.2000000000000000e+01,3.7524053880692750e-02,2.4199999999999999e+01,9.4235000000000002e+02,"Litchfield Hills Cncl of Elected Ofcls"
"HEBRON","IT",2.0060000000000000e+03,6.8000000000000000e+01,6.7000000000000000e+01,"T",25359165.0000,7659232.0000,33028557.0000,1204119.0000,6694079.0000,20016475.0000,27950816.0000,20721940.0000,1572477.0000,27225749.0000,1205000.0000,1205000.0000,1455660.0000,1455660.0000,474407.0000,-100125.0000,474407.0000,0.0000,13464286.1389,11121240.0000,24585526.1389,53327.0000,0.0000,3773407.0000,"N",3720080.0000,"N","N",19799850.0000,19655726.0000,9.9272095495672952e-01,20159915.0000,19825386.0000,9.8340622963936108e-01,9.2380000000000000e+03,"A1",3.6890000000000001e+01,586707392.0000,1152513922.5570,6.0000000000000000e+00,3.4597594819611471e-02,3.3240000000000002e+01,2.0763299999999999e+03,"Capital Region COG"
"KENT","VR",2.0060000000000000e+03,6.9000000000000000e+01,6.8000000000000000e+01,"L",7216477.0000,4688156.0000,11978900.0000,619753.0000,534733.0000,7758507.0000,9201463.0000,5516979.0000,711274.0000,8670783.0000,554078.0000,554078.0000,967000.0000,967000.0000,117758.0000,-305414.0000,117758.0000,0.0000,962423.3897,6489792.0000,7452215.3897,1281908.0000,620951.0000,3202916.0000,"N",1921008.0000,"N","N",7717303.0000,7629041.0000,9.8856310293894123e-01,7951637.0000,7728722.0000,9.7196614986322938e-01,2.9700000000000000e+03,"A1",4.8469999999999999e+01,457420704.0000,899132220.5606,5.0000000000000000e+00,3.0379746835443037e-02,1.6980000000000000e+01,3.9555000000000001e+02,"Northwestern CT COG"
"KILLINGLY","VR",2.0060000000000000e+03,7.0000000000000000e+01,6.9000000000000000e+01,"W",30146737.0000,13806958.0000,44478743.0000,425371.0000,18004567.0000,21388285.0000,42624363.0000,30790394.0000,2537091.0000,40400842.0000,703270.0000,703270.0000,1087878.0000,1087878.0000,1838913.0000,717097.0000,1838913.0000,0.0000,,12552695.0000,12552695.0000,322539.0000,466903.0000,6053377.0000,"Y",5730838.0000,"N","N",21007294.0000,20536540.0000,9.7759092627541655e-01,21662839.0000,20956010.0000,9.6737135885097980e-01,1.7679000000000000e+04,"A1",4.8520000000000003e+01,786915672.0000,1785899238.2224,2.5400000000000000e+02,5.6567180260747765e-02,2.5000000000000000e+01,2.7540700000000002e+03,"Northeastern CT COG"
