MUNICIPALITY,Numbered,October 2017 Labor Force,October 2017 Unemployed,October 2017 Unemp Rate,October 2016 Labor Force,October 2016 Unemployed,October 2016 Unemp Rate
"WASHINGTON",1.5100000000000000e+02,2.0330000000000000e+03,5.8000000000000000e+01,2.8529267092966059e-02,2.0280000000000000e+03,5.2000000000000000e+01,2.5641025641025640e-02
"WATERBURY",1.5200000000000000e+02,5.0740000000000000e+04,3.5900000000000000e+03,7.0752857705951910e-02,5.0356000000000000e+04,3.5210000000000000e+03,6.9922154261657002e-02
"WATERFORD",1.5300000000000000e+02,1.0188000000000000e+04,3.7400000000000000e+02,3.6709854731056146e-02,1.0146000000000000e+04,3.8400000000000000e+02,3.7847427557658193e-02
"WATERTOWN",1.5400000000000000e+02,1.2943000000000000e+04,4.4200000000000000e+02,3.4149733446650697e-02,1.2932000000000000e+04,4.6200000000000000e+02,3.5725332508506034e-02
"WEST HARTFORD",1.5500000000000000e+02,3.4276000000000000e+04,1.1160000000000000e+03,3.2559225113782238e-02,3.4141000000000000e+04,1.0510000000000000e+03,3.0784101227263407e-02
"WEST HAVEN",1.5600000000000000e+02,3.0449000000000000e+04,1.5970000000000000e+03,5.2448356267857731e-02,3.0003000000000000e+04,1.4900000000000000e+03,4.9661700496617008e-02
"WESTBROOK",1.5700000000000000e+02,3.6190000000000000e+03,1.3500000000000000e+02,3.7303122409505389e-02,3.6010000000000000e+03,1.3600000000000000e+02,3.7767286864759789e-02
"WESTON",1.5800000000000000e+02,4.3840000000000000e+03,1.7800000000000000e+02,4.0602189781021897e-02,4.3340000000000000e+03,1.4100000000000000e+02,3.2533456391324413e-02
"WESTPORT",1.5900000000000000e+02,1.2579000000000000e+04,4.5400000000000000e+02,3.6091899197074492e-02,1.2502000000000000e+04,3.8800000000000000e+02,3.1035034394496879e-02
"WETHERSFIELD",1.6000000000000000e+02,1.4152000000000000e+04,5.9200000000000000e+02,4.1831543244771056e-02,1.4028000000000000e+04,5.2700000000000000e+02,3.7567721699458226e-02
"WILLINGTON",1.6100000000000000e+02,3.6390000000000000e+03,1.1600000000000000e+02,3.1876889255289913e-02,3.6250000000000000e+03,1.0500000000000000e+02,2.8965517241379312e-02
"WILTON",1.6200000000000000e+02,8.5600000000000000e+03,3.0200000000000000e+02,3.5280373831775701e-02,8.4860000000000000e+03,2.9100000000000000e+02,3.4291774687720954e-02
"WINCHESTER",1.6300000000000000e+02,6.0830000000000000e+03,2.5800000000000000e+02,4.2413282919612036e-02,6.0840000000000000e+03,2.4700000000000000e+02,4.0598290598290600e-02
"WINDHAM",1.6400000000000000e+02,1.2379000000000000e+04,6.3300000000000000e+02,5.1134986670975040e-02,1.2390000000000000e+04,5.9100000000000000e+02,4.7699757869249397e-02
"WINDSOR",1.6500000000000000e+02,1.6674000000000000e+04,7.6800000000000000e+02,4.6059733717164444e-02,1.6545000000000000e+04,6.9200000000000000e+02,4.1825324871562403e-02
"WINDSOR LOCKS",1.6600000000000000e+02,7.6190000000000000e+03,3.0600000000000000e+02,4.0162751017193861e-02,7.4650000000000000e+03,3.1000000000000000e+02,4.1527126590756865e-02
"WOLCOTT",1.6700000000000000e+02,9.8380000000000000e+03,3.4500000000000000e+02,3.5068103273022976e-02,9.7950000000000000e+03,3.5300000000000000e+02,3.6038795303726390e-02
"WOODBRIDGE",1.6800000000000000e+02,4.8530000000000000e+03,1.4700000000000000e+02,3.0290541932825057e-02,4.8220000000000000e+03,1.3900000000000000e+02,2.8826213189547905e-02
"WOODBURY",1.6900000000000000e+02,5.4360000000000000e+03,1.6600000000000000e+02,3.0537159676232523e-02,5.4670000000000000e+03,1.7000000000000000e+02,3.1095664898481801e-02
"WOODSTOCK",1.7000000000000000e+02,4.2320000000000000e+03,1.5900000000000000e+02,3.7570888468809072e-02,4.1820000000000000e+03,1.4900000000000000e+02,3.5628885700621712e-02
