Sort ID,Municipality,numbered,PER CAPITA INCOME - 2016 ESTIMATE,Population_Range,PercentOfState
44,"KILLINGWORTH",7.1000000000000000e+01,47236.0000,"0 to 10,000",1.1836816518819224e+00
45,"NORFOLK",9.9000000000000000e+01,47128.0000,"0 to 10,000",1.1809752919360497e+00
46,"BROOKFIELD",1.8000000000000000e+01,46949.0000,"10,000 to 30,000",1.1764897509146495e+00
47,"SOUTH WINDSOR",1.3100000000000000e+02,46758.0000,"10,000 to 30,000",1.1717035032325966e+00
48,"TRUMBULL",1.4500000000000000e+02,46622.0000,"30,000 to 70,000",1.1682954944118680e+00
49,"TOLLAND",1.4300000000000000e+02,46614.0000,"10,000 to 30,000",1.1680950233047662e+00
50,"HADDAM",6.2000000000000000e+01,46509.0000,"0 to 10,000",1.1654638400240565e+00
51,"MIDDLEFIELD",8.3000000000000000e+01,46405.0000,"0 to 10,000",1.1628577156317346e+00
52,"WOODBURY",1.6900000000000000e+02,46321.0000,"0 to 10,000",1.1607527690071668e+00
53,"SALEM",1.2200000000000000e+02,45930.0000,"0 to 10,000",1.1509547436475718e+00
54,"OLD SAYBROOK",1.0700000000000000e+02,45791.0000,"0 to 10,000",1.1474715581616799e+00
55,"MIDDLEBURY",8.2000000000000000e+01,45674.0000,"0 to 10,000",1.1445396682203177e+00
56,"LITCHFIELD",7.5000000000000000e+01,45524.0000,"0 to 10,000",1.1407808349621611e+00
57,"NORWALK",1.0400000000000000e+02,45387.0000,"70,000 & Up",1.1373477672530448e+00
58,"NEW FAIRFIELD",9.2000000000000000e+01,45268.0000,"10,000 to 30,000",1.1343657595349070e+00
59,"CHESHIRE",2.5000000000000000e+01,45164.0000,"10,000 to 30,000",1.1317596351425852e+00
60,"MARLBOROUGH",8.0000000000000000e+01,45136.0000,"0 to 10,000",1.1310579862677292e+00
61,"HEBRON",6.8000000000000000e+01,45072.0000,"0 to 10,000",1.1294542174109157e+00
62,"BETHEL",9.0000000000000000e+00,44782.0000,"10,000 to 30,000",1.1221871397784795e+00
63,"CANAAN",2.1000000000000000e+01,44684.0000,"0 to 10,000",1.1197313687164838e+00
64,"BRANFORD",1.4000000000000000e+01,44298.0000,"10,000 to 30,000",1.1100586377988273e+00
65,"ROCKY HILL",1.2000000000000000e+02,43921.0000,"10,000 to 30,000",1.1006114368766602e+00
66,"SHELTON",1.2700000000000000e+02,43810.0000,"30,000 to 70,000",1.0978299002656242e+00
67,"SOUTHBURY",1.3200000000000000e+02,43742.0000,"10,000 to 30,000",1.0961258958552598e+00
68,"BETHLEHEM",1.0000000000000000e+01,43639.0000,"0 to 10,000",1.0935448303513255e+00
69,"BERLIN",7.0000000000000000e+00,43536.0000,"10,000 to 30,000",1.0909637648473913e+00
70,"CHESTER",2.6000000000000000e+01,43323.0000,"0 to 10,000",1.0856262216208088e+00
71,"CROMWELL",3.3000000000000000e+01,43171.0000,"10,000 to 30,000",1.0818172705858768e+00
72,"HARWINTON",6.7000000000000000e+01,43034.0000,"0 to 10,000",1.0783842028767603e+00
73,"EAST LYME",4.4000000000000000e+01,42997.0000,"10,000 to 30,000",1.0774570240064150e+00
74,"NORTH BRANFORD",1.0000000000000000e+02,42804.0000,"10,000 to 30,000",1.0726206585475868e+00
75,"ELLINGTON",4.8000000000000000e+01,42602.0000,"10,000 to 30,000",1.0675587630932692e+00
76,"DEEP RIVER",3.6000000000000000e+01,42427.0000,"0 to 10,000",1.0631734576254197e+00
77,"POMFRET",1.1300000000000000e+02,42246.0000,"0 to 10,000",1.0586377988272440e+00
78,"SUFFIELD",1.4000000000000000e+02,42204.0000,"10,000 to 30,000",1.0575853255149601e+00
79,"COLCHESTER",2.8000000000000000e+01,41535.0000,"10,000 to 30,000",1.0408209291835815e+00
80,"MILFORD",8.5000000000000000e+01,41520.0000,"30,000 to 70,000",1.0404450458577656e+00
81,"COVENTRY",3.2000000000000000e+01,41516.0000,"10,000 to 30,000",1.0403448103042150e+00
82,"ANDOVER",1.0000000000000000e+00,41514.0000,"0 to 10,000",1.0402946925274394e+00
83,"FRANKLIN",5.3000000000000000e+01,41253.0000,"0 to 10,000",1.0337543226582468e+00
84,"BARKHAMSTED",5.0000000000000000e+00,41218.0000,"0 to 10,000",1.0328772615646771e+00
85,"EAST HADDAM",4.0000000000000000e+01,41148.0000,"0 to 10,000",1.0311231393775373e+00
86,"EAST HAMPTON",4.1000000000000000e+01,41065.0000,"10,000 to 30,000",1.0290432516413572e+00
87,"UNION",1.4600000000000000e+02,40982.0000,"0 to 10,000",1.0269633639051772e+00
88,"NORTH HAVEN",1.0200000000000000e+02,40952.0000,"10,000 to 30,000",1.0262115972535459e+00
89,"COLUMBIA",3.0000000000000000e+01,40835.0000,"0 to 10,000",1.0232797073121835e+00
90,"SOUTHINGTON",1.3300000000000000e+02,40761.0000,"30,000 to 70,000",1.0214253495714931e+00
91,"LEDYARD",7.3000000000000000e+01,40751.0000,"10,000 to 30,000",1.0211747606876158e+00
92,"WATERFORD",1.5300000000000000e+02,40449.0000,"10,000 to 30,000",1.0136069763945272e+00
93,"EAST GRANBY",3.9000000000000000e+01,40309.0000,"0 to 10,000",1.0100987320202477e+00
94,"BLOOMFIELD",1.1000000000000000e+01,40162.0000,"10,000 to 30,000",1.0064150754272541e+00
95,"PROSPECT",1.1600000000000000e+02,40031.0000,"0 to 10,000",1.0031323610484639e+00
96,"OXFORD",1.0900000000000000e+02,39670.0000,"0 to 10,000",9.9408610234050021e-01
97,"WETHERSFIELD",1.6000000000000000e+02,39368.0000,"10,000 to 30,000",9.8651831804741141e-01
98,"CLINTON",2.7000000000000000e+01,39178.0000,"10,000 to 30,000",9.8175712925374625e-01
99,"WILLINGTON",1.6100000000000000e+02,39056.0000,"0 to 10,000",9.7869994487044554e-01
100,"HARTLAND",6.6000000000000000e+01,39054.0000,"0 to 10,000",9.7864982709367010e-01
101,"WALLINGFORD",1.4900000000000000e+02,38989.0000,"30,000 to 70,000",9.7702099934846887e-01
102,"GOSHEN",5.5000000000000000e+01,38776.0000,"0 to 10,000",9.7168345612188645e-01
103,"WATERTOWN",1.5400000000000000e+02,38530.0000,"10,000 to 30,000",9.6551896957850947e-01
104,"NEW HARTFORD",9.3000000000000000e+01,38472.0000,"0 to 10,000",9.6406555405202221e-01
105,"NEWINGTON",9.7000000000000000e+01,38255.0000,"10,000 to 30,000",9.5862777527188892e-01
106,"WOODSTOCK",1.7000000000000000e+02,38203.0000,"0 to 10,000",9.5732471307572797e-01
107,"NEW MILFORD",9.6000000000000000e+01,38056.0000,"10,000 to 30,000",9.5364105648273445e-01
108,"KENT",6.9000000000000000e+01,38010.0000,"0 to 10,000",9.5248834761689971e-01
109,"BEACON FALLS",6.0000000000000000e+00,37459.0000,"0 to 10,000",9.3868090011527083e-01
110,"LEBANON",7.2000000000000000e+01,37369.0000,"0 to 10,000",9.3642560016037690e-01
111,"WINDSOR",1.6500000000000000e+02,37228.0000,"10,000 to 30,000",9.3289229689770958e-01
112,"BOZRAH",1.3000000000000000e+01,36951.0000,"0 to 10,000",9.2595098481431359e-01
113,"WINDSOR LOCKS",1.6600000000000000e+02,36587.0000,"10,000 to 30,000",9.1682954944118678e-01
114,"EASTFORD",4.6000000000000000e+01,36479.0000,"0 to 10,000",9.1412318949531401e-01
115,"LISBON",7.4000000000000000e+01,36369.0000,"0 to 10,000",9.1136671177266582e-01
116,"ASHFORD",3.0000000000000000e+00,36237.0000,"0 to 10,000",9.0805893850548791e-01
117,"EAST WINDSOR",4.5000000000000000e+01,35979.0000,"0 to 10,000",9.0159374530145842e-01
118,"HAMDEN",6.3000000000000000e+01,35963.0000,"30,000 to 70,000",9.0119280308725502e-01
119,"GROTON",5.9000000000000000e+01,35810.0000,"30,000 to 70,000",8.9735879316393530e-01
120,"NORTH STONINGTON",1.0300000000000000e+02,35713.0000,"0 to 10,000",8.9492808099032728e-01
121,"SEYMOUR",1.2500000000000000e+02,35632.0000,"10,000 to 30,000",8.9289831103092265e-01
122,"HAMPTON",6.4000000000000000e+01,35327.0000,"0 to 10,000",8.8525535007267075e-01
123,"STRATFORD",1.3900000000000000e+02,35175.0000,"30,000 to 70,000",8.8144639903773869e-01
124,"VERNON",1.4700000000000000e+02,35137.0000,"10,000 to 30,000",8.8049416127900570e-01
125,"SOMERS",1.3000000000000000e+02,35120.0000,"0 to 10,000",8.8006816017641454e-01
126,"MIDDLETOWN",8.4000000000000000e+01,35074.0000,"30,000 to 70,000",8.7891545131057991e-01
127,"WOLCOTT",1.6700000000000000e+02,34681.0000,"10,000 to 30,000",8.6906730817420941e-01
128,"COLEBROOK",2.9000000000000000e+01,34196.0000,"0 to 10,000",8.5691374730616954e-01
129,"NAUGATUCK",8.9000000000000000e+01,33551.0000,"30,000 to 70,000",8.4075076429609585e-01
130,"SCOTLAND",1.2400000000000000e+02,33206.0000,"0 to 10,000",8.3210544780233553e-01
131,"PRESTON",1.1500000000000000e+02,33182.0000,"0 to 10,000",8.3150403448103039e-01
132,"VOLUNTOWN",1.4800000000000000e+02,32940.0000,"0 to 10,000",8.2543978349120428e-01
133,"MANCHESTER",7.8000000000000000e+01,32919.0000,"30,000 to 70,000",8.2491354683506235e-01
134,"CHAPLIN",2.4000000000000000e+01,32911.0000,"0 to 10,000",8.2471307572796071e-01
135,"PLAINVILLE",1.1100000000000000e+02,32839.0000,"10,000 to 30,000",8.2290883576404550e-01
136,"THOMPSON",1.4200000000000000e+02,32669.0000,"0 to 10,000",8.1864882473813461e-01
137,"PLYMOUTH",1.1200000000000000e+02,32522.0000,"10,000 to 30,000",8.1496516814514108e-01
138,"BRISTOL",1.7000000000000000e+01,32374.0000,"30,000 to 70,000",8.1125645266375979e-01
139,"EAST HAVEN",4.3000000000000000e+01,32145.0000,"10,000 to 30,000",8.0551796722297397e-01
140,"DANBURY",3.4000000000000000e+01,31940.0000,"30,000 to 70,000",8.0038089510349320e-01
141,"CANTERBURY",2.2000000000000000e+01,31856.0000,"0 to 10,000",7.9827594847892547e-01
142,"STAFFORD",1.3500000000000000e+02,31606.0000,"10,000 to 30,000",7.9201122638199772e-01
143,"NORTH CANAAN",1.0100000000000000e+02,31390.0000,"0 to 10,000",7.8659850649025209e-01
144,"ENFIELD",4.9000000000000000e+01,31387.0000,"30,000 to 70,000",7.8652332982508899e-01
145,"THOMASTON",1.4100000000000000e+02,31367.0000,"0 to 10,000",7.8602215205733472e-01
146,"SPRAGUE",1.3400000000000000e+02,31157.0000,"0 to 10,000",7.8075978549591540e-01
147,"MONTVILLE",8.7000000000000000e+01,30669.0000,"10,000 to 30,000",7.6853104796271232e-01
148,"WINCHESTER",1.6300000000000000e+02,30643.0000,"10,000 to 30,000",7.6787951686463185e-01
149,"MERIDEN",8.1000000000000000e+01,30580.0000,"30,000 to 70,000",7.6630080689620605e-01
150,"GRISWOLD",5.8000000000000000e+01,30486.0000,"10,000 to 30,000",7.6394527138776125e-01
151,"TORRINGTON",1.4400000000000000e+02,29455.0000,"30,000 to 70,000",7.3810955746003104e-01
152,"BROOKLYN",1.9000000000000000e+01,28950.0000,"0 to 10,000",7.2545481882423690e-01
153,"KILLINGLY",7.0000000000000000e+01,28911.0000,"10,000 to 30,000",7.2447752217711625e-01
154,"DERBY",3.7000000000000000e+01,28846.0000,"10,000 to 30,000",7.2284869443191502e-01
155,"PLAINFIELD",1.1000000000000000e+02,28422.0000,"10,000 to 30,000",7.1222372575552551e-01
156,"NORWICH",1.0500000000000000e+02,27825.0000,"30,000 to 70,000",6.9726356938806200e-01
157,"PUTNAM",1.1700000000000000e+02,27675.0000,"0 to 10,000",6.9350473612990526e-01
158,"STERLING",1.3700000000000000e+02,26903.0000,"0 to 10,000",6.7415927429459233e-01
159,"WEST HAVEN",1.5600000000000000e+02,26197.0000,"30,000 to 70,000",6.5646769909286828e-01
160,"EAST HARTFORD",4.2000000000000000e+01,25303.0000,"30,000 to 70,000",6.3406505287425452e-01
161,"NEW HAVEN",9.4000000000000000e+01,23976.0000,"70,000 & Up",6.0081190798376183e-01
162,"ANSONIA",2.0000000000000000e+00,23937.0000,"10,000 to 30,000",5.9983461133664107e-01
163,"NEW BRITAIN",9.0000000000000000e+01,22087.0000,"70,000 & Up",5.5347566781937552e-01
164,"BRIDGEPORT",1.5000000000000000e+01,21816.0000,"70,000 & Up",5.4668470906630584e-01
165,"NEW LONDON",9.5000000000000000e+01,21638.0000,"10,000 to 30,000",5.4222422693329320e-01
166,"WATERBURY",1.5200000000000000e+02,20762.0000,"70,000 & Up",5.2027264070565826e-01
167,"MANSFIELD",7.9000000000000000e+01,20245.0000,"10,000 to 30,000",5.0731719540921161e-01
168,"WINDHAM",1.6400000000000000e+02,18748.0000,"10,000 to 30,000",4.6980403949280808e-01
169,"HARTFORD",6.5000000000000000e+01,18365.0000,"70,000 & Up",4.6020648524031477e-01
