Municipality,Mill Rate FY 2015-16,Comments
"PLYMOUTH",3.5430000000000000e+01,
"POMFRET",2.4239999999999998e+01,
"PORTLAND",3.2340000000000003e+01,
"PRESTON",2.3000000000000000e+01,
"PROSPECT",2.9230000000000000e+01,
"PUTNAM",1.6420000000000002e+01,
"REDDING",2.8910000000000000e+01,
"RIDGEFIELD",2.6010000000000002e+01,
"ROCKY HILL",2.9699999999999999e+01,
"ROXBURY",1.3699999999999999e+01,
"SALEM",3.1699999999999999e+01,
"SALISBURY",1.0699999999999999e+01,
"SCOTLAND",3.5750000000000000e+01,
"SEYMOUR",3.4590000000000003e+01,
"SHARON",1.3699999999999999e+01,
"SHELTON",2.2309999999999999e+01,
"SHERMAN",2.0039999999999999e+01,
"SIMSBURY",3.7119999999999997e+01,
"SOMERS",2.3370000000000001e+01,
"SOUTH WINDSOR",3.6539999999999999e+01,
"SOUTHBURY",2.8399999999999999e+01,
"SOUTHINGTON",2.9140000000000001e+01,
"SPRAGUE",3.1000000000000000e+01,
"STAFFORD",3.3369999999999997e+01,
"STAMFORD",2.5430000000000000e+01,"Use Stamford A, the District with the largest tax levy."
"STERLING",3.1600000000000001e+01,
"STONINGTON",2.1320000000000000e+01,
"STRATFORD",3.6979999999999997e+01,
"SUFFIELD",2.7780000000000001e+01,
"THOMASTON",3.3630000000000003e+01,
"THOMPSON",2.4800000000000001e+01,
"TOLLAND",3.3359999999999999e+01,
"TORRINGTON",4.5750000000000000e+01,
"TRUMBULL",3.2869999999999997e+01,
"UNION",2.9600000000000001e+01,
"VERNON",3.6909999999999997e+01,
"VOLUNTOWN",2.6609999999999999e+01,
"WALLINGFORD",2.7469999999999999e+01,
"WARREN",1.4199999999999999e+01,
"WASHINGTON",1.3750000000000000e+01,
"WATERBURY",5.8219999999999999e+01,
"WATERFORD",2.5829999999999998e+01,
"WATERTOWN",3.0100000000000001e+01,
"WEST HARTFORD",3.8310000000000002e+01,
"WEST HAVEN",3.1250000000000000e+01,
"WESTBROOK",2.2510000000000002e+01,
"WESTON",2.8670000000000002e+01,
"WESTPORT",1.8090000000000000e+01,
"WETHERSFIELD",3.8189999999999998e+01,
"WILLINGTON",2.7340000000000000e+01,
"WILTON",2.6830200000000001e+01,
"WINCHESTER",3.2700000000000003e+01,
"WINDHAM",3.4350000000000001e+01,
"WINDSOR",3.0920000000000002e+01,
"WINDSOR LOCKS",2.6789999999999999e+01,
"WOLCOTT",2.8079999999999998e+01,
"WOODBRIDGE",3.7659999999999997e+01,
"WOODBURY",2.6070000000000000e+01,
"WOODSTOCK",2.3359999999999999e+01,
