Municipality,numbered,Comptroller Town Code,County,Total Units,1 Unit,2 Unit,3 and 4 Units,5 Units or More,Demolitions,Valuation of Total Units,Valuation per Unit
"HARTFORD",6.5000000000000000e+01,6.4000000000000000e+01,"Hartford",6.0000000000000000e+00,4.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.8000000000000000e+01,638052.0000,106342.0000
"HARTLAND",6.6000000000000000e+01,6.5000000000000000e+01,"Hartford",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,255000.0000,255000.0000
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1417000.0000,283400.0000
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,"Tolland",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3812792.0000,272342.2857
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,650000.0000,650000.0000
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,"Windham",2.0000000000000000e+01,1.4000000000000000e+01,2.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2660903.0000,133045.1500
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,"Middlesex",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6.0000000000000000e+00,1224395.0000,306098.7500
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,"New London",2.0000000000000000e+00,2.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,310000.0000,155000.0000
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,"New London",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,7.0000000000000000e+00,2232000.0000,171692.3077
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,"New London",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1318000.0000,263600.0000
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,"Litchfield",9.0000000000000000e+00,9.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,2731670.0000,303518.8889
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"New London",3.0000000000000000e+00,3.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,755828.0000,251942.6667
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"New Haven",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,10994499.0000,610805.5000
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"Hartford",1.1800000000000000e+02,6.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,1.0800000000000000e+02,7.0000000000000000e+00,7482064.0000,63407.3220
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"Tolland",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,3060061.0000,382507.6250
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"Hartford",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,989000.0000,247250.0000
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"New Haven",0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,0.0000,0.0000
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"New Haven",2.1000000000000000e+01,4.0000000000000000e+00,2.0000000000000000e+00,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,5499586.0000,261885.0476
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"Middlesex",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.0000000000000000e+00,1246500.0000,207750.0000
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"Middlesex",1.2300000000000000e+02,3.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,9.3000000000000000e+01,3.0000000000000000e+00,22639101.0000,184057.7317
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"New Haven",3.5800000000000000e+02,2.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,3.3000000000000000e+02,0.0000000000000000e+00,24917204.0000,69601.1285
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"Fairfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,1185634.0000,237126.8000
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"New London",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,2213115.0000,276639.3750
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,200000.0000,200000.0000
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"New Haven",1.8000000000000000e+01,1.8000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,2794000.0000,155222.2222
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"Hartford",6.0000000000000000e+00,6.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.3000000000000000e+01,722000.0000,120333.3333
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"Fairfield",4.1000000000000000e+01,4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4.2000000000000000e+01,39354260.0000,959860.0000
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"Fairfield",1.2000000000000000e+01,1.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3974440.0000,331203.3333
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1545000.0000,309000.0000
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"New Haven",2.6200000000000000e+02,8.0000000000000000e+00,0.0000000000000000e+00,2.2000000000000000e+01,2.3200000000000000e+02,1.3000000000000000e+01,26886071.0000,102618.5916
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"New London",4.1000000000000000e+01,4.1000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,6785705.0000,165505.0000
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"Litchfield",2.2000000000000000e+01,2.2000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,4968248.0000,225829.4545
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"Hartford",1.4000000000000000e+01,1.4000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3094765.0000,221054.6429
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"Fairfield",2.9000000000000000e+01,2.9000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9124547.0000,314639.5517
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,490000.0000,490000.0000
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"New Haven",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,910655.0000,227663.7500
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"Litchfield",1.0000000000000000e+00,1.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,279000.0000,0.0000
"NORTH HAVEN",1.0200000000000000e+02,1.0100000000000000e+02,"New Haven",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,8.0000000000000000e+00,1575985.0000,196998.1250
"NORTH STONINGTON",1.0300000000000000e+02,1.0200000000000000e+02,"New London",7.0000000000000000e+00,7.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1263000.0000,180428.5714
"NORWALK",1.0400000000000000e+02,1.0300000000000000e+02,"Fairfield",3.5000000000000000e+02,2.5000000000000000e+01,6.0000000000000000e+00,0.0000000000000000e+00,3.1900000000000000e+02,3.6000000000000000e+01,51019618.0000,145770.3371
"NORWICH",1.0500000000000000e+02,1.0400000000000000e+02,"New London",4.0000000000000000e+00,4.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.0000000000000000e+00,1528544.0000,382136.0000
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,"New London",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5458100.0000,363873.3333
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,"Middlesex",1.3000000000000000e+01,1.3000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.6000000000000000e+01,5317988.0000,409076.0000
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,"New Haven",2.0000000000000000e+01,2.0000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.0000000000000000e+00,4995384.0000,249769.2000
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,"New Haven",1.6000000000000000e+01,1.6000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,3.0000000000000000e+00,3318000.0000,207375.0000
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,"Windham",1.5000000000000000e+01,1.5000000000000000e+01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,5.0000000000000000e+00,1581000.0000,105400.0000
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,"Hartford",8.0000000000000000e+00,8.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00,1544600.0000,193075.0000
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,"Litchfield",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,600000.0000,120000.0000
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,"Windham",5.0000000000000000e+00,5.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1000000.0000,200000.0000
