Municipality,numbered,SandP
"HEBRON",6.8000000000000000e+01,"AAA"
"KENT",6.9000000000000000e+01,"AA+"
"KILLINGLY",7.0000000000000000e+01,"AA"
"KILLINGWORTH",7.1000000000000000e+01,
"LEBANON",7.2000000000000000e+01,
"LEDYARD",7.3000000000000000e+01,"AA"
"LISBON",7.4000000000000000e+01,
"LITCHFIELD",7.5000000000000000e+01,
"LYME",7.6000000000000000e+01,
"MADISON",7.7000000000000000e+01,
"MANCHESTER",7.8000000000000000e+01,"AA+"
"MANSFIELD",7.9000000000000000e+01,
"MARLBOROUGH",8.0000000000000000e+01,
"MERIDEN",8.1000000000000000e+01,"AA"
"MIDDLEBURY",8.2000000000000000e+01,
"MIDDLEFIELD",8.3000000000000000e+01,
"MIDDLETOWN",8.4000000000000000e+01,"AAA"
"MILFORD",8.5000000000000000e+01,"AA+"
"MONROE",8.6000000000000000e+01,
"MONTVILLE",8.7000000000000000e+01,
"MORRIS",8.8000000000000000e+01,
"NAUGATUCK",8.9000000000000000e+01,"AA"
"NEW BRITAIN",9.0000000000000000e+01,"A+"
"NEW CANAAN",9.1000000000000000e+01,
"NEW FAIRFIELD",9.2000000000000000e+01,"AAA"
"NEW HARTFORD",9.3000000000000000e+01,"AA"
"NEW HAVEN",9.4000000000000000e+01,"A-"
"NEW LONDON",9.5000000000000000e+01,"A+"
"NEW MILFORD",9.6000000000000000e+01,
"NEWINGTON",9.7000000000000000e+01,"AA+"
"NEWTOWN",9.8000000000000000e+01,"AAA"
"NORFOLK",9.9000000000000000e+01,
"NORTH BRANFORD",1.0000000000000000e+02,
"NORTH CANAAN",1.0100000000000000e+02,
"NORTH HAVEN",1.0200000000000000e+02,"AAA"
"NORTH STONINGTON",1.0300000000000000e+02,
"NORWALK",1.0400000000000000e+02,"AAA"
"NORWICH",1.0500000000000000e+02,"AA"
"OLD LYME",1.0600000000000000e+02,"AAA"
"OLD SAYBROOK",1.0700000000000000e+02,
"ORANGE",1.0800000000000000e+02,"AAA"
"OXFORD",1.0900000000000000e+02,
"PLAINFIELD",1.1000000000000000e+02,
"PLAINVILLE",1.1100000000000000e+02,"AA+"
"PLYMOUTH",1.1200000000000000e+02,"AA"
"POMFRET",1.1300000000000000e+02,
"PORTLAND",1.1400000000000000e+02,
"PRESTON",1.1500000000000000e+02,"AA+"
"PROSPECT",1.1600000000000000e+02,
"PUTNAM",1.1700000000000000e+02,
"REDDING",1.1800000000000000e+02,"AAA"
"RIDGEFIELD",1.1900000000000000e+02,"AAA"
"ROCKY HILL",1.2000000000000000e+02,"AA+"
"ROXBURY",1.2100000000000000e+02,
"SALEM",1.2200000000000000e+02,
"SALISBURY",1.2300000000000000e+02,
"SCOTLAND",1.2400000000000000e+02,
"SEYMOUR",1.2500000000000000e+02,"AA+"
"SHARON",1.2600000000000000e+02,
"SHELTON",1.2700000000000000e+02,"AA+"
"SHERMAN",1.2800000000000000e+02,
"SIMSBURY",1.2900000000000000e+02,
"SOMERS",1.3000000000000000e+02,
"SOUTH WINDSOR",1.3100000000000000e+02,"AA+"
"SOUTHBURY",1.3200000000000000e+02,
"SOUTHINGTON",1.3300000000000000e+02,"AA+"
"SPRAGUE",1.3400000000000000e+02,
"STAFFORD",1.3500000000000000e+02,
"STAMFORD",1.3600000000000000e+02,"AAA"
"STERLING",1.3700000000000000e+02,
"STONINGTON",1.3800000000000000e+02,"AA+"
"STRATFORD",1.3900000000000000e+02,"AA"
"SUFFIELD",1.4000000000000000e+02,"AA+"
"THOMASTON",1.4100000000000000e+02,"AA"
"THOMPSON",1.4200000000000000e+02,
"TOLLAND",1.4300000000000000e+02,"AAA"
"TORRINGTON",1.4400000000000000e+02,"AA-"
"TRUMBULL",1.4500000000000000e+02,"AA+"
"UNION",1.4600000000000000e+02,
"VERNON",1.4700000000000000e+02,
"VOLUNTOWN",1.4800000000000000e+02,
"WALLINGFORD",1.4900000000000000e+02,"AA+"
"WARREN",1.5000000000000000e+02,
"WASHINGTON",1.5100000000000000e+02,
"WATERBURY",1.5200000000000000e+02,"AA-"
"WATERFORD",1.5300000000000000e+02,"AA"
"WATERTOWN",1.5400000000000000e+02,"AA+"
"WEST HARTFORD",1.5500000000000000e+02,"AAA"
"WEST HAVEN",1.5600000000000000e+02,"BBB"
"WESTBROOK",1.5700000000000000e+02,
"WESTON",1.5800000000000000e+02,
"WESTPORT",1.5900000000000000e+02,
"WETHERSFIELD",1.6000000000000000e+02,"AA+"
"WILLINGTON",1.6100000000000000e+02,
"WILTON",1.6200000000000000e+02,
"WINCHESTER",1.6300000000000000e+02,
"WINDHAM",1.6400000000000000e+02,"AA"
"WINDSOR",1.6500000000000000e+02,"AAA"
"WINDSOR LOCKS",1.6600000000000000e+02,"AA+"
"WOLCOTT",1.6700000000000000e+02,"AA"
"WOODBRIDGE",1.6800000000000000e+02,
"WOODBURY",1.6900000000000000e+02,
"WOODSTOCK",1.7000000000000000e+02,
