Municipality,Mill Rates  FY 2010-11
"GRISWOLD",1.8730000000000000e+01
"GROTON",1.8420000000000002e+01
"GROTON (City of)",4.1349999999999998e+00
"GUILFORD",2.0829999999999998e+01
"HADDAM",2.7399999999999999e+01
"HAMDEN",3.1160000000000000e+01
"HAMPTON",2.5800000000000001e+01
"HARTFORD",7.2790000000000006e+01
"HARTLAND",2.3500000000000000e+01
"HARWINTON",2.3500000000000000e+01
"HEBRON",2.8940000000000001e+01
"KENT",1.4020000000000000e+01
"KILLINGLY",1.9100000000000001e+01
"KILLINGWORTH",2.1000000000000000e+01
"LEBANON",2.2100000000000001e+01
"LEDYARD",2.5649999999999999e+01
"LISBON",1.6899999999999999e+01
"LITCHFIELD",2.1899999999999999e+01
"LYME",1.3550000000000001e+01
"MADISON",1.9300000000000001e+01
"MANCHESTER",3.1280000000000001e+01
"MANSFIELD",2.5710000000000001e+01
"MARLBOROUGH",2.6579999999999998e+01
"MERIDEN",2.9530000000000001e+01
"MIDDLEBURY",2.3629999999999999e+01
"MIDDLEFIELD",2.7430000000000000e+01
"MIDDLETOWN",2.6399999999999999e+01
"MILFORD",2.8440000000000001e+01
"MONROE",2.8260000000000002e+01
"MONTVILLE",2.2399999999999999e+01
"MORRIS",2.0600000000000001e+01
"NAUGATUCK",3.2020000000000003e+01
"NEW BRITAIN",3.6630000000000003e+01
"NEW CANAAN",1.3585000000000001e+01
"NEW FAIRFIELD",2.3280000000000001e+01
"NEW HARTFORD",2.4000000000000000e+01
"NEW HAVEN",4.3899999999999999e+01
"NEW LONDON",2.5309999999999999e+01
"NEW MILFORD",2.2699999999999999e+01
"NEWINGTON",2.9180000000000000e+01
"NEWTOWN",2.4000000000000000e+01
"NORFOLK",2.0160000000000000e+01
"NORTH BRANFORD",2.6710000000000001e+01
"NORTH CANAAN",2.1000000000000000e+01
"NORTH HAVEN",2.6180000000000000e+01
"NORTH STONINGTON",2.0190000000000001e+01
"NORWALK",2.0516999999999999e+01
"NORWICH",2.4399999999999999e+01
"OLD LYME",1.8600000000000001e+01
"OLD SAYBROOK",1.3990000000000000e+01
"ORANGE",2.8300000000000001e+01
"OXFORD",2.1050000000000001e+01
"PLAINFIELD",2.0190000000000001e+01
"PLAINVILLE",2.8010000000000002e+01
"PLYMOUTH",3.0850000000000001e+01
"POMFRET",2.1550000000000001e+01
"PORTLAND",2.7800000000000001e+01
"PRESTON",1.9239999999999998e+01
"PROSPECT",2.5260000000000002e+01
"PUTNAM",1.3940000000000000e+01
"REDDING",2.2219999999999999e+01
"RIDGEFIELD",2.0399999999999999e+01
"ROCKY HILL",2.3800000000000001e+01
"ROXBURY",1.1400000000000000e+01
"SALEM",2.4500000000000000e+01
"SALISBURY",9.5000000000000000e+00
"SCOTLAND",2.8600000000000001e+01
"SEYMOUR",2.6780000000000001e+01
"SHARON",1.0900000000000000e+01
"SHELTON",1.8609999999999999e+01
"SHERMAN",1.5699999999999999e+01
"SIMSBURY",3.0550000000000001e+01
"SOMERS",2.1120000000000001e+01
"SOUTH WINDSOR",2.8340000000000000e+01
"SOUTHBURY",2.1500000000000000e+01
"SOUTHINGTON",2.4020000000000000e+01
"SPRAGUE",2.5750000000000000e+01
"STAFFORD",2.7960000000000001e+01
"STAMFORD",1.7170000000000002e+01
"STERLING",2.0359999999999999e+01
"STONINGTON",1.5430000000000000e+01
"STRATFORD",3.3320000000000000e+01
"SUFFIELD",2.3149999999999999e+01
"THOMASTON",2.6980000000000000e+01
"THOMPSON",2.1010000000000002e+01
"TOLLAND",2.9149999999999999e+01
"TORRINGTON",3.2500000000000000e+01
"TRUMBULL",2.4539999999999999e+01
"UNION",2.2890000000000001e+01
"VERNON",3.0020000000000000e+01
"VOLUNTOWN",2.0430000000000000e+01
"WALLINGFORD",2.4079999999999998e+01
"WARREN",1.2250000000000000e+01
"WASHINGTON",1.1000000000000000e+01
"WATERBURY",4.1818399999999997e+01
"WATERFORD",1.8039999999999999e+01
"WATERTOWN",2.2910000000000000e+01
"WEST HARTFORD",3.8380000000000003e+01
"WEST HAVEN",2.7960000000000001e+01
"WESTBROOK",1.7250000000000000e+01
"WESTON",2.3859999999999999e+01
"WESTPORT",1.4850000000000000e+01
"WETHERSFIELD",3.0660000000000000e+01
"WILLINGTON",2.3399999999999999e+01
"WILTON",2.0160000000000000e+01
"WINCHESTER",2.5430000000000000e+01
"WINDHAM",2.6670000000000002e+01
"WINDSOR",2.8379999999999999e+01
"WINDSOR LOCKS",2.3149999999999999e+01
"WOLCOTT",2.2680000000000000e+01
"WOODBRIDGE",3.3109999999999999e+01
"WOODBURY",2.1449999999999999e+01
"WOODSTOCK",1.7920000000000002e+01
