MUNICIPALITY,Numbered,YEAR LAST REVAL,YEAR OF NEXT REVAL
"GLASTONBURY",5.4000000000000000e+01,2.0120000000000000e+03,2017
"GOSHEN",5.5000000000000000e+01,2.0120000000000000e+03,2017
"GRANBY",5.6000000000000000e+01,2.0120000000000000e+03,2017
"GREENWICH",5.7000000000000000e+01,2.0150000000000000e+03,2020
"GRISWOLD",5.8000000000000000e+01,2.0160000000000000e+03,2021
"GROTON",5.9000000000000000e+01,2.0160000000000000e+03,2021
"GUILFORD",6.1000000000000000e+01,2.0130000000000000e+03,2017
"HADDAM",6.2000000000000000e+01,2.0150000000000000e+03,2020
"HAMDEN",6.3000000000000000e+01,2.0150000000000000e+03,2020
"HAMPTON",6.4000000000000000e+01,2.0130000000000000e+03,2018
"HARTFORD",6.5000000000000000e+01,2.0160000000000000e+03,2021
"HARTLAND",6.6000000000000000e+01,2.0150000000000000e+03,2020
"HARWINTON",6.7000000000000000e+01,2.0130000000000000e+03,2018
"HEBRON",6.8000000000000000e+01,2.0160000000000000e+03,2021
"KENT",6.9000000000000000e+01,2.0130000000000000e+03,2018
"KILLINGLY",7.0000000000000000e+01,2.0130000000000000e+03,2018
"KILLINGWORTH",7.1000000000000000e+01,2.0160000000000000e+03,2021
"LEBANON",7.2000000000000000e+01,2.0130000000000000e+03,2018
"LEDYARD",7.3000000000000000e+01,2.0150000000000000e+03,2020
"LISBON",7.4000000000000000e+01,2.0160000000000000e+03,2021
"LITCHFIELD",7.5000000000000000e+01,2.0130000000000000e+03,2018
"LYME",7.6000000000000000e+01,2.0130000000000000e+03,2018
"MADISON",7.7000000000000000e+01,2.0130000000000000e+03,2018
"MANCHESTER",7.8000000000000000e+01,2.0160000000000000e+03,2021
"MANSFIELD",7.9000000000000000e+01,2.0140000000000000e+03,2019
"MARLBOROUGH",8.0000000000000000e+01,2.0150000000000000e+03,2020
"MERIDEN",8.1000000000000000e+01,2.0160000000000000e+03,2021
"MIDDLEBURY",8.2000000000000000e+01,2.0160000000000000e+03,2021
"MIDDLEFIELD",8.3000000000000000e+01,2.0160000000000000e+03,2021
"MIDDLETOWN",8.4000000000000000e+01,2.0130000000000000e+03,2017
"MILFORD",8.5000000000000000e+01,2.0160000000000000e+03,2021
"MONROE",8.6000000000000000e+01,2.0140000000000000e+03,2019
"MONTVILLE",8.7000000000000000e+01,2.0160000000000000e+03,2021
