Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2014 Population,Moody's_Bond_Ratings_Dec_2014,Moody's_Bond_Ratings_July_2014,area lmt,ACGLFY14,EGL,TANF14 Recipients,empl,ACMR,enrollmt
"BARKHAMSTED",5.0000000000000000e+00,5.0000000000000000e+00,"L",3978633.0000,3047411.0000,7026044.0000,-233732.0000,0.0000,0.0000,0.0000,237300.0000,1671412.0000,1434112.0000,1671412.0000,"N",2207868.0000,9101908.0000,11435286.0000,9363120.0000,129900.0000,11429152.0000,0.0000,0.0000,18500.0000,18500.0000,-12366.0000,227585.0000,-12366.0000,0.0000,"N","N",1176192.0893,1770000.0000,2946192.0893,9127518.0000,8902816.0000,9.7538191652977291e-01,9737230.0000,9046848.0000,9.2909872725610876e-01,3.7050000000000000e+03,,,3.6219999999999999e+01,374882562.0000,485270508.2100,3.0000000000000000e+00,5.2884615384615384e-02,2.4260000000000002e+01,6.0245000000000005e+02
"BEACON FALLS",6.0000000000000000e+00,6.0000000000000000e+00,"NH",10096061.0000,4932324.0000,15158072.0000,400457.0000,24157.0000,0.0000,0.0000,0.0000,3136742.0000,3112585.0000,3112585.0000,"N",4717436.0000,15270452.0000,20537046.0000,13978646.0000,251224.0000,19597961.0000,0.0000,2398496.0000,50311.0000,2350225.0000,888774.0000,1252667.0000,987356.0000,0.0000,"N","N",10949568.4885,5889757.0000,16839325.4885,14984636.0000,14594422.0000,9.7395906046700098e-01,16271361.0000,14967686.0000,9.1987916683797988e-01,6.0550000000000000e+03,,,9.7699999999999996e+00,472457962.0000,641059735.3100,2.3000000000000000e+01,6.0339777387229059e-02,3.1899999999999999e+01,9.4020000000000005e+02
"BERLIN",7.0000000000000000e+00,7.0000000000000000e+00,"H",64684687.0000,26565978.0000,91397673.0000,12226929.0000,0.0000,0.0000,328093.0000,2600000.0000,12703359.0000,9775266.0000,12703359.0000,"N",13429655.0000,62265408.0000,79841221.0000,48175177.0000,4316876.0000,78995047.0000,73544.0000,343229.0000,1277311.0000,1277311.0000,-357593.0000,1493264.0000,-87908.0000,0.0000,"N","N",,49918168.0000,49918168.0000,61995090.0000,61321496.0000,9.8913472018509851e-01,63645524.0000,61897428.0000,9.7253387370964217e-01,2.0610000000000000e+04,"Aa2","Aa2",2.6449999999999999e+01,2155657751.0000,3080343787.1400,6.7000000000000000e+01,5.2314056709471687e-02,2.8770000000000000e+01,3.0631799999999998e+03
"BETHANY",8.0000000000000000e+00,8.0000000000000000e+00,"NH",18594620.0000,4253928.0000,22848548.0000,586495.0000,13966.0000,3300.0000,0.0000,340000.0000,3566528.0000,3209262.0000,3549262.0000,"N",3467034.0000,18347495.0000,22710966.0000,15923151.0000,1179707.0000,21893677.0000,0.0000,0.0000,638328.0000,638328.0000,178961.0000,398149.0000,178961.0000,0.0000,"N","N",8045321.1004,5708239.0000,13753560.1004,18412298.0000,18149814.0000,9.8574409343146630e-01,18772067.0000,18349732.0000,9.7750194477784469e-01,5.5310000000000000e+03,"Aa2","Aa2",2.0960000000000001e+01,620166763.0000,815132209.4600,1.0000000000000000e+00,5.3160453808752027e-02,2.9600000000000001e+01,9.1419000000000005e+02
"BETHEL",9.0000000000000000e+00,9.0000000000000000e+00,"F",73628002.0000,10061517.0000,84083501.0000,6241107.0000,132117.0000,0.0000,0.0000,0.0000,13723009.0000,13590892.0000,13590892.0000,"N",14565184.0000,58682339.0000,74729636.0000,46384500.0000,3373128.0000,71144751.0000,0.0000,8000.0000,890529.0000,890529.0000,2694356.0000,1803055.0000,2702356.0000,0.0000,"N","N",,28878941.0000,28878941.0000,58116179.0000,57446514.0000,9.8847713302004936e-01,59150541.0000,58241776.0000,9.8463640425537280e-01,1.9372000000000000e+04,"Aa2","Aa2",1.6789999999999999e+01,1852145585.0000,2646524192.8600,4.4000000000000000e+01,5.4084507042253524e-02,3.1500000000000000e+01,2.9460400000000000e+03
"BETHLEHEM",1.0000000000000000e+01,1.0000000000000000e+01,"L",5635231.0000,3773050.0000,9683137.0000,474754.0000,0.0000,0.0000,0.0000,250000.0000,1780936.0000,1530936.0000,1780936.0000,"N",1667107.0000,8356242.0000,10283754.0000,7017668.0000,0.0000,9392750.0000,105625.0000,105625.0000,922036.0000,922036.0000,74593.0000,323206.0000,74593.0000,0.0000,"N","N",223596.3611,0.0000,223596.3611,8310051.0000,8093700.0000,9.7396514173017712e-01,8802273.0000,8255837.0000,9.3792103471455612e-01,3.5010000000000000e+03,,,1.9359999999999999e+01,407011169.0000,531735907.3200,2.0000000000000000e+00,5.4275473630312342e-02,2.0500000000000000e+01,4.0416000000000003e+02
"BLOOMFIELD",1.1000000000000000e+01,1.1000000000000000e+01,"H",108400597.0000,-35217538.0000,73183059.0000,-1007404.0000,0.0000,0.0000,0.0000,2315312.0000,18205960.0000,15890648.0000,18205960.0000,"N",11640999.0000,71679525.0000,85402840.0000,42708097.0000,5955928.0000,81835486.0000,50000.0000,50000.0000,2850000.0000,2850000.0000,767354.0000,4354197.0000,767354.0000,0.0000,"N","N",,55625000.0000,55625000.0000,71075964.0000,70024716.0000,9.8520951471020501e-01,72633374.0000,70940459.0000,9.7669232603733924e-01,2.0819000000000000e+04,"Aa2","Aa2",2.6010000000000002e+01,2031708687.0000,2802966115.4100,1.8400000000000000e+02,7.1672653991062818e-02,3.4850000000000001e+01,2.1865700000000002e+03
"BOLTON",1.2000000000000000e+01,1.2000000000000000e+01,"T",31024430.0000,1330769.0000,33091821.0000,1079000.0000,32747.0000,0.0000,0.0000,1336506.0000,2355612.0000,986359.0000,2322865.0000,"N",4830217.0000,15003849.0000,20429001.0000,14500226.0000,1202214.0000,19767942.0000,0.0000,0.0000,526770.0000,526770.0000,134289.0000,210253.0000,134289.0000,0.0000,"N","N",,12839672.0000,12839672.0000,14920330.0000,14807572.0000,9.9244266045053964e-01,15123545.0000,14968159.0000,9.8972555707011811e-01,4.9520000000000000e+03,"Aa3","Aa3",1.4410000000000000e+01,480891802.0000,614405620.5600,1.4000000000000000e+01,4.4551282051282053e-02,3.0960000000000001e+01,8.0325999999999999e+02
"BOZRAH",1.3000000000000000e+01,1.3000000000000000e+01,"NL",5582335.0000,452431.0000,6044978.0000,-686845.0000,0.0000,0.0000,0.0000,0.0000,412800.0000,412800.0000,412800.0000,"N",2368562.0000,5684257.0000,8235484.0000,5831304.0000,519120.0000,8101182.0000,126.0000,126.0000,0.0000,0.0000,134428.0000,-248928.0000,134428.0000,0.0000,"N","N",,3644916.0000,3644916.0000,5669902.0000,5536201.0000,9.7641916914966076e-01,6042070.0000,5654434.0000,9.3584384159733336e-01,2.6220000000000000e+03,,,1.9960000000000001e+01,215585700.0000,308291157.1400,4.0000000000000000e+00,6.6070199587061257e-02,2.6250000000000000e+01,3.4504000000000002e+02
"BRANFORD",1.4000000000000000e+01,1.4000000000000000e+01,"NH",82379637.0000,49081819.0000,131748537.0000,8054469.0000,31200.0000,0.0000,69252.0000,3542725.0000,22967686.0000,19324509.0000,22936486.0000,"N",10244386.0000,89374443.0000,105095586.0000,57742288.0000,7310265.0000,100416471.0000,483822.0000,483822.0000,3833397.0000,3833397.0000,1329540.0000,2297707.0000,1329540.0000,0.0000,"N","Y",,43620106.0000,43620106.0000,89402779.0000,88063488.0000,9.8501958199755735e-01,92171371.0000,88884723.0000,9.6434198640703739e-01,2.8225000000000000e+04,"Aa1","Aa1",2.1989999999999998e+01,3486675562.0000,5030865923.3100,9.5000000000000000e+01,5.7099735882278957e-02,2.5590000000000000e+01,3.3157300000000000e+03
