Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2014 Population,Moody's_Bond_Ratings_Dec_2014,Moody's_Bond_Ratings_July_2014,area lmt,ACGLFY14,EGL,TANF14 Recipients,empl,ACMR,enrollmt
"HARWINTON",6.7000000000000000e+01,6.6000000000000000e+01,"L",16992646.0000,4714923.0000,22014739.0000,561241.0000,0.0000,0.0000,0.0000,0.0000,3119299.0000,3119299.0000,3119299.0000,"N",3141286.0000,13994883.0000,17440464.0000,12006633.0000,0.0000,17099670.0000,0.0000,0.0000,223976.0000,223976.0000,116818.0000,181403.0000,116818.0000,0.0000,"N","N",6933540.5916,0.0000,6933540.5916,13786458.0000,13711984.0000,9.9459803235900035e-01,13996057.0000,13833460.0000,9.8838265662964930e-01,5.5310000000000000e+03,,,3.0739999999999998e+01,564695831.0000,760025199.4200,1.0000000000000000e+01,5.1177394034536888e-02,2.4600000000000001e+01,9.0313999999999999e+02
"HEBRON",6.8000000000000000e+01,6.7000000000000000e+01,"T",48321951.0000,7087168.0000,55614538.0000,377943.0000,0.0000,0.0000,0.0000,262071.0000,5472713.0000,5210642.0000,5472713.0000,"N",8990878.0000,27078435.0000,36861972.0000,27866472.0000,1141036.0000,35791811.0000,243000.0000,4012487.0000,727457.0000,4071530.0000,585704.0000,1182253.0000,1011118.0000,0.0000,"N","N",11352412.0655,7454891.0000,18807303.0655,26944807.0000,26476300.0000,9.8261234530275166e-01,27909021.0000,26836082.0000,9.6155583529784150e-01,9.5640000000000000e+03,"Aa2","Aa2",3.6890000000000001e+01,772648505.0000,1080916745.7100,9.0000000000000000e+00,4.7759000734753858e-02,3.4700000000000003e+01,1.8958000000000000e+03
"KENT",6.9000000000000000e+01,6.8000000000000000e+01,"L",10009140.0000,3986146.0000,14052665.0000,-452680.0000,0.0000,0.0000,0.0000,408859.0000,2319716.0000,1910857.0000,2319716.0000,"N",1205585.0000,9723285.0000,11395754.0000,7016016.0000,696438.0000,10871821.0000,27953.0000,27953.0000,777400.0000,777400.0000,-225514.0000,-415054.0000,-225514.0000,0.0000,"N","N",735939.8631,3680000.0000,4415939.8631,9663170.0000,9569964.0000,9.9035451099380434e-01,9944988.0000,9659095.0000,9.7125255455310755e-01,2.9100000000000000e+03,"Aa2","Aa2",4.8469999999999999e+01,671859145.0000,701869675.1500,2.0000000000000000e+00,4.4619422572178477e-02,1.4449999999999999e+01,3.1514999999999998e+02
"KILLINGLY",7.0000000000000000e+01,6.9000000000000000e+01,"W",103443636.0000,13713426.0000,117828907.0000,1962844.0000,0.0000,0.0000,455722.0000,1210700.0000,8761672.0000,7095250.0000,8761672.0000,"N",22203161.0000,30568731.0000,57003009.0000,43637467.0000,2793875.0000,57530100.0000,721080.0000,2031066.0000,1170020.0000,1170020.0000,-976031.0000,-1047092.0000,333955.0000,0.0000,"N","N",,31118366.0000,31118366.0000,30395902.0000,29663595.0000,9.7590770624276912e-01,31611118.0000,30339972.0000,9.5978800876324588e-01,1.7172000000000000e+04,"Aa3","Aa3",4.8520000000000003e+01,1336287490.0000,1597543143.2500,2.3000000000000000e+02,7.9308538501833420e-02,2.0699999999999999e+01,2.4208099999999999e+03
"KILLINGWORTH",7.1000000000000000e+01,7.0000000000000000e+01,"M",20146327.0000,8391023.0000,28537350.0000,-516594.0000,0.0000,0.0000,0.0000,0.0000,4012058.0000,4012058.0000,4012058.0000,"N",2730733.0000,17585956.0000,20681148.0000,15777424.0000,267559.0000,19642409.0000,0.0000,0.0000,436500.0000,436500.0000,602239.0000,235416.0000,602239.0000,0.0000,"N","N",5571473.4964,4290000.0000,9861473.4964,17507905.0000,17369307.0000,9.9208369019594289e-01,17631314.0000,17447334.0000,9.8956515662984623e-01,6.4900000000000000e+03,"Aa2","Aa2",3.5320000000000000e+01,713809345.0000,970463260.8000,5.0000000000000000e+00,4.6916183447548762e-02,2.4530000000000001e+01,9.6217999999999995e+02
"LEBANON",7.2000000000000000e+01,7.1000000000000000e+01,"NL",32297864.0000,3703546.0000,40328150.0000,-45106.0000,148770.0000,0.0000,100000.0000,0.0000,4234577.0000,3985807.0000,4085807.0000,"N",8160496.0000,15926823.0000,25077972.0000,19604569.0000,721944.0000,23380957.0000,270.0000,270.0000,1348694.0000,1348694.0000,348591.0000,1072373.0000,348591.0000,0.0000,"N","N",,3151043.0000,3151043.0000,16231351.0000,15874929.0000,9.7804113779561541e-01,16689075.0000,16181380.0000,9.6957920076457205e-01,7.3090000000000000e+03,,,5.4100000000000001e+01,675482689.0000,843273018.4500,2.9000000000000000e+01,5.7545072857495681e-02,2.3899999999999999e+01,1.1360300000000000e+03
"LEDYARD",7.3000000000000000e+01,7.2000000000000000e+01,"NL",30121941.0000,6129655.0000,36333333.0000,-10955958.0000,0.0000,0.0000,0.0000,100000.0000,4232563.0000,4132563.0000,4232563.0000,"N",19454185.0000,31529198.0000,54166873.0000,33978236.0000,1700532.0000,53024775.0000,572517.0000,572517.0000,1664413.0000,1664413.0000,50202.0000,320190.0000,50202.0000,0.0000,"N","Y",,15570616.0000,15570616.0000,30941463.0000,30563639.0000,9.8778907125367665e-01,31767676.0000,31203028.0000,9.8222570640672613e-01,1.5121000000000000e+04,"Aa2","Aa2",3.8140000000000001e+01,1108546974.0000,1480806732.2900,6.2000000000000000e+01,5.5702250722997608e-02,2.8199999999999999e+01,2.5086599999999999e+03
"LISBON",7.4000000000000000e+01,7.3000000000000000e+01,"NL",8201148.0000,2508437.0000,11271549.0000,534724.0000,0.0000,40033.0000,0.0000,87126.0000,2410341.0000,2283182.0000,2370308.0000,"N",5004354.0000,7235811.0000,13544075.0000,10157341.0000,1474275.0000,14244621.0000,14622.0000,918392.0000,215000.0000,215000.0000,-900924.0000,177956.0000,2846.0000,0.0000,"N","N",,3845000.0000,3845000.0000,7154693.0000,7044040.0000,9.8453420712810458e-01,7334678.0000,7150873.0000,9.7494027686014306e-01,4.3420000000000000e+03,"Aa3","Aa3",1.6250000000000000e+01,368210844.0000,565256730.9500,1.9000000000000000e+01,6.7377398720682297e-02,1.9399999999999999e+01,6.1926999999999998e+02
"LITCHFIELD",7.5000000000000000e+01,7.4000000000000000e+01,"L",40477000.0000,14686000.0000,55173000.0000,2547000.0000,105000.0000,0.0000,0.0000,69000.0000,5101000.0000,4927000.0000,4996000.0000,"N",3729000.0000,25324000.0000,29612000.0000,18861000.0000,3308000.0000,29594000.0000,428000.0000,428000.0000,899000.0000,899000.0000,-453000.0000,659000.0000,-453000.0000,0.0000,"N","N",,27149000.0000,27149000.0000,25183000.0000,24783000.0000,9.8411626891156734e-01,25931000.0000,25303000.0000,9.7578188268867383e-01,8.2640000000000000e+03,"Aa2","Aa2",5.6060000000000002e+01,1110140980.0000,1421529440.5600,1.8000000000000000e+01,5.0398992020159600e-02,2.2600000000000001e+01,1.0043000000000000e+03
"LYME",7.6000000000000000e+01,7.5000000000000000e+01,"NL",7333248.0000,3879316.0000,11268564.0000,1349845.0000,0.0000,791031.0000,0.0000,1372526.0000,2954128.0000,790571.0000,2163097.0000,"N",947243.0000,8547287.0000,9758139.0000,6483107.0000,0.0000,11963446.0000,672666.0000,4172666.0000,252000.0000,252000.0000,-1784641.0000,154826.0000,1715359.0000,0.0000,"N","N",7420394.3812,3500000.0000,10920394.3812,8449911.0000,8374765.0000,9.9110688858143003e-01,8686834.0000,8483439.0000,9.7658583092528306e-01,2.3890000000000000e+03,,,3.1850000000000001e+01,608491084.0000,713714387.2800,0.0000000000000000e+00,4.7302904564315351e-02,1.4000000000000000e+01,2.9836000000000001e+02
"MADISON",7.7000000000000000e+01,7.6000000000000000e+01,"NH",84111236.0000,13544140.0000,98144670.0000,3446568.0000,0.0000,0.0000,0.0000,1423049.0000,10224649.0000,8801600.0000,10224649.0000,"N",9664222.0000,70211672.0000,82098836.0000,55604951.0000,4359069.0000,77272033.0000,67100.0000,67100.0000,3641166.0000,3641166.0000,1252737.0000,-1056980.0000,1252737.0000,0.0000,"N","N",,32865000.0000,32865000.0000,70277425.0000,69944224.0000,9.9525877620018088e-01,70951789.0000,70179021.0000,9.8910854805930259e-01,1.8259000000000000e+04,"Aaa","Aaa",3.6180000000000000e+01,3457789924.0000,4351612898.7500,9.0000000000000000e+00,4.8464544946957004e-02,2.0390000000000001e+01,3.2912100000000000e+03
"MANCHESTER",7.8000000000000000e+01,7.7000000000000000e+01,"H",104535000.0000,5824000.0000,113032000.0000,4172000.0000,23000.0000,1009000.0000,17000.0000,4410000.0000,19346000.0000,13887000.0000,18314000.0000,"N",48744000.0000,130519000.0000,183274000.0000,116985000.0000,9921000.0000,177343000.0000,1680000.0000,2227000.0000,3460000.0000,3460000.0000,4151000.0000,523000.0000,4698000.0000,0.0000,"N","N",,79135000.0000,79135000.0000,137283000.0000,134726000.0000,9.8137424153026964e-01,142185000.0000,136748000.0000,9.6176108590920284e-01,5.8106000000000000e+04,"Aa1","Aa1",2.7250000000000000e+01,3908022444.0000,5476686373.6600,7.0600000000000000e+02,6.4706062743414394e-02,3.7439999999999998e+01,7.2835500000000002e+03
"MANSFIELD",7.9000000000000000e+01,7.8000000000000000e+01,"T",74324418.0000,10580856.0000,85166752.0000,-3458769.0000,0.0000,0.0000,0.0000,140010.0000,3386034.0000,3246024.0000,3386034.0000,"N",20829546.0000,28291076.0000,50053639.0000,33381585.0000,635650.0000,46235278.0000,38550.0000,38550.0000,3645540.0000,3645540.0000,211371.0000,679568.0000,211371.0000,0.0000,"N","N",4555401.8606,2675767.0000,7231168.8606,28107020.0000,27746958.0000,9.8718960601301742e-01,28821676.0000,28092829.0000,9.7471184534861888e-01,2.5977000000000000e+04,"Aa2","Aa2",4.4460000000000001e+01,1011715713.0000,1369554703.7500,2.6000000000000000e+01,6.1799551713096382e-02,2.7949999999999999e+01,1.8682200000000000e+03
"MARLBOROUGH",8.0000000000000000e+01,7.9000000000000000e+01,"H",28526504.0000,6719069.0000,35245573.0000,1035548.0000,0.0000,0.0000,0.0000,642167.0000,2953953.0000,2311786.0000,2953953.0000,"N",4287160.0000,17710133.0000,22344067.0000,15434472.0000,2635702.0000,22665709.0000,233753.0000,417298.0000,418349.0000,418349.0000,-506238.0000,563043.0000,-322693.0000,0.0000,"N","N",5659142.5598,16475572.0000,22134714.5598,17554560.0000,17410634.0000,9.9180121860075099e-01,17820795.0000,17599867.0000,9.8760279774274939e-01,6.4300000000000000e+03,"Aa2","Aa2",2.3280000000000001e+01,567632905.0000,819164511.7000,1.3000000000000000e+01,5.0747110234000567e-02,3.0760000000000002e+01,1.1726400000000001e+03
"MERIDEN",8.1000000000000000e+01,8.0000000000000000e+01,"NH",187903368.0000,-94573020.0000,94687029.0000,32052049.0000,130799.0000,948144.0000,404908.0000,0.0000,17526836.0000,16042985.0000,16447893.0000,"Y",74901851.0000,114074859.0000,194900435.0000,113672829.0000,11573699.0000,195099576.0000,851982.0000,851982.0000,537957.0000,537957.0000,114884.0000,240216.0000,114884.0000,0.0000,"Y","Y",,78733203.0000,78733203.0000,113821418.0000,110777791.0000,9.7325962851736747e-01,121893337.0000,112648131.0000,9.2415331118549982e-01,6.0293000000000000e+04,"A1","A1",2.3739999999999998e+01,3218470206.0000,4263929656.5000,1.1530000000000000e+03,8.4938622800779198e-02,3.4990000000000002e+01,9.0015400000000009e+03
"MIDDLEBURY",8.2000000000000000e+01,8.1000000000000000e+01,"NH",40011019.0000,7124145.0000,47135164.0000,736080.0000,822941.0000,0.0000,0.0000,112287.0000,3958984.0000,3023756.0000,3136043.0000,"N",1444580.0000,27151682.0000,29575270.0000,19694996.0000,756623.0000,29870464.0000,286179.0000,286179.0000,211943.0000,211943.0000,-220958.0000,91046.0000,-220958.0000,0.0000,"N","N",5754561.7396,7674018.0000,13428579.7396,26883133.0000,26568052.0000,9.8827960267875026e-01,27680859.0000,27031338.0000,9.7653537413705260e-01,7.5910000000000000e+03,"Aa2","Aa2",1.7750000000000000e+01,927388544.0000,1338288168.7700,9.0000000000000000e+00,5.0762756443976854e-02,2.8859999999999999e+01,1.2802700000000000e+03
"MIDDLEFIELD",8.3000000000000000e+01,8.2000000000000000e+01,"M",6610097.0000,5180010.0000,11790107.0000,327064.0000,0.0000,0.0000,0.0000,350000.0000,1841380.0000,1491380.0000,1841380.0000,"N",2558866.0000,13487421.0000,16748420.0000,11969987.0000,2806867.0000,17792694.0000,260695.0000,1587695.0000,565807.0000,565807.0000,-1349386.0000,206806.0000,-22386.0000,0.0000,"N","N",3873978.0000,3064618.0000,6938596.0000,13411359.0000,13218715.0000,9.8563575846414964e-01,13754063.0000,13433086.0000,9.7666311401947192e-01,4.4240000000000000e+03,,,1.2699999999999999e+01,403493320.0000,543459169.2300,9.0000000000000000e+00,5.4843875100080063e-02,3.3240000000000002e+01,6.6814999999999998e+02
"MIDDLETOWN",8.4000000000000000e+01,8.3000000000000000e+01,"M",289881000.0000,-12643000.0000,278561000.0000,-16382000.0000,0.0000,0.0000,0.0000,3068000.0000,19864000.0000,16796000.0000,19864000.0000,"N",36163000.0000,98375000.0000,143238000.0000,82259000.0000,12866000.0000,132429000.0000,469000.0000,469000.0000,12832000.0000,12832000.0000,-1554000.0000,4560000.0000,-1554000.0000,0.0000,"N","N",,70905000.0000,70905000.0000,106182000.0000,103804000.0000,9.7760449040326991e-01,110561000.0000,105712000.0000,9.5614185834064458e-01,4.7043000000000000e+04,"Aa2","Aa2",4.0899999999999999e+01,3573042211.0000,4608171738.1800,4.3500000000000000e+02,6.5444925813748417e-02,2.7699999999999999e+01,5.1295799999999999e+03
"MILFORD",8.5000000000000000e+01,8.4000000000000000e+01,"NH",166869000.0000,-72319000.0000,94805000.0000,-9948000.0000,21000.0000,0.0000,1054000.0000,6959000.0000,22848000.0000,14814000.0000,22827000.0000,"N",27759000.0000,165899000.0000,203027000.0000,123068000.0000,12648000.0000,203755000.0000,1327000.0000,1327000.0000,1625000.0000,1625000.0000,-1026000.0000,2805000.0000,-1026000.0000,0.0000,"N","N",,154890000.0000,154890000.0000,167368000.0000,164519000.0000,9.8297763013240280e-01,173310000.0000,165492000.0000,9.5489008135710574e-01,5.3358000000000000e+04,"Aa1","Aa1",2.2559999999999999e+01,6440527586.0000,9443606029.9900,1.4800000000000000e+02,5.7066594587289250e-02,2.6280000000000001e+01,6.5584899999999998e+03
"MONROE",8.6000000000000000e+01,8.5000000000000000e+01,"F",42870105.0000,122549.0000,43183485.0000,3329622.0000,34269.0000,0.0000,0.0000,692998.0000,6672272.0000,5945005.0000,6638003.0000,"N",14609179.0000,70058508.0000,85840388.0000,58266029.0000,6052772.0000,88666632.0000,57865.0000,7975715.0000,426545.0000,4229749.0000,-3194924.0000,1129580.0000,919722.0000,0.0000,"N","Y",,44593006.0000,44593006.0000,70069868.0000,69304734.0000,9.8908041328121243e-01,70751889.0000,69729316.0000,9.8554705726655578e-01,1.9867000000000000e+04,"Aa2","Aa2",2.6129999999999999e+01,2307984642.0000,3207048912.4700,1.1000000000000000e+01,5.7103475435660134e-02,3.0410000000000000e+01,3.4252399999999998e+03
"MONTVILLE",8.7000000000000000e+01,8.6000000000000000e+01,"NL",54945001.0000,16599620.0000,71689120.0000,3882973.0000,45595.0000,0.0000,0.0000,1240047.0000,9822792.0000,8537150.0000,9777197.0000,"N",22109764.0000,36002557.0000,60806744.0000,41200103.0000,4384287.0000,60331560.0000,656601.0000,656601.0000,483131.0000,483131.0000,648654.0000,3245488.0000,648654.0000,0.0000,"N","N",,40650200.0000,40650200.0000,36196777.0000,35271962.0000,9.7445034954355192e-01,37806989.0000,36006070.0000,9.5236544756314767e-01,1.9635000000000000e+04,"Aa3","Aa3",4.2009999999999998e+01,1241891661.0000,1776946040.8200,9.2000000000000000e+01,6.8965517241379309e-02,2.9059999999999999e+01,2.4961399999999999e+03
"MORRIS",8.8000000000000000e+01,8.7000000000000000e+01,"L",5129584.0000,2367926.0000,7691867.0000,67484.0000,0.0000,0.0000,0.0000,150000.0000,1729622.0000,1579622.0000,1729622.0000,"N",709962.0000,7567197.0000,8495687.0000,5957858.0000,0.0000,8296784.0000,0.0000,0.0000,120000.0000,120000.0000,78903.0000,148755.0000,78903.0000,0.0000,"N","N",833291.5391,0.0000,833291.5391,7492662.0000,7422587.0000,9.9064751619651337e-01,7599223.0000,7493897.0000,9.8613989877649333e-01,2.3140000000000000e+03,,,1.7190000000000001e+01,353616808.0000,464963219.2500,7.0000000000000000e+00,4.9929676511954992e-02,2.1649999999999999e+01,3.2639999999999998e+02
"NAUGATUCK",8.9000000000000000e+01,8.8000000000000000e+01,"NH",129094722.0000,-29632327.0000,101637063.0000,12785235.0000,0.0000,0.0000,0.0000,1617727.0000,15246098.0000,13628371.0000,15246098.0000,"N",39250092.0000,71270654.0000,117785848.0000,66204553.0000,7795221.0000,112695401.0000,58617.0000,62755.0000,3601063.0000,3601063.0000,1548001.0000,1254560.0000,1552139.0000,0.0000,"N","N",,89757218.0000,89757218.0000,70459746.0000,66914810.0000,9.4968849305814984e-01,80919649.0000,69482505.0000,8.5866048430338593e-01,3.1659000000000000e+04,"Aa2","Aa2",1.6390000000000001e+01,1566229089.0000,2254139970.0000,2.6800000000000000e+02,7.5599792877279789e-02,4.4799999999999997e+01,4.5932799999999997e+03
"NEW BRITAIN",9.0000000000000000e+01,8.9000000000000000e+01,"H",125383000.0000,-25437000.0000,102801000.0000,-14231000.0000,0.0000,0.0000,0.0000,0.0000,4965000.0000,4965000.0000,4965000.0000,"N",107833000.0000,108353000.0000,230246000.0000,141020000.0000,46383000.0000,249193000.0000,11364000.0000,11364000.0000,47000.0000,47000.0000,-7630000.0000,395000.0000,-7630000.0000,0.0000,"N","Y",,210533000.0000,210533000.0000,108247000.0000,105001000.0000,9.7001302576514825e-01,118620000.0000,107047000.0000,9.0243635137413591e-01,7.2878000000000000e+04,"Baa1","A2",1.3340000000000000e+01,2441301264.0000,3498493915.7100,2.6250000000000000e+03,9.4805548001087842e-02,4.4119999999999997e+01,1.1002510000000000e+04
"NEW CANAAN",9.1000000000000000e+01,9.0000000000000000e+01,"F",97437742.0000,63864740.0000,162397524.0000,16359544.0000,760229.0000,0.0000,0.0000,9545033.0000,31633861.0000,21328599.0000,30873632.0000,"N",14458604.0000,122509946.0000,145566683.0000,86457443.0000,14033381.0000,140102256.0000,10000.0000,1619845.0000,827484.0000,827484.0000,4646943.0000,2120655.0000,6256788.0000,0.0000,"Y","N",,128254762.0000,128254762.0000,121316433.0000,120824077.0000,9.9594155558464204e-01,122696840.0000,121388621.0000,9.8933779386657394e-01,2.0314000000000000e+04,"Aaa","Aaa",2.2129999999999999e+01,8299347038.0000,11387799065.7300,2.4000000000000000e+01,4.9553894381480591e-02,1.4586000000000000e+01,4.2280100000000002e+03
"NEW FAIRFIELD",9.2000000000000000e+01,9.1000000000000000e+01,"F",71171509.0000,12520431.0000,85487846.0000,2953732.0000,1227.0000,0.0000,0.0000,984066.0000,7246381.0000,6261088.0000,7245154.0000,"N",9952002.0000,43312416.0000,56049928.0000,35664277.0000,3012259.0000,54192123.0000,0.0000,0.0000,1762822.0000,1762822.0000,94983.0000,302356.0000,94983.0000,0.0000,"N","N",,27060000.0000,27060000.0000,42037398.0000,41774432.0000,9.9374447486021855e-01,42017657.0000,41763545.0000,9.9395225678576038e-01,1.4149000000000000e+04,"Aa1","Aa1",2.0460000000000001e+01,1687072376.0000,2238854493.2600,1.6000000000000000e+01,5.2280311457174641e-02,2.5640000000000001e+01,2.6428899999999999e+03
"NEW HARTFORD",9.3000000000000000e+01,9.2000000000000000e+01,"L",12513900.0000,1590443.0000,14740482.0000,616421.0000,0.0000,17865.0000,0.0000,999022.0000,3459665.0000,2442778.0000,3441800.0000,"N",5105988.0000,17985887.0000,23428724.0000,17925220.0000,682187.0000,23191070.0000,201.0000,201.0000,782128.0000,782128.0000,-544273.0000,44234.0000,-544273.0000,0.0000,"N","N",2072552.6701,6741305.0000,8813857.6701,17927099.0000,17675720.0000,9.8597770894219972e-01,18420946.0000,17892348.0000,9.7130451389412897e-01,6.8120000000000000e+03,"Aa3","Aa3",3.7020000000000003e+01,715256311.0000,939030593.4300,1.4000000000000000e+01,5.6760847628657921e-02,2.4949999999999999e+01,1.1043299999999999e+03
"NEW HAVEN",9.4000000000000000e+01,9.3000000000000000e+01,"NH",952587372.0000,-190023485.0000,783329645.0000,-29487603.0000,0.0000,0.0000,0.0000,0.0000,22047.0000,22047.0000,22047.0000,"N",241889965.0000,243999342.0000,529517012.0000,210739315.0000,62281760.0000,524264354.0000,0.0000,27568018.0000,2474489.0000,28077074.0000,2778169.0000,-13513351.0000,4743602.0000,0.0000,"Y","Y",,575831359.0000,575831359.0000,245563607.0000,240521693.0000,9.7946799176964361e-01,253711237.0000,242488807.0000,9.5576691780506351e-01,1.3028200000000000e+05,"A3","A3",1.8850000000000001e+01,6077165950.0000,9330121968.7600,4.4810000000000000e+03,9.0173696502869161e-02,4.0799999999999997e+01,1.8738349999999999e+04
"NEW LONDON",9.5000000000000000e+01,9.5000000000000000e+01,"NL",195211659.0000,10713352.0000,207197176.0000,-3210553.0000,0.0000,0.0000,0.0000,200000.0000,2319321.0000,2119321.0000,2319321.0000,"N",37911660.0000,43203129.0000,86667709.0000,45031924.0000,5955958.0000,80594946.0000,50000.0000,50000.0000,5274600.0000,5274600.0000,848163.0000,208169.0000,848163.0000,0.0000,"N","Y",,50250400.0000,50250400.0000,43339999.0000,42380488.0000,9.7786084397463879e-01,44515152.0000,42907295.0000,9.6388068044786190e-01,2.7374000000000000e+04,,,5.5400000000000000e+00,1569776194.0000,1837874031.7600,7.0300000000000000e+02,9.7536945812807876e-02,2.7500000000000000e+01,3.5327300000000000e+03
"NEW MILFORD",9.6000000000000000e+01,9.6000000000000000e+01,"L",101661774.0000,59844488.0000,161701216.0000,4075806.0000,32753.0000,0.0000,141312.0000,3570118.0000,19510951.0000,15766768.0000,19478198.0000,"N",24262031.0000,74688984.0000,103489329.0000,66335339.0000,5802061.0000,101009990.0000,1276241.0000,3203380.0000,3558949.0000,3558949.0000,196631.0000,3833406.0000,2123770.0000,0.0000,"N","N",,21452541.0000,21452541.0000,73976276.0000,72702537.0000,9.8278179074599537e-01,76260961.0000,73854974.0000,9.6845060738219646e-01,2.7474000000000000e+04,"Aa1","Aa1",6.1579999999999998e+01,2884668215.0000,4007864030.0100,7.4000000000000000e+01,5.5757261410788385e-02,2.5850000000000001e+01,4.4253999999999996e+03
"NEWINGTON",9.7000000000000000e+01,9.4000000000000000e+01,"H",77244000.0000,34250000.0000,112156000.0000,4055000.0000,0.0000,0.0000,0.0000,4877000.0000,20060000.0000,15183000.0000,20060000.0000,"N",26354000.0000,85646000.0000,113251000.0000,74223000.0000,2158000.0000,108305000.0000,433000.0000,433000.0000,4955000.0000,4955000.0000,424000.0000,1043000.0000,424000.0000,0.0000,"N","N",,9895000.0000,9895000.0000,85346000.0000,84607000.0000,9.9134112905115646e-01,86246000.0000,85019000.0000,9.8577325325232479e-01,3.0685000000000000e+04,"Aa2","Aa2",1.3170000000000000e+01,2536619686.0000,3651832565.5000,6.8000000000000000e+01,5.4013065795613623e-02,3.3630000000000003e+01,4.3826999999999998e+03
"NEWTOWN",9.8000000000000000e+01,9.7000000000000000e+01,"F",172186652.0000,18209822.0000,195818176.0000,10982021.0000,0.0000,0.0000,0.0000,958996.0000,11201491.0000,10242495.0000,11201491.0000,"N",16438269.0000,100427517.0000,119202654.0000,79695025.0000,10158928.0000,118493278.0000,103627.0000,164624.0000,478741.0000,478741.0000,334262.0000,1615591.0000,395259.0000,0.0000,"N","N",,74202189.0000,74202189.0000,99925361.0000,99196280.0000,9.9270374414759432e-01,101900940.0000,100064471.0000,9.8197789932065394e-01,2.8152000000000000e+04,"Aa1","Aa1",5.7759999999999998e+01,3037125308.0000,4339760782.8600,2.8000000000000000e+01,4.9468721412989934e-02,3.3320000000000000e+01,5.0199300000000003e+03
"NORFOLK",9.9000000000000000e+01,9.8000000000000000e+01,"L",4398857.0000,1884013.0000,6282870.0000,-56283.0000,0.0000,0.0000,0.0000,125000.0000,1091781.0000,966781.0000,1091781.0000,"N",1014179.0000,6250980.0000,7460894.0000,4516476.0000,314481.0000,7726580.0000,5919.0000,165919.0000,105120.0000,105120.0000,-364887.0000,-291124.0000,-204887.0000,0.0000,"N","N",411565.0736,1798142.0000,2209707.0736,6263392.0000,6145462.0000,9.8117154410900675e-01,6447746.0000,6239037.0000,9.6763070381494554e-01,1.6550000000000000e+03,,,4.5310000000000002e+01,309443430.0000,379041219.0300,1.0000000000000000e+00,5.9602649006622516e-02,2.0219999999999999e+01,2.1809000000000000e+02
"NORTH BRANFORD",1.0000000000000000e+02,9.9000000000000000e+01,"NH",58139996.0000,13107755.0000,71787610.0000,7362015.0000,2004.0000,0.0000,777000.0000,770917.0000,6535116.0000,4985195.0000,6533112.0000,"N",12177678.0000,38210475.0000,50793886.0000,33134078.0000,5627213.0000,51408323.0000,241497.0000,516529.0000,451000.0000,451000.0000,-823940.0000,85031.0000,-548908.0000,0.0000,"N","N",,40272774.0000,40272774.0000,36583775.0000,36062304.0000,9.8574583951492156e-01,37426409.0000,36237818.0000,9.6824191709121754e-01,1.4322000000000000e+04,"Aa2","Aa2",2.4920000000000002e+01,1261064588.0000,1785286052.1000,2.7000000000000000e+01,5.1741170659422082e-02,2.9100000000000001e+01,2.1155400000000000e+03
"NORTH CANAAN",1.0100000000000000e+02,1.0000000000000000e+02,"L",9891763.0000,2100141.0000,12957982.0000,281237.0000,0.0000,0.0000,0.0000,16053.0000,836774.0000,820721.0000,836774.0000,"N",2752469.0000,7887269.0000,11263956.0000,8765855.0000,157912.0000,11241840.0000,0.0000,169874.0000,105665.0000,105665.0000,-83549.0000,-93399.0000,86325.0000,0.0000,"N","N",1720050.9816,888878.0000,2608928.9816,7863170.0000,7638367.0000,9.7141063972926944e-01,8353531.0000,7809451.0000,9.3486826109821108e-01,3.2140000000000000e+03,,,1.9449999999999999e+01,308491940.0000,440728485.7100,5.0000000000000000e+00,5.2662721893491124e-02,2.5500000000000000e+01,4.3330000000000001e+02
