MUNICIPALITY,NUMBERED,TOWN CODE,2014 Net GL,2014 GL Tax Exempt Property,Total Assessed Value 2014 GL,Tax Exempt Property as a % of 2014 GL
"OLD LYME",1.0600000000000000e+02,1.0500000000000000e+02,1.5646569850000000e+09,1.0319997000000000e+08,1.6678569550000000e+09,6.1875791980014257e-02
"OLD SAYBROOK",1.0700000000000000e+02,1.0600000000000000e+02,2.2190869040000000e+09,1.5667160000000000e+08,2.3757585040000000e+09,6.5945928315616381e-02
"ORANGE",1.0800000000000000e+02,1.0700000000000000e+02,1.9210641200000000e+09,1.5802513000000000e+08,2.0790892500000000e+09,7.6006900617662271e-02
"OXFORD",1.0900000000000000e+02,1.0800000000000000e+02,1.4425781570000000e+09,1.0799110000000000e+08,1.5505692570000000e+09,6.9646099013299351e-02
"PLAINFIELD",1.1000000000000000e+02,1.0900000000000000e+02,9.1062096000000000e+08,1.2037916000000000e+08,1.0310001200000000e+09,1.1675959843729213e-01
"PLAINVILLE",1.1100000000000000e+02,1.1000000000000000e+02,1.3633705760000000e+09,1.2017918000000000e+08,1.4835497560000000e+09,8.1007852627761820e-02
"PLYMOUTH",1.1200000000000000e+02,1.1100000000000000e+02,7.6417335800000000e+08,4.8404690000000000e+07,8.1257804800000000e+08,5.9569280906786197e-02
"POMFRET",1.1300000000000000e+02,1.1200000000000000e+02,3.6370672100000000e+08,1.0003148000000000e+08,4.6373820100000000e+08,2.1570679272118021e-01
"PORTLAND",1.1400000000000000e+02,1.1300000000000000e+02,8.0454681100000000e+08,5.1336010000000000e+07,8.5588282100000000e+08,5.9980185067880921e-02
"PRESTON",1.1500000000000000e+02,1.1400000000000000e+02,3.9407684900000000e+08,9.6456791000000000e+07,4.9053364000000000e+08,1.9663644475025199e-01
"PROSPECT",1.1600000000000000e+02,1.1500000000000000e+02,8.2390941100000000e+08,3.2167120000000000e+07,8.5607653100000000e+08,3.7575051803400039e-02
"PUTNAM",1.1700000000000000e+02,1.1600000000000000e+02,6.1007551100000000e+08,1.1910370000000000e+08,7.2917921100000000e+08,1.6333940710769934e-01
"REDDING",1.1800000000000000e+02,1.1700000000000000e+02,1.6310231180000000e+09,1.9697274000000000e+08,1.8279958580000000e+09,1.0775338419831365e-01
"RIDGEFIELD",1.1900000000000000e+02,1.1800000000000000e+02,4.7117459700000000e+09,4.8374239700000000e+08,5.1954883670000000e+09,9.3108166707208798e-02
"ROCKY HILL",1.2000000000000000e+02,1.1900000000000000e+02,2.0184350600000000e+09,2.2979103000000000e+08,2.2482260900000000e+09,1.0220992942929508e-01
"ROXBURY",1.2100000000000000e+02,1.2000000000000000e+02,6.9822572000000000e+08,5.2854960000000000e+07,7.5108068000000000e+08,7.0371880687970831e-02
"SALEM",1.2200000000000000e+02,1.2100000000000000e+02,3.6662427600000000e+08,2.8329410000000000e+07,3.9495368600000000e+08,7.1728435520918274e-02
"SALISBURY",1.2300000000000000e+02,1.2200000000000000e+02,1.1797043700000000e+09,1.8064644000000000e+08,1.3603508100000000e+09,1.3279401068611119e-01
