Municipality,November 2015 Labor Force,November 2015 Unemployed,November 2015 Unemp Rate
"Guilford ",1.2751000000000000e+04,4.3300000000000000e+02,3.3958120931691635e-02
"Haddam ",5.0200000000000000e+03,1.7700000000000000e+02,3.5258964143426295e-02
"Hamden",3.5119000000000000e+04,1.6490000000000000e+03,4.6954639938494830e-02
"Hampton",1.0240000000000000e+03,4.9000000000000000e+01,4.7851562500000000e-02
"Hartford ",5.3809000000000000e+04,5.0520000000000000e+03,9.3887639614190929e-02
"Hartland ",1.1310000000000000e+03,4.4000000000000000e+01,3.8903625110521665e-02
"Harwinton ",3.1860000000000000e+03,1.2200000000000000e+02,3.8292529817953544e-02
"Hebron ",5.4510000000000000e+03,1.8600000000000000e+02,3.4122179416620803e-02
"Kent ",1.5200000000000000e+03,5.8000000000000000e+01,3.8157894736842106e-02
"Killingly ",9.5070000000000000e+03,5.9900000000000000e+02,6.3006205953507935e-02
"Killingworth",3.7960000000000000e+03,1.2900000000000000e+02,3.3983140147523710e-02
"Lebanon",4.0260000000000000e+03,1.6800000000000000e+02,4.1728763040238454e-02
"Ledyard ",7.9350000000000000e+03,3.4400000000000000e+02,4.3352236925015754e-02
"Lisbon ",2.3260000000000000e+03,1.1500000000000000e+02,4.9441100601891656e-02
"Litchfield",4.7080000000000000e+03,1.6600000000000000e+02,3.5259133389974509e-02
"Lyme ",1.1980000000000000e+03,4.3000000000000000e+01,3.5893155258764610e-02
"Madison ",8.9650000000000000e+03,3.1600000000000000e+02,3.5248187395426657e-02
"Manchester",3.2649000000000000e+04,1.6000000000000000e+03,4.9006095133082177e-02
"Mansfield ",1.2540000000000000e+04,6.2400000000000000e+02,4.9760765550239235e-02
"Marlborough ",3.5520000000000000e+03,1.2900000000000000e+02,3.6317567567567564e-02
"Meriden ",3.2131000000000000e+04,2.0520000000000000e+03,6.3863558557156641e-02
"Middlebury",3.7870000000000000e+03,1.5200000000000000e+02,4.0137311856350673e-02
"Middlefield ",2.5000000000000000e+03,1.0000000000000000e+02,4.0000000000000001e-02
"Middletown ",2.6094000000000000e+04,1.2870000000000000e+03,4.9321683145550702e-02
"Milford",2.9716000000000000e+04,1.2880000000000000e+03,4.3343653250773995e-02
"Monroe ",1.0204000000000000e+04,4.5200000000000000e+02,4.4296354370834970e-02
"Montville ",9.4030000000000000e+03,5.2700000000000000e+02,5.6045942784217803e-02
"Morris",1.4050000000000000e+03,5.2000000000000000e+01,3.7010676156583627e-02
"Naugatuck ",1.7182000000000000e+04,9.7700000000000000e+02,5.6861832149924338e-02
"New Britain ",3.6534000000000000e+04,2.6680000000000000e+03,7.3027864455028194e-02
"New Canaan ",8.3420000000000000e+03,3.2400000000000000e+02,3.8839606808918722e-02
"New Fairfield",7.2020000000000000e+03,2.9300000000000000e+02,4.0683143571230214e-02
"New Hartford",3.9490000000000000e+03,1.6100000000000000e+02,4.0769815143074199e-02
"New Haven",6.4149000000000000e+04,4.3530000000000000e+03,6.7857643922742364e-02
"New London ",1.2008000000000000e+04,8.9600000000000000e+02,7.4616922051965351e-02
"New Milford",1.5384000000000000e+04,6.4200000000000000e+02,4.1731669266770674e-02
"Newington ",1.7222000000000000e+04,7.1200000000000000e+02,4.1342468935083032e-02
"Newtown ",1.4234000000000000e+04,5.5800000000000000e+02,3.9201910917521426e-02
"Norfolk",8.9200000000000000e+02,3.5000000000000000e+01,3.9237668161434980e-02
"North Branford ",8.1180000000000000e+03,3.2600000000000000e+02,4.0157674304015768e-02
"North Canaan ",1.6740000000000000e+03,6.7000000000000000e+01,4.0023894862604541e-02
"North Haven ",1.3261000000000000e+04,5.4800000000000000e+02,4.1324183696553801e-02
"North Stonington ",2.8610000000000000e+03,1.1300000000000000e+02,3.9496679482698360e-02
"Norwalk",5.0073000000000000e+04,2.1890000000000000e+03,4.3716174385397322e-02
"Norwich",2.0298000000000000e+04,1.3030000000000000e+03,6.4193516602620945e-02
"Old Lyme ",3.7130000000000000e+03,1.4600000000000000e+02,3.9321303528144357e-02
"Old Saybrook ",5.0480000000000000e+03,2.0000000000000000e+02,3.9619651347068144e-02
"Orange ",7.1800000000000000e+03,2.6700000000000000e+02,3.7186629526462393e-02
"Oxford",7.0920000000000000e+03,2.8500000000000000e+02,4.0186125211505920e-02
"Plainfield ",8.5720000000000000e+03,5.2700000000000000e+02,6.1479234717685488e-02
"Plainville ",1.0381000000000000e+04,4.7200000000000000e+02,4.5467681340911281e-02
"Plymouth ",6.6680000000000000e+03,3.8700000000000000e+02,5.8038392321535695e-02
"Pomfret ",2.4510000000000000e+03,9.3000000000000000e+01,3.7943696450428395e-02
"Portland ",5.4350000000000000e+03,2.1700000000000000e+02,3.9926402943882243e-02
"Preston ",2.3980000000000000e+03,1.1200000000000000e+02,4.6705587989991658e-02
"Prospect",5.4970000000000000e+03,2.2800000000000000e+02,4.1477169365108243e-02
"Putnam ",4.8070000000000000e+03,2.9100000000000000e+02,6.0536717287289370e-02
"Redding",4.4540000000000000e+03,1.6400000000000000e+02,3.6820835204310731e-02
"Ridgefield ",1.1776000000000000e+04,4.1100000000000000e+02,3.4901494565217392e-02
"Rocky Hill ",1.1428000000000000e+04,4.3100000000000000e+02,3.7714385719285967e-02
"Roxbury ",1.3040000000000000e+03,3.5000000000000000e+01,2.6840490797546013e-02
"Salem ",2.1100000000000000e+03,1.0600000000000000e+02,5.0236966824644548e-02
"Salisbury ",1.7670000000000000e+03,4.6000000000000000e+01,2.6032823995472552e-02
"Scotland ",9.4500000000000000e+02,3.9000000000000000e+01,4.1269841269841269e-02
"Seymour ",8.9950000000000000e+03,4.8500000000000000e+02,5.3918843802112287e-02
"Sharon ",1.4470000000000000e+03,4.3000000000000000e+01,2.9716655148583276e-02
"Shelton ",2.2040000000000000e+04,1.0300000000000000e+03,4.6733212341197823e-02
"Sherman ",1.8820000000000000e+03,7.0000000000000000e+01,3.7194473963868227e-02
"Simsbury ",1.2865000000000000e+04,4.2600000000000000e+02,3.3113097551496308e-02
"Somers ",5.1360000000000000e+03,2.1400000000000000e+02,4.1666666666666664e-02
"South Windsor ",1.3955000000000000e+04,5.4800000000000000e+02,3.9269079183088501e-02
"Southbury ",8.8210000000000000e+03,4.1200000000000000e+02,4.6706722593810222e-02
"Southington",2.4167000000000000e+04,9.7600000000000000e+02,4.0385649853105478e-02
"Sprague",1.6190000000000000e+03,9.8000000000000000e+01,6.0531192093885113e-02
"Stafford ",6.7830000000000000e+03,3.4600000000000000e+02,5.1009877635264635e-02
"Stamford ",6.9021000000000000e+04,2.8770000000000000e+03,4.1682966053809709e-02
"Sterling ",2.0050000000000000e+03,1.3200000000000000e+02,6.5835411471321700e-02
"Stonington ",9.5060000000000000e+03,4.1000000000000000e+02,4.3130654323585108e-02
"Stratford",2.7573000000000000e+04,1.5630000000000000e+03,5.6685888369056685e-02
"Suffield ",7.5020000000000000e+03,2.9600000000000000e+02,3.9456145027992537e-02
"Thomaston ",4.6860000000000000e+03,1.9400000000000000e+02,4.1399914639351262e-02
"Thompson ",5.1600000000000000e+03,2.4500000000000000e+02,4.7480620155038761e-02
"Tolland ",8.5050000000000000e+03,2.8500000000000000e+02,3.3509700176366841e-02
"Torrington",1.9696000000000000e+04,1.0880000000000000e+03,5.5239642567018681e-02
"Trumbull ",1.8086000000000000e+04,7.4000000000000000e+02,4.0915625345571159e-02
"Union ",4.6300000000000000e+02,2.3000000000000000e+01,4.9676025917926567e-02
"Vernon ",1.7007000000000000e+04,8.1900000000000000e+02,4.8156641382959955e-02
"Voluntown ",1.4710000000000000e+03,7.6000000000000000e+01,5.1665533650577841e-02
"Wallingford",2.6111000000000000e+04,1.0950000000000000e+03,4.1936348665313469e-02
"Warren ",7.9000000000000000e+02,3.3000000000000000e+01,4.1772151898734178e-02
"Washington ",2.0160000000000000e+03,5.9000000000000000e+01,2.9265873015873016e-02
"Waterbury",5.0654000000000000e+04,4.2320000000000000e+03,8.3547202590121217e-02
"Waterford ",1.0087000000000000e+04,4.5900000000000000e+02,4.5504114206404281e-02
"Watertown",1.2905000000000000e+04,5.6600000000000000e+02,4.3858969391708642e-02
"West Hartford",3.4056000000000000e+04,1.2420000000000000e+03,3.6469344608879489e-02
"West Haven ",3.0031000000000000e+04,1.8740000000000000e+03,6.2402184409443576e-02
"Westbrook ",3.5930000000000000e+03,1.6600000000000000e+02,4.6200946284441970e-02
"Weston ",4.3580000000000000e+03,1.7000000000000000e+02,3.9008719596145019e-02
"Westport",1.2406000000000000e+04,4.6600000000000000e+02,3.7562469772690635e-02
"Wethersfield ",1.3946000000000000e+04,5.7800000000000000e+02,4.1445575792341892e-02
"Willington",3.6040000000000000e+03,1.2500000000000000e+02,3.4683684794672584e-02
"Wilton ",8.4900000000000000e+03,3.2300000000000000e+02,3.8044758539458184e-02
"Winchester ",6.2460000000000000e+03,3.1800000000000000e+02,5.0912584053794431e-02
"Windham",1.2375000000000000e+04,7.8300000000000000e+02,6.3272727272727272e-02
"Windsor",1.6464000000000000e+04,7.9100000000000000e+02,4.8044217687074828e-02
"Windsor Locks ",7.3300000000000000e+03,3.5400000000000000e+02,4.8294679399727147e-02
"Wolcott ",9.7480000000000000e+03,4.0300000000000000e+02,4.1341813705375464e-02
"Woodbridge ",4.8630000000000000e+03,1.7100000000000000e+02,3.5163479333744599e-02
"Woodbury",5.4600000000000000e+03,1.9500000000000000e+02,3.5714285714285712e-02
"Woodstock ",4.0900000000000000e+03,1.6600000000000000e+02,4.0586797066014667e-02
