Municipality,numbered,County_Identifier,Curr_Year_Taxes_Collected,Curr_Year_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Total_Adjusted_Taxes_Collectible
"MANSFIELD",79,"T",28189833.0000,28503460.0000,28544589.0000,29240983.0000
"MARLBOROUGH",80,"H",17980066.0000,18142932.0000,18117015.0000,18349674.0000
"MERIDEN",81,"NH",113706112.0000,116512751.0000,116340103.0000,124928331.0000
"MIDDLEBURY",82,"NH",26851393.0000,27288231.0000,27134933.0000,27937925.0000
"MIDDLEFIELD",83,"M",13549440.0000,13775104.0000,13696996.0000,14081391.0000
"MIDDLETOWN",84,"M",112779000.0000,115463000.0000,114515000.0000,120099000.0000
"MILFORD",85,"NH",169954000.0000,173188000.0000,171194000.0000,179574000.0000
"MONROE",86,"F",70803834.0000,71651461.0000,71342414.0000,72467854.0000
"MONTVILLE",87,"NL",35912024.0000,36794710.0000,36309953.0000,38528146.0000
"MORRIS",88,"L",7689651.0000,7734679.0000,7755283.0000,7842050.0000
"NAUGATUCK",89,"NH",66150067.0000,70156534.0000,68960775.0000,81383933.0000
"NEW BRITAIN",90,"H",115690000.0000,120217000.0000,117890000.0000,131187000.0000
"NEW CANAAN",91,"F",125033642.0000,125351665.0000,125926198.0000,126458468.0000
"NEW FAIRFIELD",92,"F",43875705.0000,44087482.0000,43990851.0000,44324401.0000
"NEW HARTFORD",93,"L",17840536.0000,18082005.0000,18072008.0000,18600461.0000
"NEW HAVEN",94,"NH",247382319.0000,252620573.0000,247911665.0000,259120816.0000
"NEW LONDON",95,"NL",46378721.0000,47694829.0000,46980519.0000,49326813.0000
"NEW MILFORD",96,"L",74757218.0000,75922867.0000,76098978.0000,77914047.0000
"NEWINGTON",97,"H",87879000.0000,88599000.0000,88509000.0000,89737000.0000
"NEWTOWN",98,"F",99928950.0000,100736217.0000,100374316.0000,102244392.0000
"NORFOLK",99,"L",6502880.0000,6586579.0000,6625825.0000,6820210.0000
"NORTH BRANFORD",100,"NH",37356707.0000,37796012.0000,37917616.0000,38969093.0000
"NORTH CANAAN",101,"L",8381187.0000,8580503.0000,8587476.0000,9068735.0000
"NORTH HAVEN",102,"NH",78180991.0000,79175603.0000,78825314.0000,81344004.0000
"NORTH STONINGTON",103,"NL",13348746.0000,13691162.0000,13550602.0000,14120110.0000
"NORWALK",104,"F",290306222.0000,294159210.0000,293446291.0000,300018094.0000
"NORWICH",105,"NL",66532000.0000,69247000.0000,68251000.0000,72429000.0000
"OLD LYME",106,"NL",31315038.0000,31720793.0000,31719684.0000,32437135.0000
"OLD SAYBROOK",107,"M",39955171.0000,40303722.0000,40231138.0000,40792825.0000
"ORANGE",108,"NH",58294494.0000,58731779.0000,58540753.0000,59071454.0000
"OXFORD",109,"NH",35237281.0000,35758406.0000,35650012.0000,37755430.0000
"PLAINFIELD",110,"W",25121920.0000,25813988.0000,25904554.0000,27311443.0000
"PLAINVILLE",111,"H",41607780.0000,42584731.0000,42219444.0000,44558532.0000
"PLYMOUTH",112,"L",,,,
"POMFRET",113,"W",8611645.0000,8698880.0000,8772891.0000,8929652.0000
"PORTLAND",114,"M",25199996.0000,25626817.0000,25512869.0000,26346105.0000
"PRESTON",115,"NL",8938828.0000,9115447.0000,9110836.0000,9479988.0000
"PROSPECT",116,"NH",23376960.0000,23634467.0000,23629041.0000,23981042.0000
"PUTNAM",117,"W",9497050.0000,9777586.0000,9680668.0000,10436170.0000
"REDDING",118,"F",45147782.0000,45720390.0000,45650887.0000,48018377.0000
"RIDGEFIELD",119,"F",120015866.0000,121507726.0000,121093654.0000,125491588.0000
"ROCKY HILL",120,"H",58987538.0000,59329833.0000,59553947.0000,60184930.0000
"ROXBURY",121,"L",9249206.0000,9295118.0000,9320470.0000,9387548.0000
"SALEM",122,"NL",11114399.0000,11289461.0000,11278136.0000,11601336.0000
"SALISBURY",123,"L",12216496.0000,12298145.0000,12275801.0000,12424957.0000
"SCOTLAND",124,"W",3882947.0000,3961693.0000,4005603.0000,4151744.0000
"SEYMOUR",125,"NH",40914919.0000,41691686.0000,41652503.0000,43477906.0000
"SHARON",126,"L",9347006.0000,9556585.0000,9552875.0000,10166858.0000
"SHELTON",127,"F",99744035.0000,101063257.0000,100250200.0000,103079981.0000
"SHERMAN",128,"F",13234566.0000,13309122.0000,13306765.0000,13440211.0000
"SIMSBURY",129,"H",83403072.0000,83746697.0000,83600702.0000,84434321.0000
"SOMERS",130,"T",19353138.0000,19584592.0000,19592045.0000,19916691.0000
"SOUTH WINDSOR",131,"H",87965832.0000,89399738.0000,88727354.0000,93018117.0000
"SOUTHBURY",132,"NH",57430685.0000,57891678.0000,57799057.0000,58538034.0000
"SOUTHINGTON",133,"H",105859000.0000,107104000.0000,107170000.0000,109496000.0000
"SPRAGUE",134,"NL",4806258.0000,5148379.0000,4916159.0000,5377349.0000
"STAFFORD",135,"T",24363791.0000,25286135.0000,25203868.0000,27344276.0000
"STAMFORD",136,"F",457890852.0000,463857225.0000,462002142.0000,471164875.0000
"STERLING",137,"W",6895904.0000,7104670.0000,7205643.0000,7457800.0000
"STONINGTON",138,"NL",52721144.0000,53310452.0000,53377250.0000,54101361.0000
"STRATFORD",139,"F",158559699.0000,162727443.0000,161895715.0000,169855772.0000
"SUFFIELD",140,"H",36096179.0000,36554636.0000,36404158.0000,37338595.0000
"THOMASTON",141,"L",17844146.0000,18080787.0000,18130532.0000,18684835.0000
"THOMPSON",142,"W",13724925.0000,14009675.0000,13884401.0000,14753847.0000
"TOLLAND",143,"T",40094577.0000,40469272.0000,40339996.0000,40868737.0000
"TORRINGTON",144,"L",86433955.0000,86433955.0000,86433955.0000,86433955.0000
"TRUMBULL",145,"F",141672994.0000,143277980.0000,143941956.0000,146719539.0000
"UNION",146,"T",2562545.0000,2602383.0000,2607967.0000,2670451.0000
"VERNON",147,"T",63158074.0000,63997909.0000,63839120.0000,65575191.0000
"VOLUNTOWN",148,"NL",4799913.0000,4888366.0000,4902170.0000,5109195.0000
"WALLINGFORD",149,"NH",113353000.0000,115054000.0000,114809000.0000,119566000.0000
"WARREN",150,"L",4868312.0000,4906438.0000,4895370.0000,4976383.0000
"WASHINGTON",151,"L",14624269.0000,14767890.0000,14769902.0000,15057002.0000
"WATERBURY",152,"NH",228808000.0000,232261000.0000,231783000.0000,241397000.0000
"WATERFORD",153,"NL",78330872.0000,78944587.0000,78666476.0000,80230225.0000
"WATERTOWN",154,"L",49505810.0000,50217165.0000,50178035.0000,51376903.0000
"WEST HARTFORD",155,"H",220483000.0000,222213000.0000,222044000.0000,224858000.0000
"WEST HAVEN",156,"NH",87198215.0000,88651979.0000,88291713.0000,92271231.0000
"WESTBROOK",157,"M",24737859.0000,24955043.0000,24982488.0000,25476446.0000
"WESTON",158,"F",64976034.0000,65727856.0000,65699564.0000,67580305.0000
"WESTPORT",159,"F",175580932.0000,178586782.0000,177559612.0000,189144296.0000
"WETHERSFIELD",160,"H",80159424.0000,80862756.0000,81160007.0000,82963516.0000
"WILLINGTON",161,"T",11900866.0000,11948410.0000,11963225.0000,12034753.0000
"WILTON",162,"F",111945079.0000,112749790.0000,112576594.0000,114458322.0000
"WINCHESTER",163,"L",21409286.0000,22065050.0000,21819618.0000,22773803.0000
"WINDHAM",164,"W",32506901.0000,33259244.0000,32943203.0000,34052202.0000
"WINDSOR",165,"H",85519516.0000,86548952.0000,86846196.0000,88244825.0000
"WINDSOR LOCKS",166,"H",31993588.0000,32568005.0000,32639869.0000,33725048.0000
"WOLCOTT",167,"NH",33920371.0000,34555784.0000,34371509.0000,35416180.0000
"WOODBRIDGE",168,"NH",41992680.0000,42152886.0000,42122337.0000,42350424.0000
"WOODBURY",169,"L",28553094.0000,29041986.0000,28997686.0000,30521042.0000
"WOODSTOCK",170,"W",15403764.0000,15648683.0000,15592200.0000,15974115.0000
