Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2015 Population,Moody's_Bond_Ratings_Nov_2016,Moody's_Bond_Ratings_July_2015,area lmt,ACGLFY15,EGL,TANF15 Recipients,empl,ACMR,enrollmt
"WALLINGFORD",149,148,"NH",212475000.0000,-37647000.0000,176235000.0000,-518000.0000,0.0000,0.0000,2889000.0000,4871000.0000,27571000.0000,19811000.0000,27571000.0000,"N",37190000.0000,115657000.0000,158100000.0000,102504000.0000,4729000.0000,155959000.0000,1997000.0000,1997000.0000,2131000.0000,2131000.0000,2007000.0000,760000.0000,2007000.0000,0.0000,"N","Y",,27595000.0000,27595000.0000,48376000.0000,115054000.0000,113353000.0000,9.8521563787438937e-01,119566000.0000,114809000.0000,9.6021444223274177e-01,4.4893000000000000e+04,"Aaa","Aaa",3.9020000000000003e+01,4250582165.0000,6009145362.3200,1.2600000000000000e+02,4.7743122078320176e-02,2.6890000000000001e+01,6.2326400000000003e+03
"WARREN",150,149,"L",4269751.0000,2296734.0000,6816767.0000,220634.0000,0.0000,0.0000,3427.0000,36220.0000,1810346.0000,1770699.0000,1810346.0000,"N",139249.0000,4915979.0000,5261825.0000,3311693.0000,232688.0000,4959727.0000,0.0000,0.0000,173896.0000,173896.0000,128202.0000,157174.0000,128202.0000,0.0000,"N","N",344045.0000,2250000.0000,2594045.0000,369822.0000,4906438.0000,4868312.0000,9.9222939329917137e-01,4976383.0000,4895370.0000,9.8372050543537348e-01,1.4170000000000000e+03,"Aa2","Aa2",2.6309999999999999e+01,346550150.0000,549898357.5600,1.0000000000000000e+00,4.8872180451127817e-02,1.4199999999999999e+01,1.5446000000000001e+02
"WASHINGTON",151,150,"L",14214937.0000,6299910.0000,21165690.0000,1471772.0000,0.0000,0.0000,242141.0000,343165.0000,3221671.0000,2636365.0000,3221671.0000,"N",472882.0000,14902224.0000,16251415.0000,9681272.0000,0.0000,14869268.0000,0.0000,336686.0000,1783750.0000,1783750.0000,-401603.0000,454909.0000,-64917.0000,0.0000,"N","N",863917.0000,0.0000,863917.0000,431514.0000,14767890.0000,14624269.0000,9.9027477859057722e-01,15057002.0000,14769902.0000,9.8093245919738870e-01,3.4660000000000000e+03,,,3.8180000000000000e+01,1094809783.0000,1564162547.1500,2.0000000000000000e+00,3.8104543234000976e-02,1.3500000000000000e+01,3.2792000000000002e+02
"WATERBURY",152,151,"NH",494650000.0000,-720389000.0000,-223317000.0000,-10900000.0000,0.0000,0.0000,0.0000,3000000.0000,22635000.0000,19635000.0000,22635000.0000,"N",156592000.0000,237112000.0000,413440000.0000,174838000.0000,46661000.0000,363755000.0000,0.0000,0.0000,49512000.0000,49512000.0000,173000.0000,40000.0000,173000.0000,0.0000,"N","Y",,441631000.0000,441631000.0000,180258000.0000,232261000.0000,228808000.0000,9.8513310456770620e-01,241397000.0000,231783000.0000,9.6017349014279385e-01,1.0880200000000000e+05,"A1","A1",2.8570000000000000e+01,4011521890.0000,5705672882.8900,3.5460000000000000e+03,9.3168921439651275e-02,5.8219999999999999e+01,1.8235869999999999e+04
"WATERFORD",153,152,"NL",174912916.0000,-5724892.0000,169404332.0000,1005513.0000,66777.0000,0.0000,0.0000,368856.0000,10574012.0000,10138379.0000,10507235.0000,"N",9225639.0000,78906899.0000,90488494.0000,50850012.0000,7061610.0000,87502812.0000,0.0000,10811621.0000,5357624.0000,16169245.0000,-2371942.0000,1107220.0000,-2371942.0000,0.0000,"N","N",,90145000.0000,90145000.0000,9528785.0000,78944587.0000,78330872.0000,9.9222600277837925e-01,80230225.0000,78666476.0000,9.8050922828647180e-01,1.9281000000000000e+04,"Aa2","Aa2",3.2750000000000000e+01,3197421928.0000,4602445284.8000,5.7000000000000000e+01,5.0612890470541717e-02,2.4800000000000001e+01,2.9184299999999998e+03
"WATERTOWN",154,153,"L",138857588.0000,-10643716.0000,128498965.0000,-2297811.0000,0.0000,0.0000,0.0000,488840.0000,7859395.0000,7370555.0000,7859395.0000,"N",18117139.0000,50856154.0000,72723052.0000,44456479.0000,7016270.0000,72303744.0000,43579.0000,7199954.0000,668631.0000,7276278.0000,-205744.0000,1144128.0000,342984.0000,0.0000,"N","Y",,56409469.0000,56409469.0000,6549798.0000,50217165.0000,49505810.0000,9.8583442534041898e-01,51376903.0000,50178035.0000,9.7666523418120399e-01,2.1911000000000000e+04,"Aa2","Aa2",2.9149999999999999e+01,1718188237.0000,2456280338.5700,7.3000000000000000e+01,4.8512939358825800e-02,2.9120000000000001e+01,2.8700799999999999e+03
"WEST HARTFORD",155,155,"H",154273000.0000,-133041000.0000,22123000.0000,5155000.0000,172000.0000,0.0000,0.0000,262000.0000,21055000.0000,20621000.0000,20883000.0000,"N",41016000.0000,223062000.0000,270915000.0000,162477000.0000,17527000.0000,252551000.0000,922000.0000,922000.0000,18436000.0000,18436000.0000,850000.0000,762000.0000,850000.0000,0.0000,"N","N",,149280000.0000,149280000.0000,190540000.0000,222213000.0000,220483000.0000,9.9221467690909171e-01,224858000.0000,222044000.0000,9.8748543525247046e-01,6.3053000000000000e+04,"Aaa","Aaa",2.1980000000000000e+01,5924661849.0000,9156172566.8600,2.1100000000000000e+02,4.0297673324116837e-02,3.7369999999999997e+01,1.0252350000000000e+04
"WEST HAVEN",156,156,"NH",103786476.0000,-153446871.0000,-49460739.0000,-550050.0000,6116001.0000,0.0000,0.0000,0.0000,-10197097.0000,-16313098.0000,-16313098.0000,"N",66698261.0000,89293315.0000,160455479.0000,96506345.0000,25073237.0000,163679777.0000,1460977.0000,41096477.0000,1197360.0000,39575281.0000,-2960681.0000,-717346.0000,-1703102.0000,0.0000,"N","N",,133230703.0000,133230703.0000,16869674.0000,88651979.0000,87198215.0000,9.8360144898739377e-01,92271231.0000,88291713.0000,9.5687151935796755e-01,5.4927000000000000e+04,"Baa2","Baa1",1.0830000000000000e+01,2818890997.0000,3840876745.2500,6.4800000000000000e+02,6.7989991659716434e-02,3.1250000000000000e+01,7.0814600000000000e+03
"WESTBROOK",157,154,"M",38983724.0000,7438291.0000,46456089.0000,2578164.0000,18860.0000,0.0000,500000.0000,0.0000,4709126.0000,4190266.0000,4690266.0000,"N",3016078.0000,25107242.0000,29349506.0000,17767390.0000,2579082.0000,27732179.0000,0.0000,0.0000,706016.0000,706016.0000,911311.0000,64156.0000,911311.0000,0.0000,"N","N",,20815000.0000,20815000.0000,1378134.0000,24955043.0000,24737859.0000,9.9129698955036860e-01,25476446.0000,24982488.0000,9.8061118886048704e-01,6.9020000000000000e+03,"Aa2","Aa2",1.5720000000000001e+01,1147052221.0000,1867531994.8900,5.0000000000000000e+00,4.8773690078037904e-02,2.1789999999999999e+01,8.1796000000000004e+02
"WESTON",158,157,"F",48046556.0000,11269629.0000,61667291.0000,3338780.0000,648989.0000,0.0000,329500.0000,690389.0000,13376308.0000,11707430.0000,12727319.0000,"N",6815652.0000,66047652.0000,74483789.0000,53337314.0000,6487869.0000,71968039.0000,200000.0000,200000.0000,1767424.0000,1767424.0000,948326.0000,1021710.0000,948326.0000,0.0000,"N","N",,43672273.0000,43672273.0000,5674590.0000,65727856.0000,64976034.0000,9.8856159251566034e-01,67580305.0000,65699564.0000,9.7217027949193191e-01,1.0387000000000000e+04,"Aaa","Aaa",1.9800000000000001e+01,2328033052.0000,3325816654.2900,2.0000000000000000e+00,4.2114900434882127e-02,2.8239999999999998e+01,2.3892800000000002e+03
"WESTPORT",159,158,"F",189371350.0000,30090143.0000,221024926.0000,12067306.0000,358000.0000,411931.0000,419970.0000,9840556.0000,35816173.0000,24785716.0000,35046242.0000,"N",4106375.0000,179504226.0000,215303240.0000,125459324.0000,17104607.0000,214113576.0000,363039.0000,363039.0000,1624162.0000,1624162.0000,-71459.0000,2352200.0000,-71459.0000,0.0000,"N","N",,108845766.0000,108845766.0000,27329764.0000,178586782.0000,175580932.0000,9.8316868714281436e-01,189144296.0000,177559612.0000,9.3875213662271895e-01,2.7899000000000000e+04,"Aaa","Aaa",2.0010000000000002e+01,9938196216.0000,16108614141.4300,1.3000000000000000e+01,4.1001364037551148e-02,1.7940000000000001e+01,5.7164399999999996e+03
"WETHERSFIELD",160,159,"H",93738035.0000,1467707.0000,95205742.0000,21192964.0000,0.0000,0.0000,388603.0000,517910.0000,11631678.0000,10725165.0000,11631678.0000,"N",16368042.0000,80702609.0000,99119001.0000,61943559.0000,4313034.0000,96644426.0000,90000.0000,90000.0000,2721597.0000,2721597.0000,-157022.0000,1307118.0000,-157022.0000,0.0000,"N","N",,46843060.0000,46843060.0000,14571385.0000,80862756.0000,80159424.0000,9.9130215151212508e-01,82963516.0000,81160007.0000,9.7826142035735320e-01,2.6367000000000000e+04,"Aa2","Aa2",1.2390000000000001e+01,2205813324.0000,3153114691.4400,6.8000000000000000e+01,4.7847919655667148e-02,3.6740000000000002e+01,3.9334699999999998e+03
"WILLINGTON",161,160,"T",10076058.0000,2488930.0000,13359649.0000,-58205.0000,0.0000,208124.0000,571779.0000,342097.0000,2710620.0000,1588620.0000,2502496.0000,"N",5157470.0000,11995834.0000,17370803.0000,12994977.0000,396872.0000,16658099.0000,0.0000,161586.0000,1245719.0000,1245719.0000,-533015.0000,171179.0000,-371429.0000,0.0000,"N","N",1407700.0000,2391396.0000,3799096.0000,137556.0000,11948410.0000,11900866.0000,9.9602089315649533e-01,12034753.0000,11963225.0000,9.9405654607119898e-01,5.9080000000000000e+03,"Aa3","Aa3",3.3270000000000003e+01,433789804.0000,619774907.1400,1.2000000000000000e+01,4.2012161415146493e-02,2.7340000000000000e+01,6.7845000000000005e+02
"WILTON",162,161,"F",90873037.0000,21744035.0000,112731677.0000,1040673.0000,92488.0000,0.0000,1002447.0000,6359222.0000,22781019.0000,15326862.0000,22688531.0000,"N",11115023.0000,112997545.0000,126761675.0000,86677283.0000,9083680.0000,126675792.0000,0.0000,10124034.0000,410976.0000,9565154.0000,-325093.0000,1487816.0000,644763.0000,0.0000,"N","Y",,74505725.0000,74505725.0000,9281312.0000,112749790.0000,111945079.0000,9.9286286032107018e-01,114458322.0000,112576594.0000,9.8355971005760512e-01,1.8714000000000000e+04,"Aaa","Aaa",2.6949999999999999e+01,4265632050.0000,6802945693.8600,3.0000000000000000e+00,4.0075436115040074e-02,2.6513200000000001e+01,4.2693199999999997e+03
"ANDOVER",1,1,"T",5822109.0000,3005478.0000,8958020.0000,446301.0000,10114.0000,0.0000,0.0000,59600.0000,2732952.0000,2663238.0000,2722838.0000,"N",3019532.0000,7940342.0000,11041322.0000,8576809.0000,154509.0000,10654609.0000,0.0000,13580.0000,90450.0000,90450.0000,296263.0000,-2576.0000,309843.0000,0.0000,"N","N",2707070.0000,728840.0000,3435910.0000,418050.0000,8047795.0000,7961780.0000,9.8931197924400416e-01,8197875.0000,8072461.0000,9.8470164524343196e-01,3.2620000000000000e+03,,,1.5449999999999999e+01,260819765.0000,379287783.9500,9.0000000000000000e+00,4.4247787610619468e-02,3.0719999999999999e+01,5.3564999999999998e+02
"ANSONIA",2,2,"NH",44422011.0000,178649.0000,44612771.0000,2961247.0000,0.0000,0.0000,2714034.0000,0.0000,15888701.0000,13174667.0000,15888701.0000,"N",27853347.0000,34134309.0000,66599366.0000,37029834.0000,7868338.0000,63610501.0000,1148272.0000,1148272.0000,0.0000,0.0000,4137137.0000,3018600.0000,4137137.0000,0.0000,"N","N",,8749598.0000,8749598.0000,8280725.0000,34636255.0000,33459632.0000,9.6602915066885842e-01,36939951.0000,34550431.0000,9.3531339551587389e-01,1.8854000000000000e+04,"Aa3","Aa3",6.0300000000000002e+00,892497451.0000,1346104648.2800,2.8800000000000000e+02,7.9890098277501848e-02,3.8609999999999999e+01,2.5850999999999999e+03
"ASHFORD",3,3,"W",12649900.0000,3745657.0000,18037448.0000,91795.0000,0.0000,0.0000,17116.0000,83667.0000,1726540.0000,1625757.0000,1726540.0000,"N",5028901.0000,9572093.0000,15007838.0000,11771983.0000,412442.0000,14704766.0000,0.0000,25936.0000,638452.0000,638452.0000,-335380.0000,-223780.0000,-309444.0000,0.0000,"N","N",1193873.0000,2597377.0000,3791250.0000,0.0000,9591686.0000,9391615.0000,9.7914120624882839e-01,10205873.0000,9505625.0000,9.3138774115648904e-01,4.2510000000000000e+03,"Aa3","Aa3",3.8799999999999997e+01,296251889.0000,406706663.4900,1.4000000000000000e+01,4.5059288537549404e-02,3.2159999999999997e+01,5.9772000000000003e+02
"AVON",4,4,"H",118793898.0000,-9004794.0000,109789104.0000,-512195.0000,27237.0000,0.0000,0.0000,3050722.0000,11080968.0000,8003009.0000,11053731.0000,"N",9442455.0000,72702548.0000,85264641.0000,58148061.0000,3647488.0000,83241864.0000,39308.0000,195171.0000,3993997.0000,3993997.0000,-1931912.0000,2149844.0000,-1776049.0000,0.0000,"N","N",,27867484.0000,27867484.0000,25927735.0000,72652069.0000,72412296.0000,9.9669970857953127e-01,72850585.0000,72495850.0000,9.9513064994605049e-01,1.8414000000000000e+04,"Aaa","Aaa",2.3120000000000001e+01,2559080530.0000,3656295571.4300,5.0000000000000000e+00,3.6473508147188950e-02,2.8320000000000000e+01,3.3257199999999998e+03
"BARKHAMSTED",5,5,"L",2191904.0000,5423235.0000,7615139.0000,589095.0000,0.0000,0.0000,0.0000,255000.0000,1649341.0000,1394341.0000,1649341.0000,"N",2206661.0000,9377549.0000,11781212.0000,9432399.0000,127500.0000,11590983.0000,0.0000,0.0000,212300.0000,212300.0000,-22071.0000,-12366.0000,-22071.0000,0.0000,"N","N",956263.0000,3540000.0000,4496263.0000,0.0000,9335667.0000,9105847.0000,9.7538258380467080e-01,10006638.0000,9265559.0000,9.2594126019148493e-01,3.6850000000000000e+03,,,3.6219999999999999e+01,339083712.0000,484551017.1500,6.0000000000000000e+00,4.5315904139433552e-02,2.7370000000000001e+01,5.8467999999999995e+02
"BEACON FALLS",6,6,"NH",10555580.0000,3874326.0000,14429906.0000,-128557.0000,26947.0000,0.0000,17083.0000,0.0000,2397125.0000,2353095.0000,2370178.0000,"N",4574430.0000,15752349.0000,20924327.0000,14614288.0000,613546.0000,20837294.0000,0.0000,118970.0000,945620.0000,945620.0000,-858587.0000,987356.0000,-739617.0000,0.0000,"N","N",12716607.0000,5587035.0000,18303642.0000,428730.0000,15358614.0000,14932579.0000,9.7226084332870144e-01,16589154.0000,15457733.0000,9.3179754675856286e-01,6.0810000000000000e+03,,,9.7699999999999996e+00,475004584.0000,629447446.8500,2.2000000000000000e+01,5.1002358490566037e-02,3.2500000000000000e+01,9.3394000000000005e+02
"BERLIN",7,7,"H",75761406.0000,23598253.0000,99507043.0000,12575313.0000,0.0000,0.0000,327968.0000,1800000.0000,12142760.0000,10014792.0000,12142760.0000,"N",12386029.0000,63867121.0000,80300240.0000,47885291.0000,4297391.0000,80585094.0000,272540.0000,715155.0000,990900.0000,990900.0000,-1003214.0000,-87908.0000,-560599.0000,0.0000,"N","N",,61352429.0000,61352429.0000,4541463.0000,63580282.0000,62864950.0000,9.8874915339318559e-01,65195786.0000,63364914.0000,9.7191732606766945e-01,2.0560000000000000e+04,"Aa2","Aa2",2.6449999999999999e+01,2186129483.0000,3189552819.7100,5.7000000000000000e+01,4.6140651801029157e-02,2.8920000000000002e+01,3.0241100000000001e+03
"BETHANY",8,8,"NH",19610098.0000,3790503.0000,23400601.0000,805773.0000,33453.0000,3300.0000,0.0000,255000.0000,2835783.0000,2544030.0000,2799030.0000,"N",3301310.0000,18709655.0000,22899209.0000,16405008.0000,1157072.0000,22615263.0000,0.0000,0.0000,1014691.0000,1014691.0000,-730745.0000,178961.0000,-730745.0000,0.0000,"N","N",7649549.0000,4672053.0000,12321602.0000,346643.0000,18720483.0000,18460313.0000,9.8610238849072429e-01,19138800.0000,18689535.0000,9.7652595774029716e-01,5.5100000000000000e+03,"Aa2","Aa2",2.0960000000000001e+01,549236405.0000,784906292.8600,4.0000000000000000e+00,4.3435980551053487e-02,3.3899999999999999e+01,8.8497000000000003e+02
"BETHEL",9,9,"F",74635328.0000,4400496.0000,79440690.0000,2881091.0000,34792.0000,0.0000,264119.0000,0.0000,15583907.0000,15284996.0000,15549115.0000,"Y",13385789.0000,59900954.0000,74469096.0000,46517348.0000,2675464.0000,71522070.0000,0.0000,0.0000,1174866.0000,1174866.0000,1772160.0000,2702356.0000,1772160.0000,0.0000,"N","N",,26677904.0000,26677904.0000,9497520.0000,59743962.0000,58971929.0000,9.8707763974541896e-01,60607798.0000,59633414.0000,9.8392312487577915e-01,1.9529000000000000e+04,,"Aa2",1.6789999999999999e+01,1864792390.0000,2732007324.5400,2.8000000000000000e+01,4.6448598130841123e-02,3.2109999999999999e+01,2.8795300000000002e+03
"BETHLEHEM",10,10,"L",5650682.0000,4070300.0000,9799127.0000,115990.0000,0.0000,0.0000,0.0000,250000.0000,1627058.0000,1377058.0000,1627058.0000,"N",1721757.0000,8246446.0000,10203582.0000,6946134.0000,0.0000,9440115.0000,0.0000,0.0000,917345.0000,917345.0000,-153878.0000,74593.0000,-153878.0000,0.0000,"N","N",67146.0000,0.0000,67146.0000,0.0000,8164913.0000,7966966.0000,9.7575638589168068e-01,8705715.0000,8085047.0000,9.2870568356533612e-01,3.4730000000000000e+03,,,1.9359999999999999e+01,364205855.0000,520535507.1500,3.0000000000000000e+00,4.5524296675191818e-02,2.2469999999999999e+01,3.8292000000000002e+02
"BLOOMFIELD",11,11,"H",108252631.0000,-60515949.0000,47736682.0000,4301317.0000,0.0000,0.0000,0.0000,2054536.0000,17163735.0000,15109199.0000,17163735.0000,"N",10539585.0000,72644940.0000,85119505.0000,42712016.0000,6087159.0000,83823740.0000,125000.0000,293587.0000,2631577.0000,2631577.0000,-1210812.0000,767354.0000,-1042225.0000,0.0000,"N","N",,57265250.0000,57265250.0000,30816764.0000,72246279.0000,71234985.0000,9.8600213029656514e-01,73699635.0000,71985888.0000,9.7674687262698112e-01,2.0749000000000000e+04,"Aa2","Aa2",2.6010000000000002e+01,2067157242.0000,2837611566.0800,1.7800000000000000e+02,6.2658615559639447e-02,3.4840000000000003e+01,2.2441100000000001e+03
"BOLTON",12,12,"T",31326537.0000,1419814.0000,33472667.0000,380847.0000,0.0000,0.0000,0.0000,1335428.0000,2434127.0000,1098699.0000,2434127.0000,"N",4981416.0000,15240614.0000,20759488.0000,14768355.0000,1178289.0000,20393142.0000,46041.0000,196864.0000,484695.0000,484695.0000,-72308.0000,134289.0000,78515.0000,0.0000,"N","N",,12152322.0000,12152322.0000,0.0000,15144307.0000,15032264.0000,9.9260164232011405e-01,15295778.0000,15147306.0000,9.9029326916224858e-01,4.9470000000000000e+03,"Aa3","Aa3",1.4410000000000000e+01,427447825.0000,610929035.7200,1.3000000000000000e+01,3.8890659866114119e-02,3.5340000000000003e+01,7.7858000000000004e+02
"BOZRAH",13,13,"NL",5970176.0000,-84268.0000,5896072.0000,277030.0000,0.0000,0.0000,0.0000,0.0000,311615.0000,311615.0000,311615.0000,"N",2091938.0000,5905444.0000,8195143.0000,5857043.0000,506240.0000,8296328.0000,0.0000,0.0000,0.0000,0.0000,-101185.0000,134428.0000,-101185.0000,0.0000,"N","N",,3282991.0000,3282991.0000,304550.0000,5845793.0000,5694949.0000,9.7419614413305433e-01,6210820.0000,5782162.0000,9.3098206033985853e-01,2.6030000000000000e+03,,,1.9960000000000001e+01,218581611.0000,287469866.7800,4.0000000000000000e+00,5.3361053361053359e-02,2.6750000000000000e+01,3.1388999999999999e+02
"BRANFORD",14,14,"NH",83127935.0000,44327161.0000,127750689.0000,10686112.0000,17227.0000,0.0000,65523.0000,3177321.0000,24760187.0000,21500116.0000,24742960.0000,"N",8421875.0000,93137810.0000,106885659.0000,57416360.0000,6592379.0000,100724891.0000,524481.0000,22617744.0000,5412406.0000,26986011.0000,1272843.0000,1329540.0000,1792501.0000,0.0000,"N","Y",,44229877.0000,44229877.0000,14726387.0000,92508065.0000,91127049.0000,9.8507139890992212e-01,95647885.0000,92320789.0000,9.6521516393174822e-01,2.8145000000000000e+04,,"Aa1",2.1989999999999998e+01,3511071799.0000,4973991562.4100,7.8000000000000000e+01,5.0094161958568736e-02,2.6239999999999998e+01,3.1832300000000000e+03
"BRIDGEPORT",15,15,"F",723867957.0000,-876052275.0000,-149091723.0000,-43965881.0000,350000.0000,0.0000,0.0000,0.0000,13713461.0000,13363461.0000,13363461.0000,"N",232665443.0000,297658389.0000,552294012.0000,264104051.0000,77557896.0000,552219478.0000,500000.0000,35898433.0000,558839.0000,35655322.0000,15695.0000,471734.0000,317645.0000,0.0000,"N","Y",,647805133.0000,647805133.0000,376674202.0000,296309866.0000,291238982.0000,9.8288655025749294e-01,341471864.0000,293925589.0000,8.6076078291475278e-01,1.4762900000000000e+05,"A2","A2",1.6000000000000000e+01,7079109642.0000,7896519203.1400,2.5500000000000000e+03,8.6898508385066991e-02,4.2198000000000000e+01,2.1095810000000001e+04
"BRIDGEWATER",16,16,"L",3785573.0000,3343627.0000,8771209.0000,-133294.0000,0.0000,0.0000,0.0000,1932327.0000,3128412.0000,1196085.0000,3128412.0000,"N",192390.0000,6704480.0000,7119691.0000,4686690.0000,0.0000,7113991.0000,0.0000,0.0000,215000.0000,215000.0000,-209300.0000,-94753.0000,-209300.0000,0.0000,"N","N",418338.0000,0.0000,418338.0000,0.0000,6692876.0000,6671259.0000,9.9677014784077878e-01,6713832.0000,6683659.0000,9.9550584524605323e-01,1.6590000000000000e+03,,,1.6230000000000000e+01,389449386.0000,500337946.4600,0.0000000000000000e+00,4.4186046511627906e-02,1.7250000000000000e+01,1.4530000000000001e+02
"BRISTOL",17,17,"H",261086435.0000,275282127.0000,537478358.0000,6557720.0000,588.0000,0.0000,3057414.0000,2053023.0000,31716983.0000,26605958.0000,31716395.0000,"N",67491132.0000,133589970.0000,207756973.0000,104561451.0000,8959455.0000,191703769.0000,5947.0000,5947.0000,15268312.0000,15268312.0000,790839.0000,827000.0000,790839.0000,0.0000,"N","N",,64164390.0000,64164390.0000,0.0000,134358000.0000,131874000.0000,9.8151207966775333e-01,137074000.0000,133389000.0000,9.7311671068182148e-01,6.0452000000000000e+04,"Aa2","Aa2",2.6510000000000002e+01,3837148042.0000,5747912862.1900,8.2200000000000000e+02,6.4652421046232408e-02,3.4609999999999999e+01,8.4522700000000004e+03
"BROOKFIELD",18,18,"F",41150924.0000,-10048474.0000,31102450.0000,-155368.0000,0.0000,0.0000,1387364.0000,0.0000,5134254.0000,3746890.0000,5134254.0000,"N",6750156.0000,56899846.0000,65038825.0000,43046911.0000,4456398.0000,64263883.0000,952794.0000,952794.0000,2746236.0000,2746236.0000,-1018500.0000,390417.0000,-1018500.0000,0.0000,"N","N",,35282875.0000,35282875.0000,1041372.0000,56741871.0000,56197701.0000,9.9040972758899681e-01,57590265.0000,56601661.0000,9.8283383485038656e-01,1.7143000000000000e+04,"Aa2","Aa1",1.9800000000000001e+01,2208055756.0000,3197487613.1900,9.0000000000000000e+00,4.3529664660361136e-02,2.5699999999999999e+01,2.7561300000000001e+03
"BROOKLYN",19,19,"W",24675578.0000,-647260.0000,24562698.0000,-1580912.0000,6900.0000,32351.0000,0.0000,128118.0000,1869064.0000,1701695.0000,1829813.0000,"Y",9729067.0000,12930611.0000,23172093.0000,18539569.0000,4677440.0000,23138978.0000,0.0000,8258.0000,918937.0000,918937.0000,-885822.0000,185554.0000,-877564.0000,0.0000,"N","N",,5320786.0000,5320786.0000,2218919.0000,12930089.0000,12719935.0000,9.8374690228350326e-01,13214890.0000,12859489.0000,9.7310601904366967e-01,8.2590000000000000e+03,,,2.8969999999999999e+01,549699585.0000,770831369.6900,5.2000000000000000e+01,5.8881016369411190e-02,2.3430000000000000e+01,1.2057100000000000e+03
"BURLINGTON",20,20,"H",9259120.0000,8523447.0000,18037896.0000,-208096.0000,0.0000,0.0000,315857.0000,150000.0000,5261847.0000,4795990.0000,5261847.0000,"N",6043674.0000,26685668.0000,33730465.0000,23670355.0000,530418.0000,33395370.0000,261456.0000,261456.0000,619000.0000,619000.0000,-22449.0000,288042.0000,-22449.0000,0.0000,"N","N",12304610.0000,2338116.0000,14642726.0000,536329.0000,26632546.0000,26355877.0000,9.8961162030847516e-01,27194095.0000,26597793.0000,9.7807237196163355e-01,9.6230000000000000e+03,"Aa2","Aa2",2.9789999999999999e+01,885507753.0000,1265127718.5600,1.4000000000000000e+01,4.2518545322960018e-02,2.9850000000000001e+01,1.6752800000000000e+03
"CANAAN",21,21,"L",1409012.0000,3510261.0000,5015424.0000,293573.0000,0.0000,0.0000,10014.0000,103354.0000,719237.0000,605869.0000,719237.0000,"N",860748.0000,3879968.0000,4890219.0000,3216778.0000,124470.0000,4803716.0000,32000.0000,32000.0000,168098.0000,168098.0000,-49595.0000,-77062.0000,-49595.0000,0.0000,"N","N",392012.0000,2621250.0000,3013262.0000,0.0000,3876752.0000,3771908.0000,9.7295571137901005e-01,3988320.0000,3845690.0000,9.6423807517952420e-01,1.1850000000000000e+03,,,3.2939999999999998e+01,170581480.0000,220795158.3300,6.0000000000000000e+00,3.6465638148667601e-02,2.2750000000000000e+01,1.1109999999999999e+02
"CANTERBURY",22,22,"W",9914625.0000,3583000.0000,16214810.0000,190604.0000,0.0000,16075.0000,0.0000,559233.0000,2197262.0000,1621954.0000,2181187.0000,"N",6430703.0000,8544967.0000,15275538.0000,12296025.0000,74594.0000,15229053.0000,3366.0000,3366.0000,254290.0000,254290.0000,-204439.0000,146073.0000,-204439.0000,0.0000,"N","N",,385000.0000,385000.0000,197526.0000,8407618.0000,8257891.0000,9.8219150774928166e-01,8770485.0000,8468107.0000,9.6552322933110313e-01,5.0890000000000000e+03,,,3.9890000000000001e+01,389555738.0000,497660448.8300,2.5000000000000000e+01,5.8184367332632318e-02,2.1500000000000000e+01,6.5562000000000000e+02
"CANTON",23,23,"H",68457855.0000,6416292.0000,75121601.0000,83874.0000,58776.0000,0.0000,0.0000,12500.0000,5651160.0000,5579884.0000,5592384.0000,"N",7136000.0000,31733732.0000,39703562.0000,27426241.0000,1427119.0000,37484596.0000,0.0000,137485.0000,2306750.0000,2306750.0000,-87784.0000,-911809.0000,49701.0000,0.0000,"N","N",,18915722.0000,18915722.0000,7373858.0000,31280112.0000,30984208.0000,9.9054018732413751e-01,32181396.0000,31359894.0000,9.7447276681222905e-01,1.0330000000000000e+04,"Aa2","Aa2",2.4559999999999999e+01,1094095940.0000,1563227414.2800,1.7000000000000000e+01,3.8810753071034362e-02,2.8559999999999999e+01,1.6594200000000001e+03
