2017 Tax Exempt %,Municipality,numbered,2017 Net GL,2017 GL Tax Exempt Property,2017 Total NGL and Taxable,SortID
1.4192421051861173e-01,"MORRIS",8.8000000000000000e+01,336249381.0000,55615050.0000,391864431.0000,35
1.3458911049898370e-01,"KILLINGLY",7.0000000000000000e+01,1161361183.0000,180615440.0000,1341976623.0000,37
1.3157410543651124e-01,"WALLINGFORD",1.4900000000000000e+02,4189714975.0000,634778400.0000,4824493375.0000,38
1.2734719914588258e-01,"SIMSBURY",1.2900000000000000e+02,2416001289.0000,352569770.0000,2768571059.0000,39
1.2679659768888188e-01,"LITCHFIELD",7.5000000000000000e+01,1047520154.0000,152108880.0000,1199629034.0000,40
1.2558980304090994e-01,"SALISBURY",1.2300000000000000e+02,1262907079.0000,181388840.0000,1444295919.0000,41
1.2365509188542903e-01,"SPRAGUE",1.3400000000000000e+02,162305930.0000,22901890.0000,185207820.0000,42
1.2295182389069778e-01,"CHESHIRE",2.5000000000000000e+01,2778871906.0000,389565110.0000,3168437016.0000,43
1.2153583404119617e-01,"ANSONIA",2.0000000000000000e+00,982152121.0000,135881100.0000,1118033221.0000,44
1.2133122221824250e-01,"STAMFORD",1.3600000000000000e+02,21411431077.0000,2956603407.0000,24368034484.0000,45
1.2075546775448205e-01,"HARTLAND",6.6000000000000000e+01,200734124.0000,27568830.0000,228302954.0000,46
1.1591786988590444e-01,"TORRINGTON",1.4400000000000000e+02,1974043180.0000,258829890.0000,2232873070.0000,48
1.1281878779695892e-01,"ENFIELD",4.9000000000000000e+01,2901817700.0000,369010920.0000,3270828620.0000,49
1.1094834426341417e-01,"WINCHESTER",1.6300000000000000e+02,714245912.0000,89133630.0000,803379542.0000,50
1.0941987033179706e-01,"STAFFORD",1.3500000000000000e+02,781301453.0000,95993500.0000,877294953.0000,51
1.0932593975669504e-01,"REDDING",1.1800000000000000e+02,1564910852.0000,192085250.0000,1756996102.0000,52
1.0757416399842328e-01,"SCOTLAND",1.2400000000000000e+02,114040091.0000,13746540.0000,127786631.0000,53
1.0544056372133076e-01,"ASHFORD",3.0000000000000000e+00,301252224.0000,35508210.0000,336760434.0000,54
1.0259979754679867e-01,"VERNON",1.4700000000000000e+02,1826748133.0000,208852180.0000,2035600313.0000,55
1.0217279975118676e-01,"GRISWOLD",5.8000000000000000e+01,721733816.0000,82133360.0000,803867176.0000,56
1.0020886951328703e-01,"UNION",1.4600000000000000e+02,91061039.0000,10141380.0000,101202419.0000,57
9.9958252987923907e-02,"NORWALK",1.0400000000000000e+02,12263356847.0000,1361963187.0000,13625320034.0000,58
9.9472647636221295e-02,"ROCKY HILL",1.2000000000000000e+02,2094054395.0000,231310170.0000,2325364565.0000,59
9.9145721331882430e-02,"NORTH HAVEN",1.0200000000000000e+02,2809698940.0000,309228290.0000,3118927230.0000,61
9.9125220080722623e-02,"WATERTOWN",1.5400000000000000e+02,1766003290.0000,194317200.0000,1960320490.0000,62
9.8037577813719717e-02,"TOLLAND",1.4300000000000000e+02,1278468008.0000,138961340.0000,1417429348.0000,63
9.7949355892398948e-02,"FAIRFIELD",5.1000000000000000e+01,10866237887.0000,1179912690.0000,12046150577.0000,64
9.7561043998902572e-02,"WOODBRIDGE",1.6800000000000000e+02,1151561483.0000,124493230.0000,1276054713.0000,65
9.7326298550541299e-02,"BRISTOL",1.7000000000000000e+01,3916963485.0000,422327090.0000,4339290575.0000,66
9.6147593875749504e-02,"RIDGEFIELD",1.1900000000000000e+02,4811454985.0000,511820090.0000,5323275075.0000,68
9.6132801825913064e-02,"SHARON",1.2600000000000000e+02,750070851.0000,79775450.0000,829846301.0000,69
9.5730953618550482e-02,"GREENWICH",5.7000000000000000e+01,32901340544.0000,3483119010.0000,36384459554.0000,70
9.5013732812935972e-02,"WINDSOR",1.6500000000000000e+02,2959778035.0000,310744560.0000,3270522595.0000,71
9.3050833989291343e-02,"BRIDGEWATER",1.6000000000000000e+01,370309435.0000,37992870.0000,408302305.0000,72
9.2995530181254699e-02,"SOUTHBURY",1.3200000000000000e+02,2121672159.0000,217535893.0000,2339208052.0000,73
9.1724806689432239e-02,"THOMASTON",1.4100000000000000e+02,551393569.0000,55684080.0000,607077649.0000,74
9.1092242221242251e-02,"WILTON",1.6200000000000000e+02,4339011944.0000,434862970.0000,4773874914.0000,75
9.0418577896557856e-02,"WESTPORT",1.5900000000000000e+02,11184614207.0000,1111826700.0000,12296440907.0000,76
8.9873640651486522e-02,"NEWTOWN",9.8000000000000000e+01,3152464630.0000,311301250.0000,3463765880.0000,77
8.9598608469338328e-02,"MANCHESTER",7.8000000000000000e+01,4000283742.0000,393694320.0000,4393978062.0000,78
8.7955905183693922e-02,"MADISON",7.7000000000000000e+01,2904384925.0000,280093700.0000,3184478625.0000,80
8.7851519332841840e-02,"NEWINGTON",9.7000000000000000e+01,2623718787.0000,252697545.0000,2876416332.0000,81
8.7806148756191596e-02,"HAMPTON",6.4000000000000000e+01,140175885.0000,13493080.0000,153668965.0000,82
8.7623317731717443e-02,"STONINGTON",1.3800000000000000e+02,2770033161.0000,266029920.0000,3036063081.0000,83
8.6975408814646549e-02,"THOMPSON",1.4200000000000000e+02,602071189.0000,57353754.0000,659424943.0000,84
8.6961888378721527e-02,"STRATFORD",1.3900000000000000e+02,4554157464.0000,433758600.0000,4987916064.0000,85
8.6181910004276385e-02,"STERLING",1.3700000000000000e+02,234842121.0000,22147890.0000,256990011.0000,86
8.5128087015217596e-02,"COLEBROOK",2.9000000000000000e+01,186143917.0000,17320540.0000,203464457.0000,87
8.4532094178591241e-02,"AVON",4.0000000000000000e+00,2615585560.0000,241516850.0000,2857102410.0000,89
8.2794878889841939e-02,"CROMWELL",3.3000000000000000e+01,1442103576.0000,130176760.0000,1572280336.0000,90
8.1496588568328338e-02,"WOODSTOCK",1.7000000000000000e+02,717998926.0000,63706310.0000,781705236.0000,91
8.1168916756316808e-02,"NORTH CANAAN",1.0100000000000000e+02,327295690.0000,28913080.0000,356208770.0000,92
8.0420448302408062e-02,"BEACON FALLS",6.0000000000000000e+00,472959356.0000,41361950.0000,514321306.0000,93
7.9562140235980253e-02,"PRESTON",1.1500000000000000e+02,433052015.0000,37432777.0000,470484792.0000,94
7.9048707240581925e-02,"WATERFORD",1.5300000000000000e+02,3290294493.0000,282418330.0000,3572712823.0000,95
7.8545822176911570e-02,"COLCHESTER",2.8000000000000000e+01,1213163935.0000,103411500.0000,1316575435.0000,96
7.8519183328803296e-02,"WETHERSFIELD",1.6000000000000000e+02,2251449143.0000,191845500.0000,2443294643.0000,97
7.7962127964816691e-02,"HEBRON",6.8000000000000000e+01,760786200.0000,64327630.0000,825113830.0000,98
7.7583765510840216e-02,"MIDDLEBURY",8.2000000000000000e+01,958235522.0000,80596500.0000,1038832022.0000,100
7.7348985252042424e-02,"SALEM",1.2200000000000000e+02,371022701.0000,31104100.0000,402126801.0000,101
7.7119744446396923e-02,"WESTON",1.5800000000000000e+02,2386710996.0000,199443580.0000,2586154576.0000,102
7.7000377194935424e-02,"NORTH BRANFORD",1.0000000000000000e+02,1247996912.0000,104112971.0000,1352109883.0000,103
7.6807993380210285e-02,"GUILFORD",6.1000000000000000e+01,2971919199.0000,247258586.0000,3219177785.0000,104
7.6542568129085303e-02,"MILFORD",8.5000000000000000e+01,6582350457.0000,545590940.0000,7127941397.0000,105
7.6048885916214171e-02,"BERLIN",7.0000000000000000e+00,2325084873.0000,191373885.0000,2516458758.0000,106
7.3566955216173624e-02,"LYME",7.6000000000000000e+01,529905517.0000,42079172.0000,571984689.0000,107
7.3258716112545585e-02,"BROOKLYN",1.9000000000000000e+01,552340907.0000,43662440.0000,596003347.0000,108
7.3057205383370252e-02,"CORNWALL",3.1000000000000000e+01,389809200.0000,30722900.0000,420532100.0000,109
7.2706391728377923e-02,"LEBANON",7.2000000000000000e+01,643109203.0000,50424320.0000,693533523.0000,110
7.2236502155572396e-02,"NAUGATUCK",8.9000000000000000e+01,1626259263.0000,126622012.0000,1752881275.0000,111
7.2150119910445343e-02,"ORANGE",1.0800000000000000e+02,2074196022.0000,161290630.0000,2235486652.0000,112
7.1781460492446325e-02,"BETHLEHEM",1.0000000000000000e+01,377336306.0000,29180360.0000,406516666.0000,113
6.9618516874952061e-02,"OLD SAYBROOK",1.0700000000000000e+02,2255912729.0000,168805271.0000,2424718000.0000,114
6.9612853277675177e-02,"NORTH STONINGTON",1.0300000000000000e+02,527230095.0000,39448085.0000,566678180.0000,115
6.9447637035363163e-02,"BRANFORD",1.4000000000000000e+01,3569991255.0000,266430420.0000,3836421675.0000,116
6.9111965719554164e-02,"CANTON",2.3000000000000000e+01,1121766972.0000,83283400.0000,1205050372.0000,117
6.8903643546375154e-02,"MIDDLEFIELD",8.3000000000000000e+01,411560664.0000,30456600.0000,442017264.0000,118
6.8362771072998929e-02,"DARIEN",3.5000000000000000e+01,8589999025.0000,630327040.0000,9220326065.0000,119
6.7941311635909343e-02,"KILLINGWORTH",7.1000000000000000e+01,695278625.0000,50681510.0000,745960135.0000,121
6.6196269195024290e-02,"NEW CANAAN",9.1000000000000000e+01,8344320446.0000,591519250.0000,8935839696.0000,122
6.5720794686695103e-02,"OXFORD",1.0900000000000000e+02,1498317231.0000,105397400.0000,1603714631.0000,123
6.5415098781635622e-02,"EASTON",4.7000000000000000e+01,1283249209.0000,89819420.0000,1373068629.0000,124
6.4738600744279076e-02,"BOLTON",1.2000000000000000e+01,435016468.0000,30111750.0000,465128218.0000,126
6.4675664033118391e-02,"HADDAM",6.2000000000000000e+01,948517747.0000,65587960.0000,1014105707.0000,127
6.4212754739841352e-02,"TRUMBULL",1.4500000000000000e+02,4649669046.0000,319055490.0000,4968724536.0000,128
6.3518114502164075e-02,"SEYMOUR",1.2500000000000000e+02,1206472165.0000,81830560.0000,1288302725.0000,129
6.3216199055849701e-02,"OLD LYME",1.0600000000000000e+02,1581760454.0000,106740620.0000,1688501074.0000,130
6.1968230373368141e-02,"GRANBY",5.6000000000000000e+01,990233050.0000,65416750.0000,1055649800.0000,131
6.1458744216804147e-02,"PORTLAND",1.1400000000000000e+02,819964633.0000,53693960.0000,873658593.0000,132
6.0890033030548504e-02,"PLYMOUTH",1.1200000000000000e+02,830045983.0000,53818540.0000,883864523.0000,133
6.0456393658720575e-02,"EAST HAMPTON",4.1000000000000000e+01,1137970647.0000,73224490.0000,1211195137.0000,134
5.9826086711877974e-02,"LISBON",7.4000000000000000e+01,374277937.0000,23816428.0000,398094365.0000,135
5.9745613360829980e-02,"CHESTER",2.6000000000000000e+01,444295971.0000,28231440.0000,472527411.0000,136
5.9321134791653365e-02,"COVENTRY",3.2000000000000000e+01,965951835.0000,60914900.0000,1026866735.0000,137
5.8039771551909987e-02,"MONROE",8.6000000000000000e+01,2171622874.0000,133806600.0000,2305429474.0000,139
5.7858313838547469e-02,"FRANKLIN",5.3000000000000000e+01,214119092.0000,13149370.0000,227268462.0000,140
5.7751271145394148e-02,"COLUMBIA",3.0000000000000000e+01,487126160.0000,29856400.0000,516982560.0000,141
5.7584830273627256e-02,"GLASTONBURY",5.4000000000000000e+01,4179095067.0000,255357180.0000,4434452247.0000,142
5.6943979575765066e-02,"WOODBURY",1.6900000000000000e+02,1152349487.0000,69581620.0000,1221931107.0000,143
5.6470848544981501e-02,"SOUTH WINDSOR",1.3100000000000000e+02,2743418239.0000,164195410.0000,2907613649.0000,144
5.5234151792615045e-02,"PROSPECT",1.1600000000000000e+02,853318913.0000,49887860.0000,903206773.0000,146
5.4498673720439574e-02,"WOLCOTT",1.6700000000000000e+02,1234450029.0000,71153670.0000,1305603699.0000,147
5.2661089566108432e-02,"BROOKFIELD",1.8000000000000000e+01,2242724498.0000,124669550.0000,2367394048.0000,148
5.2461313374546778e-02,"ELLINGTON",4.8000000000000000e+01,1384919011.0000,76677260.0000,1461596271.0000,149
5.2092918992878288e-02,"DURHAM",3.8000000000000000e+01,707327606.0000,38871700.0000,746199306.0000,150
5.0876358377902726e-02,"BARKHAMSTED",5.0000000000000000e+00,352476360.0000,18893970.0000,371370330.0000,151
5.0459130108186923e-02,"WILLINGTON",1.6100000000000000e+02,440274841.0000,23396450.0000,463671291.0000,152
5.0396207448339961e-02,"ROXBURY",1.2100000000000000e+02,661429030.0000,35102550.0000,696531580.0000,153
4.9049387454617989e-02,"SHELTON",1.2700000000000000e+02,4672360795.0000,240997200.0000,4913357995.0000,154
4.8660536135452764e-02,"BETHEL",9.0000000000000000e+00,2005956925.0000,102603690.0000,2108560615.0000,155
4.7643264221671935e-02,"GOSHEN",5.5000000000000000e+01,554093120.0000,27719450.0000,581812570.0000,157
4.7457679360630084e-02,"ANDOVER",1.0000000000000000e+00,259715957.0000,12939600.0000,272655557.0000,158
4.6356217332765744e-02,"SOUTHINGTON",1.3300000000000000e+02,4008941035.0000,194872913.0000,4203813948.0000,159
4.4994014825542140e-02,"CANTERBURY",2.2000000000000000e+01,361736468.0000,17042800.0000,378779268.0000,160
4.4814305620825189e-02,"MARLBOROUGH",8.0000000000000000e+01,581292840.0000,27272430.0000,608565270.0000,161
4.4501558916547251e-02,"WARREN",1.5000000000000000e+02,373890190.0000,17413630.0000,391303820.0000,162
4.4432254011471210e-02,"ESSEX",5.0000000000000000e+01,1050312030.0000,48837700.0000,1099149730.0000,163
3.7734659476152392e-02,"NEW FAIRFIELD",9.2000000000000000e+01,1601064851.0000,62784800.0000,1663849651.0000,164
3.2038901547764634e-02,"EAST HARTFORD",4.2000000000000000e+01,2811967294.0000,93074343.0000,2905041637.0000,165
2.9847731609309924e-02,"SHERMAN",1.2800000000000000e+02,689815116.0000,21222871.0000,711037987.0000,166
2.7386821188268917e-02,"HARWINTON",6.7000000000000000e+01,565071739.0000,15911278.0000,580983017.0000,167
2.3458272121876636e-02,"EAST GRANBY",3.9000000000000000e+01,581963912.0000,13979810.0000,595943722.0000,168
1.6630310839974835e-02,"WEST HARTFORD",1.5500000000000000e+02,6285118569.0000,106291130.0000,6391409699.0000,169
2.8164418240079458e-01,"FARMINGTON",5.2000000000000000e+01,3654033214.0000,1432628750.0000,5086661964.0000,10
1.6726103844764514e-01,"SOMERS",1.3000000000000000e+02,861305084.0000,172998730.0000,1034303814.0000,29
1.2067922784172122e-01,"VOLUNTOWN",1.4800000000000000e+02,205358709.0000,28183720.0000,233542429.0000,47
9.9369272092974900e-02,"PLAINFIELD",1.1000000000000000e+02,986873825.0000,108884730.0000,1095758555.0000,60
8.8711692302230416e-02,"EAST LYME",4.4000000000000000e+01,2166414260.0000,210895140.0000,2377309400.0000,79
7.7691466996226907e-02,"PLAINVILLE",1.1100000000000000e+02,1388527619.0000,116963840.0000,1505491459.0000,99
6.8023261972158591e-02,"CLINTON",2.7000000000000000e+01,1533011501.0000,111891680.0000,1644903181.0000,120
5.8222445706379522e-02,"BOZRAH",1.3000000000000000e+01,224787780.0000,13896800.0000,238684580.0000,138
4.8505379873374409e-02,"BURLINGTON",2.0000000000000000e+01,932139053.0000,47518670.0000,979657723.0000,156
2.5405842334091228e-01,"SUFFIELD",1.4000000000000000e+02,1406135346.0000,478912210.0000,1885047556.0000,15
1.3996629339583599e-01,"WASHINGTON",1.5100000000000000e+02,1139943452.0000,185520240.0000,1325463692.0000,36
9.7282478248074289e-02,"CHAPLIN",2.4000000000000000e+01,189965790.0000,20471900.0000,210437690.0000,67
8.4771047081152961e-02,"BLOOMFIELD",1.1000000000000000e+01,2116863202.0000,196069748.0000,2312932950.0000,88
6.4924574478210220e-02,"BETHANY",8.0000000000000000e+00,557943900.0000,38739410.0000,596683310.0000,125
5.5562089153290944e-02,"NEW HARTFORD",9.3000000000000000e+01,664677497.0000,39103545.0000,703781042.0000,145
