Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"NEWINGTON",97,94,"H",84015000.0000,-9527000.0000,75143000.0000,3439000.0000,0.0000,0.0000,515000.0000,6460000.0000,21956000.0000,14981000.0000,21956000.0000,"N",26151000.0000,92240000.0000,119683000.0000,76094000.0000,1764000.0000,113361000.0000,223000.0000,223000.0000,5958000.0000,5958000.0000,587000.0000,1309000.0000,587000.0000,0.0000,,6270000.0000,6270000.0000,55424000.0000,91453000.0000,90810000.0000,9.9296906607765734e-01,92576000.0000,91534000.0000,9.8874438299343237e-01,3.0423000000000000e+04,,"2017-07-18 00:00:00",,2550822204.0000,3863277038.6656,7.6000000000000000e+01,4.4933410538506080e-02,3.5799999999999997e+01,4.2383900000000003e+03,7.7500000000000000e+01
"NEWTOWN",98,97,"F",219568514.0000,21104881.0000,244964623.0000,33094588.0000,0.0000,0.0000,0.0000,868010.0000,12312290.0000,11444280.0000,12312290.0000,"N",16346850.0000,101236267.0000,120198122.0000,79390666.0000,10337495.0000,118916507.0000,225000.0000,225000.0000,501248.0000,501248.0000,1005367.0000,105432.0000,1005367.0000,0.0000,,69075038.0000,69075038.0000,13476873.0000,100822157.0000,100147614.0000,9.9330957579096424e-01,102550747.0000,100806504.0000,9.8299141594746253e-01,2.7865000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",3075391014.0000,4558435297.3086,1.5000000000000000e+01,4.3331219615303319e-02,3.3070000000000000e+01,4.6773599999999997e+03,1.5500000000000000e+01
"NORFOLK",99,98,"L",4373447.0000,2804526.0000,7177973.0000,487421.0000,0.0000,0.0000,0.0000,0.0000,1202305.0000,1202305.0000,1202305.0000,"N",1069313.0000,6498803.0000,7784095.0000,4469222.0000,224488.0000,7394869.0000,81556.0000,81556.0000,372194.0000,372194.0000,98588.0000,11936.0000,98588.0000,0.0000,269835.7956,1387500.0000,1657335.7956,0.0000,6421435.0000,6370588.0000,9.9208167644770995e-01,6598557.0000,6443413.0000,9.7648819279730403e-01,1.6320000000000000e+03,,"2017-07-18 00:00:00",,291908780.0000,390375012.6803,0.0000000000000000e+00,4.5504994450610431e-02,2.1949999999999999e+01,2.0541000000000000e+02,1.0000000000000000e+00
"NORTH BRANFORD",100,99,"NH",63959890.0000,4220668.0000,68723249.0000,3900372.0000,1010.0000,0.0000,350000.0000,1064275.0000,8134932.0000,6719647.0000,8133922.0000,"N",11964082.0000,40817618.0000,53432300.0000,33357496.0000,5515038.0000,52750162.0000,150674.0000,1213958.0000,1015583.0000,1015583.0000,-182771.0000,719303.0000,880513.0000,0.0000,,36808813.0000,36808813.0000,11608122.0000,39462777.0000,38929240.0000,9.8647999353922811e-01,40501919.0000,39280907.0000,9.6985298400305431e-01,1.4198000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1264928664.0000,1868349731.1530,3.2000000000000000e+01,4.5098039215686274e-02,3.1079999999999998e+01,1.9585100000000000e+03,3.5500000000000000e+01
"NORTH CANAAN",101,100,"L",9498078.0000,2648962.0000,12943728.0000,-57486.0000,0.0000,0.0000,0.0000,0.0000,1100464.0000,1100464.0000,1100464.0000,"N",3222424.0000,8653445.0000,12033689.0000,9262495.0000,244761.0000,11694554.0000,0.0000,0.0000,208240.0000,208240.0000,130895.0000,315015.0000,130895.0000,0.0000,1202026.5018,843626.0000,2045652.5018,0.0000,8722544.0000,8460303.0000,9.6993526200613034e-01,9124375.0000,8600996.0000,9.4263946845674362e-01,3.3070000000000000e+03,,"2017-07-18 00:00:00",,318083850.0000,423613307.2498,3.0000000000000000e+00,4.8255813953488373e-02,2.7500000000000000e+01,3.8960000000000002e+02,3.5000000000000000e+00
"NORTH HAVEN",102,101,"NH",70887052.0000,-43030573.0000,28905862.0000,5714992.0000,78957.0000,0.0000,0.0000,4673420.0000,12500713.0000,7748336.0000,12421756.0000,"N",11075271.0000,81149464.0000,96126185.0000,55280150.0000,6315065.0000,97015891.0000,1200000.0000,1471160.0000,593922.0000,593922.0000,-283628.0000,-913082.0000,-12468.0000,0.0000,,72419137.0000,72419137.0000,40670974.0000,81019674.0000,80074628.0000,9.8833559858559783e-01,83269135.0000,80850771.0000,9.7095725805245847e-01,2.3709000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",2750583219.0000,3931374955.7157,4.8000000000000000e+01,4.5105999097880017e-02,2.9420000000000002e+01,3.2455300000000002e+03,5.3500000000000000e+01
"NORTH STONINGTON",103,102,"NL",9288443.0000,3132986.0000,12915815.0000,358606.0000,2429.0000,0.0000,0.0000,199992.0000,2113982.0000,1911561.0000,2111553.0000,"N",5698980.0000,13716330.0000,19825306.0000,14169602.0000,309089.0000,19158525.0000,22859.0000,22859.0000,750668.0000,750668.0000,-61028.0000,258015.0000,-61028.0000,0.0000,,300000.0000,300000.0000,0.0000,13889800.0000,13532089.0000,9.7424649742976865e-01,14455311.0000,13731790.0000,9.4994773893138651e-01,5.2710000000000000e+03,,"2017-07-18 00:00:00",,530532505.0000,718244996.8039,5.0000000000000000e+00,4.1724137931034480e-02,2.6100000000000001e+01,7.5191999999999996e+02,7.5000000000000000e+00
"NORWALK",104,103,"F",326630916.0000,-62910106.0000,264112196.0000,-7169079.0000,9586.0000,0.0000,3100000.0000,621275.0000,51093601.0000,47362740.0000,51084015.0000,"N",42252345.0000,298453609.0000,356597097.0000,195581632.0000,27377859.0000,351042468.0000,0.0000,16687426.0000,0.0000,15936083.0000,5554629.0000,7304022.0000,6305972.0000,0.0000,,211908621.0000,211908621.0000,129850447.0000,297607889.0000,294363210.0000,9.8909746979187096e-01,302850291.0000,296849288.0000,9.8018491915531958e-01,8.8438000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",11902540587.0000,17956313819.1939,3.1000000000000000e+02,4.5443791648594301e-02,2.4914999999999999e+01,1.1539750000000000e+04,3.5850000000000000e+02
"NORWICH",105,104,"NL",75885000.0000,-17860000.0000,59645000.0000,1146000.0000,0.0000,0.0000,0.0000,227000.0000,14879000.0000,14652000.0000,14879000.0000,"N",45537000.0000,76946000.0000,126190000.0000,80621000.0000,5743000.0000,120575000.0000,5147000.0000,5147000.0000,6282000.0000,6282000.0000,4480000.0000,-582000.0000,4480000.0000,0.0000,,49240000.0000,49240000.0000,78219000.0000,74375000.0000,71981000.0000,9.6781176470588237e-01,79513000.0000,75505000.0000,9.4959314829021668e-01,3.9556000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1801147830.0000,2670158201.2810,6.9600000000000000e+02,6.0031752331811870e-02,4.0899999999999999e+01,5.2677799999999997e+03,8.1100000000000000e+02
"OLD LYME",106,105,"NL",16803929.0000,10916572.0000,27720501.0000,2727981.0000,658924.0000,0.0000,0.0000,534609.0000,9050712.0000,7857179.0000,8391788.0000,"N",1641583.0000,32484141.0000,35132803.0000,25014080.0000,405139.0000,33134143.0000,38400.0000,47200.0000,626000.0000,626000.0000,1411060.0000,539577.0000,1419860.0000,0.0000,27193715.0883,2765000.0000,29958715.0883,0.0000,32235851.0000,31828983.0000,9.8737840052679238e-01,32934246.0000,32143859.0000,9.7600105980868668e-01,7.4690000000000000e+03,,"2017-07-18 00:00:00",,1564656985.0000,2235564264.2886,7.0000000000000000e+00,3.9579967689822297e-02,2.0620000000000001e+01,1.0817200000000000e+03,8.0000000000000000e+00
