Municipality,numbered,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2016 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_July_2016,ACGLFY16,EGL,TANF16 Recipients,empl,ACMR,enrollmt,TFA16 Recipients
"TOLLAND",143,142,"T",76382043.0000,18030770.0000,94725876.0000,-1495165.0000,0.0000,0.0000,63813.0000,1764973.0000,8942439.0000,7113653.0000,8942439.0000,"N",16861099.0000,42183337.0000,59775912.0000,43158871.0000,4747632.0000,58735407.0000,88196.0000,88196.0000,652482.0000,652482.0000,476219.0000,71116.0000,476219.0000,0.0000,,46027377.0000,46027377.0000,0.0000,41981338.0000,41653686.0000,9.9219529401373530e-01,42479573.0000,42002445.0000,9.8876806035691556e-01,1.4791000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1255176745.0000,1793859607.1443,1.9000000000000000e+01,3.6989498249708284e-02,3.3359999999999999e+01,2.7104400000000001e+03,2.2000000000000000e+01
"TORRINGTON",144,143,"L",84186257.0000,-62695055.0000,28249434.0000,-4276039.0000,0.0000,0.0000,293758.0000,211387.0000,10378749.0000,9873604.0000,10378749.0000,"Y",36409678.0000,89078644.0000,131258361.0000,78294333.0000,3679420.0000,127048348.0000,1400000.0000,6437652.0000,3056617.0000,8068089.0000,2553396.0000,1964469.0000,2579576.0000,0.0000,,21991162.0000,21991162.0000,46281290.0000,89292132.0000,89292132.0000,1.0000000000000000e+00,89292132.0000,89292132.0000,1.0000000000000000e+00,3.4646000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",1928446385.0000,2760539378.5757,2.1600000000000000e+02,5.8781029055065284e-02,4.5750000000000000e+01,4.4656300000000001e+03,2.5800000000000000e+02
"TRUMBULL",145,144,"F",136419436.0000,-78700431.0000,57898931.0000,2498661.0000,1640620.0000,0.0000,861526.0000,80999.0000,22341102.0000,19757957.0000,20700482.0000,"N",19724597.0000,147288829.0000,174688646.0000,113968828.0000,12797229.0000,173705412.0000,1046418.0000,5012481.0000,0.0000,3909047.0000,2029652.0000,1467670.0000,2086668.0000,0.0000,,90259050.0000,90259050.0000,89295535.0000,146416744.0000,145088080.0000,9.9092546409855964e-01,148839847.0000,146601715.0000,9.8496281711442502e-01,3.6237000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",4520675882.0000,6760747989.4805,1.9000000000000000e+01,4.3232770550788821e-02,3.2869999999999997e+01,6.6156400000000003e+03,2.2500000000000000e+01
"UNION",146,145,"T",6497286.0000,-615289.0000,5969650.0000,-259076.0000,0.0000,0.0000,0.0000,160000.0000,404618.0000,244618.0000,404618.0000,"N",589749.0000,2648659.0000,3287278.0000,2137583.0000,251178.0000,3291206.0000,20500.0000,20500.0000,22110.0000,22110.0000,-5538.0000,19309.0000,-5538.0000,0.0000,,2573059.0000,2573059.0000,0.0000,2671799.0000,2633815.0000,9.8578336169749292e-01,2732848.0000,2646762.0000,9.6849952869680278e-01,8.4000000000000000e+02,,"2017-07-18 00:00:00",,90011560.0000,118614798.4606,0.0000000000000000e+00,4.7311827956989246e-02,2.9600000000000001e+01,1.1300000000000000e+02,0.0000000000000000e+00
"VERNON",147,146,"T",113236903.0000,-30420414.0000,86127812.0000,3873547.0000,0.0000,0.0000,0.0000,2729466.0000,16960256.0000,14230790.0000,16960256.0000,"N",25120365.0000,66502928.0000,95243807.0000,56591613.0000,6148280.0000,89945808.0000,237180.0000,237180.0000,2859710.0000,2859710.0000,2675469.0000,1601445.0000,2675469.0000,0.0000,,46075942.0000,46075942.0000,54752836.0000,65758703.0000,65021214.0000,9.8878492174640364e-01,67417390.0000,65926294.0000,9.7788262049302122e-01,2.9148000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1767087018.0000,2546983355.4159,2.3800000000000000e+02,4.8333624149363111e-02,3.6909999999999997e+01,3.5124400000000001e+03,2.7400000000000000e+02
"VOLUNTOWN",148,147,"NL",9755961.0000,2793363.0000,12549324.0000,566545.0000,95000.0000,0.0000,0.0000,33530.0000,1755437.0000,1626907.0000,1660437.0000,"N",3939000.0000,5427435.0000,9493346.0000,7215736.0000,0.0000,8664453.0000,12613.0000,12613.0000,15000.0000,15000.0000,826506.0000,-849473.0000,826506.0000,0.0000,,0.0000,0.0000,0.0000,5398512.0000,5307203.0000,9.8308626525235099e-01,5601963.0000,5377987.0000,9.6001830072779848e-01,2.5650000000000000e+03,,"2017-07-18 00:00:00",,201730728.0000,275601575.1646,1.7000000000000000e+01,5.2238805970149252e-02,2.6609999999999999e+01,3.8841000000000003e+02,1.9000000000000000e+01
"WALLINGFORD",149,148,"NH",208853000.0000,-28945000.0000,181325000.0000,5090000.0000,126000.0000,0.0000,1517000.0000,5098000.0000,29250000.0000,22509000.0000,29124000.0000,"N",38240000.0000,119376000.0000,163550000.0000,106678000.0000,4375000.0000,161304000.0000,1965000.0000,14247000.0000,2677000.0000,14814000.0000,1534000.0000,2007000.0000,1679000.0000,0.0000,,34310000.0000,34310000.0000,49545000.0000,118024000.0000,116411000.0000,9.8633328814478416e-01,122504000.0000,118287000.0000,9.6557663423235163e-01,4.4660000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",4268211000.0000,6194564722.0810,1.0700000000000000e+02,4.5656503753638729e-02,2.7469999999999999e+01,6.1350100000000002e+03,1.2650000000000000e+02
"WARREN",150,149,"L",4622284.0000,2365497.0000,7120634.0000,303867.0000,0.0000,0.0000,87792.0000,8300.0000,2059126.0000,1963034.0000,2059126.0000,"N",110900.0000,5111414.0000,5427167.0000,3260832.0000,229313.0000,5002887.0000,0.0000,0.0000,175500.0000,175500.0000,248780.0000,128202.0000,248780.0000,0.0000,685161.2497,2100000.0000,2785161.2497,332790.0000,4997981.0000,4982466.0000,9.9689574650243773e-01,5074193.0000,5053514.0000,9.9592467215969116e-01,1.4080000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",352843140.0000,535161654.2077,0.0000000000000000e+00,4.0353089533417402e-02,1.4199999999999999e+01,1.6302000000000001e+02,0.0000000000000000e+00
"WASHINGTON",151,150,"L",15719516.0000,6682760.0000,23087028.0000,1921338.0000,18516.0000,0.0000,267016.0000,1003965.0000,3935838.0000,2646341.0000,3917322.0000,"N",264860.0000,15484826.0000,16681554.0000,9716505.0000,0.0000,14220756.0000,0.0000,0.0000,1746631.0000,1746631.0000,714167.0000,-64917.0000,714167.0000,0.0000,618569.9978,0.0000,618569.9978,509272.0000,15153140.0000,15028101.0000,9.9174831091113791e-01,15460214.0000,15196427.0000,9.8293768766719525e-01,3.4520000000000000e+03,,"2017-07-18 00:00:00",,1096164724.0000,1735039846.2853,2.0000000000000000e+00,3.2148075986361421e-02,1.3750000000000000e+01,3.2597000000000003e+02,2.0000000000000000e+00
"WATERBURY",152,151,"NH",487171000.0000,-737738000.0000,-247979000.0000,-24662000.0000,0.0000,0.0000,0.0000,3000000.0000,22661000.0000,19661000.0000,22661000.0000,"N",156610000.0000,238780000.0000,417071000.0000,178411000.0000,47194000.0000,367670000.0000,0.0000,0.0000,49375000.0000,49375000.0000,26000.0000,173000.0000,26000.0000,0.0000,,450233000.0000,450233000.0000,210628000.0000,236493000.0000,232813000.0000,9.8443928572938733e-01,243398000.0000,234937000.0000,9.6523800524244241e-01,1.0827200000000000e+05,"A1","2017-07-18 00:00:00","A1",4074848477.0000,5554511500.2349,3.0950000000000000e+03,8.0171443243990601e-02,5.8219999999999999e+01,1.8382830000000002e+04,3.5520000000000000e+03
"WATERFORD",153,152,"NL",174396509.0000,-10912502.0000,163613712.0000,-5790620.0000,461357.0000,0.0000,0.0000,513400.0000,11922864.0000,10948107.0000,11461507.0000,"N",8196982.0000,81756013.0000,92445293.0000,50785687.0000,7415134.0000,88837109.0000,0.0000,0.0000,2259332.0000,2259332.0000,1348852.0000,-2371942.0000,1348852.0000,0.0000,,85715000.0000,85715000.0000,12289514.0000,81543116.0000,80913391.0000,9.9227739837658402e-01,83016798.0000,81229261.0000,9.7846776745111275e-01,1.9101000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",3158331722.0000,4639975434.9718,6.2000000000000000e+01,4.8030167708643448e-02,2.5829999999999998e+01,2.9015300000000002e+03,7.5000000000000000e+01
"WATERTOWN",154,153,"L",130139277.0000,-15935824.0000,116083175.0000,-2498477.0000,0.0000,0.0000,0.0000,467589.0000,8483714.0000,8016125.0000,8483714.0000,"N",19352704.0000,52586977.0000,74942672.0000,45068233.0000,6948972.0000,74218893.0000,33031.0000,516665.0000,616125.0000,616125.0000,140685.0000,342984.0000,624319.0000,0.0000,,51443099.0000,51443099.0000,10428002.0000,52529932.0000,51812359.0000,9.8633973103182393e-01,53547044.0000,52241217.0000,9.7561346243501323e-01,2.1790000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",1737024668.0000,2612679886.5387,5.7000000000000000e+01,4.6551059730250484e-02,3.0100000000000001e+01,2.8302600000000002e+03,7.1500000000000000e+01
"WEST HARTFORD",155,155,"H",180092000.0000,-152445000.0000,28478000.0000,6355000.0000,257000.0000,0.0000,0.0000,441000.0000,21792000.0000,21094000.0000,21535000.0000,"N",44086000.0000,229630000.0000,280946000.0000,167362000.0000,32133000.0000,260841000.0000,928000.0000,14481000.0000,20425000.0000,33849000.0000,608000.0000,850000.0000,737000.0000,0.0000,,148675000.0000,148675000.0000,235679000.0000,229112000.0000,227450000.0000,9.9274590593246970e-01,231623000.0000,228817000.0000,9.8788548632907780e-01,6.2903000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",5946170476.0000,9323512094.4408,1.8200000000000000e+02,3.8375047457726116e-02,3.8310000000000002e+01,1.0132469999999999e+04,2.0150000000000000e+02
"WEST HAVEN",156,156,"NH",110165292.0000,-159928062.0000,-48312340.0000,1148399.0000,152351.0000,0.0000,0.0000,0.0000,-16736064.0000,-16888415.0000,-16888415.0000,"N",74083784.0000,90455343.0000,168760901.0000,106292923.0000,17688591.0000,172869479.0000,1727948.0000,2142948.0000,4573337.0000,4573337.0000,-6953967.0000,-1703102.0000,-6538967.0000,0.0000,,120367619.0000,120367619.0000,51023119.0000,89720548.0000,88394444.0000,9.8521961769560307e-01,92560697.0000,89250029.0000,9.6423246467126322e-01,5.4516000000000000e+04,"Baa2","2017-07-18 00:00:00","Baa1",2853371008.0000,3964415226.5968,6.1300000000000000e+02,5.8288895596471810e-02,3.1250000000000000e+01,7.0174300000000003e+03,6.8250000000000000e+02
"WESTBROOK",157,154,"M",43935319.0000,3808224.0000,47777617.0000,1321528.0000,16088.0000,0.0000,500000.0000,0.0000,4768133.0000,4252045.0000,4752045.0000,"N",3085411.0000,26161999.0000,30583650.0000,19167229.0000,2516025.0000,29641143.0000,0.0000,0.0000,883500.0000,883500.0000,59007.0000,911311.0000,59007.0000,0.0000,,18985000.0000,18985000.0000,2091775.0000,25987148.0000,25837772.0000,9.9425192791452144e-01,26314782.0000,25997699.0000,9.8795038469252761e-01,6.9330000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",1160197692.0000,1714853284.1286,5.0000000000000000e+00,4.5217867909016170e-02,2.2510000000000002e+01,7.8298000000000002e+02,6.0000000000000000e+00
"WESTON",158,157,"F",47688574.0000,15365092.0000,63184296.0000,1788412.0000,606606.0000,0.0000,544403.0000,148347.0000,13811128.0000,12511772.0000,13204522.0000,"Y",6964897.0000,66993811.0000,75755510.0000,55344610.0000,6390963.0000,74259322.0000,168000.0000,649280.0000,1522119.0000,1522119.0000,142069.0000,948326.0000,623349.0000,0.0000,,39420291.0000,39420291.0000,7478814.0000,67168117.0000,66318396.0000,9.8734934016387566e-01,68976744.0000,66631494.0000,9.6599940988806310e-01,1.0302000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",2341794069.0000,3584903135.2439,2.0000000000000000e+00,4.1619025840384176e-02,2.8670000000000002e+01,2.3832700000000000e+03,2.0000000000000000e+00
"WESTPORT",159,158,"F",191336606.0000,35272406.0000,228057266.0000,7032340.0000,404147.0000,491129.0000,372382.0000,10114752.0000,38900755.0000,27518345.0000,38005479.0000,"N",15445024.0000,185227581.0000,219101390.0000,126750713.0000,17184778.0000,214543098.0000,437039.0000,9446302.0000,2113802.0000,10920012.0000,2881529.0000,-71459.0000,3084582.0000,0.0000,,100942368.0000,100942368.0000,41987665.0000,182788558.0000,180450822.0000,9.8721070932678401e-01,193810900.0000,183066622.0000,9.4456308700903824e-01,2.7840000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",10089688656.0000,16602814905.2597,2.0000000000000000e+01,3.7616563932353408e-02,1.8090000000000000e+01,5.7170799999999999e+03,2.3000000000000000e+01
"WETHERSFIELD",160,159,"H",106816918.0000,-2203031.0000,104613887.0000,9408145.0000,0.0000,0.0000,441233.0000,481480.0000,11832881.0000,10910168.0000,11832881.0000,"N",17549567.0000,83457895.0000,103830445.0000,64994570.0000,5191229.0000,101012003.0000,90000.0000,90000.0000,2707239.0000,2707239.0000,201203.0000,-157022.0000,201203.0000,0.0000,,54535886.0000,54535886.0000,24094845.0000,84329250.0000,83571259.0000,9.9101152921435920e-01,86007604.0000,84008668.0000,9.7675861311053380e-01,2.6195000000000000e+04,"Aa2","2017-07-18 00:00:00","Aa2",2213400730.0000,3104460581.9467,5.7000000000000000e+01,4.6142857142857145e-02,3.8189999999999998e+01,3.9710500000000002e+03,6.6000000000000000e+01
"WILLINGTON",161,160,"T",10147908.0000,2624546.0000,13567151.0000,207502.0000,0.0000,0.0000,526339.0000,401335.0000,2893822.0000,1966148.0000,2893822.0000,"N",5047739.0000,12147592.0000,17474206.0000,12973852.0000,505887.0000,17144790.0000,0.0000,824875.0000,971089.0000,971089.0000,-641673.0000,-371429.0000,183202.0000,0.0000,930232.0639,2800314.0000,3730546.0639,127874.0000,12072954.0000,12029030.0000,9.9636178519358232e-01,12179188.0000,12085613.0000,9.9231681126853444e-01,5.8720000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",439156890.0000,615677861.8942,1.2000000000000000e+01,4.1103448275862070e-02,2.7340000000000000e+01,6.7292999999999995e+02,1.4000000000000000e+01
"WILTON",162,161,"F",97230076.0000,14900653.0000,112245334.0000,-486343.0000,106439.0000,0.0000,1252447.0000,4513735.0000,21761915.0000,15889294.0000,21655476.0000,"N",11964934.0000,115159880.0000,130646516.0000,89568730.0000,10784705.0000,130652578.0000,0.0000,0.0000,1013042.0000,1013042.0000,-1019104.0000,644763.0000,-1019104.0000,0.0000,,83700219.0000,83700219.0000,9913401.0000,115047609.0000,114255219.0000,9.9311250353755720e-01,116913974.0000,114781528.0000,9.8176055498720793e-01,1.8560000000000000e+04,"Aaa","2017-07-18 00:00:00","Aaa",4296191050.0000,6535481935.4523,3.0000000000000000e+00,4.0991308433168901e-02,2.6830200000000001e+01,4.1553000000000002e+03,5.0000000000000000e+00
"WINCHESTER",163,162,"L",38586005.0000,-4450938.0000,36319570.0000,672205.0000,0.0000,0.0000,450000.0000,0.0000,6174511.0000,5724511.0000,6174511.0000,"N",10841687.0000,22967681.0000,34659810.0000,22235653.0000,724522.0000,33052077.0000,39080.0000,39080.0000,635333.0000,635333.0000,1011480.0000,1748966.0000,1011480.0000,0.0000,,3469894.0000,3469894.0000,10263754.0000,22653061.0000,22223820.0000,9.8105152323564571e-01,23372266.0000,22791912.0000,9.7516911710657406e-01,1.0754000000000000e+04,,"2017-07-18 00:00:00",,692625587.0000,931620999.7784,7.4000000000000000e+01,5.4448225571220227e-02,3.2700000000000003e+01,1.1855100000000000e+03,8.1000000000000000e+01
"WINDHAM",164,163,"W",59714008.0000,-4157569.0000,56419991.0000,-5880530.0000,118964.0000,722080.0000,0.0000,0.0000,10336364.0000,9495320.0000,9495320.0000,"N",36765536.0000,35834457.0000,75641325.0000,50733767.0000,3596130.0000,76352373.0000,250887.0000,250887.0000,2105000.0000,2105000.0000,-2565161.0000,210927.0000,-2565161.0000,0.0000,,16736500.0000,16736500.0000,7017990.0000,35573741.0000,35149389.0000,9.8807120117054881e-01,36352591.0000,35694454.0000,9.8189573337427305e-01,2.4727000000000000e+04,"Aa3","2017-07-18 00:00:00","Aa3",877917109.0000,1256841393.7328,4.5500000000000000e+02,6.2327767871616147e-02,3.4350000000000001e+01,3.2070999999999999e+03,5.0500000000000000e+02
"WINDSOR",165,164,"H",68217968.0000,-739193.0000,71226688.0000,-2647227.0000,21599.0000,0.0000,0.0000,4727980.0000,24392431.0000,19642852.0000,24370832.0000,"N",21906514.0000,89012808.0000,114990555.0000,72839199.0000,6672435.0000,106587810.0000,78508.0000,78508.0000,7715704.0000,7715704.0000,765549.0000,2437052.0000,765549.0000,0.0000,,38520000.0000,38520000.0000,15375257.0000,88799152.0000,87708131.0000,9.8771361014798875e-01,90008967.0000,88399876.0000,9.8212299225698252e-01,2.8875000000000000e+04,,"2017-07-18 00:00:00",,2849933303.0000,4259039357.4157,1.8200000000000000e+02,5.0012094823415579e-02,3.0920000000000002e+01,3.9367199999999998e+03,2.0200000000000000e+02
"WINDSOR LOCKS",166,165,"H",65123995.0000,18652219.0000,83780049.0000,4888737.0000,0.0000,0.0000,0.0000,1026584.0000,13056631.0000,12030047.0000,13056631.0000,"N",14887378.0000,33011198.0000,49450604.0000,33117510.0000,2708314.0000,48104776.0000,165437.0000,686480.0000,1442270.0000,1442270.0000,68995.0000,-44206.0000,590038.0000,0.0000,,21075002.0000,21075002.0000,5898563.0000,32876532.0000,32326187.0000,9.8326024776579235e-01,33685954.0000,32492554.0000,9.6457277119122109e-01,1.2512000000000000e+04,"Aa1","2017-07-18 00:00:00","Aa1",1177295207.0000,1699667420.5099,5.6000000000000000e+01,5.2189236817134339e-02,2.6789999999999999e+01,1.7032800000000000e+03,6.1500000000000000e+01
"WOLCOTT",167,166,"NH",43354793.0000,-7488081.0000,38313151.0000,303502.0000,0.0000,0.0000,0.0000,140367.0000,4446445.0000,4306078.0000,4446445.0000,"N",20092505.0000,35996804.0000,57021088.0000,37563529.0000,4509191.0000,57826827.0000,685917.0000,1509687.0000,70000.0000,70000.0000,-189822.0000,260098.0000,633948.0000,0.0000,,28837441.0000,28837441.0000,13342975.0000,35905630.0000,35229163.0000,9.8115986267334676e-01,36876492.0000,35713680.0000,9.6846739109566060e-01,1.6643000000000000e+04,"A1","2017-07-18 00:00:00","A1",1271057987.0000,1821732370.0838,2.3000000000000000e+01,4.6396441928636407e-02,2.8079999999999998e+01,2.5466199999999999e+03,2.6000000000000000e+01
"WOODBRIDGE",168,167,"NH",62365576.0000,-1385690.0000,61722894.0000,3832554.0000,83638.0000,0.0000,0.0000,1435596.0000,6386707.0000,4867473.0000,6303069.0000,"N",2769051.0000,43412488.0000,48957985.0000,29222217.0000,7936071.0000,47701238.0000,0.0000,7181975.0000,1409273.0000,7718461.0000,-152526.0000,-263606.0000,720261.0000,0.0000,9938918.1039,21428204.0000,31367122.1039,4840332.0000,42933994.0000,42762202.0000,9.9599869511324757e-01,43097001.0000,42924311.0000,9.9599299264466223e-01,8.8420000000000000e+03,"Aaa","2017-07-18 00:00:00","Aaa",1145716220.0000,1637008171.4314,1.6000000000000000e+01,3.5015447991761074e-02,3.7659999999999997e+01,1.4877200000000000e+03,1.7000000000000000e+01
"WOODBURY",169,168,"L",16510904.0000,311932.0000,18122140.0000,-185235.0000,0.0000,0.0000,0.0000,504224.0000,4388832.0000,3884608.0000,4388832.0000,"N",1681290.0000,29858650.0000,32246988.0000,22479871.0000,514250.0000,31499437.0000,22000.0000,23300.0000,320659.0000,320659.0000,448892.0000,493800.0000,450192.0000,0.0000,0.0000,6761297.0000,6761297.0000,5838109.0000,29629544.0000,29075186.0000,9.8129036342915033e-01,31126062.0000,29526835.0000,9.4862096592880907e-01,9.5910000000000000e+03,"Aa2","2017-07-18 00:00:00","Aa2",1132215258.0000,1548752497.2403,7.0000000000000000e+00,4.2080549033772799e-02,2.6070000000000000e+01,1.1485400000000000e+03,9.0000000000000000e+00
"WOODSTOCK",170,169,"W",22755916.0000,927147.0000,28256964.0000,133311.0000,0.0000,0.0000,0.0000,169419.0000,3416477.0000,3247058.0000,3416477.0000,"N",7059787.0000,16035480.0000,23627875.0000,17577537.0000,442243.0000,23446748.0000,0.0000,369057.0000,326314.0000,326314.0000,-145187.0000,80094.0000,223870.0000,0.0000,,3709046.0000,3709046.0000,1046736.0000,15975226.0000,15727208.0000,9.8447483622453913e-01,16333620.0000,15920137.0000,9.7468515858701255e-01,7.8230000000000000e+03,"Aa3","2017-07-18 00:00:00","Aa3",679415130.0000,972558228.8012,1.1000000000000000e+01,4.7263081745840367e-02,2.3359999999999999e+01,1.2645300000000000e+03,1.5000000000000000e+01
