Municipality,Mill Rate FY 2016-17,Mill Rate - Real & Personal Property - FY 2016-17,Mill Rate - Motor Vehicle - FY 2016-17,Comments
"GROTON (City of)",5.4320000000000004e+00,,,
"GUILFORD",2.8670000000000002e+01,,,
"HADDAM",3.1199999999999999e+01,,,
"HAMDEN",,4.5359999999999999e+01,3.7000000000000000e+01,
"HAMPTON",2.8500000000000000e+01,,,
"HARTFORD",,7.4290000000000006e+01,3.7000000000000000e+01,
"HARTLAND",2.5500000000000000e+01,,,
"HARWINTON",2.7800000000000001e+01,,,
"HEBRON",3.5640000000000001e+01,,,
"KENT",1.8329999999999998e+01,,,
"KILLINGLY",2.7309999999999999e+01,,,
"KILLINGWORTH",2.5890000000000001e+01,,,
"LEBANON",2.8899999999999999e+01,,,
"LEDYARD",3.1899999999999999e+01,,,
"LISBON",2.0500000000000000e+01,,,
"LITCHFIELD",2.6699999999999999e+01,,,
"LYME",1.8250000000000000e+01,,,
"MADISON",2.6489999999999998e+01,,,
"MANCHESTER",,3.9680000000000000e+01,3.7000000000000000e+01,
"MANSFIELD",2.9870000000000001e+01,,,
"MARLBOROUGH",3.4149999999999999e+01,,,
"MERIDEN",,3.7469999999999999e+01,3.7000000000000000e+01,
"MIDDLEBURY",3.1010000000000002e+01,,,
"MIDDLEFIELD",,3.2840000000000003e+01,3.2000000000000000e+01,
"MIDDLETOWN",3.3299999999999997e+01,,,
"MILFORD",2.7840000000000000e+01,,,
"MONROE",,3.5000000000000000e+01,3.2000000000000000e+01,
"MONTVILLE",3.0609999999999999e+01,,,
"MORRIS",2.7829999999999998e+01,,,
"NAUGATUCK",,4.7670000000000002e+01,3.7000000000000000e+01,
"NEW BRITAIN",,5.0500000000000000e+01,3.7000000000000000e+01,
"NEW CANAAN",1.6312000000000001e+01,,,
"NEW FAIRFIELD",2.8680000000000000e+01,,,
"NEW HARTFORD",2.9516999999999999e+01,,,
"NEW HAVEN",,4.1549999999999997e+01,3.7000000000000000e+01,
"NEW LONDON",,4.0460000000000001e+01,3.7000000000000000e+01,
"NEW MILFORD",2.6770000000000000e+01,,,
"NEWINGTON",3.5750000000000000e+01,,,
"NEWTOWN",3.3600000000000001e+01,,,
"NORFOLK",2.2090000000000000e+01,,,
"NORTH BRANFORD",3.1980000000000000e+01,,,
"NORTH CANAAN",2.7500000000000000e+01,,,
"NORTH HAVEN",3.0530000000000001e+01,,,
"NORTH STONINGTON",2.7000000000000000e+01,,,
"NORWALK",,2.4997000000000000e+01,2.8907000000000000e+01,
"NORWICH",,4.1219999999999999e+01,3.7000000000000000e+01,
"OLD LYME",2.1199999999999999e+01,,,
"OLD SAYBROOK",1.9260000000000002e+01,,,
"ORANGE",,3.2200000000000003e+01,3.2000000000000000e+01,
"OXFORD",2.4210000000000001e+01,,,
"PLAINFIELD",2.9050000000000001e+01,,,
"PLAINVILLE",3.1989999999999998e+01,,,
"PLYMOUTH",3.6020000000000003e+01,,,
"POMFRET",2.5430000000000000e+01,,,
"PORTLAND",3.2509999999999998e+01,,,
"PRESTON",2.3750000000000000e+01,,,
"PROSPECT",2.9910000000000000e+01,,,
"PUTNAM",1.7039999999999999e+01,,,
"REDDING",2.9239999999999998e+01,,,
"RIDGEFIELD",2.6690000000000001e+01,,,
"ROCKY HILL",3.1000000000000000e+01,,,
"ROXBURY",1.3699999999999999e+01,,,
"SALEM",3.1699999999999999e+01,,,
"SALISBURY",1.0699999999999999e+01,,,
"SCOTLAND",,3.8680000000000000e+01,3.7000000000000000e+01,
"SEYMOUR",3.6000000000000000e+01,,,
"SHARON",1.4400000000000000e+01,,,
"SHELTON",2.2309999999999999e+01,,,
"SHERMAN",2.0329999999999998e+01,,,
"SIMSBURY",,3.7119999999999997e+01,3.6000000000000000e+01,
"SOMERS",2.4219999999999999e+01,,,
"SOUTH WINDSOR",,3.7340000000000003e+01,3.7000000000000000e+01,
"SOUTHBURY",2.8800000000000001e+01,,,
"SOUTHINGTON",2.9640000000000001e+01,,,
"SPRAGUE",3.1500000000000000e+01,,,
"STAFFORD",3.3509999999999998e+01,,,
"STAMFORD",,2.6120000000000001e+01,2.7250000000000000e+01,
"STERLING",3.1600000000000001e+01,,,
"STONINGTON",2.2309999999999999e+01,,,
"STRATFORD",,3.8990000000000002e+01,3.7000000000000000e+01,
"SUFFIELD",2.8199999999999999e+01,,,
"THOMASTON",3.4070000000000000e+01,,,
"THOMPSON",2.6059999999999999e+01,,,
"TOLLAND",3.4189999999999998e+01,,,
"TORRINGTON",,4.5750000000000000e+01,3.7000000000000000e+01,
"TRUMBULL",3.2740000000000002e+01,,,
"UNION",3.0270000000000000e+01,,,
"VERNON",,3.8030000000000001e+01,3.7000000000000000e+01,
"VOLUNTOWN",2.8059999999999999e+01,,,
"WALLINGFORD",2.7890000000000001e+01,,,
"WARREN",1.4350000000000000e+01,,,
"WASHINGTON",1.4250000000000000e+01,,,
"WATERBURY",,6.0210000000000001e+01,3.7000000000000000e+01,
"WATERFORD",2.6780000000000001e+01,,,
"WATERTOWN",3.0890000000000001e+01,,,
"WEST HARTFORD",,3.9509999999999998e+01,3.7000000000000000e+01,
"WEST HAVEN",,3.5259999999999998e+01,3.7000000000000000e+01,
"WESTBROOK",2.3140000000000001e+01,,,
"WESTON",2.8559999999999999e+01,,,
"WESTPORT",1.6859999999999999e+01,,,
"WETHERSFIELD",,3.8539999999999999e+01,3.7000000000000000e+01,
"WILLINGTON",2.7730000000000000e+01,,,
"WILTON",2.7337100000000000e+01,,,
"WINCHESTER",,3.3539999999999999e+01,3.2000000000000000e+01,
"WINDHAM",,3.5350000000000001e+01,3.7000000000000000e+01,
"WINDSOR",3.1520000000000000e+01,,,
"WINDSOR LOCKS",2.6660000000000000e+01,,,
"WOLCOTT",2.8910000000000000e+01,,,
"WOODBRIDGE",,3.8539999999999999e+01,3.7000000000000000e+01,
"WOODBURY",2.6289999999999999e+01,,,
"WOODSTOCK",2.4039999999999999e+01,,,
