Municipality,numbered,PER CAPITA INCOME - 2018 ESTIMATE,Population_Range,PercentOfState,Sort ID
"STAMFORD",1.3600000000000000e+02,55059.0000,"70,000 & Up",1.2787764771460424e+00,33
"MADISON",7.7000000000000000e+01,54813.0000,"10,000 to 30,000",1.2730629877369009e+00,34
"GRANBY",5.6000000000000000e+01,54714.0000,"0 to 10,000",1.2707636566332219e+00,35
"WEST HARTFORD",1.5500000000000000e+02,54601.0000,"30,000 to 70,000",1.2681391675956892e+00,36
"ORANGE",1.0800000000000000e+02,53267.0000,"10,000 to 30,000",1.2371562616127834e+00,37
"BURLINGTON",2.0000000000000000e+01,53189.0000,"0 to 10,000",1.2353446674098849e+00,38
"SALEM",1.2200000000000000e+02,51837.0000,"0 to 10,000",1.2039437012263099e+00,39
"TOLLAND",1.4300000000000000e+02,51773.0000,"10,000 to 30,000",1.2024572649572649e+00,40
"MARLBOROUGH",8.0000000000000000e+01,51397.0000,"0 to 10,000",1.1937244518766257e+00,41
"NEW FAIRFIELD",9.2000000000000000e+01,51244.0000,"10,000 to 30,000",1.1901709401709402e+00,42
"CANTON",2.3000000000000000e+01,50526.0000,"0 to 10,000",1.1734949832775921e+00,44
"MORRIS",8.8000000000000000e+01,50277.0000,"0 to 10,000",1.1677118171683389e+00,45
"STONINGTON",1.3800000000000000e+02,50209.0000,"10,000 to 30,000",1.1661324786324787e+00,46
"WOODBURY",1.6900000000000000e+02,49878.0000,"0 to 10,000",1.1584448160535117e+00,47
"BROOKFIELD",1.8000000000000000e+01,49856.0000,"10,000 to 30,000",1.1579338535860275e+00,48
"ELLINGTON",4.8000000000000000e+01,49825.0000,"10,000 to 30,000",1.1572138610182088e+00,49
"HADDAM",6.2000000000000000e+01,49564.0000,"0 to 10,000",1.1511519881085099e+00,50
"BRANFORD",1.4000000000000000e+01,49036.0000,"10,000 to 30,000",1.1388888888888888e+00,52
"CHESHIRE",2.5000000000000000e+01,48968.0000,"10,000 to 30,000",1.1373095503530286e+00,53
"SOUTHBURY",1.3200000000000000e+02,48943.0000,"10,000 to 30,000",1.1367289111854328e+00,54
"CROMWELL",3.3000000000000000e+01,48862.0000,"10,000 to 30,000",1.1348476402824228e+00,55
"SUFFIELD",1.4000000000000000e+02,48749.0000,"10,000 to 30,000",1.1322231512448904e+00,56
"MONROE",8.6000000000000000e+01,48741.0000,"10,000 to 30,000",1.1320373467112597e+00,57
"MIDDLEBURY",8.2000000000000000e+01,48721.0000,"0 to 10,000",1.1315728353771832e+00,58
"UNION",1.4600000000000000e+02,48675.0000,"0 to 10,000",1.1305044593088072e+00,59
"HEBRON",6.8000000000000000e+01,48654.0000,"0 to 10,000",1.1300167224080269e+00,60
"BERLIN",7.0000000000000000e+00,48602.0000,"10,000 to 30,000",1.1288089929394278e+00,61
"NORFOLK",9.9000000000000000e+01,48357.0000,"0 to 10,000",1.1231187290969900e+00,62
"OLD SAYBROOK",1.0700000000000000e+02,48264.0000,"0 to 10,000",1.1209587513935340e+00,63
"COLUMBIA",3.0000000000000000e+01,47985.0000,"0 to 10,000",1.1144788182831662e+00,64
"PORTLAND",1.1400000000000000e+02,47858.0000,"0 to 10,000",1.1115291713117801e+00,65
"BETHLEHEM",1.0000000000000000e+01,47845.0000,"0 to 10,000",1.1112272389446303e+00,66
"NORTH HAVEN",1.0200000000000000e+02,47629.0000,"10,000 to 30,000",1.1062105165366034e+00,67
"NORWALK",1.0400000000000000e+02,47322.0000,"70,000 & Up",1.0990802675585285e+00,69
"SOUTH WINDSOR",1.3100000000000000e+02,47189.0000,"10,000 to 30,000",1.0959912671869194e+00,71
"SHELTON",1.2700000000000000e+02,46952.0000,"30,000 to 70,000",1.0904868078781123e+00,72
"LITCHFIELD",7.5000000000000000e+01,46891.0000,"0 to 10,000",1.0890700483091786e+00,73
"MIDDLEFIELD",8.3000000000000000e+01,46654.0000,"0 to 10,000",1.0835655890003717e+00,74
"BOLTON",1.2000000000000000e+01,46413.0000,"0 to 10,000",1.0779682274247491e+00,75
"BETHEL",9.0000000000000000e+00,46066.0000,"10,000 to 30,000",1.0699089557785211e+00,76
"EAST HADDAM",4.0000000000000000e+01,45802.0000,"0 to 10,000",1.0637774061687104e+00,77
"ROCKY HILL",1.2000000000000000e+02,45689.0000,"10,000 to 30,000",1.0611529171311780e+00,78
"EAST LYME",4.4000000000000000e+01,45316.0000,"10,000 to 30,000",1.0524897807506504e+00,79
"DEEP RIVER",3.6000000000000000e+01,45081.0000,"0 to 10,000",1.0470317725752509e+00,80
"COLCHESTER",2.8000000000000000e+01,44990.0000,"10,000 to 30,000",1.0449182460052024e+00,81
"NEW HARTFORD",9.3000000000000000e+01,44846.0000,"0 to 10,000",1.0415737643998513e+00,82
"GOSHEN",5.5000000000000000e+01,44846.0000,"0 to 10,000",1.0415737643998513e+00,83
"BARKHAMSTED",5.0000000000000000e+00,44722.0000,"0 to 10,000",1.0386937941285768e+00,84
"HARTLAND",6.6000000000000000e+01,44411.0000,"0 to 10,000",1.0314706428836864e+00,85
"EAST HAMPTON",4.1000000000000000e+01,44081.0000,"10,000 to 30,000",1.0238062058714232e+00,87
"OXFORD",1.0900000000000000e+02,43991.0000,"0 to 10,000",1.0217159048680788e+00,88
"WETHERSFIELD",1.6000000000000000e+02,43950.0000,"10,000 to 30,000",1.0207636566332219e+00,89
"LEDYARD",7.3000000000000000e+01,43735.0000,"10,000 to 30,000",1.0157701597918989e+00,90
"CHESTER",2.6000000000000000e+01,43551.0000,"0 to 10,000",1.0114966555183946e+00,91
"SOMERS",1.3000000000000000e+02,43387.0000,"0 to 10,000",1.0076876625789670e+00,92
"EAST GRANBY",3.9000000000000000e+01,43299.0000,"0 to 10,000",1.0056438127090301e+00,93
"WATERFORD",1.5300000000000000e+02,43125.0000,"10,000 to 30,000",1.0016025641025641e+00,95
"FRANKLIN",5.3000000000000000e+01,43095.0000,"0 to 10,000",1.0009057971014492e+00,96
"COVENTRY",3.2000000000000000e+01,43012.0000,"10,000 to 30,000",9.9897807506503156e-01,97
"BLOOMFIELD",1.1000000000000000e+01,43010.0000,"10,000 to 30,000",9.9893162393162394e-01,98
"KENT",6.9000000000000000e+01,42983.0000,"0 to 10,000",9.9830453363062055e-01,99
"NEW MILFORD",9.6000000000000000e+01,42708.0000,"10,000 to 30,000",9.9191750278706803e-01,100
"LISBON",7.4000000000000000e+01,42479.0000,"0 to 10,000",9.8659884801189146e-01,101
"SOUTHINGTON",1.3300000000000000e+02,42269.0000,"30,000 to 70,000",9.8172147900408768e-01,102
"LEBANON",7.2000000000000000e+01,41739.0000,"0 to 10,000",9.6941192865105907e-01,104
"CLINTON",2.7000000000000000e+01,41529.0000,"10,000 to 30,000",9.6453455964325530e-01,105
"POMFRET",1.1300000000000000e+02,41442.0000,"0 to 10,000",9.6251393534002228e-01,106
"ANDOVER",1.0000000000000000e+00,41260.0000,"0 to 10,000",9.5828688219992564e-01,107
"PROSPECT",1.1600000000000000e+02,41065.0000,"0 to 10,000",9.5375789669267930e-01,108
"COLEBROOK",2.9000000000000000e+01,40893.0000,"0 to 10,000",9.4976309921962099e-01,109
"EASTFORD",4.6000000000000000e+01,40678.0000,"0 to 10,000",9.4476960237829799e-01,110
"WOODSTOCK",1.7000000000000000e+02,40615.0000,"0 to 10,000",9.4330639167595687e-01,111
"WILLINGTON",1.6100000000000000e+02,40238.0000,"0 to 10,000",9.3455035302861389e-01,112
"WATERTOWN",1.5400000000000000e+02,40009.0000,"10,000 to 30,000",9.2923169825343743e-01,113
"WINDSOR",1.6500000000000000e+02,39725.0000,"10,000 to 30,000",9.2263563730955034e-01,114
"NEWINGTON",9.7000000000000000e+01,39117.0000,"10,000 to 30,000",9.0851449275362317e-01,115
"HAMPTON",6.4000000000000000e+01,38900.0000,"0 to 10,000",9.0347454477889255e-01,116
"BOZRAH",1.3000000000000000e+01,38732.0000,"0 to 10,000",8.9957264957264960e-01,117
"PLYMOUTH",1.1200000000000000e+02,38455.0000,"10,000 to 30,000",8.9313916759568934e-01,118
"EAST WINDSOR",4.5000000000000000e+01,38384.0000,"0 to 10,000",8.9149015235971762e-01,119
"CANTERBURY",2.2000000000000000e+01,38051.0000,"0 to 10,000",8.8375603864734298e-01,120
"HAMDEN",6.3000000000000000e+01,37920.0000,"30,000 to 70,000",8.8071348940914163e-01,121
"NORTH STONINGTON",1.0300000000000000e+02,37784.0000,"0 to 10,000",8.7755481233742105e-01,122
"PRESTON",1.1500000000000000e+02,37771.0000,"0 to 10,000",8.7725287997027124e-01,123
"SCOTLAND",1.2400000000000000e+02,37743.0000,"0 to 10,000",8.7660256410256410e-01,124
"STRATFORD",1.3900000000000000e+02,37485.0000,"30,000 to 70,000",8.7061036789297663e-01,125
"MIDDLETOWN",8.4000000000000000e+01,37412.0000,"30,000 to 70,000",8.6891490152359718e-01,126
"WINDSOR LOCKS",1.6600000000000000e+02,37034.0000,"10,000 to 30,000",8.6013563730955034e-01,127
"WOLCOTT",1.6700000000000000e+02,36857.0000,"10,000 to 30,000",8.5602471200297292e-01,129
"STAFFORD",1.3500000000000000e+02,36477.0000,"10,000 to 30,000",8.4719899665551834e-01,131
"SEYMOUR",1.2500000000000000e+02,36420.0000,"10,000 to 30,000",8.4587513935340020e-01,132
"ASHFORD",3.0000000000000000e+00,36212.0000,"0 to 10,000",8.4104422147900404e-01,133
"GROTON",5.9000000000000000e+01,36151.0000,"30,000 to 70,000",8.3962746191007065e-01,134
"MANCHESTER",7.8000000000000000e+01,35940.0000,"30,000 to 70,000",8.3472686733556301e-01,135
"VERNON",1.4700000000000000e+02,35873.0000,"10,000 to 30,000",8.3317075436640653e-01,136
"NORTH CANAAN",1.0100000000000000e+02,35008.0000,"0 to 10,000",8.1308063916759565e-01,137
"THOMPSON",1.4200000000000000e+02,34836.0000,"0 to 10,000",8.0908584169453734e-01,138
"CHAPLIN",2.4000000000000000e+01,34773.0000,"0 to 10,000",8.0762263099219622e-01,139
"ENFIELD",4.9000000000000000e+01,34592.0000,"30,000 to 70,000",8.0341880341880345e-01,140
"BRISTOL",1.7000000000000000e+01,34515.0000,"30,000 to 70,000",8.0163043478260865e-01,141
"DANBURY",3.4000000000000000e+01,34512.0000,"30,000 to 70,000",8.0156075808249716e-01,142
"THOMASTON",1.4100000000000000e+02,34350.0000,"0 to 10,000",7.9779821627647718e-01,143
"VOLUNTOWN",1.4800000000000000e+02,33975.0000,"0 to 10,000",7.8908862876254182e-01,144
"BROOKLYN",1.9000000000000000e+01,33827.0000,"0 to 10,000",7.8565124489037530e-01,145
"WINCHESTER",1.6300000000000000e+02,33560.0000,"10,000 to 30,000",7.7945001858045337e-01,146
"EAST HAVEN",4.3000000000000000e+01,33484.0000,"10,000 to 30,000",7.7768487551096244e-01,147
"SPRAGUE",1.3400000000000000e+02,33265.0000,"0 to 10,000",7.7259847640282420e-01,149
"GRISWOLD",5.8000000000000000e+01,33009.0000,"10,000 to 30,000",7.6665273132664435e-01,150
"PUTNAM",1.1700000000000000e+02,32395.0000,"0 to 10,000",7.5239223337049421e-01,152
"STERLING",1.3700000000000000e+02,31969.0000,"0 to 10,000",7.4249814195466368e-01,153
"TORRINGTON",1.4400000000000000e+02,31789.0000,"30,000 to 70,000",7.3831753994797478e-01,154
"KILLINGLY",7.0000000000000000e+01,30883.0000,"10,000 to 30,000",7.1727517651430694e-01,155
"DERBY",3.7000000000000000e+01,30705.0000,"10,000 to 30,000",7.1314102564102566e-01,156
"NORWICH",1.0500000000000000e+02,29957.0000,"30,000 to 70,000",6.9576830174656257e-01,157
"PLAINFIELD",1.1000000000000000e+02,29721.0000,"10,000 to 30,000",6.9028706800445927e-01,158
"WEST HAVEN",1.5600000000000000e+02,28721.0000,"30,000 to 70,000",6.6706150130063169e-01,159
"EAST HARTFORD",4.2000000000000000e+01,28011.0000,"30,000 to 70,000",6.5057134894091417e-01,160
"ANSONIA",2.0000000000000000e+00,28009.0000,"10,000 to 30,000",6.5052489780750655e-01,161
"NEW HAVEN",9.4000000000000000e+01,25818.0000,"70,000 & Up",5.9963768115942029e-01,162
"NEW LONDON",9.5000000000000000e+01,24356.0000,"10,000 to 30,000",5.6568190263842433e-01,163
"NEW BRITAIN",9.0000000000000000e+01,24052.0000,"70,000 & Up",5.5862133036046080e-01,164
"WATERBURY",1.5200000000000000e+02,22751.0000,"70,000 & Up",5.2840486807878118e-01,166
"MANSFIELD",7.9000000000000000e+01,22104.0000,"10,000 to 30,000",5.1337792642140467e-01,167
"HARTFORD",6.5000000000000000e+01,20066.0000,"70,000 & Up",4.6604422147900409e-01,168
"WINDHAM",1.6400000000000000e+02,20064.0000,"10,000 to 30,000",4.6599777034559642e-01,169
"RIDGEFIELD",1.1900000000000000e+02,80859.0000,"10,000 to 30,000",1.8779960981047938e+00,8
"TRUMBULL",1.4500000000000000e+02,51194.0000,"30,000 to 70,000",1.1890096618357489e+00,43
"HARWINTON",6.7000000000000000e+01,44167.0000,"0 to 10,000",1.0258036046079524e+00,86
"WALLINGFORD",1.4900000000000000e+02,42096.0000,"30,000 to 70,000",9.7770345596432551e-01,103
"PLAINVILLE",1.1100000000000000e+02,37022.0000,"10,000 to 30,000",8.5985693050910439e-01,128
"MERIDEN",8.1000000000000000e+01,33452.0000,"30,000 to 70,000",7.7694165737643994e-01,148
"BRIDGEPORT",1.5000000000000000e+01,23348.0000,"70,000 & Up",5.4227053140096615e-01,165
"GREENWICH",5.7000000000000000e+01,98467.0000,"30,000 to 70,000",2.2869518766257895e+00,5
"FARMINGTON",5.2000000000000000e+01,56571.0000,"10,000 to 30,000",1.3138935340022297e+00,26
"WOODBRIDGE",1.6800000000000000e+02,55439.0000,"0 to 10,000",1.2876021924934968e+00,31
"KILLINGWORTH",7.1000000000000000e+01,49316.0000,"0 to 10,000",1.1453920475659607e+00,51
"MILFORD",8.5000000000000000e+01,47358.0000,"30,000 to 70,000",1.0999163879598661e+00,68
"NORTH BRANFORD",1.0000000000000000e+02,47256.0000,"10,000 to 30,000",1.0975473801560758e+00,70
"BEACON FALLS",6.0000000000000000e+00,43137.0000,"0 to 10,000",1.0018812709030100e+00,94
"NAUGATUCK",8.9000000000000000e+01,36715.0000,"30,000 to 70,000",8.5272668153102937e-01,130
"MONTVILLE",8.7000000000000000e+01,32398.0000,"10,000 to 30,000",7.5246191007060570e-01,151
