Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,Largest Deficit - Individual Enterprise Fund,Largest Deficit - Individual Internal Service Fund,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Total_Net_OPEB_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2018 Population,Moody's_Bond_Ratings_Latest,Date of Latest Moody's Ratings,Moody's_Bond_Ratings_June_2018,area lmt,ACGLFY18,EGL,TFA18 Recipients,empl,ACMR,enrollmt,numbered
"EAST HAMPTON",,,92111852.0000,-1950181.0000,91573229.0000,-1914155.0000,0.0000,0.0000,0.0000,0.0000,5435624.0000,5435624.0000,5435624.0000,"N",13319088.0000,36935812.0000,50935662.0000,36274633.0000,3071576.0000,49489798.0000,111791.0000,111791.0000,1385500.0000,1385500.0000,172155.0000,304074.0000,172155.0000,0.0000,0.0000,0.0000,,31512317.0000,31512317.0000,9272945.0000,3846921.0000,35564525.0000,35251726.0000,9.9120474686502913e-01,37006804.0000,36308558.0000,9.8113195616676330e-01,1.2854000000000000e+04,,"2019-08-20 00:00:00",,3.5649999999999999e+01,1128671830.0000,1624575092.9600,,3.3517400796198790e-02,"31.32",1.9651199999999999e+03,41
"EAST HARTFORD",,,96199000.0000,-294930000.0000,-198589000.0000,-1397000.0000,3437000.0000,0.0000,0.0000,1051000.0000,24599000.0000,20111000.0000,21162000.0000,"N",77839000.0000,128413000.0000,221421000.0000,119545000.0000,11142000.0000,216133000.0000,497000.0000,497000.0000,1969000.0000,1969000.0000,3816000.0000,3510000.0000,3816000.0000,0.0000,0.0000,-1161000.0000,,56041000.0000,56041000.0000,203889000.0000,108209000.0000,127053000.0000,124562000.0000,9.8039400879947736e-01,130505000.0000,126818000.0000,9.7174820888088576e-01,4.9998000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",1.7995999999999999e+01,2757568984.0000,3940968591.4300,,5.2481751824817520e-02,"47.05 / 32.00",8.0959399999999996e+03,42
"EAST HAVEN",,,56763497.0000,-107914448.0000,-48433038.0000,161875.0000,0.0000,0.0000,0.0000,0.0000,5816569.0000,5816569.0000,5816569.0000,"N",29983916.0000,63509176.0000,96575875.0000,57125918.0000,3207801.0000,96519132.0000,25000.0000,322832.0000,0.0000,0.0000,81743.0000,452280.0000,379575.0000,0.0000,0.0000,-4552348.0000,,25146101.0000,25146101.0000,3326427.0000,96536295.0000,61771861.0000,60571894.0000,9.8057421323278571e-01,64817721.0000,61673080.0000,9.5148485705012675e-01,2.8699000000000000e+04,"A2","2019-08-20 00:00:00","A3",1.2305000000000000e+01,1962088463.0000,2806683518.5700,,4.4204135837601972e-02,"31.55",3.2816999999999998e+03,43
"EAST LYME",,,69680075.0000,-10299176.0000,59406591.0000,-336754.0000,0.0000,0.0000,0.0000,2134521.0000,6911785.0000,4777264.0000,6911785.0000,"N",16508982.0000,56577147.0000,79683942.0000,55307084.0000,5932660.0000,78980681.0000,402245.0000,402245.0000,163389.0000,163389.0000,942117.0000,75773.0000,942117.0000,0.0000,0.0000,-1600084.0000,,49179176.0000,49179176.0000,5667208.0000,8509773.0000,56325303.0000,55691728.0000,9.8875150303230508e-01,57943417.0000,56180432.0000,9.6957402425887307e-01,1.8645000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",3.3996000000000002e+01,2149961115.0000,3072426220.0000,,3.8620689655172416e-02,"26.16",2.6043600000000001e+03,44
"EAST WINDSOR",,,51642610.0000,6241844.0000,58192514.0000,1940018.0000,0.0000,0.0000,401134.0000,450000.0000,10410954.0000,9559820.0000,10410954.0000,"N",8915844.0000,32184219.0000,42206654.0000,25487449.0000,1085003.0000,39401612.0000,36078.0000,36078.0000,1785916.0000,1785916.0000,1055204.0000,161110.0000,1055204.0000,0.0000,0.0000,0.0000,,10891327.0000,10891327.0000,6435590.0000,3198671.0000,31998454.0000,31622734.0000,9.8825818272345278e-01,32880638.0000,31833612.0000,9.6815676143510354e-01,1.1375000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",2.6251000000000001e+01,968921775.0000,1367284018.8400,,4.3616537937301227e-02,"32.77 / 32.00",1.1607100000000000e+03,45
"EASTFORD",,,4105928.0000,2626269.0000,6802050.0000,323946.0000,0.0000,2769.0000,372268.0000,188007.0000,1973603.0000,1410559.0000,1970834.0000,"N",1790888.0000,3831191.0000,5709966.0000,4124372.0000,97261.0000,5168147.0000,0.0000,0.0000,302328.0000,302328.0000,239491.0000,-74625.0000,239491.0000,0.0000,0.0000,0.0000,,36117.0000,36117.0000,0.0000,104402.0000,3788192.0000,3744366.0000,9.8843089262635053e-01,3852807.0000,3784086.0000,9.8216339411758746e-01,1.7900000000000000e+03,,"2019-08-20 00:00:00",,2.8920999999999999e+01,144354674.0000,224628570.8000,,3.9054470709146971e-02,"26.11",1.8509999999999999e+02,46
"EASTON",,,68225860.0000,7637934.0000,76061887.0000,4108579.0000,0.0000,0.0000,0.0000,2768824.0000,9958558.0000,7189734.0000,9958558.0000,"N",2540215.0000,42869128.0000,47215487.0000,29142136.0000,7072804.0000,44572695.0000,100000.0000,100000.0000,467340.0000,467340.0000,2275452.0000,737345.0000,2275452.0000,0.0000,0.0000,-238291.0000,6293775.1678,18755516.0000,25049291.1678,3998896.0000,2450991.0000,42568524.0000,42038082.0000,9.8753910283570090e-01,43864624.0000,42582256.0000,9.7076532560725926e-01,7.5170000000000000e+03,,"2019-08-20 00:00:00",,2.7419000000000000e+01,1279991058.0000,1828909082.8600,,3.3678756476683940e-02,"33.38 / 32.00",1.2973299999999999e+03,47
"ELLINGTON",,,63480746.0000,3122600.0000,70706519.0000,3017753.0000,0.0000,0.0000,6964229.0000,3668890.0000,12692323.0000,2059204.0000,12692323.0000,"N",14493790.0000,43643949.0000,59924730.0000,42806046.0000,2935851.0000,60996442.0000,896441.0000,1457825.0000,0.0000,0.0000,-175271.0000,118448.0000,386113.0000,0.0000,-71358.0000,0.0000,,18450515.0000,18450515.0000,4150968.0000,4468706.0000,43371144.0000,43133192.0000,9.9451358719059846e-01,43852454.0000,43406471.0000,9.8982991921045060e-01,1.6299000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",3.4060000000000002e+01,1353989516.0000,1980074302.4100,,3.5526592390161864e-02,"31.70",2.7240200000000000e+03,48
"ENFIELD",,,247042406.0000,-16781881.0000,231335999.0000,1703870.0000,3230777.0000,154547.0000,6348402.0000,15930.0000,28257008.0000,18507352.0000,24871684.0000,"N",45304436.0000,91067256.0000,144915038.0000,84858975.0000,7788499.0000,146437693.0000,0.0000,1891688.0000,1944644.0000,1944644.0000,-3467299.0000,3244151.0000,-1575611.0000,0.0000,0.0000,0.0000,,91227550.0000,91227550.0000,11843265.0000,33973603.0000,89206850.0000,87371691.0000,9.7942804840659659e-01,94400790.0000,88675454.0000,9.3935076178917576e-01,4.4466000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",3.3270000000000003e+01,2892591799.0000,4134220641.4300,,3.9552366307876299e-02,"31.43",5.5460600000000004e+03,49
"ESSEX",,,15745020.0000,2189554.0000,18422800.0000,2556166.0000,58269.0000,487818.0000,119489.0000,654340.0000,4649542.0000,3329626.0000,4103455.0000,"N",1080492.0000,23179381.0000,25325765.0000,16679611.0000,1068663.0000,24394560.0000,519998.0000,519998.0000,539000.0000,539000.0000,912203.0000,-67924.0000,912203.0000,0.0000,0.0000,0.0000,3145119.1000,12406936.0000,15552055.1000,2388356.0000,1674131.0000,23023027.0000,22803848.0000,9.9048000942708359e-01,23526362.0000,23024097.0000,9.7865097034552129e-01,6.6740000000000000e+03,"Aa2","2019-08-20 00:00:00","Aa2",1.0401999999999999e+01,1044700428.0000,1558722412.7100,,3.1731909845788851e-02,"21.96",7.2779999999999995e+02,50
"FAIRFIELD",,,306487000.0000,-114507000.0000,203717000.0000,297000.0000,0.0000,0.0000,0.0000,2509000.0000,34651000.0000,32142000.0000,34651000.0000,"N",41126000.0000,277956000.0000,336110000.0000,203896000.0000,23646000.0000,328338000.0000,0.0000,0.0000,2579000.0000,2579000.0000,5193000.0000,1198000.0000,5193000.0000,0.0000,0.0000,0.0000,,181197000.0000,181197000.0000,59301000.0000,117951000.0000,276797000.0000,273905000.0000,9.8955190988341635e-01,285198000.0000,276567000.0000,9.6973681442366355e-01,6.1952000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",2.9902999999999999e+01,10845242147.0000,16008062419.9200,,3.6242703950047507e-02,"25.82",9.9790100000000002e+03,51
"FARMINGTON",,,122047945.0000,-39933487.0000,82114458.0000,7350542.0000,0.0000,0.0000,0.0000,446611.0000,14875601.0000,14428990.0000,14875601.0000,"N",18413923.0000,96298121.0000,117503747.0000,77705039.0000,6927872.0000,112075220.0000,325000.0000,325000.0000,3520936.0000,3520936.0000,2232591.0000,1367989.0000,2232591.0000,0.0000,0.0000,0.0000,,72133855.0000,72133855.0000,31571619.0000,37868806.0000,96204439.0000,95930106.0000,9.9714843719425461e-01,96655799.0000,96134914.0000,9.9461092862105460e-01,2.5506000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",2.8015999999999998e+01,3595784394.0000,5493137151.6900,,3.1651760760201229e-02,"26.68",4.1067299999999996e+03,52
"FRANKLIN",,,3068581.0000,6886716.0000,9965246.0000,210187.0000,0.0000,4808677.0000,0.0000,0.0000,6276231.0000,1467554.0000,1467554.0000,"N",1670456.0000,5317518.0000,7130459.0000,4683863.0000,5095733.0000,11673219.0000,0.0000,5785500.0000,419236.0000,419236.0000,-4961996.0000,4519923.0000,823504.0000,0.0000,0.0000,0.0000,,6817774.0000,6817774.0000,0.0000,437290.0000,5260656.0000,5177101.0000,9.8411699985705203e-01,5381967.0000,5258134.0000,9.7699112610686767e-01,1.9330000000000000e+03,,"2019-08-20 00:00:00",,1.9489000000000001e+01,202465861.0000,323758066.2700,,3.4386617100371747e-02,"25.72",2.4472999999999999e+02,53
"GLASTONBURY",,,237663538.0000,-3742822.0000,233929243.0000,2158144.0000,202704.0000,0.0000,0.0000,1678597.0000,25757528.0000,23876227.0000,25554824.0000,"N",28779839.0000,147560197.0000,181334551.0000,125972106.0000,9811215.0000,174810619.0000,0.0000,11485.0000,7433600.0000,7433600.0000,-909668.0000,-406520.0000,-898183.0000,0.0000,0.0000,0.0000,,57620037.0000,57620037.0000,55174485.0000,15400532.0000,147299438.0000,146537634.0000,9.9482819479596385e-01,148291526.0000,147096644.0000,9.9194234470282538e-01,3.4491000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",5.1270000000000003e+01,3969656178.0000,6169974908.4900,,2.8184480234260616e-02,"37.45 / 32.00",6.0414799999999996e+03,54
"GOSHEN",,,5986573.0000,3541599.0000,10762211.0000,576217.0000,22014.0000,0.0000,6793.0000,476251.0000,2289836.0000,1784778.0000,2267822.0000,"N",176481.0000,10425518.0000,10987841.0000,7342541.0000,0.0000,10083644.0000,51100.0000,51100.0000,805908.0000,805908.0000,149389.0000,-118764.0000,149389.0000,0.0000,0.0000,0.0000,1149879.3849,0.0000,1149879.3849,73065.0000,0.0000,10390240.0000,10360759.0000,9.9716262569488290e-01,10434570.0000,10384396.0000,9.9519156036137568e-01,2.8790000000000000e+03,,"2019-08-20 00:00:00",,4.3631000000000000e+01,528542130.0000,795171986.4400,,2.9500301023479832e-02,"19.60",3.5087000000000000e+02,55
"GREENWICH",,,676806459.0000,-221998207.0000,456427906.0000,47543409.0000,0.0000,0.0000,0.0000,17903917.0000,59990568.0000,42086651.0000,59990568.0000,"N",38060209.0000,372549622.0000,440979988.0000,228652269.0000,43659963.0000,429172701.0000,6912697.0000,6912697.0000,13447000.0000,13447000.0000,5272984.0000,-1457244.0000,5272984.0000,0.0000,0.0000,0.0000,,163091868.0000,163091868.0000,104020565.0000,34190977.0000,371138708.0000,368848327.0000,9.9382877358079291e-01,378201967.0000,370583864.0000,9.7985705082279495e-01,6.2727000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",4.7622000000000000e+01,32636596124.0000,48596792469.7700,,3.0818241628865265e-02,"11.37",8.8289699999999993e+03,57
"GRISWOLD",,,88256130.0000,1081392.0000,89616348.0000,-1924664.0000,0.0000,0.0000,0.0000,185149.0000,3949098.0000,3763949.0000,3949098.0000,"N",15511614.0000,19997190.0000,38252511.0000,32179593.0000,1671042.0000,38221253.0000,21039.0000,21039.0000,964932.0000,964932.0000,-912635.0000,644727.0000,-912635.0000,0.0000,0.0000,0.0000,,14166428.0000,14166428.0000,3669518.0000,2538213.0000,19818937.0000,19418711.0000,9.7980587959889065e-01,20542500.0000,19728162.0000,9.6035837897042720e-01,1.1591000000000000e+04,,"2019-08-20 00:00:00",,3.4707000000000001e+01,716869831.0000,1028908777.1400,,4.5181674565560818e-02,"27.61",1.6691400000000001e+03,58
"GROTON",,,160357068.0000,-20577444.0000,140118972.0000,5315344.0000,0.0000,0.0000,0.0000,1420789.0000,20308903.0000,18888114.0000,20308903.0000,"N",50501484.0000,88271591.0000,142125353.0000,92235139.0000,5682396.0000,135344350.0000,570875.0000,570875.0000,871922.0000,871922.0000,6479956.0000,1038915.0000,6479956.0000,0.0000,0.0000,-983862.0000,,47546060.0000,47546060.0000,19304318.0000,41329792.0000,87457827.0000,86440702.0000,9.8837010894405142e-01,88988381.0000,87588014.0000,9.8426348491495763e-01,3.8692000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",3.1030999999999999e+01,3717020790.0000,5310972334.2900,,3.4751542708671646e-02,"23.63",4.7682700000000004e+03,59
"GUILFORD",,,62656328.0000,-30010909.0000,32645419.0000,5144271.0000,67838.0000,668304.0000,1107745.0000,1186129.0000,12824442.0000,9794426.0000,12088300.0000,"N",16046377.0000,90221589.0000,108841498.0000,71678705.0000,8716607.0000,108898389.0000,200000.0000,418245.0000,202708.0000,202708.0000,-59599.0000,2024139.0000,158646.0000,0.0000,0.0000,0.0000,,98215000.0000,98215000.0000,15285259.0000,28222100.0000,90004270.0000,89525072.0000,9.9467583038004748e-01,90790969.0000,90060549.0000,9.9195492670642160e-01,2.2216000000000000e+04,"Aa2","2019-08-20 00:00:00","Aa2",4.7118000000000002e+01,3088330350.0000,4585386661.3900,,2.8542775592069736e-02,"29.36",3.4114000000000001e+03,61
"HADDAM",,,19497944.0000,8138131.0000,27732452.0000,665815.0000,0.0000,0.0000,0.0000,0.0000,4886482.0000,4886482.0000,4886482.0000,"N",2174981.0000,29037666.0000,31783627.0000,24076806.0000,710596.0000,30281757.0000,0.0000,0.0000,1301800.0000,1301800.0000,200070.0000,-114965.0000,200070.0000,0.0000,0.0000,0.0000,7164780.2638,8255000.0000,15419780.2638,1557210.0000,0.0000,28916621.0000,28665940.0000,9.9133090273583491e-01,30013495.0000,28881864.0000,9.6229592721540758e-01,8.2220000000000000e+03,"Aa3","2019-08-20 00:00:00","Aa3",4.3936999999999998e+01,908688310.0000,1273531662.6000,,3.0937928333659683e-02,"31.69",1.2395500000000000e+03,62
"HAMDEN",,,63626802.0000,-951718866.0000,-888082064.0000,-15129107.0000,0.0000,0.0000,0.0000,0.0000,1467803.0000,1467803.0000,1467803.0000,"N",53510556.0000,171784671.0000,234248326.0000,105137150.0000,20894837.0000,241766806.0000,3342938.0000,6008520.0000,0.0000,0.0000,-4175542.0000,17062.0000,-1509960.0000,0.0000,0.0000,-6774786.0000,,299190000.0000,299190000.0000,306205239.0000,513964677.0000,171637311.0000,168835571.0000,9.8367639306584098e-01,178088290.0000,170943068.0000,9.5987820423229397e-01,6.0940000000000000e+04,"Baa2","2019-08-20 00:00:00","Baa2",3.2646000000000001e+01,3863190694.0000,5598845330.0400,,3.7993578550104205e-02,"45.26 / 37.00",6.3337799999999997e+03,63
"HAMPTON",,,7231310.0000,1738919.0000,12012957.0000,394274.0000,10957.0000,0.0000,0.0000,9722.0000,1432880.0000,1412201.0000,1421923.0000,"N",1795239.0000,3987893.0000,5900320.0000,4170848.0000,4519.0000,5544872.0000,0.0000,6791.0000,39530.0000,39530.0000,315918.0000,290767.0000,322709.0000,0.0000,0.0000,0.0000,0.0000,9846.0000,9846.0000,0.0000,369538.0000,3994183.0000,3921509.0000,9.8180503997939006e-01,4090858.0000,3962660.0000,9.6866231973830430e-01,1.8530000000000000e+03,,"2019-08-20 00:00:00",,2.5091999999999999e+01,140063946.0000,215119348.3100,,3.8498556304138593e-02,"28.50",1.4775000000000000e+02,64
"HARTFORD",,,896914000.0000,-629525000.0000,349350000.0000,55561000.0000,0.0000,0.0000,0.0000,0.0000,4884000.0000,4884000.0000,4884000.0000,"Y",360400000.0000,283758000.0000,656549000.0000,351430000.0000,68778000.0000,599642000.0000,13644000.0000,13644000.0000,70177000.0000,70177000.0000,374000.0000,-9038000.0000,374000.0000,0.0000,0.0000,-20356000.0000,,582151000.0000,582151000.0000,428860000.0000,423263000.0000,282448000.0000,269045000.0000,9.5254701750410697e-01,330093000.0000,276203000.0000,8.3674297849393964e-01,1.2258700000000000e+05,"B1","2019-08-20 00:00:00","B2",1.7381000000000000e+01,4068017222.0000,5813578705.7100,,6.9986692407174853e-02,"74.29 / 32.00",2.0500290000000001e+04,65
"HARTLAND",,,8354381.0000,2216708.0000,10794183.0000,499315.0000,0.0000,0.0000,0.0000,340060.0000,1157476.0000,817416.0000,1157476.0000,"N",1792649.0000,5440001.0000,7355549.0000,5666175.0000,115495.0000,7231727.0000,9788.0000,9788.0000,216165.0000,216165.0000,-82555.0000,-5208.0000,-82555.0000,0.0000,0.0000,0.0000,,275000.0000,275000.0000,0.0000,0.0000,5282484.0000,5234658.0000,9.9094630480660240e-01,5474460.0000,5355228.0000,9.7822031762036799e-01,2.1200000000000000e+03,"A1","2019-08-20 00:00:00","A1",3.3079000000000001e+01,200435997.0000,295636192.4000,,3.4662045060658578e-02,"26.50",2.5674000000000001e+02,66
"HARWINTON",,,17398516.0000,4729573.0000,22452509.0000,215516.0000,0.0000,0.0000,0.0000,0.0000,3676009.0000,3676009.0000,3676009.0000,"N",2627659.0000,16166038.0000,19074828.0000,13143834.0000,0.0000,18183364.0000,0.0000,0.0000,257583.0000,257583.0000,633881.0000,380517.0000,633881.0000,0.0000,0.0000,0.0000,4892576.7941,0.0000,4892576.7941,445409.0000,0.0000,16116917.0000,16046115.0000,9.9560697619774308e-01,16228857.0000,16137520.0000,9.9437193882477370e-01,5.4300000000000000e+03,,"2019-08-20 00:00:00",,3.0792999999999999e+01,556281571.0000,804809617.1300,,3.6077705827937095e-02,"28.80",8.0891999999999996e+02,67
"HEBRON",,,48503314.0000,10425179.0000,59200975.0000,725551.0000,0.0000,0.0000,0.0000,700314.0000,7459192.0000,6758878.0000,7459192.0000,"N",7846979.0000,28169495.0000,37073131.0000,28089532.0000,1332512.0000,36251397.0000,264165.0000,264165.0000,1369468.0000,1369468.0000,-283569.0000,720243.0000,-283569.0000,0.0000,0.0000,0.0000,6660858.2438,4942675.0000,11603533.2438,0.0000,1375533.0000,28166514.0000,27595496.0000,9.7972706171590851e-01,29915933.0000,27829644.0000,9.3026161009252162e-01,9.4820000000000000e+03,,"2019-08-20 00:00:00",,3.6936999999999998e+01,755064190.0000,1078827558.5700,,3.1075983474043469e-02,"37.00",1.5015699999999999e+03,68
"KENT",,,14207841.0000,5657306.0000,19923189.0000,1249090.0000,56379.0000,0.0000,462804.0000,0.0000,3036444.0000,2517261.0000,2980065.0000,"N",1295801.0000,11225191.0000,13081101.0000,7868135.0000,619282.0000,11812370.0000,105131.0000,105131.0000,891043.0000,891043.0000,482819.0000,213421.0000,482819.0000,0.0000,0.0000,0.0000,953686.9091,1340000.0000,2293686.9091,0.0000,0.0000,11144887.0000,11073778.0000,9.9361958537578710e-01,11276999.0000,11152444.0000,9.8895495157887303e-01,2.7850000000000000e+03,"Aa2","2019-08-20 00:00:00","Aa2",4.8549999999999997e+01,600802817.0000,861121039.3600,,2.9004614370468029e-02,"18.61",2.7456000000000000e+02,69
"KILLINGLY",,,103327029.0000,17736453.0000,121751273.0000,1154523.0000,0.0000,0.0000,569745.0000,4921129.0000,14476935.0000,8986061.0000,14476935.0000,"N",22266574.0000,34865842.0000,61651832.0000,46659350.0000,3683975.0000,61804223.0000,913151.0000,1971031.0000,1489503.0000,1489503.0000,-728743.0000,2620929.0000,329137.0000,0.0000,0.0000,0.0000,,33636377.0000,33636377.0000,0.0000,6847357.0000,34291457.0000,33695039.0000,9.8260738819000892e-01,35789027.0000,34538663.0000,9.6506292277797889e-01,1.7287000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",4.8305999999999997e+01,1276580153.0000,2024241275.1100,,4.6352109748493034e-02,"27.31",2.2808299999999999e+03,70
"KILLINGWORTH",,,21313221.0000,5785859.0000,27099080.0000,21769.0000,0.0000,0.0000,0.0000,582893.0000,5083690.0000,4500797.0000,5083690.0000,"N",2255526.0000,19163135.0000,21912805.0000,16581237.0000,466036.0000,20976768.0000,0.0000,0.0000,770000.0000,770000.0000,166037.0000,213439.0000,166037.0000,0.0000,0.0000,0.0000,4935219.7362,3000000.0000,7935219.7362,1314766.0000,127252.0000,18985980.0000,18890623.0000,9.9497750445328603e-01,19100570.0000,18974784.0000,9.9341454207911073e-01,6.3700000000000000e+03,,"2019-08-20 00:00:00",,3.5331000000000003e+01,690850562.0000,987490860.0000,,2.6708562450903379e-02,"27.47",8.6236000000000001e+02,71
"LEBANON",,,32816689.0000,4450419.0000,42022705.0000,94864.0000,47282.0000,0.0000,0.0000,47688.0000,5807961.0000,5712991.0000,5760679.0000,"N",8443043.0000,18433694.0000,28357013.0000,21922311.0000,593583.0000,26201566.0000,409.0000,409.0000,2371629.0000,2371629.0000,-215773.0000,1037264.0000,-215773.0000,0.0000,0.0000,0.0000,,1249816.0000,1249816.0000,848408.0000,3162866.0000,18498930.0000,18041046.0000,9.7524808191608925e-01,18829492.0000,18225345.0000,9.6791485399606103e-01,7.2070000000000000e+03,,"2019-08-20 00:00:00",,5.4097999999999999e+01,623201441.0000,905784250.7100,,3.8330078125000000e-02,"29.40",9.6523000000000002e+02,72
"LEDYARD",,,59139003.0000,-16830836.0000,42406192.0000,17389270.0000,0.0000,0.0000,0.0000,0.0000,4028215.0000,4028215.0000,4028215.0000,"N",21926067.0000,36825006.0000,61869699.0000,38319872.0000,2887736.0000,60278224.0000,601056.0000,601056.0000,1965651.0000,1965651.0000,226880.0000,-339761.0000,226880.0000,0.0000,0.0000,-168539.0000,,31875772.0000,31875772.0000,5994191.0000,11643293.0000,36544091.0000,36166533.0000,9.8966842546446154e-01,37082593.0000,36531291.0000,9.8513313241067046e-01,1.4736000000000000e+04,"Aa3","2019-08-20 00:00:00","Aa3",3.8219000000000001e+01,1099670217.0000,1639827665.4600,,3.3416458852867828e-02,"32.54",2.3955500000000002e+03,73
"LISBON",,,10752473.0000,2400922.0000,13503922.0000,1140452.0000,0.0000,42625.0000,0.0000,196185.0000,2212042.0000,1973232.0000,2169417.0000,"N",4764699.0000,8454127.0000,14630847.0000,10941209.0000,431927.0000,14003771.0000,0.0000,0.0000,626216.0000,626216.0000,860.0000,195665.0000,860.0000,0.0000,0.0000,0.0000,,1915000.0000,1915000.0000,414874.0000,1542606.0000,8395709.0000,8308054.0000,9.8955954762129084e-01,8580863.0000,8418467.0000,9.8107463083841329e-01,4.2480000000000000e+03,"Aa3","2019-08-20 00:00:00","Aa3",1.6286999999999999e+01,371600768.0000,551635867.1400,,4.0254237288135590e-02,"22.50",5.5138000000000000e+02,74
"LITCHFIELD",,,45683390.0000,14706397.0000,60399787.0000,2496075.0000,114486.0000,0.0000,474111.0000,72364.0000,6044884.0000,5383923.0000,5930398.0000,"N",5034065.0000,29353144.0000,35297817.0000,22629233.0000,3720266.0000,34190775.0000,0.0000,44343.0000,628578.0000,628578.0000,478464.0000,792116.0000,522807.0000,0.0000,0.0000,0.0000,,24768000.0000,24768000.0000,3068532.0000,1064433.0000,28936650.0000,28658606.0000,9.9039128579154811e-01,29474845.0000,29082659.0000,9.8669421331986651e-01,8.1270000000000000e+03,"Aa2","2019-08-20 00:00:00","Aa2",5.6098999999999997e+01,1043195032.0000,1527189335.3700,,3.1127602556173986e-02,"27.60",8.9707000000000005e+02,75
"LYME",,,9753851.0000,3284818.0000,13088669.0000,500564.0000,0.0000,0.0000,0.0000,296443.0000,2131260.0000,1834817.0000,2131260.0000,"N",327576.0000,9698315.0000,10351071.0000,6900233.0000,436144.0000,10179733.0000,24356.0000,236034.0000,180000.0000,180000.0000,15694.0000,352796.0000,227372.0000,0.0000,0.0000,0.0000,5695945.9567,2311678.0000,8007623.9567,0.0000,0.0000,9560562.0000,9486580.0000,9.9226175197650512e-01,9740816.0000,9587407.0000,9.8425090875343502e-01,2.3380000000000000e+03,,"2019-08-20 00:00:00",,3.1840000000000000e+01,522516009.0000,712450053.1000,,3.1836734693877551e-02,"18.25",2.6217000000000002e+02,76
"MADISON",,,94047054.0000,-11180763.0000,84389447.0000,3097274.0000,0.0000,0.0000,0.0000,957233.0000,10991720.0000,10034487.0000,10991720.0000,"N",8338172.0000,78922266.0000,89378529.0000,61414283.0000,4407047.0000,84803081.0000,176395.0000,176395.0000,5327376.0000,5327376.0000,-575533.0000,-1347301.0000,-575533.0000,0.0000,0.0000,0.0000,,21737790.0000,21737790.0000,12533108.0000,19634018.0000,78890981.0000,78497100.0000,9.9500727465919081e-01,79567822.0000,78678388.0000,9.8882168723934660e-01,1.8106000000000000e+04,"Aaa","2019-08-20 00:00:00","Aaa",3.6146999999999998e+01,2888908312.0000,4202834047.6700,,3.0349512435630548e-02,"27.30",2.8319499999999998e+03,77
"MANCHESTER",,,105818000.0000,-273273000.0000,-164577000.0000,-8416000.0000,8000.0000,0.0000,0.0000,4704000.0000,25678000.0000,20966000.0000,25670000.0000,"N",58678000.0000,141097000.0000,205469000.0000,137030000.0000,11940000.0000,202357000.0000,1567000.0000,1567000.0000,3775000.0000,3775000.0000,904000.0000,768000.0000,904000.0000,0.0000,-57000.0000,0.0000,,110640000.0000,110640000.0000,51962000.0000,273745000.0000,147524000.0000,144818000.0000,9.8165722187576254e-01,152144000.0000,147076000.0000,9.6668945209801238e-01,5.7699000000000000e+04,"Aa1","2019-08-20 00:00:00","Aa1",2.7402999999999999e+01,3985572154.0000,5706117120.0000,,4.0948535615282632e-02,"34.85 / 32.00",7.4280100000000002e+03,78
