Municipality,numbered,MEDIAN HOUSEHOLD INCOME - 2018 ESTIMATE,Population_Range,PercentOfStateMedian,SortID
"OLD SAYBROOK",1.0700000000000000e+02,81411.0000,"0 to 10,000",1.0697054108743069e+00,103
"THOMPSON",1.4200000000000000e+02,80941.0000,"0 to 10,000",1.0635298136809188e+00,104
"PLYMOUTH",1.1200000000000000e+02,80750.0000,"10,000 to 30,000",1.0610201560980737e+00,105
"LITCHFIELD",7.5000000000000000e+01,80570.0000,"0 to 10,000",1.0586550337686911e+00,106
"NEWINGTON",9.7000000000000000e+01,80310.0000,"10,000 to 30,000",1.0552387459595827e+00,107
"BRANFORD",1.4000000000000000e+01,80167.0000,"10,000 to 30,000",1.0533597876645731e+00,108
"STONINGTON",1.3800000000000000e+02,79250.0000,"10,000 to 30,000",1.0413108033532179e+00,110
"POMFRET",1.1300000000000000e+02,78958.0000,"0 to 10,000",1.0374740493522192e+00,111
"SHARON",1.2600000000000000e+02,78403.0000,"0 to 10,000",1.0301815888366226e+00,112
"WOODBURY",1.6900000000000000e+02,78025.0000,"0 to 10,000",1.0252148319449190e+00,113
"STERLING",1.3700000000000000e+02,77985.0000,"0 to 10,000",1.0246892492050561e+00,114
"CANAAN",2.1000000000000000e+01,77847.0000,"0 to 10,000",1.0228759887525294e+00,115
"WATERTOWN",1.5400000000000000e+02,76920.0000,"10,000 to 30,000",1.0106956087562085e+00,118
"ENFIELD",4.9000000000000000e+01,76423.0000,"30,000 to 70,000",1.0041652432134129e+00,119
"CLINTON",2.7000000000000000e+01,76360.0000,"10,000 to 30,000",1.0033374503981289e+00,120
"STRATFORD",1.3900000000000000e+02,75845.0000,"30,000 to 70,000",9.9657057262239512e-01,121
"VOLUNTOWN",1.4800000000000000e+02,75673.0000,"0 to 10,000",9.9431056684098496e-01,122
"PRESTON",1.1500000000000000e+02,75568.0000,"0 to 10,000",9.9293091214884499e-01,123
"NORFOLK",9.9000000000000000e+01,75547.0000,"0 to 10,000",9.9265498121041706e-01,124
"HAMDEN",6.3000000000000000e+01,75392.0000,"30,000 to 70,000",9.9061834809344862e-01,125
"HAMPTON",6.4000000000000000e+01,75288.0000,"0 to 10,000",9.8925183296980523e-01,126
"EAST WINDSOR",4.5000000000000000e+01,74974.0000,"0 to 10,000",9.8512600846188214e-01,127
"WILLINGTON",1.6100000000000000e+02,74940.0000,"0 to 10,000",9.8467926313299869e-01,128
"MONTVILLE",8.7000000000000000e+01,73765.0000,"10,000 to 30,000",9.6924027014952829e-01,129
"STAFFORD",1.3500000000000000e+02,72806.0000,"10,000 to 30,000",9.5663942396131707e-01,130
"BROOKLYN",1.9000000000000000e+01,72090.0000,"0 to 10,000",9.4723149291777253e-01,131
"DANBURY",3.4000000000000000e+01,71672.0000,"30,000 to 70,000",9.4173915328620605e-01,132
"DEEP RIVER",3.6000000000000000e+01,71641.0000,"0 to 10,000",9.4133182666281234e-01,133
"SEYMOUR",1.2500000000000000e+02,70941.0000,"10,000 to 30,000",9.3213412871521295e-01,134
"MANCHESTER",7.8000000000000000e+01,70736.0000,"30,000 to 70,000",9.2944051717341603e-01,135
"NAUGATUCK",8.9000000000000000e+01,70512.0000,"30,000 to 70,000",9.2649725383018422e-01,136
"WINCHESTER",1.6300000000000000e+02,68651.0000,"10,000 to 30,000",9.0204451685806641e-01,138
"ASHFORD",3.0000000000000000e+00,68269.0000,"0 to 10,000",8.9702520169237643e-01,140
"THOMASTON",1.4100000000000000e+02,67862.0000,"0 to 10,000",8.9167739731427220e-01,141
"MIDDLETOWN",8.4000000000000000e+01,67651.0000,"30,000 to 70,000",8.8890494836149581e-01,142
"PLAINFIELD",1.1000000000000000e+02,67551.0000,"10,000 to 30,000",8.8759099151183873e-01,143
"GROTON",5.9000000000000000e+01,66999.0000,"30,000 to 70,000",8.8033794970173185e-01,144
"WINDSOR LOCKS",1.6600000000000000e+02,66846.0000,"10,000 to 30,000",8.7832759572175645e-01,145
"BRISTOL",1.7000000000000000e+01,66829.0000,"30,000 to 70,000",8.7810422305731484e-01,146
"KENT",6.9000000000000000e+01,65985.0000,"0 to 10,000",8.6701442724620925e-01,147
"SPRAGUE",1.3400000000000000e+02,65688.0000,"0 to 10,000",8.6311197540272777e-01,148
"PLAINVILLE",1.1100000000000000e+02,65553.0000,"10,000 to 30,000",8.6133813365569079e-01,149
"EAST HAVEN",4.3000000000000000e+01,65333.0000,"10,000 to 30,000",8.5844742858644518e-01,150
"TORRINGTON",1.4400000000000000e+02,63576.0000,"30,000 to 70,000",8.3536120673797076e-01,151
"VERNON",1.4700000000000000e+02,62566.0000,"10,000 to 30,000",8.2209024255643448e-01,152
"KILLINGLY",7.0000000000000000e+01,61709.0000,"10,000 to 30,000",8.1082963235487349e-01,154
"PUTNAM",1.1700000000000000e+02,59753.0000,"0 to 10,000",7.8512863637558139e-01,155
"WEST HAVEN",1.5600000000000000e+02,58112.0000,"30,000 to 70,000",7.6356660447270908e-01,156
"MERIDEN",8.1000000000000000e+01,57886.0000,"30,000 to 70,000",7.6059706199248411e-01,157
"MANSFIELD",7.9000000000000000e+01,56807.0000,"10,000 to 30,000",7.4641946758468447e-01,158
"DERBY",3.7000000000000000e+01,56301.0000,"10,000 to 30,000",7.3977084592541986e-01,159
"NORWICH",1.0500000000000000e+02,55391.0000,"30,000 to 70,000",7.2781383859354054e-01,161
"ANSONIA",2.0000000000000000e+00,53540.0000,"10,000 to 30,000",7.0349249730638841e-01,162
"BRIDGEPORT",1.5000000000000000e+01,45441.0000,"70,000 & Up",5.9707513205266338e-01,163
"NEW BRITAIN",9.0000000000000000e+01,45258.0000,"70,000 & Up",5.9467059101779096e-01,164
"WINDHAM",1.6400000000000000e+02,44091.0000,"10,000 to 30,000",5.7933671458229308e-01,165
"WATERBURY",1.5200000000000000e+02,41617.0000,"70,000 & Up",5.4682942212177754e-01,166
"NEW HAVEN",9.4000000000000000e+01,41142.0000,"70,000 & Up",5.4058812708590653e-01,167
"NEW LONDON",9.5000000000000000e+01,39675.0000,"10,000 to 30,000",5.2131238010143743e-01,168
"HARTFORD",6.5000000000000000e+01,34338.0000,"70,000 & Up",4.5118650303524033e-01,169
"GUILFORD",6.1000000000000000e+01,110000.0000,"10,000 to 30,000",1.4453525346227629e+00,32
"EAST GRANBY",3.9000000000000000e+01,100689.0000,"0 to 10,000",1.3230100123511943e+00,51
"OLD LYME",1.0600000000000000e+02,92383.0000,"0 to 10,000",1.2138727564186793e+00,72
"NEW MILFORD",9.6000000000000000e+01,87188.0000,"10,000 to 30,000",1.1456126980789951e+00,89
"WALLINGFORD",1.4900000000000000e+02,79420.0000,"30,000 to 70,000",1.0435445299976349e+00,109
"NORTH STONINGTON",1.0300000000000000e+02,76985.0000,"0 to 10,000",1.0115496807084856e+00,116
"CHAPLIN",2.4000000000000000e+01,68889.0000,"0 to 10,000",9.0517173416025021e-01,137
"GRISWOLD",5.8000000000000000e+01,62542.0000,"10,000 to 30,000",8.2177489291251671e-01,153
"BURLINGTON",2.0000000000000000e+01,126341.0000,"0 to 10,000",1.6600662234252228e+00,14
"BETHANY",8.0000000000000000e+00,119653.0000,"0 to 10,000",1.5721887893201587e+00,17
"HARWINTON",6.7000000000000000e+01,108355.0000,"0 to 10,000",1.4237379444459044e+00,36
"NORTH HAVEN",1.0200000000000000e+02,99094.0000,"10,000 to 30,000",1.3020524005991643e+00,55
"COLEBROOK",2.9000000000000000e+01,91786.0000,"0 to 10,000",1.2060284340262266e+00,75
"EASTFORD",4.6000000000000000e+01,86667.0000,"0 to 10,000",1.1387669828922817e+00,94
"BLOOMFIELD",1.1000000000000000e+01,76952.0000,"10,000 to 30,000",1.0111160749480987e+00,117
"NORTH CANAAN",1.0100000000000000e+02,68438.0000,"0 to 10,000",8.9924578876829686e-01,139
"EAST HARTFORD",4.2000000000000000e+01,55468.0000,"30,000 to 70,000",7.2882558536777653e-01,160
