Municipality,Mill Rate FY 2016-17,Mill Rate - Real & Personal Property - FY 2016-17,Mill Rate - Motor Vehicle - FY 2016-17,Adjusted Mill Rate FY 2016-17
"NORTH CANAAN",2.7500000000000000e+01,,,"27.5"
"NORTH HAVEN",3.0530000000000001e+01,,,"30.53"
"NORTH STONINGTON",2.7000000000000000e+01,,,"27"
"NORWALK",,2.4997000000000000e+01,2.8907000000000000e+01,"24.997 / 28.907"
"NORWICH",,4.1219999999999999e+01,3.7000000000000000e+01,"41.22 / 37"
"OLD LYME",2.1199999999999999e+01,,,"21.2"
"OLD SAYBROOK",1.9260000000000002e+01,,,"19.26"
"ORANGE",,3.2200000000000003e+01,3.2000000000000000e+01,"32.2 / 32"
"OXFORD",2.4210000000000001e+01,,,"24.21"
"PLAINFIELD",2.9050000000000001e+01,,,"29.05"
"PLAINVILLE",3.1989999999999998e+01,,,"31.99"
"PLYMOUTH",3.6020000000000003e+01,,,"36.02"
"POMFRET",2.5430000000000000e+01,,,"25.43"
"PORTLAND",3.2509999999999998e+01,,,"32.51"
"PRESTON",2.3750000000000000e+01,,,"23.75"
"PROSPECT",2.9910000000000000e+01,,,"29.91"
"PUTNAM",1.7039999999999999e+01,,,"17.04"
"REDDING",2.9239999999999998e+01,,,"29.24"
"RIDGEFIELD",2.6690000000000001e+01,,,"26.69"
"ROCKY HILL",3.1000000000000000e+01,,,"31"
"ROXBURY",1.3699999999999999e+01,,,"13.7"
"SALEM",3.1699999999999999e+01,,,"31.7"
"SALISBURY",1.0699999999999999e+01,,,"10.7"
"SCOTLAND",,3.8680000000000000e+01,3.7000000000000000e+01,"38.68 / 37"
"SEYMOUR",3.6000000000000000e+01,,,"36"
"SHARON",1.4400000000000000e+01,,,"14.4"
"SHELTON",2.2309999999999999e+01,,,"22.31"
"SHERMAN",2.0329999999999998e+01,,,"20.33"
"SIMSBURY",,3.7119999999999997e+01,3.6000000000000000e+01,"37.12 / 36"
"SOMERS",2.4219999999999999e+01,,,"24.22"
"SOUTH WINDSOR",,3.7340000000000003e+01,3.7000000000000000e+01,"37.34 / 37"
"SOUTHBURY",2.8800000000000001e+01,,,"28.8"
"SOUTHINGTON",2.9640000000000001e+01,,,"29.64"
"SPRAGUE",3.1500000000000000e+01,,,"31.5"
"STAFFORD",3.3509999999999998e+01,,,"33.51"
"STAMFORD",,2.6120000000000001e+01,2.7250000000000000e+01,"26.12 / 27.25"
"STERLING",3.1600000000000001e+01,,,"31.6"
"STONINGTON",2.2309999999999999e+01,,,"22.31"
"STRATFORD",,3.8990000000000002e+01,3.7000000000000000e+01,"38.99 / 37"
"SUFFIELD",2.8199999999999999e+01,,,"28.2"
"THOMASTON",3.4070000000000000e+01,,,"34.07"
"THOMPSON",2.6059999999999999e+01,,,"26.06"
"TOLLAND",3.4189999999999998e+01,,,"34.19"
"TORRINGTON",,4.5750000000000000e+01,3.7000000000000000e+01,"45.75 / 37"
"TRUMBULL",3.2740000000000002e+01,,,"32.74"
"UNION",3.0270000000000000e+01,,,"30.27"
"VERNON",,3.8030000000000001e+01,3.7000000000000000e+01,"38.03 / 37"
"VOLUNTOWN",2.8059999999999999e+01,,,"28.06"
"WALLINGFORD",2.7890000000000001e+01,,,"27.89"
"WARREN",1.4350000000000000e+01,,,"14.35"
"WASHINGTON",1.4250000000000000e+01,,,"14.25"
"WATERBURY",,6.0210000000000001e+01,3.7000000000000000e+01,"60.21 / 37"
"WATERFORD",2.6780000000000001e+01,,,"26.78"
"WATERTOWN",3.0890000000000001e+01,,,"30.89"
"WEST HARTFORD",,3.9509999999999998e+01,3.7000000000000000e+01,"39.51 / 37"
"WEST HAVEN",,3.5259999999999998e+01,3.7000000000000000e+01,"35.26 / 37"
"WESTBROOK",2.3140000000000001e+01,,,"23.14"
"WESTON",2.8559999999999999e+01,,,"28.56"
"WESTPORT",1.6859999999999999e+01,,,"16.86"
"WETHERSFIELD",,3.8539999999999999e+01,3.7000000000000000e+01,"38.54 / 37"
"WILLINGTON",2.7730000000000000e+01,,,"27.73"
"WILTON",2.7337100000000000e+01,,,"27.3371"
"WINCHESTER",,3.3539999999999999e+01,3.2000000000000000e+01,"33.54 / 32"
"WINDHAM",,3.5350000000000001e+01,3.7000000000000000e+01,"35.35 / 37"
"WINDSOR",3.1520000000000000e+01,,,"31.52"
"WINDSOR LOCKS",2.6660000000000000e+01,,,"26.66"
"WOLCOTT",2.8910000000000000e+01,,,"28.91"
"WOODBRIDGE",,3.8539999999999999e+01,3.7000000000000000e+01,"38.54 / 37"
"WOODBURY",2.6289999999999999e+01,,,"26.29"
"WOODSTOCK",2.4039999999999999e+01,,,"24.04"
