Municipality,Comptroller Town Code,County_Identifier,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable_Fund_Bal,Restricted_Fund_Bal,Committed_Fund_Bal,Assigned_Fund_Bal,Total_Fund_Bal,Unassigned_Fund_Bal,Unrestricted_Fund_Bal,Restatement of Fund Balance (Y or N),Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Total_Net_Pension_Liability,Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,2017 Population,Moody's_Bond_Ratings_June_2017,ACGLFY17,EGL,TANF17 Recipients,empl,enrollmt,numbered,TFA17 Recipients,ACMR
"MADISON","76","NH",92564811.0000,1869449.0000,95961539.0000,475675.0000,0.0000,0.0000,0.0000,1581573.0000,11567253.0000,9985680.0000,11567253.0000,"N",8232456.0000,76232529.0000,86250371.0000,59209132.0000,4326405.0000,82058712.0000,64100.0000,64100.0000,5603060.0000,5603060.0000,-1347301.0000,2136491.0000,-1347301.0000,0.0000,,25020226.0000,25020226.0000,12478585.0000,76096977.0000,75745823.0000,9.9538544086974701e-01,76840755.0000,76031126.0000,9.8946354704609552e-01,1.8196000000000000e+04,"Aaa",2872825521.0000,4209286504.0100,5.0000000000000000e+00,3.4809429389733422e-02,2.9298499999999999e+03,77,8.0000000000000000e+00,"26.49"
"MILFORD","84","NH",203122000.0000,-135738000.0000,67669000.0000,-19368000.0000,21000.0000,0.0000,1383000.0000,9748000.0000,36757000.0000,25605000.0000,36736000.0000,"N",34484000.0000,179444000.0000,226887000.0000,131763000.0000,16234000.0000,219337000.0000,44000.0000,780000.0000,1446000.0000,1446000.0000,6148000.0000,4765000.0000,6884000.0000,0.0000,,158116000.0000,158116000.0000,70224000.0000,178889000.0000,175991000.0000,9.8380001006210560e-01,187191000.0000,179278000.0000,9.5772766853107250e-01,5.4508000000000000e+04,"Aa1",6441741123.0000,9595765060.6700,1.1600000000000000e+02,4.2810026385224277e-02,5.9982299999999996e+03,85,1.1450000000000000e+02,"27.84"
"NEW HARTFORD","92","L",12967824.0000,2332332.0000,15923566.0000,415962.0000,0.0000,17918.0000,0.0000,472333.0000,2341753.0000,1851502.0000,2323835.0000,"N",4784602.0000,19856873.0000,25134641.0000,18785328.0000,661500.0000,24367377.0000,0.0000,2252734.0000,532290.0000,4622290.0000,234974.0000,937528.0000,-1602292.0000,0.0000,1146077.8372,9350330.0000,10496407.8372,1488404.0000,19496089.0000,19235749.0000,9.8664655254702627e-01,20076627.0000,19598837.0000,9.7620167969450244e-01,6.7180000000000000e+03,"Aa3",655378332.0000,929942157.2400,5.0000000000000000e+00,3.8238993710691824e-02,1.0028700000000000e+03,93,2.5000000000000000e+00,"29.52"
"NEW MILFORD","96","L",109925346.0000,15224410.0000,151689497.0000,2563010.0000,1998836.0000,0.0000,249049.0000,2511463.0000,22693196.0000,17933848.0000,20694360.0000,"N",22095965.0000,76919619.0000,103652352.0000,68472228.0000,5412121.0000,102311450.0000,1775929.0000,3270586.0000,3269413.0000,3269413.0000,-152582.0000,225373.0000,1342075.0000,0.0000,,21890738.0000,21890738.0000,14296344.0000,76802218.0000,75614542.0000,9.8453591535598617e-01,78426291.0000,76419277.0000,9.7440891345990088e-01,2.7099000000000000e+04,"Aa1",2871440640.0000,4102917657.1400,6.9000000000000000e+01,4.0738299274884641e-02,4.1308199999999997e+03,96,5.9000000000000000e+01,"26.77"
"NEWINGTON","94","H",86658000.0000,-10195000.0000,77152000.0000,2009000.0000,0.0000,0.0000,1217000.0000,5406000.0000,21244000.0000,14621000.0000,21244000.0000,"N",31414000.0000,93725000.0000,126467000.0000,82546000.0000,1354000.0000,120867000.0000,119000.0000,119000.0000,6431000.0000,6431000.0000,-712000.0000,587000.0000,-712000.0000,0.0000,,6500000.0000,6500000.0000,51498000.0000,93302000.0000,92629000.0000,9.9278686416153994e-01,94238000.0000,93092000.0000,9.8783930049449264e-01,3.0404000000000000e+04,,2608593874.0000,3732257305.7100,7.6000000000000000e+01,4.0923520923520924e-02,4.2258100000000004e+03,97,8.0000000000000000e+01,"35.75"
"PORTLAND","113","M",63798103.0000,-1964076.0000,62410993.0000,1183243.0000,0.0000,0.0000,197132.0000,309125.0000,6461731.0000,5955474.0000,6461731.0000,"N",6826937.0000,26551732.0000,34581116.0000,21925181.0000,2365684.0000,32860323.0000,35000.0000,35000.0000,1283867.0000,1283867.0000,471926.0000,239913.0000,471926.0000,0.0000,,10583221.0000,10583221.0000,10691517.0000,26467246.0000,26122321.0000,9.8696785453235292e-01,27164094.0000,26394441.0000,9.7166653156184779e-01,9.3600000000000000e+03,"Aa3",806973968.0000,1216996256.3500,3.2000000000000000e+01,4.1879096868171886e-02,1.3848399999999999e+03,114,3.3000000000000000e+01,"32.51"
"PRESTON","114","NL",9433236.0000,3883995.0000,13429772.0000,125269.0000,0.0000,2112.0000,375000.0000,290127.0000,3650402.0000,2983163.0000,3648290.0000,"N",6153813.0000,9552669.0000,16956066.0000,12727934.0000,801072.0000,16576142.0000,754.0000,754.0000,151351.0000,151351.0000,229327.0000,-236956.0000,229327.0000,0.0000,,4840000.0000,4840000.0000,655547.0000,9494091.0000,9300872.0000,9.7964849926127739e-01,9737994.0000,9437555.0000,9.6914775260695374e-01,4.6660000000000000e+03,,395648886.0000,561386147.6300,1.3000000000000000e+01,4.9488752556237220e-02,6.4524000000000001e+02,115,1.3500000000000000e+01,"23.75"
"PROSPECT","115","NH",16556489.0000,2658678.0000,20326796.0000,1224350.0000,0.0000,0.0000,0.0000,141595.0000,2509406.0000,2367811.0000,2509406.0000,"N",5685639.0000,25258620.0000,31341617.0000,22015679.0000,785657.0000,31239389.0000,410309.0000,2248309.0000,390300.0000,1355300.0000,122237.0000,384142.0000,995237.0000,0.0000,18226194.4922,2338847.0000,20565041.4922,327675.0000,25169096.0000,24927676.0000,9.9040807822418409e-01,25465940.0000,25137244.0000,9.8709272070852283e-01,9.7970000000000000e+03,,835627342.0000,1194661788.5700,2.0000000000000000e+01,4.0283939662821650e-02,1.3780899999999999e+03,116,1.6000000000000000e+01,"29.91"
"PUTNAM","116","W",51476573.0000,1429271.0000,63065666.0000,2369896.0000,56000.0000,0.0000,56427.0000,600000.0000,4985873.0000,4273446.0000,4929873.0000,"Y",11224536.0000,10757050.0000,25809388.0000,19922578.0000,205781.0000,24878797.0000,0.0000,0.0000,493959.0000,493959.0000,436632.0000,411548.0000,436632.0000,0.0000,,624000.0000,624000.0000,0.0000,10524607.0000,10321887.0000,9.8073847318004370e-01,11170840.0000,10580212.0000,9.4712770033408411e-01,9.3570000000000000e+03,,620118400.0000,917122081.8700,9.6000000000000000e+01,5.3449347420758235e-02,1.1412700000000000e+03,117,1.0850000000000000e+02,"17.04"
"REDDING","117","F",44545958.0000,9954708.0000,54500666.0000,4725590.0000,1986161.0000,0.0000,200000.0000,0.0000,10142713.0000,7956552.0000,8156552.0000,"N",4499008.0000,46133174.0000,51942053.0000,37053767.0000,1986181.0000,50651818.0000,0.0000,171271.0000,624945.0000,624945.0000,665290.0000,817430.0000,836561.0000,0.0000,7290040.2972,30916346.0000,38206386.2972,5860625.0000,46189697.0000,45521327.0000,9.8552988992328738e-01,48822598.0000,45910611.0000,9.4035575493135370e-01,9.2330000000000000e+03,"Aa1",1632974907.0000,2448565997.4100,0.0000000000000000e+00,3.6802890042899071e-02,1.4299200000000001e+03,118,0.0000000000000000e+00,"29.24"
"RIDGEFIELD","118","F",115335703.0000,27333326.0000,142698647.0000,2519027.0000,0.0000,0.0000,0.0000,2998670.0000,17478813.0000,14480143.0000,17478813.0000,"N",19732568.0000,127337222.0000,156210401.0000,106929345.0000,11761800.0000,154204004.0000,55439.0000,55439.0000,1658037.0000,1658037.0000,403799.0000,575511.0000,403799.0000,0.0000,,70417071.0000,70417071.0000,352044.0000,125667665.0000,124557363.0000,9.9116477575993789e-01,129374334.0000,126351661.0000,9.7663622368869552e-01,2.5187000000000000e+04,"Aaa",4740285696.0000,7178046687.6700,0.0000000000000000e+00,3.7410071942446041e-02,4.9622700000000004e+03,119,2.5000000000000000e+00,"26.69"
"SHELTON","126","F",177993921.0000,-2076942.0000,176230066.0000,7899584.0000,63293.0000,0.0000,6834184.0000,500027.0000,9407604.0000,2010100.0000,9344311.0000,"N",23714694.0000,103100306.0000,130937320.0000,84064002.0000,11645714.0000,133096641.0000,0.0000,0.0000,1151019.0000,1151019.0000,-3310340.0000,-4609858.0000,-3310340.0000,0.0000,,38978295.0000,38978295.0000,0.0000,102961802.0000,101932309.0000,9.9000121423671272e-01,105155442.0000,102621193.0000,9.7589997291818720e-01,4.1397000000000000e+04,"Aa2",4578870525.0000,6807601488.2700,1.0400000000000000e+02,4.6920953802995338e-02,5.0608599999999997e+03,127,9.6000000000000000e+01,"22.31"
"SOMERS","129","T",44266549.0000,3550294.0000,49340693.0000,-783398.0000,188227.0000,0.0000,787237.0000,803174.0000,7065727.0000,5287089.0000,6877500.0000,"N",11912655.0000,20593561.0000,33282147.0000,24662604.0000,1997075.0000,33976161.0000,299005.0000,299005.0000,233004.0000,233004.0000,-628013.0000,-29732.0000,-628013.0000,0.0000,,13586713.0000,13586713.0000,976660.0000,20442173.0000,20177715.0000,9.8706311701794125e-01,20786573.0000,20448601.0000,9.8374085040376791e-01,1.1106000000000000e+04,"Aa2",845924180.0000,1208933114.2900,1.8000000000000000e+01,4.1569541569541568e-02,1.4325699999999999e+03,130,2.3500000000000000e+01,"24.22"
"SOUTHINGTON","131","H",161862000.0000,16056000.0000,178032000.0000,4405000.0000,36000.0000,0.0000,67000.0000,2764000.0000,23007000.0000,20140000.0000,22971000.0000,"N",40266000.0000,117338000.0000,161938000.0000,109728000.0000,11668000.0000,156925000.0000,0.0000,106000.0000,2627000.0000,2627000.0000,2386000.0000,1408000.0000,2492000.0000,0.0000,,121173000.0000,121173000.0000,17621000.0000,116198000.0000,114908000.0000,9.8889825986677915e-01,118718000.0000,116438000.0000,9.8079482471065882e-01,4.3863000000000000e+04,"Aa2",3902110054.0000,5582080125.7100,1.0500000000000000e+02,3.9681248983574564e-02,6.6193400000000001e+03,133,1.2800000000000000e+02,"29.64"
"STONINGTON","137","NL",90224341.0000,20095164.0000,111890326.0000,2763353.0000,606341.0000,0.0000,0.0000,2223432.0000,16524365.0000,13694592.0000,15918024.0000,"N",6201708.0000,59233240.0000,68523761.0000,40063154.0000,5622041.0000,63670943.0000,45000.0000,45000.0000,3562792.0000,3562792.0000,1335026.0000,1218014.0000,1335026.0000,0.0000,,53691074.0000,53691074.0000,4681639.0000,58791362.0000,58263288.0000,9.9101783013633871e-01,59502165.0000,58920238.0000,9.9022007014366620e-01,1.8593000000000000e+04,"Aa1",2625839807.0000,4024424140.9500,1.0500000000000000e+02,3.7040805942810624e-02,2.1909200000000001e+03,138,8.3000000000000000e+01,"22.31"
"THOMPSON","141","W",28378822.0000,2998811.0000,34624871.0000,257908.0000,0.0000,26490.0000,0.0000,947189.0000,3271593.0000,2297914.0000,3245103.0000,"N",11076048.0000,15968224.0000,27950785.0000,20836396.0000,1004563.0000,26586412.0000,123120.0000,496120.0000,973846.0000,973846.0000,513647.0000,68251.0000,886647.0000,0.0000,,11259790.0000,11259790.0000,844009.0000,15555474.0000,15278869.0000,9.8221815677233626e-01,16394883.0000,15574237.0000,9.4994499198316940e-01,9.2880000000000000e+03,"A1",598445230.0000,944526861.0700,3.9000000000000000e+01,4.6892870758673273e-02,1.0440000000000000e+03,142,4.8500000000000000e+01,"26.06"
"TRUMBULL","144","F",140963840.0000,-77274475.0000,63862439.0000,5963508.0000,0.0000,0.0000,345789.0000,697731.0000,22160475.0000,21116955.0000,22160475.0000,"Y",28075150.0000,151077232.0000,186347723.0000,124252763.0000,12999020.0000,185387384.0000,880041.0000,1384099.0000,838458.0000,838458.0000,1001922.0000,2086668.0000,1505980.0000,0.0000,,90114460.0000,90114460.0000,70063929.0000,149913420.0000,148504549.0000,9.9060210220005651e-01,151979333.0000,149786330.0000,9.8557038673146435e-01,3.6154000000000000e+04,"Aa2",4593861277.0000,6564257538.5700,1.9000000000000000e+01,4.1219239373601793e-02,6.5499700000000003e+03,145,2.3000000000000000e+01,"32.74"
"UNION","145","T",6451506.0000,-767933.0000,5770796.0000,-198851.0000,7859.0000,0.0000,0.0000,160000.0000,447680.0000,279821.0000,439821.0000,"N",699393.0000,2781846.0000,3543149.0000,2222655.0000,242877.0000,3455118.0000,500.0000,500.0000,45467.0000,45467.0000,43064.0000,-5538.0000,43064.0000,0.0000,,2437137.0000,2437137.0000,0.0000,2754071.0000,2716036.0000,9.8618953541865839e-01,2837434.0000,2758677.0000,9.7224358346308670e-01,8.3900000000000000e+02,,90850155.0000,130349339.5200,0.0000000000000000e+00,3.6637931034482756e-02,1.0000000000000000e+02,146,0.0000000000000000e+00,"30.27"
"WILTON","161","F",102691254.0000,15658624.0000,118349878.0000,6104544.0000,807989.0000,0.0000,0.0000,6152309.0000,20270573.0000,13310275.0000,19462584.0000,"N",17419308.0000,116833151.0000,136918218.0000,95887758.0000,11673181.0000,138034560.0000,0.0000,0.0000,375000.0000,375000.0000,-1491342.0000,-1019104.0000,-1491342.0000,0.0000,,83194289.0000,83194289.0000,4856827.0000,117214932.0000,116302499.0000,9.9221572725904916e-01,119332244.0000,117096005.0000,9.8126039597478787e-01,1.8581000000000000e+04,"Aaa",4303612900.0000,6590104066.9700,3.0000000000000000e+00,3.7094098127518370e-02,4.0773299999999999e+03,162,7.0000000000000000e+00,"27.34"
"WOODBURY","168","L",15330894.0000,-5222563.0000,11520975.0000,866682.0000,0.0000,0.0000,100000.0000,1190000.0000,5616363.0000,4326363.0000,5616363.0000,"N",1920535.0000,30374812.0000,33020075.0000,22867071.0000,573780.0000,32054603.0000,300000.0000,318059.0000,56000.0000,56000.0000,1209472.0000,450192.0000,1227531.0000,0.0000,22867071.0000,7895000.0000,30762071.0000,5496067.0000,30068493.0000,29557655.0000,9.8301085458456461e-01,31519210.0000,30043670.0000,9.5318600942092135e-01,9.5570000000000000e+03,"Aa2",1137984431.0000,1540777617.2600,7.0000000000000000e+00,3.6317414200108949e-02,1.1848000000000000e+03,169,8.0000000000000000e+00,"26.29"
"WOODSTOCK","169","W",21799363.0000,1345582.0000,31538080.0000,3281116.0000,0.0000,0.0000,0.0000,351062.0000,4116902.0000,3765840.0000,4116902.0000,"N",6954899.0000,16693386.0000,24250233.0000,18435092.0000,385744.0000,23808164.0000,0.0000,450871.0000,192515.0000,192515.0000,249554.0000,223870.0000,700425.0000,0.0000,,4463562.0000,4463562.0000,1515330.0000,16585539.0000,16332396.0000,9.8473712551639114e-01,16978090.0000,16563437.0000,9.7557717034130453e-01,7.8090000000000000e+03,"Aa3",684380008.0000,1026593476.2600,1.1000000000000000e+01,4.3979812545061281e-02,1.2625300000000000e+03,170,1.2500000000000000e+01,"24.04"
"ANDOVER","1","T",6987136.0000,3003066.0000,10418703.0000,876779.0000,0.0000,0.0000,0.0000,267546.0000,2454369.0000,2186823.0000,2454369.0000,"N",3014406.0000,8225403.0000,11317869.0000,8901547.0000,146522.0000,10983581.0000,0.0000,0.0000,865702.0000,865702.0000,-531414.0000,252831.0000,-531414.0000,0.0000,2177456.1451,481884.0000,2659340.1451,720749.0000,8177622.0000,8087363.0000,9.8896268377286212e-01,8362463.0000,8209110.0000,9.8166174247945848e-01,3.2480000000000000e+03,,265663230.0000,371631556.5600,5.0000000000000000e+00,3.7170882808466699e-02,4.6030000000000001e+02,1,2.0000000000000000e+00,"30.72"
"CANTON","23","H",73131894.0000,4557636.0000,78518143.0000,2536426.0000,290332.0000,0.0000,0.0000,40823.0000,6198130.0000,5866975.0000,5907798.0000,"N",7188007.0000,33112181.0000,41072370.0000,27992309.0000,2023556.0000,38833199.0000,0.0000,0.0000,2141077.0000,2141077.0000,98094.0000,448876.0000,98094.0000,0.0000,,16115810.0000,16115810.0000,6402164.0000,33025360.0000,32790714.0000,9.9289497525537951e-01,33565357.0000,32957532.0000,9.8189129941326114e-01,1.0298000000000000e+04,"Aa2",1107652979.0000,1607651531.1500,1.1000000000000000e+01,3.5419954409959667e-02,1.6397500000000000e+03,23,1.8000000000000000e+01,"29.76"
"COLUMBIA","30","T",15075768.0000,4784505.0000,20350903.0000,67429.0000,17898.0000,0.0000,0.0000,472000.0000,3812067.0000,3322169.0000,3794169.0000,"N",4206672.0000,13105747.0000,17663425.0000,13464827.0000,181250.0000,17135444.0000,11044.0000,11044.0000,336913.0000,336913.0000,202112.0000,27974.0000,202112.0000,0.0000,,614298.0000,614298.0000,0.0000,13180596.0000,12964997.0000,9.8364269718911046e-01,13428608.0000,13026747.0000,9.7007426235094507e-01,5.4180000000000000e+03,"Aa2",476888490.0000,698989199.4000,9.0000000000000000e+00,3.7712519319938173e-02,7.0024000000000001e+02,30,9.5000000000000000e+00,"27.44"
"DEEP RIVER","36","M",12109701.0000,-375001.0000,11805941.0000,-373904.0000,0.0000,0.0000,0.0000,79390.0000,959460.0000,880070.0000,959460.0000,"N",2695160.0000,13585284.0000,17169759.0000,12253334.0000,144209.0000,16889149.0000,78963.0000,278963.0000,333398.0000,333398.0000,26175.0000,277335.0000,226175.0000,0.0000,2546607.7260,341035.0000,2887642.7260,1403692.0000,12999173.0000,12790957.0000,9.8398236564741459e-01,13327923.0000,12926104.0000,9.6985134142806795e-01,4.4940000000000000e+03,,490408404.0000,700774862.8600,9.0000000000000000e+00,3.4700315457413249e-02,6.1377999999999997e+02,36,8.0000000000000000e+00,"27.53"
"EAST HAVEN","44","NH",54831555.0000,-24041765.0000,33168356.0000,5614790.0000,0.0000,0.0000,0.0000,0.0000,5436994.0000,5436994.0000,5436994.0000,"N",29867479.0000,64677274.0000,97588150.0000,55857314.0000,4468557.0000,97144893.0000,0.0000,9023.0000,0.0000,0.0000,443257.0000,1133876.0000,452280.0000,0.0000,,27026402.0000,27026402.0000,6281761.0000,63819560.0000,62441210.0000,9.7840238948685954e-01,66811457.0000,63255376.0000,9.4677438332171082e-01,2.8857000000000000e+04,"A3",2009894630.0000,2913405599.7800,2.3200000000000000e+02,5.2614917057110293e-02,3.4204299999999998e+03,43,1.8600000000000000e+02,"31.55"
"FAIRFIELD","51","F",297952000.0000,-95397000.0000,211233000.0000,11791000.0000,0.0000,0.0000,0.0000,1619000.0000,29458000.0000,27839000.0000,29458000.0000,"N",38669000.0000,271812000.0000,325317000.0000,196032000.0000,23749000.0000,322004000.0000,0.0000,0.0000,2115000.0000,2115000.0000,1198000.0000,3137000.0000,1198000.0000,0.0000,,190407000.0000,190407000.0000,66502000.0000,271587000.0000,268169000.0000,9.8741471425362770e-01,278929000.0000,270372000.0000,9.6932194214298262e-01,6.2105000000000000e+04,"Aaa",10770449294.0000,15395112105.7100,2.7000000000000000e+01,4.1749028696067073e-02,1.0034920000000000e+04,51,4.1000000000000000e+01,"25.45"
"GRISWOLD","58","NL",89531558.0000,2313253.0000,92538200.0000,976356.0000,6144.0000,0.0000,0.0000,770468.0000,4861733.0000,4085121.0000,4855589.0000,"N",15974708.0000,19739908.0000,38334775.0000,30737224.0000,1590849.0000,37112505.0000,0.0000,508789.0000,1086332.0000,1086332.0000,135938.0000,284711.0000,644727.0000,0.0000,,15223467.0000,15223467.0000,4357166.0000,19359939.0000,18965581.0000,9.7963020441335069e-01,20226036.0000,19421418.0000,9.6021870029302825e-01,1.1687000000000000e+04,,708229248.0000,977864766.8600,9.8000000000000000e+01,5.2648171500630517e-02,1.7348699999999999e+03,58,6.8000000000000000e+01,"27.06"
"TOLLAND","142","T",77127304.0000,18211767.0000,95652134.0000,926258.0000,0.0000,0.0000,46580.0000,2053282.0000,10023838.0000,7923976.0000,10023838.0000,"N",19708750.0000,43606051.0000,64133352.0000,46732919.0000,5205587.0000,62875613.0000,120853.0000,120853.0000,297193.0000,297193.0000,1081399.0000,476219.0000,1081399.0000,0.0000,,42406999.0000,42406999.0000,0.0000,43430320.0000,42991650.0000,9.8989945273256108e-01,43891438.0000,43264993.0000,9.8572739858739644e-01,1.4722000000000000e+04,"Aa2",1264756967.0000,1815100660.8400,1.9000000000000000e+01,3.3613445378151259e-02,2.5944000000000001e+03,143,1.5500000000000000e+01,"34.19"
"KILLINGWORTH","70","M",20925990.0000,6136174.0000,27062164.0000,169275.0000,0.0000,0.0000,0.0000,0.0000,4917653.0000,4917653.0000,4917653.0000,"N",2688926.0000,18842876.0000,21992398.0000,16831153.0000,459463.0000,21036619.0000,637980.0000,4052980.0000,1380320.0000,4795320.0000,213439.0000,298799.0000,213439.0000,0.0000,4902388.8786,3415000.0000,8317388.8786,1283711.0000,18757999.0000,18655127.0000,9.9451583295211821e-01,18860534.0000,18717831.0000,9.9243377732571092e-01,6.4010000000000000e+03,,724366649.0000,1018704217.3700,4.0000000000000000e+00,2.9838922630050172e-02,8.7444000000000005e+02,71,1.0000000000000000e+00,"25.89"
"NEW FAIRFIELD","91","F",73797134.0000,10357036.0000,85880798.0000,1827646.0000,0.0000,0.0000,0.0000,984730.0000,8216427.0000,7231697.0000,8216427.0000,"N",13154176.0000,45541688.0000,61315778.0000,40499752.0000,2675904.0000,60142711.0000,0.0000,9002027.0000,810853.0000,9101094.0000,362214.0000,-125041.0000,1074000.0000,0.0000,,21051745.0000,21051745.0000,1503388.0000,42437752.0000,42150506.0000,9.9323135683530084e-01,42820280.0000,42348285.0000,9.8897730234365588e-01,1.4017000000000000e+04,"Aa1",1587028111.0000,2375448376.8300,8.0000000000000000e+00,4.0207340991874473e-02,2.3195599999999999e+03,92,1.7500000000000000e+01,"28.68"
"POMFRET","112","W",8328237.0000,1212450.0000,14631747.0000,-39088.0000,0.0000,0.0000,0.0000,384203.0000,2190989.0000,1806786.0000,2190989.0000,"N",4776034.0000,8841752.0000,13904570.0000,11325735.0000,405702.0000,13446235.0000,10249.0000,10249.0000,389582.0000,389582.0000,79002.0000,283920.0000,79002.0000,0.0000,,8261233.0000,8261233.0000,0.0000,8778905.0000,8700053.0000,9.9101801420564406e-01,8893780.0000,8773629.0000,9.8649044613201586e-01,4.1670000000000000e+03,,343138099.0000,490571570.0000,7.0000000000000000e+00,3.2193158953722337e-02,6.0082000000000005e+02,113,7.0000000000000000e+00,"25.43"
"SHERMAN","127","F",14409649.0000,4714730.0000,19135129.0000,1551928.0000,0.0000,10750.0000,0.0000,88000.0000,2875180.0000,2776430.0000,2864430.0000,"N",1522456.0000,13893211.0000,15833083.0000,10057157.0000,1041400.0000,14539471.0000,0.0000,5020000.0000,646248.0000,5665681.0000,647364.0000,301030.0000,647931.0000,0.0000,,6800000.0000,6800000.0000,0.0000,13795598.0000,13758270.0000,9.9729420935576696e-01,13864825.0000,13812478.0000,9.9622447452456131e-01,3.6430000000000000e+03,"Aa2",678528502.0000,1010075818.2100,3.0000000000000000e+00,3.7947621592731157e-02,4.7649000000000001e+02,128,4.5000000000000000e+00,"20.33"
"STAFFORD","134","T",85334727.0000,2286280.0000,91114671.0000,829854.0000,0.0000,13086.0000,0.0000,991288.0000,7369493.0000,6365119.0000,7356407.0000,"Y",16614854.0000,26671383.0000,44882551.0000,31763071.0000,2481628.0000,44188472.0000,782482.0000,6824141.0000,429507.0000,6919507.0000,1047054.0000,525261.0000,598713.0000,0.0000,,35979061.0000,35979061.0000,8013375.0000,25964212.0000,25330801.0000,9.7560445893755610e-01,27259082.0000,26043945.0000,9.5542267344146070e-01,1.1949000000000000e+04,"A1",769839879.0000,1101222495.7100,6.1000000000000000e+01,4.6915725456125108e-02,1.5722800000000000e+03,135,6.9000000000000000e+01,"33.51"
"THOMASTON","140","L",32655352.0000,-19669339.0000,13594401.0000,-544014.0000,0.0000,0.0000,0.0000,675000.0000,3631906.0000,2956906.0000,3631906.0000,"N",9107312.0000,18880582.0000,28394296.0000,17115585.0000,3336029.0000,24985276.0000,15000.0000,15803.0000,3235506.0000,3235506.0000,188514.0000,275406.0000,189317.0000,0.0000,,21883988.0000,21883988.0000,4193474.0000,18744659.0000,18537433.0000,9.8894479755539966e-01,19078278.0000,18716298.0000,9.8102658950666299e-01,7.6020000000000000e+03,"Aa3",546074183.0000,763493536.9500,2.5000000000000000e+01,4.0076335877862593e-02,1.0030300000000000e+03,141,2.9000000000000000e+01,"34.07"
"MANSFIELD","78","T",78763375.0000,8952857.0000,87998456.0000,4387336.0000,0.0000,0.0000,0.0000,158758.0000,5814752.0000,5655994.0000,5814752.0000,"N",24580487.0000,31889349.0000,57552737.0000,37632665.0000,293725.0000,51871524.0000,2550.0000,2550.0000,4257240.0000,4257240.0000,1426523.0000,447047.0000,1426523.0000,0.0000,1319259.9941,1960000.0000,3279259.9941,9628078.0000,31643561.0000,31384167.0000,9.9180262929320750e-01,32195600.0000,31591440.0000,9.8123470287865422e-01,2.5912000000000000e+04,"Aa2",1072179179.0000,1536756457.2900,2.4000000000000000e+01,4.1541144759790712e-02,1.8004200000000001e+03,79,2.2500000000000000e+01,"29.87"
"MARLBOROUGH","79","H",35878330.0000,6214958.0000,42093288.0000,2872987.0000,0.0000,0.0000,0.0000,456721.0000,3128165.0000,2671444.0000,3128165.0000,"N",4934044.0000,19932875.0000,25138052.0000,17378574.0000,2005320.0000,23926749.0000,343142.0000,516231.0000,1116041.0000,1116041.0000,438404.0000,-13294.0000,611493.0000,0.0000,4475227.4965,11874939.0000,16350166.4965,0.0000,19872403.0000,19715983.0000,9.9212878281504258e-01,20054185.0000,19828153.0000,9.8872893612979040e-01,6.3970000000000000e+03,"Aa2",576204486.0000,823378394.2900,9.0000000000000000e+00,3.5326842837273990e-02,1.0807700000000000e+03,80,1.6000000000000000e+01,"34.15"
"MIDDLEBURY","81","NH",34762076.0000,5017222.0000,39779298.0000,-1846617.0000,48635.0000,0.0000,0.0000,42415.0000,4207185.0000,4116135.0000,4158550.0000,"N",1171780.0000,29419413.0000,31600847.0000,21479288.0000,740288.0000,31433428.0000,87024.0000,87024.0000,153354.0000,153354.0000,101089.0000,478147.0000,101089.0000,0.0000,3514690.0472,9110000.0000,12624690.0472,4624125.0000,29468293.0000,28997317.0000,9.8401753369290856e-01,30389678.0000,29461949.0000,9.6947223330237331e-01,7.7250000000000000e+03,"Aa2",945136332.0000,1354921069.8900,4.0000000000000000e+00,4.2353537915292921e-02,1.2059800000000000e+03,82,4.5000000000000000e+00,"31.01"
"MONTVILLE","86","NL",63077857.0000,11071218.0000,74290949.0000,2188834.0000,199644.0000,120603.0000,168844.0000,947813.0000,10334669.0000,8897765.0000,10014422.0000,"N",21605478.0000,39115831.0000,63956190.0000,41972499.0000,4312428.0000,62958791.0000,0.0000,0.0000,634779.0000,634779.0000,362620.0000,-539330.0000,362620.0000,0.0000,,32148519.0000,32148519.0000,8594297.0000,38989997.0000,38044641.0000,9.7575388374613115e-01,41424451.0000,38523027.0000,9.2995866137127559e-01,1.9149000000000000e+04,"Aa3",1265187368.0000,1779326758.8600,5.9000000000000000e+01,4.5929241261722077e-02,2.3728800000000001e+03,87,6.7000000000000000e+01,"30.61"
