Municipality,numbered,Median Home Values - 2018 Estimate,Population_Range,Margin of Error
"BETHANY",8.0000000000000000e+00,352700.0000,"0 to 10,000",22683.0000
"NEW FAIRFIELD",9.2000000000000000e+01,352200.0000,"10,000 to 30,000",12212.0000
"NORFOLK",9.9000000000000000e+01,349300.0000,"0 to 10,000",42284.0000
"GLASTONBURY",5.4000000000000000e+01,348600.0000,"10,000 to 30,000",7611.0000
"CHESTER",2.6000000000000000e+01,346800.0000,"0 to 10,000",19128.0000
"GOSHEN",5.5000000000000000e+01,346500.0000,"0 to 10,000",25420.0000
"OXFORD",1.0900000000000000e+02,345400.0000,"0 to 10,000",12695.0000
"SHELTON",1.2700000000000000e+02,345200.0000,"30,000 to 70,000",5311.0000
"MIDDLEBURY",8.2000000000000000e+01,344800.0000,"0 to 10,000",14160.0000
"BETHEL",9.0000000000000000e+00,338800.0000,"10,000 to 30,000",6794.0000
"BURLINGTON",2.0000000000000000e+01,333200.0000,"0 to 10,000",18663.0000
"CHESHIRE",2.5000000000000000e+01,332600.0000,"10,000 to 30,000",9128.0000
"DURHAM",3.8000000000000000e+01,331300.0000,"0 to 10,000",22084.0000
"FARMINGTON",5.2000000000000000e+01,330400.0000,"10,000 to 30,000",9468.0000
"BETHLEHEM",1.0000000000000000e+01,329600.0000,"0 to 10,000",20359.0000
"SIMSBURY",1.2900000000000000e+02,329500.0000,"10,000 to 30,000",7317.0000
"WEST HARTFORD",1.5500000000000000e+02,329000.0000,"30,000 to 70,000",5859.0000
"SOUTHBURY",1.3200000000000000e+02,326400.0000,"10,000 to 30,000",11335.0000
"MORRIS",8.8000000000000000e+01,324900.0000,"0 to 10,000",17651.0000
"CANAAN",2.1000000000000000e+01,319800.0000,"0 to 10,000",40702.0000
"SOMERS",1.3000000000000000e+02,317100.0000,"0 to 10,000",14412.0000
"STONINGTON",1.3800000000000000e+02,316200.0000,"10,000 to 30,000",16293.0000
"MARLBOROUGH",8.0000000000000000e+01,314300.0000,"0 to 10,000",21844.0000
"EAST LYME",4.4000000000000000e+01,313900.0000,"10,000 to 30,000",11553.0000
"CANTON",2.3000000000000000e+01,311800.0000,"0 to 10,000",19506.0000
"HADDAM",6.2000000000000000e+01,310400.0000,"0 to 10,000",24205.0000
"MILFORD",8.5000000000000000e+01,307300.0000,"30,000 to 70,000",6222.0000
"LITCHFIELD",7.5000000000000000e+01,301300.0000,"0 to 10,000",16316.0000
"NORTH HAVEN",1.0200000000000000e+02,299500.0000,"10,000 to 30,000",9940.0000
"TOLLAND",1.4300000000000000e+02,298100.0000,"10,000 to 30,000",16979.0000
"PROSPECT",1.1600000000000000e+02,297000.0000,"0 to 10,000",15562.0000
"DANBURY",3.4000000000000000e+01,296600.0000,"30,000 to 70,000",7722.0000
"SUFFIELD",1.4000000000000000e+02,296600.0000,"10,000 to 30,000",10900.0000
"GRANBY",5.6000000000000000e+01,296600.0000,"0 to 10,000",13135.0000
"NEW HARTFORD",9.3000000000000000e+01,295800.0000,"0 to 10,000",18603.0000
"HEBRON",6.8000000000000000e+01,294900.0000,"0 to 10,000",16721.0000
"HARWINTON",6.7000000000000000e+01,294400.0000,"0 to 10,000",12946.0000
"BRANFORD",1.4000000000000000e+01,293900.0000,"10,000 to 30,000",11398.0000
"NEW MILFORD",9.6000000000000000e+01,290700.0000,"10,000 to 30,000",9007.0000
"CLINTON",2.7000000000000000e+01,287700.0000,"10,000 to 30,000",8363.0000
"BOLTON",1.2000000000000000e+01,287100.0000,"0 to 10,000",13711.0000
"BERLIN",7.0000000000000000e+00,284300.0000,"10,000 to 30,000",7058.0000
"NORTH STONINGTON",1.0300000000000000e+02,283500.0000,"0 to 10,000",25555.0000
"NORTH BRANFORD",1.0000000000000000e+02,282300.0000,"10,000 to 30,000",10649.0000
"SOUTH WINDSOR",1.3100000000000000e+02,282200.0000,"10,000 to 30,000",6755.0000
"MIDDLEFIELD",8.3000000000000000e+01,280400.0000,"0 to 10,000",15849.0000
"UNION",1.4600000000000000e+02,278900.0000,"0 to 10,000",18919.0000
"EAST HADDAM",4.0000000000000000e+01,278700.0000,"0 to 10,000",13883.0000
"EAST GRANBY",3.9000000000000000e+01,278500.0000,"0 to 10,000",12228.0000
"SOUTHINGTON",1.3300000000000000e+02,275700.0000,"30,000 to 70,000",6102.0000
"SALEM",1.2200000000000000e+02,274300.0000,"0 to 10,000",14528.0000
"ANDOVER",1.0000000000000000e+00,273300.0000,"0 to 10,000",14364.0000
"DEEP RIVER",3.6000000000000000e+01,271200.0000,"0 to 10,000",12589.0000
"WALLINGFORD",1.4900000000000000e+02,270000.0000,"30,000 to 70,000",5720.0000
"POMFRET",1.1300000000000000e+02,269600.0000,"0 to 10,000",14803.0000
"EAST HAMPTON",4.1000000000000000e+01,268100.0000,"10,000 to 30,000",10202.0000
"HARTLAND",6.6000000000000000e+01,266600.0000,"0 to 10,000",10728.0000
"ELLINGTON",4.8000000000000000e+01,266600.0000,"10,000 to 30,000",14905.0000
"ROCKY HILL",1.2000000000000000e+02,263000.0000,"10,000 to 30,000",7760.0000
"BARKHAMSTED",5.0000000000000000e+00,258500.0000,"0 to 10,000",17015.0000
"COLUMBIA",3.0000000000000000e+01,258400.0000,"0 to 10,000",17895.0000
"WOODSTOCK",1.7000000000000000e+02,256800.0000,"0 to 10,000",14750.0000
"STRATFORD",1.3900000000000000e+02,255600.0000,"30,000 to 70,000",5155.0000
"EASTFORD",4.6000000000000000e+01,254100.0000,"0 to 10,000",11285.0000
"WATERFORD",1.5300000000000000e+02,253600.0000,"10,000 to 30,000",9875.0000
"BEACON FALLS",6.0000000000000000e+00,253300.0000,"0 to 10,000",20844.0000
"COLCHESTER",2.8000000000000000e+01,253300.0000,"10,000 to 30,000",11385.0000
"WOLCOTT",1.6700000000000000e+02,249600.0000,"10,000 to 30,000",10290.0000
"WETHERSFIELD",1.6000000000000000e+02,249300.0000,"10,000 to 30,000",6836.0000
"PRESTON",1.1500000000000000e+02,246900.0000,"0 to 10,000",16632.0000
"SEYMOUR",1.2500000000000000e+02,246600.0000,"10,000 to 30,000",12083.0000
"FRANKLIN",5.3000000000000000e+01,246100.0000,"0 to 10,000",11603.0000
"PORTLAND",1.1400000000000000e+02,245800.0000,"0 to 10,000",11775.0000
"LEBANON",7.2000000000000000e+01,245600.0000,"0 to 10,000",16054.0000
"CROMWELL",3.3000000000000000e+01,245600.0000,"10,000 to 30,000",12783.0000
"WATERTOWN",1.5400000000000000e+02,244600.0000,"10,000 to 30,000",9228.0000
"COLEBROOK",2.9000000000000000e+01,242700.0000,"0 to 10,000",26763.0000
"COVENTRY",3.2000000000000000e+01,241600.0000,"10,000 to 30,000",17372.0000
"MANSFIELD",7.9000000000000000e+01,240000.0000,"10,000 to 30,000",12450.0000
"GROTON",5.9000000000000000e+01,237000.0000,"30,000 to 70,000",8799.0000
"ASHFORD",3.0000000000000000e+00,235400.0000,"0 to 10,000",22779.0000
"SCOTLAND",1.2400000000000000e+02,234700.0000,"0 to 10,000",17811.0000
"NEWINGTON",9.7000000000000000e+01,232700.0000,"10,000 to 30,000",5490.0000
"LEDYARD",7.3000000000000000e+01,231800.0000,"10,000 to 30,000",8185.0000
"BOZRAH",1.3000000000000000e+01,229500.0000,"0 to 10,000",18954.0000
"VOLUNTOWN",1.4800000000000000e+02,227900.0000,"0 to 10,000",16496.0000
"BROOKLYN",1.9000000000000000e+01,227800.0000,"0 to 10,000",11673.0000
"MIDDLETOWN",8.4000000000000000e+01,227000.0000,"30,000 to 70,000",6099.0000
"HAMPTON",6.4000000000000000e+01,226500.0000,"0 to 10,000",13491.0000
"HAMDEN",6.3000000000000000e+01,226400.0000,"30,000 to 70,000",4983.0000
"LISBON",7.4000000000000000e+01,224900.0000,"0 to 10,000",11279.0000
"WILLINGTON",1.6100000000000000e+02,223700.0000,"0 to 10,000",22838.0000
"CANTERBURY",2.2000000000000000e+01,221000.0000,"0 to 10,000",15237.0000
"WINDSOR",1.6500000000000000e+02,220300.0000,"10,000 to 30,000",5879.0000
"SPRAGUE",1.3400000000000000e+02,219400.0000,"0 to 10,000",24939.0000
"BLOOMFIELD",1.1000000000000000e+01,216800.0000,"10,000 to 30,000",7169.0000
"EAST WINDSOR",4.5000000000000000e+01,214600.0000,"0 to 10,000",12565.0000
"EAST HAVEN",4.3000000000000000e+01,212900.0000,"10,000 to 30,000",6417.0000
"PLAINVILLE",1.1100000000000000e+02,212300.0000,"10,000 to 30,000",10830.0000
"ANSONIA",2.0000000000000000e+00,211100.0000,"10,000 to 30,000",12288.0000
"THOMASTON",1.4100000000000000e+02,205000.0000,"0 to 10,000",16381.0000
"THOMPSON",1.4200000000000000e+02,203900.0000,"0 to 10,000",15036.0000
"VERNON",1.4700000000000000e+02,203800.0000,"10,000 to 30,000",7324.0000
"CHAPLIN",2.4000000000000000e+01,202000.0000,"0 to 10,000",15811.0000
"DERBY",3.7000000000000000e+01,201500.0000,"10,000 to 30,000",14636.0000
"STERLING",1.3700000000000000e+02,198500.0000,"0 to 10,000",15034.0000
"STAFFORD",1.3500000000000000e+02,197000.0000,"10,000 to 30,000",9610.0000
"NEW HAVEN",9.4000000000000000e+01,196600.0000,"70,000 & Up",5993.0000
"PLYMOUTH",1.1200000000000000e+02,196500.0000,"10,000 to 30,000",7824.0000
"BRISTOL",1.7000000000000000e+01,195900.0000,"30,000 to 70,000",4807.0000
"MONTVILLE",8.7000000000000000e+01,195100.0000,"10,000 to 30,000",8814.0000
"WEST HAVEN",1.5600000000000000e+02,194400.0000,"30,000 to 70,000",4692.0000
"WINDSOR LOCKS",1.6600000000000000e+02,191300.0000,"10,000 to 30,000",4532.0000
"NORTH CANAAN",1.0100000000000000e+02,188900.0000,"0 to 10,000",15375.0000
"PUTNAM",1.1700000000000000e+02,187800.0000,"0 to 10,000",7864.0000
"KILLINGLY",7.0000000000000000e+01,187000.0000,"10,000 to 30,000",8155.0000
"ENFIELD",4.9000000000000000e+01,185700.0000,"30,000 to 70,000",2317.0000
"GRISWOLD",5.8000000000000000e+01,185000.0000,"10,000 to 30,000",17951.0000
"MANCHESTER",7.8000000000000000e+01,184300.0000,"30,000 to 70,000",4124.0000
"NAUGATUCK",8.9000000000000000e+01,182300.0000,"30,000 to 70,000",6051.0000
"NEW LONDON",9.5000000000000000e+01,181300.0000,"10,000 to 30,000",9106.0000
"PLAINFIELD",1.1000000000000000e+02,173700.0000,"10,000 to 30,000",6365.0000
"BRIDGEPORT",1.5000000000000000e+01,173100.0000,"70,000 & Up",3420.0000
"MERIDEN",8.1000000000000000e+01,172200.0000,"30,000 to 70,000",2917.0000
"WINCHESTER",1.6300000000000000e+02,164100.0000,"10,000 to 30,000",8260.0000
"NORWICH",1.0500000000000000e+02,162900.0000,"30,000 to 70,000",4312.0000
"HARTFORD",6.5000000000000000e+01,162800.0000,"70,000 & Up",3291.0000
"EAST HARTFORD",4.2000000000000000e+01,162000.0000,"30,000 to 70,000",2427.0000
"NEW BRITAIN",9.0000000000000000e+01,159300.0000,"70,000 & Up",2551.0000
"WINDHAM",1.6400000000000000e+02,155900.0000,"10,000 to 30,000",6414.0000
"TORRINGTON",1.4400000000000000e+02,155700.0000,"30,000 to 70,000",3607.0000
"WATERBURY",1.5200000000000000e+02,128800.0000,"70,000 & Up",3068.0000
