Municipality,Mill Rate FY 2019-20,Mill Rate - Real & Personal Property - FY 2019-20,Mill Rate - Motor Vehicle - FY 2019-20,Comments
"EAST HAMPTON",3.3140000000000001e+01,,,
"EAST HARTFORD",,4.9109999999999999e+01,4.5000000000000000e+01,
"EAST HAVEN",3.2420000000000002e+01,,,
"EAST LYME",2.8190000000000001e+01,,,
"EAST WINDSOR",3.4250000000000000e+01,,,
"EASTFORD",2.5609999999999999e+01,,,
"EASTON",3.1329999999999998e+01,,,
"ELLINGTON",3.2600000000000001e+01,,,
"ENFIELD",3.4229999999999997e+01,,,
"ESSEX",2.1649999999999999e+01,,,
"FAIRFIELD",2.6789999999999999e+01,,,
"FARMINGTON",2.7969999999999999e+01,,,
"FRANKLIN",2.3719999999999999e+01,,,
"GLASTONBURY",3.6359999999999999e+01,,,
"GOSHEN",1.9600000000000001e+01,,,
"GRANBY",3.9609999999999999e+01,,,
"GREENWICH",1.1682000000000000e+01,,,
"GRISWOLD",2.8600000000000001e+01,,,
"GROTON",2.4170000000000002e+01,,,
"GROTON (City of)",4.2999999999999998e+00,,,
"GUILFORD",3.2030000000000001e+01,,,
"HADDAM",3.1690000000000001e+01,,,
"HAMDEN",,4.8859999999999999e+01,4.5000000000000000e+01,
"HAMPTON",2.5820000000000000e+01,,,
"HARTFORD",,7.4290000000000006e+01,4.5000000000000000e+01,
"HARTLAND",2.7500000000000000e+01,,,
"HARWINTON",2.8000000000000000e+01,,,
"HEBRON",3.7049999999999997e+01,,,
"KENT",1.8609999999999999e+01,,,
"KILLINGLY",2.4960000000000001e+01,,,
"KILLINGWORTH",2.7469999999999999e+01,,,
"LEBANON",2.9399999999999999e+01,,,
"LEDYARD",3.5060000000000002e+01,,,
"LISBON",2.3230000000000000e+01,,,
"LITCHFIELD",2.8199999999999999e+01,,,
"LYME",1.9949999999999999e+01,,,
"MADISON",2.8350000000000001e+01,,,
"MANCHESTER",3.6520000000000003e+01,,,
"MANSFIELD",3.1379999999999999e+01,,,
"MARLBOROUGH",3.7250000000000000e+01,,,
"MERIDEN",4.0859999999999999e+01,,,
"MIDDLEBURY",3.3399999999999999e+01,,,
"MIDDLEFIELD",3.2469999999999999e+01,,,
"MIDDLETOWN",3.6000000000000000e+01,,,
"MILFORD",2.7710000000000001e+01,,,
"MONROE",3.5579999999999998e+01,,,
"MONTVILLE",3.2509999999999998e+01,,,
"MORRIS",2.6539999999999999e+01,,,
"NAUGATUCK",,4.7250000000000000e+01,4.5000000000000000e+01,
"NEW BRITAIN",,5.0500000000000000e+01,4.5000000000000000e+01,
"NEW CANAAN",1.8239999999999998e+01,,,
"NEW FAIRFIELD",3.0899999999999999e+01,,,
"NEW HARTFORD",3.0250000000000000e+01,,,
"NEW HAVEN",4.2979999999999997e+01,,,
"NEW LONDON",3.9899999999999999e+01,,,
"NEW MILFORD",2.8699999999999999e+01,,,
"NEWINGTON",3.9450000000000003e+01,,,
"NEWTOWN",3.4770000000000003e+01,,,
"NORFOLK",2.6980000000000000e+01,,,
"NORTH BRANFORD",3.3460000000000001e+01,,,
"NORTH CANAAN",2.8250000000000000e+01,,,
"NORTH HAVEN",3.1180000000000000e+01,,,
"NORTH STONINGTON",2.9000000000000000e+01,,,
"NORWALK",,2.3184999999999999e+01,3.0542999999999999e+01,"Use 2019-20 budget book, pg. vii and pg. 22"
"NORWICH",4.0280000000000001e+01,,,
"OLD LYME",2.2410000000000000e+01,,,
"OLD SAYBROOK",1.9750000000000000e+01,,,
"ORANGE",3.2590000000000003e+01,,,
"OXFORD",2.3840000000000000e+01,,,
"PLAINFIELD",2.8329999999999998e+01,,,
"PLAINVILLE",3.4619999999999997e+01,,,
"PLYMOUTH",4.0630000000000003e+01,,,
"POMFRET",2.6399999999999999e+01,,,
"PORTLAND",3.3810000000000002e+01,,,
"PRESTON",2.6430000000000000e+01,,,
"PROSPECT",3.0949999999999999e+01,,,
"PUTNAM",2.2059999999999999e+01,,,
"REDDING",3.2840000000000003e+01,,,
"RIDGEFIELD",2.8120000000000001e+01,,,
"ROCKY HILL",3.2500000000000000e+01,,,
"ROXBURY",1.5850000000000000e+01,,,
"SALEM",3.2200000000000003e+01,,,
"SALISBURY",1.1600000000000000e+01,,,
"SCOTLAND",,4.2649999999999999e+01,3.8000000000000000e+01,
"SEYMOUR",3.6000000000000000e+01,,,
"SHARON",1.4400000000000000e+01,,,
"SHELTON",2.2420000000000002e+01,,,
"SHERMAN",1.9809999999999999e+01,,,
"SIMSBURY",3.7320000000000000e+01,,,
"SOMERS",2.7370000000000001e+01,,,
"SOUTH WINDSOR",3.8500000000000000e+01,,,
"SOUTHBURY",2.9100000000000001e+01,,,
"SOUTHINGTON",3.0640000000000001e+01,,,
"SPRAGUE",3.4750000000000000e+01,,,
"STAFFORD",3.4930000000000000e+01,,,
"STAMFORD",,2.6350000000000001e+01,2.7250000000000000e+01,"Use District ""A"", the largest district in City"
"STERLING",3.1940000000000001e+01,,,
"STONINGTON",2.3359999999999999e+01,,,
"STRATFORD",3.9869999999999997e+01,,,
"SUFFIELD",2.8719999999999999e+01,,,
"THOMASTON",3.6530000000000001e+01,,,
"THOMPSON",2.7750000000000000e+01,,,
"TOLLAND",3.6049999999999997e+01,,,
"TORRINGTON",,4.6170000000000002e+01,4.5000000000000000e+01,
"TRUMBULL",3.4740000000000002e+01,,,
"UNION",3.0930000000000000e+01,,,
"VERNON",3.9630000000000003e+01,,,
"VOLUNTOWN",2.9210000000000001e+01,,,
"WALLINGFORD",2.9190000000000001e+01,,,
"WARREN",1.4250000000000000e+01,,,
"WASHINGTON",1.4250000000000000e+01,,,
"WATERBURY",,6.0210000000000001e+01,4.5000000000000000e+01,
"WATERFORD",2.7980000000000000e+01,,,
"WATERTOWN",3.3189999999999998e+01,,,
"WEST HARTFORD",4.1799999999999997e+01,,,
"WEST HAVEN",,3.6680000000000000e+01,3.7000000000000000e+01,
"WESTBROOK",2.4670000000000002e+01,,,
"WESTON",3.2369999999999997e+01,,,
"WESTPORT",1.6859999999999999e+01,,,
"WETHERSFIELD",4.0740000000000002e+01,,,
"WILLINGTON",3.0090000000000000e+01,,,
"WILTON",2.8537299999999998e+01,,,
"WINCHESTER",3.3539999999999999e+01,,,
"WINDSOR",3.2380000000000003e+01,,,
"WINDSOR LOCKS",2.5829999999999998e+01,,,
"WOLCOTT",3.3140000000000001e+01,,,
"WOODBRIDGE",4.0229999999999997e+01,,,
"WOODBURY",2.9170000000000002e+01,,,
"WOODSTOCK",2.4500000000000000e+01,,,
